session_id,utterance_id,role,content,timestamp
akctfpj,0,tutor,Hello?,00:00:00
akctfpj,1,background,[unclear],00:00:00
akctfpj,2,student,"Yeah, I can hear you. Can you hear me?",00:00:00
akctfpj,3,tutor,Hi.,00:00:02
akctfpj,4,student,Hello.,00:00:03
akctfpj,5,tutor,"So Malachi, how have you been?",00:00:05
akctfpj,6,student,Good. How are you?,00:00:08
akctfpj,7,tutor,"Yeah, I'm doing great after a long time, right?",00:00:10
akctfpj,8,student,"Yeah, it's been a long time.",00:00:13
akctfpj,9,tutor,"Yeah, so... [unclear] All right, so we have discussed a new topic today, drawing a linear graph from a table of values, right? Okay, so... okay.",00:00:16
akctfpj,10,tutor,"So Malachi, what do you mean by a linear equation?",00:00:34
akctfpj,11,student,"Uh, the equation where the highest, you know, power of the variables.",00:00:37
akctfpj,12,tutor,"Yeah, one. Very good. Okay, so how could you— how could we use this table to plot a graph for y 2x 1? y 2x",00:00:42
akctfpj,13,student,"1. So we can substitute the value of y I mean, now, extrude it from [UNCLEAR].",00:00:56
akctfpj,14,student,Do we substitute the x value or y value?,00:00:56
akctfpj,15,tutor,"To find y, we have to do the x value and [UNCLEAR].",00:01:10
akctfpj,16,student,"X value, right? So we have to assign values for x, and then we can find y. So is it correct now?",00:01:10
akctfpj,17,tutor,"I think you have to do that manually to find out. [unclear] So the x and y values are given, right? So when you substitute -3 to x here, so 2 times -3 is?",00:01:19
akctfpj,18,tutor,2 times negative—,00:01:43
akctfpj,19,student,"Negative 6, right? Negative 6, negative 1 is?",00:01:45
akctfpj,20,tutor,"Negative 7, yeah, that's correct.",00:01:49
akctfpj,21,student,"Negative 7. So now x and y values are given. Now, how do you plot the graph? What do you do?",00:01:51
akctfpj,22,student,"We just [unclear] I mean, we just throw the coding with the x and y.",00:01:59
akctfpj,23,tutor,"Yeah, if you want to plot a— let's say if you want to plot a straight line, how many points at least we should know? How many coordinates?",00:02:06
akctfpj,24,student,2.,00:02:17
akctfpj,25,tutor,"2, right? So we can take 2 coordinates. So you can take something like -3 and -7 and 0 and -1, and then we can connect the dots to get the straight line, right? Okay, so can you try this exam style question independently?",00:02:18
akctfpj,26,tutor,Yeah. [unclear],00:02:37
akctfpj,27,tutor,Yeah. [unclear] [unclear],00:02:52
akctfpj,28,tutor,The way they've done it is— you've got to show me the deepest one.,00:03:25
akctfpj,29,student,I can do that. [unclear],00:03:39
akctfpj,30,tutor,"Yeah, 0 and?",00:04:42
akctfpj,31,student,1.,00:04:47
akctfpj,32,tutor,"Yeah, and?",00:04:48
akctfpj,33,student,"Yeah, and then we have to plot the graphs. [unclear]",00:04:51
akctfpj,34,tutor,Right here?,00:05:11
akctfpj,35,student,"Yeah, I'm playing [UNCLEAR].",00:05:12
akctfpj,36,tutor,Can you plot the coordinates?,00:05:12
akctfpj,37,student,"Yeah, that's what I'm doing right now. [unclear]",00:05:15
akctfpj,38,tutor,All right. [unclear],00:05:51
akctfpj,39,tutor,I think I'm done.,00:06:25
akctfpj,40,student,"Yeah, so you have to— when you draw the line, you have to continue beyond plotted points, right? So just continue beyond plotted points.",00:06:28
akctfpj,41,tutor,"Okay, right. So Malachi, well done, and you'll get 3 marks. So 1 mark for all the correct values here, and 1 mark for plotting all the points correctly, and 1 mark for drawing a line through all these points and continuing beyond plotted points, right? So 3 marks in total. Well done. Okay. [unclear]",00:06:41
akctfpj,42,tutor,Hello?,00:07:08
akctfpj,43,student,"Yeah, so we can move on to the next one. So draw the graph y 3x 1 for values of x",00:07:22
akctfpj,44,student,from -3 to 3. Yeah.,00:07:22
akctfpj,45,tutor,Yeah. Okay. [unclear],00:07:22
akctfpj,46,tutor,"I don't know if it's correct to see the number inside, out of 90. [unclear]",00:09:18
akctfpj,47,student,"So there are 10 people that do neither, so it's out of 90. Outside the event diagram. [unclear]",00:09:24
akctfpj,48,tutor,"Oh, that should be nice.",00:09:59
akctfpj,49,student,"I see you, [UNCLEAR].",00:10:02
akctfpj,50,tutor,Yes.,00:10:02
akctfpj,51,student,"Nice to see you, [UNCLEAR].",00:10:03
akctfpj,52,tutor,Yes.,00:10:08
akctfpj,53,student,This is 80.,00:10:08
akctfpj,54,tutor,"Oh, 80.",00:10:10
akctfpj,55,student,"So 80 take away 10, you get 70.",00:10:11
akctfpj,56,tutor,Yes. [unclear],00:10:14
akctfpj,57,tutor,Yeah.,00:10:42
akctfpj,58,student,Get you out of detention.,00:10:43
akctfpj,59,tutor,"Oh, no. I just came for— I came for— [unclear]",00:10:44
akctfpj,60,student,It was here until like 10 minutes ago.,00:10:47
akctfpj,61,tutor,"Yeah, that's fun to show off, Malachi. [unclear] [unclear]",00:10:58
akctfpj,62,student,[unclear] [unclear],00:11:25
akctfpj,63,student,[unclear] [unclear],00:11:39
akctfpj,64,student,"Yeah, correct.",00:11:58
akctfpj,65,tutor,"Then, all right. [unclear]",00:11:59
akctfpj,66,student,All right. [unclear],00:12:16
akctfpj,67,student,"And then after that, did you do like 70 takeaways?",00:13:01
akctfpj,68,tutor,Like 30.,00:13:05
akctfpj,69,tutor,"Oh, no. 70— [unclear] Yeah, it is for run. Like 70 take away 40 to get 30 for the run.",00:13:07
akctfpj,70,student,Yeah. [unclear],00:13:22
akctfpj,71,student,"14 minus 30, okay, to get 10. Yeah. 50 minus 30 to get 30. [unclear]",00:13:39
akctfpj,72,tutor,"Like, I get how it works, but there are a lot of steps to remember.",00:14:08
akctfpj,73,student,[unclear],00:14:11
akctfpj,74,tutor,Yeah. [unclear],00:14:16
akctfpj,75,student,Yeah.,00:14:28
akctfpj,76,student,So?,00:14:55
akctfpj,77,tutor,I'm drawing the line.,00:14:57
akctfpj,78,student,Okay.,00:14:58
akctfpj,79,tutor,"All right. I think that's it. [unclear] That's it. Well done on completing the question independently. Right, so now, uh, you'll get, uh, 2 marks for the correct value— the correct, uh, y-values, and then you'll get 1 mark for plotting all the points correctly on the grid, and then another 1 mark for drawing a line through all these points continuing beyond the plot.",00:15:02
akctfpj,80,tutor,[unclear],00:15:40
akctfpj,81,student,So you'll get 4 marks in total.,00:15:40
