session_id,utterance_id,role,content,timestamp
apephhz,0,background,[unclear],00:00:00
apephhz,1,tutor,Hello.,00:00:00
apephhz,2,student,Hi.,00:00:00
apephhz,3,tutor,"Hello, Callum. How are you?",00:00:01
apephhz,4,student,All right. How are you?,00:00:02
apephhz,5,tutor,I'm good too. Thank you for asking. So are we all good to get started with the lesson?,00:00:05
apephhz,6,student,Yeah.,00:00:09
apephhz,7,tutor,Okay. So today we'll continue with this applying Pythagorean theorem and then—,00:00:10
apephhz,8,student,Okay.,00:00:13
apephhz,9,tutor,"Well, can you tell the What do you agree with here?",00:00:14
apephhz,10,student,Lee.,00:00:22
apephhz,11,tutor,That's right. Why do you say Lee is correct?,00:00:22
apephhz,12,student,"Because a² b² c². Yes, Lee",00:00:24
apephhz,13,tutor,"is applying the Pythagoras Theorem, whereas Joe is saying something else. Okay, so we have to continue from this question here. So shall we give this question a try? Do you remember how to apply the Pythagoras Theorem when it comes to questions like this?",00:00:29
apephhz,14,tutor,"Yeah, I think so.",00:00:46
apephhz,15,student,"Okay, shall we try this one?",00:00:48
apephhz,16,tutor,Okay. [unclear],00:00:52
apephhz,17,tutor,"Oh my God, you have a mirror. I'm not quite sure what to do.",00:01:22
apephhz,18,tutor,"Okay, so y² a² b². So then we have one side here. So do we have the other one to find y²? No. So",00:01:43
apephhz,19,student,what,00:01:58
apephhz,20,tutor,do you think we'll do in that case with the information that's given in the question?,00:01:58
apephhz,21,student,"That they're right-angled, so they're 90 degrees.",00:02:05
apephhz,22,tutor,"So let's say this is b, so how do you think we can find a? Now this is y squared, then this is a squared, and this is b. [unclear]",00:02:14
apephhz,23,student,I think we have to add b and a together.,00:02:23
apephhz,24,tutor,That's right. So how do you think you can find this height?,00:02:30
apephhz,25,student,Do y minus b.,00:02:36
apephhz,26,tutor,Is that the only way you can find? How about from this triangle here? Can you see this triangle is also a right triangle? [unclear],00:02:44
apephhz,27,student,This is 8. So how do you [unclear] this 8?,00:02:57
apephhz,28,tutor,So you have to do 10 squared minus 8 squared.,00:03:03
apephhz,29,student,That's right.,00:03:17
apephhz,30,tutor,So that would be,00:03:19
apephhz,31,tutor,So then that would be 36.,00:03:34
apephhz,32,student,"That's right, 36. So what is [UNCLEAR]?",00:03:40
apephhz,33,tutor,"It would just be 36, yeah? [unclear]",00:03:49
apephhz,34,student,"So it would be 36, the square root of 36.",00:03:51
apephhz,35,tutor,That's right.,00:03:59
apephhz,36,student,So that would be 6.,00:04:00
apephhz,37,tutor,Yes. So where is this 6 now? This?,00:04:04
apephhz,38,student,It's here.,00:04:08
apephhz,39,tutor,"Yeah, that's right. So AC is now 6. Now do you think we can find [UNCLEAR]? So we know what is AC, we know what's BC.",00:04:10
apephhz,40,tutor,"Yeah. So to find y, we would do a squared, so 6y 12 squared equals [UNCLEAR]. So then that would be [unclear]",00:04:18
