session_id,utterance_id,role,content,timestamp
arynkfh,0,background,[unclear],00:00:00
arynkfh,1,tutor,Hello? Hello?,00:00:00
arynkfh,2,student,"Hello, Tobias. Can you hear me?",00:00:01
arynkfh,3,tutor,"Yes. Great. Hi, Tobias. How are you doing today?",00:00:04
arynkfh,4,student,I'm fine.,00:00:09
arynkfh,5,tutor,"Alright, that's great to hear. So today's session will be— so shall we begin the lesson? [unclear] Shall we begin the lesson? Are you ready for it today?",00:00:10
arynkfh,6,student,Yes.,00:00:23
arynkfh,7,tutor,"Excellent. Alright, could you read the topic please?",00:00:25
arynkfh,8,student,Developing fluency with decimal calculation.,00:00:29
arynkfh,9,tutor,"That's right. Today we're going to try out some questions on decimal calculations, Tobias. So are you ready?",00:00:35
arynkfh,10,student,Yeah.,00:00:43
arynkfh,11,tutor,"Okay, so in this lesson we go through some arithmetic questions on working with decimals. I encourage you to use mental maths over here as much as possible and [unclear] the hints we have given here to help you out with the question. Shall we begin?",00:00:44
arynkfh,12,student,Yeah.,00:01:03
arynkfh,13,tutor,"All right, let's go.",00:01:04
arynkfh,14,student,"So now there are 3 points [unclear] So 3.75 here, and then there are 2.8, so we have to put decimal— we have to put decimal points in a straight line. So 2.8, and there's a blank space, so we can put 0 here. And now we have to— we have to add them. And now, so, so 5 and 0 is 5, and, uh, 7 and 18 is 15. So we're gonna put 5 and we're gonna save 1 for another question. We're gonna put decimal place here, and 3 at 2 is 5 and add 1, so this one is 6.55.",00:01:05
arynkfh,15,tutor,"Excellent job, Tobias. Excuse me. So Tobias, could you read the number once again? How do we read the decimal points?",00:02:12
arynkfh,16,student,"Okay, 6.55.",00:02:21
arynkfh,17,tutor,"Okay, let us correct it a bit. We read these as 5. So the digits after the decimal point, we read them as they are. So we'll read them as 6.55. Shall we read it once again, please?",00:02:26
arynkfh,18,student,"Yeah, 6.55.",00:02:42
arynkfh,19,tutor,"There you go. Well done, Tobias. Great job over here. Let us continue with question number 2. [unclear]",00:02:44
arynkfh,20,student,"Yeah, so now we have to subtract. So 3.12, 3.128, take away, wait, take away. [unclear]",00:02:52
arynkfh,21,student,"Okay, so take away 8, wait, what? 8. And now we have to [unclear]",00:03:12
arynkfh,22,tutor,"3.8252. Tobias, it's interrupt. So when we take away in this subtraction, which number should we take away from which number?",00:03:12
arynkfh,23,student,So we are taking 8.25 take away— now 3.128 take away 8.25.,00:03:12
arynkfh,24,tutor,"Okay, so if you look at the question, is that the correct order, Tobias?",00:03:58
arynkfh,25,student,"Um, oh, oh wait, so I, I think we have to put 8.25 first, and there's a blank space, so we're gonna put 0 here. And now we're gonna put 3.128.",00:04:05
arynkfh,26,tutor,That's correct.,00:04:30
arynkfh,27,student,"Now we can subtract it. So we have to exchange 5, 5 gave 1 to",00:04:33
arynkfh,28,student,Now the 0 became 10 and the 5 became 4. And now 10 take away 8 is 2. Now 4 take away 2 is 2. And now 2 take away 1 is 1. And we have to put decimal place here. 8 take 3 is 5. So the answer is 5.122.,00:04:46
arynkfh,29,tutor,"That's correct, Tobias. Well done. So Tobias, could you tell me what was wrong in our first order over here?",00:05:24
arynkfh,30,student,"So in our first order, the— we have to put in subtraction, we have to",00:05:32
arynkfh,31,student,We have to put the smaller number at the top. So we accidentally put it on the down and the bigger number on the top. So we have to put 8.25 on the top and 3.128 down.,00:05:40
arynkfh,32,tutor,"That's correct, Tobias. Great job there. And thank you so much for nicely taking me through your working out. Good job there.",00:05:59
arynkfh,33,tutor,"Alright, so you did well on these questions. Let's move on to the next set of questions, Tobias. Once again, let me remind you, let us use the hints they have given here to help you with the questions. Let's go.",00:06:07
arynkfh,34,student,"So this one, they are— so the first one— wait, so the first one is",00:06:22
arynkfh,35,student,"We got 5.78. Now we have to times it by 100, so it means we have to take the decimal— we have to move the digit twice, so it will become 578.",00:06:35
