session_id,utterance_id,role,content,timestamp
avuksmj,0,tutor,"Hello? [unclear] Can you hear me now? Am I audible, Briony?",00:00:00
avuksmj,1,tutor,Can you hear us?,00:00:11
avuksmj,2,student,Yes.,00:00:11
avuksmj,3,background,Yes.,00:00:12
avuksmj,4,tutor,"Okay, okay, great, great. So how are you?",00:00:12
avuksmj,5,student,Good.,00:00:16
avuksmj,6,tutor,Great to hear that. So how was the weekend? What did you do during the weekend?,00:00:18
avuksmj,7,student,I put my Christmas tree decorations up.,00:00:25
avuksmj,8,tutor,"That's awesome. So Christmas is coming, is that so?",00:00:27
avuksmj,9,student,Yes.,00:00:33
avuksmj,10,tutor,So... This is a very wonderful season. I'm really happy to hear that. That's awesome. And do you remember what we learned in the last session?,00:00:34
avuksmj,11,student,"We learned turning decimal— [unclear] No, fractions into decimals. Or no, rounding decimals.",00:00:47
avuksmj,12,tutor,"Good job. Yes, we learned. That was great. And did we learn about comparing fractions?",00:00:56
avuksmj,13,student,Yes.,00:01:03
avuksmj,14,tutor,Was it a bit complicated for you? Last session?,00:01:06
avuksmj,15,student,Yes. [unclear],00:01:12
avuksmj,16,tutor,"Okay, but we are going to do the rest of that lesson today, so don't worry. If you have any questions, you can ask me, okay, Briony?",00:01:15
avuksmj,17,student,Okay.,00:01:25
avuksmj,18,tutor,"All right, let's go to the first slide. Can you read the topic?",00:01:26
avuksmj,19,student,"Yes, comparing fractions using reasonings.",00:01:31
avuksmj,20,tutor,"Great job. So Briony, did you remember in the last session we did compare fractions by making the denominator same? Do you know? Do you remember that?",00:01:35
avuksmj,21,student,Yes.,00:01:54
avuksmj,22,tutor,So what if I take for an example the two fractions here. So you don't have to do this question. Can you read how we read these two fractions?,00:01:54
avuksmj,23,student,Yes. [unclear] [Speaker:Tutor]...and... [Speaker:Briony]...3/9.,00:02:05
avuksmj,24,tutor,Good job. So have you learned how to compare these two fractions? I will give you a clue using the denominators.,00:02:08
avuksmj,25,student,Yeah.,00:02:26
avuksmj,26,tutor,"When we compare two fractions, Briony, do we make the denominator same? It's like finding a common denominator. Briony, are you there? [unclear]",00:02:27
avuksmj,27,tutor,And then?,00:02:49
avuksmj,28,student,Yes. [unclear],00:02:50
avuksmj,29,tutor,"No worries. Okay. So when we compare two fractions, Briony, do we make the denominator the same?",00:02:51
avuksmj,30,student,Mm-hmm. Yes.,00:03:04
avuksmj,31,tutor,"Is my voice breaking, Briony, or is it low?",00:03:08
avuksmj,32,student,It's just a little breaking.,00:03:13
avuksmj,33,tutor,Really? Can you give me one minute so I'll refresh the tab?,00:03:16
avuksmj,34,tutor,Okay. [unclear],00:03:25
avuksmj,35,student,"Hello. Is it better, Briony?",00:03:30
avuksmj,36,tutor,"Yes, it's better.",00:03:36
avuksmj,37,student,Okay. I will go to the third slide right now. Can you read?,00:03:39
avuksmj,38,tutor,Yeah.,00:03:45
avuksmj,39,student,"When comparing fractions, we can use our understanding of how close the fraction is to one whole.",00:03:48
avuksmj,40,tutor,Exactly. So what if I give you two fractions like this? 1/2 and let's say 2/3. Okay?,00:03:55
avuksmj,41,tutor,"So when comparing these two fractions, what would you do, Briony? What would your step?",00:04:11
avuksmj,42,student,"You could put them in a bar model thingy, and then you color— you color— you shade in the [unclear] or the numerator, the numerator on the thingy.",00:04:20
avuksmj,43,student,"And then you like, but you put the denominator, the lines of the denominator.",00:04:38
avuksmj,44,tutor,Mm-hmm. Okay.,00:04:45
avuksmj,45,student,And we will compare them.,00:04:46
avuksmj,46,tutor,Good job. Excellent. Do you know any other methods other than putting into the bar models? That was good. So are there any methods we could use to compare these two fractions? [unclear] [unclear],00:04:48
avuksmj,47,tutor,"Right. Oh, I think that might be coming out of there now.",00:05:23
avuksmj,48,student,Do we have a like common denominator method? Do you know that?,00:05:27
avuksmj,49,student,Yeah.,00:05:33
avuksmj,50,tutor,"Yes, but I'm not very good at it.",00:05:33
avuksmj,51,background,"All right, no worries, Briony. Well, guess what? We're not going to use that. Can you read the sentence here?",00:05:35
avuksmj,52,student,Okay. [unclear] We don't always have to make the fraction have a common denominator to compare them.,00:05:46
avuksmj,53,tutor,"Exactly. So when we have two fractions to be compared, always what we do is we will make the denominator same. Isn't that so, Briony? [Speaker:Briony]... [unclear]",00:05:59
avuksmj,54,tutor,"Yes. So if we make the denominator same, it would be easy for us to look at the numerator and tell which one is big, right?",00:06:13
