session_id,utterance_id,role,content,timestamp
bbzluzk,0,tutor,Hello?,00:00:00
bbzluzk,1,background,[unclear],00:00:00
bbzluzk,2,student,Hello?,00:00:01
bbzluzk,3,background,Hello.,00:00:03
bbzluzk,4,tutor,Hi.,00:00:05
bbzluzk,5,background,Hi.,00:00:07
bbzluzk,6,tutor,How are you?,00:00:09
bbzluzk,7,student,I'm good.,00:00:10
bbzluzk,8,tutor,"Okay, can you hear me clearly?",00:00:11
bbzluzk,9,student,Yes.,00:00:15
bbzluzk,10,tutor,That's great. Could you please help me to pronounce your name?,00:00:16
bbzluzk,11,student,Elara Elara.,00:00:21
bbzluzk,12,tutor,"Elara Elara, am I correct?",00:00:23
bbzluzk,13,student,Yes.,00:00:25
bbzluzk,14,tutor,"Okay, there you go. So, well, I welcome you to your maths journey, Elara Elara. [unclear]",00:00:26
bbzluzk,15,tutor,"Before starting the lesson, I'll explain you what we do at Third Space Global, okay?",00:00:33
bbzluzk,16,student,Okay.,00:00:39
bbzluzk,17,tutor,"So from today onwards, we both are going to work together every week, okay?",00:00:41
bbzluzk,18,student,Okay.,00:00:46
bbzluzk,19,tutor,"We are going to work with the content that you know that you need a bit more help with. We'll be doing it in a more fun way, and I can work according to your speed, okay? Suppose if there's a topic that you're already confident of, we can make sure to make it a good revision, isn't it, Elara Elara?",00:00:47
bbzluzk,20,student,Yes.,00:01:07
bbzluzk,21,tutor,"Okay, that's great. And also, I would like to, uh, before starting the lesson, I would like to say you 3 things. First thing is that remember to turn up on time, uh, because it's a 45-minute session, isn't it? [unclear]",00:01:08
bbzluzk,22,student,Yes.,00:01:24
bbzluzk,23,tutor,And I want you to try your best. Do we have a deal on that?,00:01:25
bbzluzk,24,student,"Um, yeah.",00:01:29
bbzluzk,25,tutor,"That's great. And finally, there will be a quiz at the end of each session. At the end of each session, you're supposed to complete the quiz. Okay?",00:01:31
bbzluzk,26,student,Okay.,00:01:42
bbzluzk,27,tutor,"Okay, and also there are some tools to work with in our classroom. There'll be a toolbox in the bottom of your page, isn't it? Can you see that?",00:01:43
bbzluzk,28,tutor,Yes.,00:01:54
bbzluzk,29,student,And there's something called the text tool with two capital T's.,00:01:55
bbzluzk,30,tutor,The text.,00:02:02
bbzluzk,31,student,"Yes, the text tool. You see that?",00:02:03
bbzluzk,32,tutor,"Yes, yes.",00:02:05
bbzluzk,33,student,"Okay, you can click on the text tool and click on the screen to type anything. Okay?",00:02:07
bbzluzk,34,tutor,Okay.,00:02:13
