session_id,utterance_id,role,content,timestamp
bejloji,0,background,Hello? Hello? Hello. Hello. Can you hear me? Yes.,00:00:00
bejloji,1,tutor,"How are you doing today, Gideon?",00:00:14
bejloji,2,student,Good.,00:00:16
bejloji,3,tutor,That's good to know. And what have you been doing today?,00:00:16
bejloji,4,student,A little bit of math in the morning.,00:00:22
bejloji,5,tutor,How did that go?,00:00:26
bejloji,6,student,Good.,00:00:28
bejloji,7,tutor,"Alright, so good to know how your day was. So shall we take a look at today's lesson?",00:00:30
bejloji,8,student,Yes. So we have learned the value of each digit in numbers.,00:00:35
bejloji,9,tutor,"with up to 2 decimal places. So, what do you know about decimal numbers?",00:00:35
bejloji,10,student,"That there's decimal numbers and before the decimal point, so there's each digit and there's different digits in each column and they all have each, they each have like a value of a digit.",00:00:35
bejloji,11,tutor,"Yes. So Gideon, I'm going to change the lesson because seems like you have worked with this lesson. All right?",00:01:11
bejloji,12,student,Okay. [unclear],00:01:18
bejloji,13,tutor,"Yeah, you have worked with this lesson, so I'm just going to skip it. And I think you have worked with this as well. [unclear]",00:01:20
bejloji,14,student,"Yeah, I—",00:01:36
bejloji,15,tutor,You have done this as well.,00:01:42
bejloji,16,student,Yeah.,00:01:46
bejloji,17,tutor,It's loading the lessons that you have already done. Let's just move through. So I think with this lesson you were working on it and didn't complete the entire lesson. So we'll start with this. All right.,00:01:47
bejloji,18,tutor,"Okay. All right, so estimating the position of tenths and hundredths on a number line. Do you remember when we looked at this lesson? [unclear]",00:02:03
bejloji,19,student,You have to look at the numbers between the integrands and look what number is [unclear],00:02:18
bejloji,20,tutor,Okay. Anything else that you would like to mention?,00:02:35
bejloji,21,student,No.,00:02:41
bejloji,22,tutor,"So tens and hundreds here are also decimals, so we're once again going to be looking at the decimal calculations on our lines. Okay. And we have to work on this question here.",00:02:42
bejloji,23,tutor,Okay. Estimate the mass in kg that the arrow is pointing at. [unclear],00:02:58
bejloji,24,student,Is it 1 kg? [unclear],00:03:12
bejloji,25,tutor,"Okay, those 1 kg, where do you think 1 kg is? If this is 0 and this is 2.",00:03:22
bejloji,26,student,"Because if you go off the arrow at the top, then there would be 1 and— yeah.",00:03:29
bejloji,27,tutor,Why don't you estimate the position of 1 kg? Can you draw a line to show me where it would be?,00:03:35
bejloji,28,student,Okay. [unclear],00:03:44
bejloji,29,tutor,Great.,00:03:56
bejloji,30,student,Do you know how this scale works?,00:04:00
bejloji,31,tutor,The numbers are on this part of the scale.,00:04:05
bejloji,32,student,Oh.,00:04:13
bejloji,33,tutor,Yeah.,00:04:17
bejloji,34,student,So where is 1 on this red line? [unclear],00:04:18
bejloji,35,tutor,Here?,00:04:26
bejloji,36,student,"Yeah, well done. So as you can see, the arrow point is a little away from the 1. So what estimate can you take?",00:04:31
bejloji,37,tutor,1.3.,00:04:39
bejloji,38,tutor,"Yeah, we can go with 1.3. Great work. [unclear] All right, so nice work, Gideon, in estimating the value here and finding out the true value. So I hope that was clear to you.",00:04:42
bejloji,39,student,Yes.,00:05:12
bejloji,40,tutor,"Okay, so I'm just going to change the lesson now. [unclear]",00:05:13
bejloji,41,student,[UNCLEAR] [unclear],00:05:13
bejloji,42,student,[unclear] [unclear],00:05:13
bejloji,43,tutor,What do you know about rounding?,00:06:40
bejloji,44,student,"I know that if you round that 0, 1, 2, 3, 4, you round down. If you round to 5, 6, 7, 8, 9, you round up.",00:06:42
bejloji,45,tutor,So here we're rounding to the nearest tenth. What does that mean? So we're going to be rounding to the nearest tenth and see if it rounds down or rounds up.,00:06:53
bejloji,46,tutor,"Yes, we are going to be rounding with decimal numbers, and yes, just like you explained. Well done in remembering the rounding rule. So can you show me how you would round this number in the learning goals?",00:07:05
bejloji,47,student,"Okay, so 2.64, the tenth is 6, so that's the [unclear] That's the target digit. So then we look to the right and it's a 4, so that rounds down, so it's 2.6.",00:07:20
bejloji,48,tutor,Amazing work there. Well done in explaining how you would round it and finding the digit that you need to round as well. So we can directly start off with the YouTube questions. Should we go?,00:07:36
bejloji,49,tutor,Write the number and then round to the nearest tenth. [unclear] 4.49. 4.49 rounded to the nearest tenth is 4.5. How do you figure it out?,00:07:54
bejloji,50,student,"I looked again at the [unclear] and then I looked to the right and it's a 9, so we round up.",00:08:26
bejloji,51,tutor,Amazing work there. Good job in understanding how to identify the number on the place value chart as well.,00:08:33
bejloji,52,background,Use the number line to show that 3.22 rounded to the nearest tenth is...,00:08:40
bejloji,53,tutor,"Okay, so I can show that 3.22 is right over 3.2. [unclear] So here is 3.22, and that looks— and that shows it's closer to 3. So that shows that closer to— [unclear]",00:08:47
bejloji,54,student,It shows it's closer to 3.2.,00:09:32
bejloji,55,student,So it's closer to 3.2. [unclear],00:09:40
bejloji,56,tutor,"Alright, so well done in understanding which way to round to and why as well. So we're probably looking at the number line to show that. [unclear]",00:10:09
bejloji,57,student,"So see, what is 24.0212 nearest tenth? So the tenth digit, that's our target digit. We look to the right, is it just a 2?",00:10:21
bejloji,58,student,"So it's just 24, that's it. [unclear]",00:10:36
bejloji,59,tutor,And then what is 3.991 rounded to the nearest tenth?,00:10:50
bejloji,60,student,That is 3... that is 4.,00:10:54
bejloji,61,tutor,So good job with your skills in rounding to the nearest tenth. We can now try to go for the question here. [unclear] has seen a tennis racket she wants to buy. She sees it costs 24 £24.50 to the nearest 10p. What could the exact price of the racket be? Give 2 possible answers. [unclear],00:11:08
bejloji,62,student,It could be...,00:11:50
bejloji,63,tutor,£24.40.,00:11:58
bejloji,64,student,It could be £24... [unclear],00:12:04
bejloji,65,tutor,"So if it is £24.40, when you round it to the nearest 10p,",00:12:13
bejloji,66,tutor,Would you get 24.50? [unclear] [unclear],00:12:23
bejloji,67,tutor,Are you stuck with the question for this one?,00:13:21
bejloji,68,student,Yeah.,00:13:28
bejloji,69,tutor,"Okay, think about it on a number line.",00:13:30
bejloji,70,student,"24— wait, is it 24.47?",00:13:37
bejloji,71,tutor,"Yeah, that would round to £24.50. What are the other numbers?",00:13:41
bejloji,72,student,And the other number could be £24.49.,00:13:45
bejloji,73,tutor,Do you know the biggest possible value? It could be the tennis racket.,00:13:57
bejloji,74,student,24 point... [unclear]...99. That would round to 25 pounds.,00:14:06
bejloji,75,student,"Oh, 34.49.",00:14:18
bejloji,76,tutor,"Okay, very close. So it would be 24.99999.",00:14:21
bejloji,77,student,"By— oh, this would round down to—",00:14:27
bejloji,78,background,"Oh, down to 24.50.",00:14:31
bejloji,79,student,Yeah.,00:14:36
bejloji,80,tutor,Okay. So you can write the options that you want over here. [unclear] [unclear],00:14:41
bejloji,81,tutor,So what happens if we've got one complement [UNCLEAR]? [unclear],00:15:09
bejloji,82,student,"All right, so here's what's there. Moving on to the next lesson topic. [unclear]",00:15:42
bejloji,83,tutor,"Writing simple fractions as decimals. So have you worked with writing, rewriting a fraction as a decimal?",00:16:33
bejloji,84,student,5.,00:16:43
bejloji,85,tutor,Yes.,00:16:44
bejloji,86,student,5.47.,00:16:44
bejloji,87,tutor,All right. So would you like to explain how you would do it? [unclear],00:16:49
bejloji,88,student,"So, because like you look at the fraction, you'll see like how it's equivalent to the same decimal number.",00:16:56
bejloji,89,tutor,All right. [unclear],00:17:17
bejloji,90,tutor,Shall we give it a try?,00:17:46
bejloji,91,student,"Yeah. So, 2.5 as a— 2/5 as a decimal is 2.5. [unclear]",00:17:50
bejloji,92,tutor,"All right. So,",00:18:04
bejloji,93,tutor,That's a good try. Can you try the prior learning here? [unclear],00:18:09
bejloji,94,student,The equivalent fraction is 6/10.,00:18:12
bejloji,95,tutor,So how do you write 6/10 as a decimal?,00:18:32
bejloji,96,student,0.6.,00:18:37
bejloji,97,tutor,"Exactly. So over here with this fraction, 2/5, can you first rewrite this fraction out of 10?",00:18:38
bejloji,98,student,"Ah, okay. [unclear] [unclear]",00:18:46
bejloji,99,tutor,Times— I mean— [unclear],00:19:03
bejloji,100,student,Is it?...for tenths. [unclear],00:19:12
bejloji,101,student,"So as a decimal, that will be 0.4.",00:19:38
bejloji,102,tutor,"Well done, there you go. Okay, so we're going to practice a little bit more on how to write the fractions as decimals. Good job in trying it out over here.",00:19:44
bejloji,103,tutor,So this will give you a better understanding about equivalences between fractions and [UNCLEAR].,00:19:57
bejloji,104,student,"So when looking at equivalences between fractions and decimals, a hundred grid is helpful, is a helpful diagram to use.",00:19:57
bejloji,105,tutor,"So here we're going to be looking at the hundredths values, not the tenths.",00:20:24
bejloji,106,student,"So here the hundred grid is divided into 4 equal parts, which means when you divide something into 4, each part is considered a quarter. [unclear]",00:20:31
bejloji,107,tutor,"All right. So here we have a quarter, and when you look at a quarter, there are 2,500. [unclear]",00:20:50
bejloji,108,student,Okay. [unclear],00:20:57
bejloji,109,student,"So it's right up, you write the fraction after 100 and then write out the decimal value.",00:21:22
bejloji,110,tutor,Yes.,00:21:41
bejloji,111,student,"I get it, but I don't know how this",00:21:42
bejloji,112,tutor,"Okay, so one quarter is equal to 2,500.",00:21:44
bejloji,113,student,Mm-hmm.,00:21:56
bejloji,114,tutor,"So like 25, and that, I think this one is 0. [unclear]",00:21:57
bejloji,115,student,"So for me, 3/4 is equivalent [unclear]",00:22:26
bejloji,116,tutor,to 75 hundredths.,00:22:26
bejloji,117,student,Mm-hmm.,00:22:26
bejloji,118,tutor,"Which is also equivalent to 0.75. Then C, 1/2 is equal to 50 hundredths. And that is [unclear]",00:22:44
bejloji,119,student,"All right. So well done in understanding how to write out your fraction out of 100. and then rewriting it as a decimal. Do you have any questions, anything that you do not understand? No, I'll keep a pretty good break so far. We'll now move to your turn pressure side here.",00:23:22
bejloji,120,tutor,"Well, let's look at a different fraction. As you can see, the image is now split into 5 different parts inside. So the [unclear] here has been divided into 5 equal parts. Now the shape can be considered as 1/5 each of the whole. Right?",00:23:57
bejloji,121,student,Okay.,00:24:20
bejloji,122,student,"So there are blank hundreds found within each shaded part. When you look at one part, it says 10, 20, 20 hundreds. 20 hundreds can be written as 20 out of 100 in fraction form, and as a decimal, that would mean 0.20. 20 hundreds is the same as 2 tenths. [unclear]",00:24:23
bejloji,123,tutor,"So, do you have any questions? Anything that you do not understand over here?",00:24:51
bejloji,124,student,"For B, I didn't understand it.",00:24:56
bejloji,125,tutor,B?,00:25:00
bejloji,126,student,Yeah.,00:25:02
bejloji,127,tutor,One fifth?,00:25:02
bejloji,128,student,Yeah.,00:25:04
bejloji,129,tutor,"So if I go back inside, when we divided this shape into 4 parts, we considered each part one quarter. Likewise, when you divide this 100 into 5 parts,",00:25:06
bejloji,130,tutor,Yes.,00:25:20
bejloji,131,student,There are 5 parts. We consider each part a fifth. [unclear],00:25:21
bejloji,132,tutor,Very good. How's that? That is correct. So you have a connection?,00:25:25
bejloji,133,student,No.,00:25:31
bejloji,134,tutor,"All right. So I'm glad that you asked your questions. If you have anything else, do let me know.",00:25:31
bejloji,135,student,Okay. This 100 has been divided into—,00:25:37
bejloji,136,student,10 equal parts. And that will be one. [unclear],00:25:45
bejloji,137,tutor,There are 10 equal parts.,00:26:03
bejloji,138,tutor,"And then, this 10 hundredths, that's equal to... [unclear] [unclear]",00:26:14
bejloji,139,tutor,"So if that's the case, 1/4 of the 2/4 or the 1/4 of the 2/4, and it is equal to 2,500. So if you count one by one each of these portions, you can see length becomes 100 here, because square means here, right? So if that's the case, 1 portion equals 100. [unclear]",00:26:40
bejloji,140,tutor,"All right, so would you like to talk me through your working?",00:27:18
