session_id,utterance_id,role,content,timestamp
bgbegwx,0,background,[unclear],00:00:00
bgbegwx,1,tutor,"Hello? Hello? Hello? Ruby, can you hear me?",00:00:00
bgbegwx,2,student,Yeah. Hello!,00:00:06
bgbegwx,3,tutor,"Alright, so how are you today?",00:00:08
bgbegwx,4,tutor,"How are you doing, Ruby?",00:00:12
bgbegwx,5,student,Good. [unclear],00:00:16
bgbegwx,6,tutor,"Okay, can you hear me clearly?",00:00:17
bgbegwx,7,student,Yeah.,00:00:23
bgbegwx,8,tutor,"Alright, great. So, yeah. So do you have anything interesting to share with me, like what you did today?",00:00:24
bgbegwx,9,student,No.,00:00:31
bgbegwx,10,tutor,"Alright, that's alright. Yeah.",00:00:34
bgbegwx,11,tutor,[unclear] Shall we start our lesson then?,00:00:37
bgbegwx,12,student,Okay. Hello.,00:00:41
bgbegwx,13,tutor,"Alright. Okay, so today we have to learn about comparing numbers with up to 2 decimal places. So have you ever heard about decimal places, or have you ever used decimal places?",00:00:43
bgbegwx,14,student,I use it a lot.,00:00:59
bgbegwx,15,tutor,Got it?,00:01:03
bgbegwx,16,student,I used it one line.,00:01:04
bgbegwx,17,tutor,"Okay. So, yeah. So how— can you— do you know how we can compare decimal numbers? [unclear]",00:01:09
bgbegwx,18,tutor,"It's alright, Ruby. That's fine. So let's recap that knowledge then. You can go to this Learning Girl question here. Read the question and just tell me what you think you have to do here.",00:01:17
bgbegwx,19,tutor,"Wait, what? Read what question?",00:01:35
bgbegwx,20,student,The learning goal question.,00:01:38
bgbegwx,21,tutor,Yes.,00:01:40
bgbegwx,22,student,"The table shows how far some children jump in a long jump. Write the name of the child who jumped the furthest. [unclear] Okay. All right, so you can see this table shows the names of the children and the distance they jumped, right?",00:01:41
bgbegwx,23,student,"No, I don't really know that.",00:02:05
bgbegwx,24,background,"Can you, by looking at these numbers, can you tell me who jumped the farthest?",00:02:08
bgbegwx,25,student,I think it's Katie.,00:02:14
bgbegwx,26,background,"We do, I just forgot it.",00:02:15
bgbegwx,27,tutor,Why do you think so? Because... [unclear],00:02:17
bgbegwx,28,tutor,Why do you think it's Katie?,00:02:29
bgbegwx,29,student,I don't know.,00:02:31
bgbegwx,30,tutor,"Alright, so if I ask who jumped the closest, what is your answer? James. Is it James?",00:02:35
bgbegwx,31,student,Yeah.,00:02:53
bgbegwx,32,tutor,"Okay, so why do you think it's James?",00:02:53
bgbegwx,33,student,"I don't know, I just guessed.",00:02:57
bgbegwx,34,tutor,Just guessed? With what numbers?,00:03:01
bgbegwx,35,student,"I don't know. I think that's the number. [unclear] I'm just guessing it, but will it be 26?",00:03:05
bgbegwx,36,tutor,"Okay, so when you look at these numbers here, what can you say about the distance of Beth and Katie? [unclear]",00:03:17
bgbegwx,37,student,The difference is Beth has 2.3,00:03:32
