session_id,utterance_id,role,content,timestamp
blpxcox,0,tutor,Hi.,00:00:00
blpxcox,1,background,[unclear],00:00:00
blpxcox,2,student,Hello.,00:00:00
blpxcox,3,tutor,Hi. Can you hear me clearly? Hello.,00:00:01
blpxcox,4,student,Hello.,00:00:07
blpxcox,5,tutor,"Yeah, can you hear me clearly, Jovan?",00:00:08
blpxcox,6,student,Yeah.,00:00:11
blpxcox,7,tutor,Awesome. So am I pronouncing your name correctly? Is that Jovan?,00:00:12
blpxcox,8,student,Yeah.,00:00:17
blpxcox,9,tutor,"Awesome, awesome. So I'm [TUTOR_NAME] and I'll be your tutor for the day, okay?",00:00:18
blpxcox,10,student,Okay.,00:00:25
blpxcox,11,tutor,"So how was your day, Jovan?",00:00:27
blpxcox,12,student,It was good.,00:00:28
blpxcox,13,tutor,Mm-hmm. So did you do anything interesting today? Did you learn anything interesting at school?,00:00:30
blpxcox,14,student,Yeah.,00:00:38
blpxcox,15,tutor,Mm-hmm. What did you do?,00:00:39
blpxcox,16,student,We did work. [unclear],00:00:41
blpxcox,17,tutor,"Alright, no worries. Are you okay? You sound a little bit dull. Is everything okay?",00:00:44
blpxcox,18,student,Yeah.,00:00:52
blpxcox,19,tutor,"Alright, okay then. So, welcome back to EduBoost since this is your very first session in your new term. Here today we're going to be continuing a lesson that you started off last time, okay?",00:00:53
blpxcox,20,tutor,"Yes, Jovan? So today we would be working on a lesson called Multiplying and Dividing Whole Numbers and Decimals by 10 and 100. So this is a lesson you started off last time, yeah? So can you tell me, how confident are you with this lesson, with this topic?",00:01:09
blpxcox,21,student,[unclear],00:01:29
blpxcox,22,tutor,"All right, no worries. So let's try to remember what we did last time. I mean, what you did last time. Okay, so let's do this warm-up question. It's completely fine if you don't remember that because I know that it's been weeks since you did this, yeah, because it was done in your last term. So yeah, let's go ahead, let's read it. Go on.",00:01:30
blpxcox,23,student,[unclear],00:01:55
blpxcox,24,tutor,"So what's the calculation we have over here, Jovan?",00:01:56
blpxcox,25,student,2.6 centimeters.,00:02:00
blpxcox,26,tutor,Is Is it 2.6? How do you read this number?,00:02:03
blpxcox,27,student,2.06.,00:02:07
blpxcox,28,tutor,"Mm-hmm, very good. [unclear] So how do we do that? How do we times by 100? I mean, do you have any idea which method we're going to use here?",00:02:09
blpxcox,29,student,You move 2 places to the left.,00:02:21
blpxcox,30,tutor,Sorry?,00:02:26
blpxcox,31,student,You move 2 places to the right.,00:02:29
blpxcox,32,tutor,Mm-hmm. So do we move to the right or to the left? What do you think?,00:02:32
blpxcox,33,student,To the right.,00:02:38
blpxcox,34,tutor,"So to the right, yeah? Very good, that's an awesome try. Actually, when we have 2 times, when I have 2.06, we have to move left or right. Let me talk about that in the next few slides, is that okay? Because this is the [unclear] Introduction slide, yeah? Is it all right?",00:02:39
blpxcox,35,student,Yes.,00:02:59
blpxcox,36,tutor,"Okay. So last time you were doing this, sorry. Do you remember what's the name of this chart? What do we call it?",00:03:00
blpxcox,37,student,[unclear],00:03:09
blpxcox,38,tutor,"Very good. The Get Techno Pleased Rally Chart, isn't it? So what is the number that is shown over here in this place of the chart, Jovan?",00:03:11
blpxcox,39,student,"3.06. No, 3.6.",00:03:27
blpxcox,40,tutor,Very good. How do you know that?,00:03:33
blpxcox,41,student,Because they put a 3 there and then they put a 0 and then they put a point there. [unclear],00:03:35
blpxcox,42,tutor,"That's right. So it's 3.6, isn't it?",00:03:42
blpxcox,43,student,Yes.,00:03:45
blpxcox,44,tutor,"So midnight times 3.6. By 10, in a Gattegno chart, do you remember how we move the boxes?",00:03:46
blpxcox,45,student,The jumps.,00:03:56
blpxcox,46,tutor,"Yes, so how many jumps do we make and to which direction?",00:03:57
blpxcox,47,student,Left.,00:04:02
blpxcox,48,tutor,"In the Gattegno chart, do we move left?",00:04:04
blpxcox,49,student,"No, we move right.",00:04:08
