session_id,utterance_id,role,content,timestamp
bpxmgri,0,tutor,Hello? [unclear],00:00:00
bpxmgri,1,student,"Hello? My laptop's crashing, so I can't— I don't really know if I can hear you.",00:00:04
bpxmgri,2,tutor,"Hello? Hi, Gideon. Can you hear me?",00:00:15
bpxmgri,3,student,Hi.,00:00:17
bpxmgri,4,tutor,"Hi, how are you doing today?",00:00:19
bpxmgri,5,student,Good.,00:00:21
bpxmgri,6,tutor,"That's great to hear. Welcome to today's session, Gideon.",00:00:23
bpxmgri,7,student,"Sorry I'm late, it's just my laptop kept crashing.",00:00:27
bpxmgri,8,tutor,"Oh, okay. Is everything all right?",00:00:31
bpxmgri,9,student,Yeah.,00:00:33
bpxmgri,10,tutor,"Okay, great. [unclear] We are good to start our session for today, so let's move on to the lesson we've got.",00:00:35
bpxmgri,11,tutor,"So we are continuing the lesson from the last session, which is multiplying and dividing whole numbers and decimals by 10 and 100. Yeah, so today we begin from this slide on the Your Turn part. Okay, so",00:00:45
bpxmgri,12,tutor,Yep. Shall we work out the question here?,00:01:12
bpxmgri,13,student,"Mm-hmm. Okay, so complete the calculations below using the place value chart for help. M1.8 times 10, so what we would do is we would put M1.8, so 1.8,",00:01:15
bpxmgri,14,student,"1.8 in there. And then after we've done 1.8, we do 10. So if we go up here and just put times by 10, and so",00:01:36
bpxmgri,15,student,"If we're timesing by 10, it only has one zero. So that means we're only moving one space to the left. So we would move the 8 to here and the 1 to here. [unclear] And then I want to retype 1.8 in the correct place down here. So we're going to have 1 here, and we're going to have 18. [unclear]",00:02:03
bpxmgri,16,tutor,"There we go. And then instead, up here was 1.8, and then it turned into 18.",00:02:41
bpxmgri,17,student,"So, the amount would be 18. [unclear] [unclear]",00:02:56
bpxmgri,18,student,"Okay, and then for the second one, what it's asking you to do is 1.8 times 100. So we're going to write 1.8 times 100. So 1.8",00:03:23
bpxmgri,19,student,"1.8 is going to go here. And then after we've got 1.8, we're going to do— we're going to— so if I write 100 up here, 100, so we've got 2 zeros.",00:03:48
bpxmgri,20,student,"So this time we'll move 2 places to the left. And we'll— so the 8 would go to the 1 and then here. And the 1 would go here, then here. So the way to place that is like this. So the 1 would go here.",00:04:10
bpxmgri,21,student,And then... [unclear],00:04:39
bpxmgri,22,tutor,"So the 1 would move 2 places, and the 8 would move to the tens column. So now we have 100 and... [unclear]",00:04:45
bpxmgri,23,tutor,Is it 108? How did you get to zero?,00:05:15
bpxmgri,24,student,So it would be—,00:05:23
bpxmgri,25,tutor,Move this over here. Here will be— [unclear],00:05:28
bpxmgri,26,tutor,So what's the final answer here?,00:05:54
bpxmgri,27,student,18.,00:05:56
bpxmgri,28,tutor,It's 1.8 times...?,00:05:58
bpxmgri,29,student,100.,00:06:02
bpxmgri,30,tutor,"Okay. So 1.8 times 100. So [unclear] 1. And the 8 was here. So, 110. No, 108. Oh wait, 1-8 point 0-0. So 180.",00:06:04
bpxmgri,31,tutor,"Yes, that's right. [unclear] There we go. Good job with working out your answers. All right, very well done over there. Okay, so shall we read what's given over here, please?",00:06:41
bpxmgri,32,student,"To divide by 10, move each digit one place to the right. So... [unclear]",00:06:58
bpxmgri,33,tutor,I'll do it at the top.,00:07:07
bpxmgri,34,student,"So, we've got divided by 10, which means you go— does it mean you go to like the right instead?",00:07:11
bpxmgri,35,tutor,"Yes, that's right.",00:07:22
