session_id,utterance_id,role,content,timestamp
bqjwegu,0,tutor,Hello.,00:00:00
bqjwegu,1,student,Hello.,00:00:00
bqjwegu,2,tutor,"Hi Callum, can you hear me?",00:00:02
bqjwegu,3,student,"Yes, I can.",00:00:04
bqjwegu,4,tutor,"All right, how are you doing today?",00:00:05
bqjwegu,5,student,"Good, how are you?",00:00:08
bqjwegu,6,tutor,"I'm doing good too, thank you for asking me, Callum. So yes, how was your last weekend? Anything interesting about it? [unclear]",00:00:09
bqjwegu,7,student,Not really. [unclear],00:00:20
bqjwegu,8,tutor,"All right. So, I hope it's holidays for next week. Is it?",00:00:25
bqjwegu,9,student,Yeah.,00:00:33
bqjwegu,10,tutor,"Okay. So, do you have any plans for the holidays ahead?",00:00:34
bqjwegu,11,student,We're gonna go out to eat and go see my family. And I'm playing a netball match on the weekend.,00:00:39
bqjwegu,12,tutor,"Mm-hmm. Okay. That's great to hear. So, yes, Callum, I hope you have a great holiday ahead. And yes, so I hope you can hear me clearly. Can you?",00:00:52
bqjwegu,13,student,Yeah.,00:01:06
bqjwegu,14,background,Yeah.,00:01:07
bqjwegu,15,tutor,"Great. So if you have any difficulties in hearing me, let me know. And let's get started with our session for today, which is multiplying and dividing whole numbers and decimals by 10 and 100. So have you used a place value chart to multiply and divide? [unclear]",00:01:07
bqjwegu,16,tutor,"That's great to know, Callum. So let's see how it goes with the",00:01:35
bqjwegu,17,tutor,"First question, what do you think?",00:01:40
bqjwegu,18,student,"Well, the calculation, 3.06 times 100.",00:01:44
bqjwegu,19,tutor,Mm-hmm.,00:01:53
bqjwegu,20,student,"So, [unclear] times the next 500, so we move it 2 places.",00:01:55
bqjwegu,21,tutor,Mm-hmm.,00:02:01
bqjwegu,22,student,So it would be,00:02:02
bqjwegu,23,tutor,"There you go. Wonderful thinking with that, Callum. And yes, with that, can we also try this question out?",00:02:07
bqjwegu,24,student,[unclear],00:02:16
bqjwegu,25,tutor,Perfect. And what happens when you divide this number? By a 10?,00:02:30
bqjwegu,26,student,You move it one— we move the decimal point one place.,00:02:37
bqjwegu,27,tutor,Mm-hmm.,00:02:41
bqjwegu,28,student,That would be— [unclear],00:02:43
bqjwegu,29,tutor,"Perfect. I'm really amazed on how well you tried that out, for which you get a big star. And yes, let's see what we have on the next slide.",00:02:51
bqjwegu,30,tutor,So a few more questions to work with. Have you tried a Gattegno chart before?,00:03:04
bqjwegu,31,student,[unclear],00:03:12
bqjwegu,32,tutor,"Okay. So, yeah, don't worry about it being right or wrong. Let's just give it a try. So the number 0.95 is shown here. So you show the tenths separately. You have 9 tenths. You show the 500ths separately. So you have 500ths here. Both together will make 0.95. Now, when you multiply by a 10, would you move up on the chart or would you move down on the chart? [unclear]",00:03:13
bqjwegu,33,student,Up.,00:03:53
bqjwegu,34,tutor,"Exactly. So we can see as we move up, the numbers are getting bigger. So When you multiply, you move up. When you multiply by a 10, it's just one jump up. When you multiply by 100, it would be two jumps up. And when you divide by a 10, it's one jump down. When you divide by 100, it would be two jumps down. So this is how we use a [unclear] chart. Okay. Now we have the number shown here. Can we mark the new position on the Gattegno chart here? What happens when you multiply by 100? How does this move?",00:03:54
bqjwegu,35,student,[unclear],00:04:45
bqjwegu,36,tutor,"Exactly. That's 1, 2. So, This would be a new number. And what happens to the 500s? [unclear]",00:04:47
bqjwegu,37,student,It will be 95.,00:05:03
bqjwegu,38,tutor,"There you go, Callum. Amazing thinking with that. So yes, can we type the answer here?",00:05:17
bqjwegu,39,tutor,"Alright. So now with that, let's try question 2. We have a few calculations here, and let's use the correct one on these. [unclear]",00:05:32
bqjwegu,40,student,So you've divided— [unclear] 543 has become 5.43. Is it a division or multiplication calculation? [unclear] There you go. So divided by how much?,00:05:53
bqjwegu,41,student,Divided by 100.,00:06:37
bqjwegu,42,tutor,100. There you go. So can we type the correct calculation here.,00:06:41
bqjwegu,43,student,[unclear] I can't find the divide symbol.,00:06:47
bqjwegu,44,tutor,Okay. Do you have the Symbols tool next to the text?,00:07:00
bqjwegu,45,student,"Oh, yes.",00:07:04
bqjwegu,46,tutor,"Yeah. When you click on that and click at this point, you will find the division sign.",00:07:05
bqjwegu,47,student,[UNCLEAR],00:07:05
bqjwegu,48,tutor,Perfect.,00:07:13
bqjwegu,49,student,[UNCLEAR],00:07:13
bqjwegu,50,tutor,"Great. So yes, now we have used this, so let's cross it off because we got to use each term only once. And the next one. So how about question B?",00:07:20
bqjwegu,51,student,"Okay, so this one is getting higher, so it's— [unclear]",00:07:36
bqjwegu,52,tutor,Mm-hmm.,00:07:41
bqjwegu,53,student,It's times 100?,00:07:45
bqjwegu,54,tutor,"Mm-hmm, exactly. So that's been timesed by 100. [unclear]",00:07:48
bqjwegu,55,tutor,And let's move on to question C.,00:08:11
bqjwegu,56,student,"Okay, this one. This one has been divided by 100, well, 10.",00:08:15
bqjwegu,57,tutor,Mm-hmm.,00:08:25
