session_id,utterance_id,role,content,timestamp
byvprdh,0,background,[unclear],00:00:00
byvprdh,1,tutor,"Hi, Lachlan, how are you?",00:00:00
byvprdh,2,student,I'm doing good.,00:00:02
byvprdh,3,tutor,"How was your day, Lachlan?",00:00:04
byvprdh,4,student,It was just some science.,00:00:06
byvprdh,5,tutor,Pardon?,00:00:09
byvprdh,6,student,Pardon?,00:00:11
byvprdh,7,tutor,I couldn't hear you clearly. Can you repeat what you said?,00:00:13
byvprdh,8,student,We did. We have just done science.,00:00:17
byvprdh,9,tutor,"Ah, okay. All right, Lachlan. So shall we move into the lesson?",00:00:19
byvprdh,10,student,Pardon?,00:00:26
byvprdh,11,tutor,Shall we move into the lesson?,00:00:27
byvprdh,12,student,Yes.,00:00:30
byvprdh,13,tutor,"Okay. So today's lesson is about? Multiplying and dividing whole numbers and decimals by 10 and 100. You can remember this lesson, right?",00:00:31
byvprdh,14,student,Yeah.,00:00:41
byvprdh,15,tutor,"Okay, so we are going to continue from where we stopped, Lachlan. Give me a second, I will take you to the slide, okay? Here I will be explaining you with the follow-me slide, Lachlan. Then you can try the your turn slide. Is that clear?",00:00:43
byvprdh,16,student,"Yes. Okay, so here let's multiply the number 0.44 by 10 and 100. Are you ready for that?",00:00:59
byvprdh,17,student,Yeah.,00:01:10
byvprdh,18,tutor,"So if you are going to multiply a number by a 10, Lachlan, what you have to do is you have to move each of its digits one place to your left side. Do you understand that?",00:01:11
byvprdh,19,student,Yeah. [unclear],00:01:26
byvprdh,20,tutor,"Okay, so the 4 which is in the tens column, if it moves one place to your left, it will go to the ones column. Is that part clear?",00:01:27
byvprdh,21,student,Yeah.,00:01:39
byvprdh,22,tutor,"The 4 which is in the hundreds column, the one over here, if it moves one place to the left, that will go into the tens place.",00:01:41
byvprdh,23,tutor,"So what is your new answer, Lachlan?",00:01:52
byvprdh,24,student,[unclear],00:01:56
byvprdh,25,tutor,What is your answer now?,00:01:57
byvprdh,26,student,"Um, 4.4.",00:02:01
byvprdh,27,tutor,Yes. So did you understand how to do a multiplication with a decimal number?,00:02:04
byvprdh,28,student,Yeah.,00:02:10
byvprdh,29,tutor,"So we are going to do a similar work on our second question. Okay, here you are going to multiply it by 100. So Lachlan, can you tell me what do you have to do?",00:02:11
byvprdh,30,tutor,There you go. What do you have to do when you multiply by 100?,00:02:23
byvprdh,31,student,So you kind of add a zero at the end.,00:02:32
byvprdh,32,tutor,So what would be your answer?,00:02:37
byvprdh,33,student,4.40?,00:02:42
byvprdh,34,tutor,"Not really, Lachlan.",00:02:45
byvprdh,35,tutor,"So as you're working with that, I know that will not work out. Okay, so when you're working with decimal numbers, Lachlan, you have to move the digits, not just adding a 0 would work out. Is that clear?",00:02:47
byvprdh,36,student,Yeah.,00:03:01
byvprdh,37,tutor,"So if you're multiplying by 100, Lachlan, you have to move this digit 2 places, so it will move into the tens column. Is that clear?",00:03:03
byvprdh,38,student,Yeah.,00:03:15
byvprdh,39,tutor,"So the 4 which is in the hundredths place, if it moves 2 places to the left, that would reach the ones column. So what is this number? [unclear] What is the number that you have got now?",00:03:15
byvprdh,40,student,4.41.,00:03:32
byvprdh,41,tutor,"Sorry, this 1 is not over there. Okay.",00:03:34
byvprdh,42,student,4.41. So how do you read that? Read it as 44. Is that clear?,00:03:38
byvprdh,43,student,Yeah.,00:03:46
byvprdh,44,tutor,"Okay, so let's move on to the second question. To multiply by 100, Lachlan, how many places did I move this digit? Did I move one place to the left or two places to the left when I multiplied by 100? [unclear]",00:03:47
byvprdh,45,tutor,So that's still a—,00:04:07
byvprdh,46,background,Yeah.,00:04:08
byvprdh,47,tutor,"Yes. So can you try a similar question here, Lachlan?",00:04:09
byvprdh,48,student,"Yeah, you can try.",00:04:13
byvprdh,49,tutor,"Yeah. Okay, go ahead. [unclear]",00:04:15
byvprdh,50,student,So this will be—,00:04:22
