session_id,utterance_id,role,content,timestamp
ccwsqpe,0,background,[unclear],00:00:00
ccwsqpe,1,tutor,"Hi, Callum. How are you?",00:00:00
ccwsqpe,2,student,Good.,00:00:02
ccwsqpe,3,tutor,Okay. All right. So how has your day been?,00:00:04
ccwsqpe,4,student,Good.,00:00:09
ccwsqpe,5,tutor,And do you know something? This is going to be our last session.,00:00:11
ccwsqpe,6,student,Yeah?,00:00:15
ccwsqpe,7,tutor,Yeah.,00:00:18
ccwsqpe,8,student,How do you feel about that?,00:00:18
ccwsqpe,9,tutor,Surprised.,00:00:22
ccwsqpe,10,student,"Surprised. Okay, not worried, is it?",00:00:25
ccwsqpe,11,tutor,"No, I'm confident that I'm going to do well. [unclear]",00:00:30
ccwsqpe,12,student,Sorry?,00:00:37
ccwsqpe,13,tutor,I'm still confident that I'm going to do well.,00:00:38
ccwsqpe,14,tutor,"Okay. All right, so let's get started with where we stopped last week, shall we?",00:00:47
ccwsqpe,15,student,Yeah. [unclear],00:00:53
ccwsqpe,16,tutor,"Okay, can you read the topic?",00:00:56
ccwsqpe,17,student,"Knowing the value of each digit in numbers up to 1,000.",00:00:59
ccwsqpe,18,tutor,"Alright, so we have to be starting from the You Do slide on this topic. So that will be this one. Okay?",00:01:09
ccwsqpe,19,student,"Yeah. [unclear] There are hundreds, tens, and ones column. Which number is shown? How many tens are there? Which number is shown?",00:01:20
ccwsqpe,20,student,"So, the number that is shown, I'm going to go back to text, sorry. I was just doing shapes. So, it is [unclear]",00:01:37
ccwsqpe,21,tutor,"And then, how many tens are there? [unclear]",00:02:06
ccwsqpe,22,tutor,Well done. Can we try the next one? [unclear],00:02:14
ccwsqpe,23,tutor,Hello?,00:02:46
ccwsqpe,24,student,Yes?,00:02:46
ccwsqpe,25,tutor,Okay.,00:02:47
ccwsqpe,26,student,What happened?,00:02:49
ccwsqpe,27,tutor,"Sorry, it's just the screen went—",00:02:51
ccwsqpe,28,tutor,I was trying to read.,00:02:54
ccwsqpe,29,student,"We got reconnected. All right, can we try the next one?",00:02:57
ccwsqpe,30,tutor,"Okay. So, this one, which number I should— well, I know there are 600, so 600.",00:03:01
ccwsqpe,31,student,And... hmm... 8.,00:03:21
ccwsqpe,32,tutor,So 6 and 5.,00:03:29
ccwsqpe,33,student,680. 680. And then...,00:03:33
ccwsqpe,34,tutor,How many hundreds?,00:03:50
ccwsqpe,35,student,[unclear],00:03:51
ccwsqpe,36,tutor,Yes.,00:03:55
ccwsqpe,37,student,[unclear],00:03:56
ccwsqpe,38,tutor,"How many hundreds are there? There are 600. Yep, there are 600. Where is my finger? Yeah, my finger's there. [unclear]",00:03:58
ccwsqpe,39,tutor,Can you type it?,00:04:13
ccwsqpe,40,student,"Yeah, I can type it. [unclear] 600s.",00:04:18
ccwsqpe,41,tutor,"Oh, that makes it sound like there's 6,000. No, there's 6. [unclear]",00:04:29
ccwsqpe,42,tutor,"All right, fantastic job. Let's try the next one now.",00:04:45
ccwsqpe,43,student,"Okay. Well, making rhymes is definitely worth [unclear]",00:04:51
ccwsqpe,44,tutor,923. The digit 2 is worth 20.,00:05:14
ccwsqpe,45,student,"Oh, now I understand what it means. It means 900... [unclear]",00:05:19
ccwsqpe,46,student,Yes. [unclear],00:05:33
ccwsqpe,47,tutor,"Okay, that's fine. All right, amazing work done in removing the session. Keep up the good work, and now let's work on the goal further, okay?",00:06:07
ccwsqpe,48,student,Yeah.,00:06:18
ccwsqpe,49,tutor,"Okay. So, A counter is missing on the place value chart. 301. So I could draw that as— I'm going to do it all together. So I'm just going to do 3 [unclear] 3, [unclear] 0, [UNCLEAR], 1.",00:06:19
ccwsqpe,50,tutor,"Give 3 possibilities, okay? A counter is missing on the place value chart, and they want you to write 3 possibilities. So it can't be a 0, okay? So...",00:06:19
ccwsqpe,51,student,"Okay. You can add one counter. So let's say this is the counter. So you can add that to the hundreds column, or maybe you can add to the tens column or the ones column. So what would the three different possibilities be?",00:07:16
ccwsqpe,52,student,[unclear],00:07:31
ccwsqpe,53,tutor,"There are three different possibilities. It could be 401,",00:07:32
ccwsqpe,54,tutor,"Okay, you can type that in. [unclear]",00:07:43
ccwsqpe,55,student,401. It could have been—,00:07:49
ccwsqpe,56,tutor,Yes.,00:07:57
ccwsqpe,57,student,"311. It could have been—...302. So, I did that all in one space, so I can just take that out. And then, there would be another possibility, but I'm not going to do it.",00:07:59
ccwsqpe,58,tutor,So you just have to work out what [unclear] is.,00:08:26
ccwsqpe,59,student,I'm kind of like losing my points right now.,00:08:29
ccwsqpe,60,tutor,them together.,00:08:29
ccwsqpe,61,student,"Okay, yeah. So... I think that is the [unclear] possibility.",00:08:29
ccwsqpe,62,tutor,"Yeah, okay. Can you read your answers?",00:08:40
ccwsqpe,63,background,Yeah.,00:08:46
ccwsqpe,64,tutor,Good.,00:08:49
ccwsqpe,65,background,"401, 311, and 302.",00:08:51
ccwsqpe,66,tutor,"Yeah, okay. Excellent job done in working that out.",00:08:55
ccwsqpe,67,tutor,So let's move on to the next. Okay. [unclear],00:09:01
ccwsqpe,68,student,Yeah.,00:09:15
ccwsqpe,69,tutor,Okay. So let's see. The next topic would be— [unclear] of 40.,00:09:16
ccwsqpe,70,tutor,Yeah.,00:09:29
ccwsqpe,71,student,"So then we have to do 40 divided by 5, which would be 8. [unclear]",00:09:29
ccwsqpe,72,tutor,"Sorry, sorry.",00:09:39
ccwsqpe,73,background,So what we have to do—,00:09:41
