session_id,utterance_id,role,content,timestamp
cdjhcvv,0,tutor,Hello.,00:00:00
cdjhcvv,1,student,[unclear],00:00:00
cdjhcvv,2,tutor,Hello.,00:00:02
cdjhcvv,3,student,"Hello, Cedric. Can you hear me?",00:00:04
cdjhcvv,4,tutor,"Yes. Hi, Cedric. How are you?",00:00:05
cdjhcvv,5,student,Good.,00:00:08
cdjhcvv,6,tutor,And how was your day today?,00:00:10
cdjhcvv,7,student,Good.,00:00:12
cdjhcvv,8,tutor,Okay. So welcome to today's session. So would you like to share with me anything?,00:00:13
cdjhcvv,9,student,No.,00:00:21
cdjhcvv,10,tutor,"Okay, so we were here after a long vacation, right?",00:00:22
cdjhcvv,11,student,Yeah.,00:00:26
cdjhcvv,12,tutor,"Okay, I hope you enjoyed the vacations.",00:00:28
cdjhcvv,13,student,[unclear] Yeah.,00:00:30
cdjhcvv,14,tutor,"Okay, great. So before starting the lesson, do you have any question?",00:00:33
cdjhcvv,15,student,No.,00:00:39
cdjhcvv,16,tutor,"Okay, so remember we were doing these questions.",00:00:41
cdjhcvv,17,student,Yeah.,00:00:46
cdjhcvv,18,tutor,"According to the topics, right?",00:00:46
cdjhcvv,19,student,Yeah.,00:00:49
cdjhcvv,20,tutor,So today we will discuss about looking at patterns using a multiplication square.,00:00:49
cdjhcvv,21,student,Okay.,00:00:57
cdjhcvv,22,tutor,"So would you like to tell me, have you learned the topic before? [unclear]",00:00:57
cdjhcvv,23,tutor,"Yes, Cedric?",00:01:10
cdjhcvv,24,student,No.,00:01:11
cdjhcvv,25,tutor,"Okay, so do you know anything about what do you mean by patterns and the multiplication square? Anything?",00:01:13
cdjhcvv,26,student,No.,00:01:21
cdjhcvv,27,tutor,"Okay, so the pattern means the questions are— must be denoting some patterns, like maybe they are increasing by some fixed number, maybe they are decreasing by some fixed number, but maybe they are multiplying by the same value, right? [Speaker:Cedric]... [UNCLEAR]",00:01:23
cdjhcvv,28,tutor,"Yeah, so these are called the patterns. And what do you mean by the multiplication?",00:01:40
cdjhcvv,29,student,Timetables.,00:01:47
cdjhcvv,30,tutor,Sorry?,00:01:53
cdjhcvv,31,student,The timetables.,00:01:54
cdjhcvv,32,tutor,"Yes, we can see the timetables. Okay, that's great. You know the things. That's very good, sorry, Cedric. Okay, so let's try the learning goal question. Okay?",00:01:56
cdjhcvv,33,student,Okay.,00:02:10
cdjhcvv,34,tutor,So let's see. This is kind of a warm-up question for you. Okay?,00:02:11
cdjhcvv,35,student,Okay.,00:02:16
cdjhcvv,36,tutor,So let's see. Can you read the question for me first?,00:02:17
cdjhcvv,37,student,4 multiplied by 7.,00:02:21
cdjhcvv,38,tutor,Mm-hmm. So what do you think? [unclear],00:02:24
cdjhcvv,39,tutor,"Okay, fantastic. So you mean the number is?",00:02:44
cdjhcvv,40,student,28.,00:02:50
cdjhcvv,41,tutor,"Okay, and you know the tools, right? Okay, fantastic. So yes, so can we represent this as a 4 multiplied by 7, which is equal to the 28, correct?",00:02:52
cdjhcvv,42,student,Yeah.,00:03:07
cdjhcvv,43,tutor,"Okay, if I add these questions, if I change the 7 and 4, like I swapped it, and instead of 4 I will write 7, and instead of 7 I will write 4, what do you think? What will be the answer? [unclear] The same, right?",00:03:07
cdjhcvv,44,student,Yeah.,00:03:33
cdjhcvv,45,tutor,"So what we see in the multiplication, if we swap the numbers, the answer doesn't get changed, correct?",00:03:34
cdjhcvv,46,student,Yeah.,00:03:42
cdjhcvv,47,tutor,So this is called a commutative law. Okay?,00:03:44
cdjhcvv,48,student,Okay.,00:03:48
cdjhcvv,49,tutor,"C-O-double-M— sorry, C-O-double-M-U-T-A-T-I-V-E law. Okay?",00:03:50
cdjhcvv,50,student,Okay.,00:03:59
cdjhcvv,51,tutor,"This is called the commutative law, in which we— when we can swap the numbers around and still get the same answer when you add or multiply. Okay?",00:04:00
cdjhcvv,52,student,Okay.,00:04:13
cdjhcvv,53,tutor,"You see, when we multiply, but when we are adding these, when we add 4 and 7 together, what we will get? 11.",00:04:13
cdjhcvv,54,student,"Yeah. Then we swap the numbers. Instead of 4, we write the first 7 and then 4. Still we get 11. Okay?",00:04:23
cdjhcvv,55,student,Okay.,00:04:32
cdjhcvv,56,tutor,So this commutative law works only for the multiplication and addition. Done?,00:04:33
cdjhcvv,57,student,Okay.,00:04:40
cdjhcvv,58,tutor,"It will not work for the multiplication. Okay? Let's see. When we take out 4 from 7, do you think you can get Can you take the 7 from 4? [unclear]",00:04:41
cdjhcvv,59,tutor,Yeah. Would you like to recheck? Can you take a larger number from a smaller number?,00:04:55
cdjhcvv,60,student,No.,00:05:01
cdjhcvv,61,tutor,"No, right? So answer must be in the negative term, correct?",00:05:02
cdjhcvv,62,student,Yeah.,00:05:07
cdjhcvv,63,tutor,"Yes. But we can take the 7, right?",00:05:08
cdjhcvv,64,student,Yeah.,00:05:14
cdjhcvv,65,tutor,"But we get the different answers, right?",00:05:15
cdjhcvv,66,student,Yeah.,00:05:18
cdjhcvv,67,tutor,"This is -3 and 3. So we see that only for the times and the addition, the commutative law works. [unclear]",00:05:20
cdjhcvv,68,student,Okay.,00:05:28
cdjhcvv,69,tutor,That's it. I really appreciate the way you solved the question. So we are going to move to the other slide. Okay?,00:05:31
cdjhcvv,70,student,Okay. So let's check what we can do in the You Do Slide questions.,00:05:42
cdjhcvv,71,student,"All the following, use the multiplication square to help if you wish.",00:05:51
cdjhcvv,72,tutor,Mm-hmm.,00:05:58
cdjhcvv,73,student,A book costs £5. How much do 6 books cost?,00:06:01
cdjhcvv,74,tutor,Fantastic. But would you like to recheck it? Do you think you need to add something?,00:06:27
cdjhcvv,75,tutor,"The answer is correct, but we need to add [UNCLEAR]. You can find in the symbol tool. Did you find it, Cedric? [unclear]",00:06:37
cdjhcvv,76,tutor,"Okay, fantastic. So how many pounds we need for buying the 6 books?",00:07:07
cdjhcvv,77,student,30 pounds.,00:07:24
cdjhcvv,78,tutor,"30 pounds, correct. Okay, can you tell me what is the calculation you needed to complete?",00:07:26
cdjhcvv,79,student,6 times 5.,00:07:32
cdjhcvv,80,tutor,"Or we can do 5 times 6 as well, correct?",00:07:35
cdjhcvv,81,student,Yeah.,00:07:38
cdjhcvv,82,tutor,"Okay, can you see there is a multiplication square grid there, right?",00:07:39
cdjhcvv,83,student,Yes.,00:07:45
cdjhcvv,84,tutor,"So can you see the multiplication square to help you? Like, what do you think? Can you use this grid to— So all the answers. [unclear] Can you use your pointer and explain me how you can use this tool?",00:07:46
cdjhcvv,85,student,"Number 3, 4, 5, 6, 7, 8, 9, 10.",00:08:03
cdjhcvv,86,tutor,Mm-hmm. How you will work on it for getting the answers? [unclear],00:08:11
cdjhcvv,87,tutor,"Okay, fantastic. So it means when we go down, we need to look at for the 5 to cross 6, correct?",00:08:28
cdjhcvv,88,student,Yeah.,00:08:38
cdjhcvv,89,tutor,"And when we are going across it, so we need to look for 5 times 6.",00:08:40
cdjhcvv,90,tutor,"That's a good observation. So we get the 30. Well done. Okay, can we move to the B question? [unclear]",00:08:47
cdjhcvv,91,student,Circles are numbers that are multiples of 4.,00:09:03
cdjhcvv,92,tutor,"You can use the Shape tool, or if you want to use a draw, you can use it.",00:09:12
