session_id,utterance_id,role,content,timestamp
cgatgxk,0,tutor,"Hello, can you hear me?",00:00:00
cgatgxk,1,student,[unclear] [unclear],00:00:17
cgatgxk,2,tutor,This. This.,00:00:25
cgatgxk,3,student,"Yeah, can you hear me?",00:00:26
cgatgxk,4,tutor,It locked me out.,00:00:29
cgatgxk,5,student,"Oh, okay.",00:00:31
cgatgxk,6,tutor,"You're on there, you're there at the top, that's why.",00:00:34
cgatgxk,7,student,Oh.,00:00:36
cgatgxk,8,background,Say hello.,00:00:41
cgatgxk,9,tutor,Hello.,00:00:43
cgatgxk,10,student,"Hello, can you hear me?",00:00:44
cgatgxk,11,background,Yeah.,00:00:46
cgatgxk,12,tutor,Can you hear them?,00:00:46
cgatgxk,13,tutor,"Alright, so how are you doing today?",00:00:47
cgatgxk,14,student,[unclear] I'm good.,00:00:49
cgatgxk,15,tutor,"Okay, so shall we get started with today's lesson?",00:00:52
cgatgxk,16,student,Okay.,00:00:56
cgatgxk,17,tutor,"Yes, what is the lesson for today? Can you read the topic of it?",00:00:57
cgatgxk,18,student,Comparing numbers with up to 2 decimal places using money.,00:01:02
cgatgxk,19,tutor,"Exactly right. So today we are going to learn about how we can compare numbers that involve money, okay? Caspian. So last time, actually, before we ended the session, we completed these two questions. So straight away today, let's go for the next slide, okay?",00:01:11
cgatgxk,20,tutor,Okay.,00:01:29
cgatgxk,21,background,Can you read the statement given here?,00:01:30
cgatgxk,22,student,"When we— when comparing numbers with up to two decimal places, we can think about them as amount of money.",00:01:35
cgatgxk,23,tutor,"Yeah, right. So what do they say here? Now here you have— what is this number? Can you read it?",00:01:48
cgatgxk,24,student,1.4.,00:01:54
cgatgxk,25,tutor,1.4. What is this number?,00:01:57
cgatgxk,26,student,1.32.,00:01:59
cgatgxk,27,tutor,"Okay, this one we read it as 1 point—",00:02:02
cgatgxk,28,student,1.32.,00:02:06
cgatgxk,29,tutor,"32, exactly, right? So you, as you can see here, now this, uh, the second number It has 2 decimal places, whereas the first one only has 1 decimal place, right?",00:02:09
cgatgxk,30,tutor,Yeah.,00:02:20
cgatgxk,31,student,"So how would you compare these 2 numbers now? That's the problem, okay? So here they have given like, you can either use the place value chart. If you can, you can directly compare here. Otherwise, using this place value chart also, you can compare like which one is larger, which one is smaller.",00:02:21
cgatgxk,32,tutor,Okay. [unclear],00:02:39
cgatgxk,33,student,This one is larger.,00:02:50
cgatgxk,34,tutor,"Mm-hmm. Okay, how did you decide that? Because as you can see here, now if you think this is like 4 and this is 32, then you will be confused. But here we have to think this in in terms of the decimal places, right? That's why they have given the tens and the hundreds. Whereas here you have 4 tens, but here you have only 3 tens, right? That's why it's larger, 1.4. As you said, it is larger, right? So this is how we show it.",00:02:52
cgatgxk,35,student,[unclear],00:03:26
cgatgxk,36,tutor,"Even though now this does not have any hundreds, still the tens are larger than the hundreds, right? [unclear] Okay, so we are done with that. Now let's move to the Follow Me section. So it says here, let's compare 3.5 and 3.05 using greater than, less than, or equal. So write the number as money values and write it in pounds. Okay, we have to write it in pounds now. So 3—",00:03:27
cgatgxk,37,student,"Okay, let me write it down.",00:03:58
cgatgxk,38,tutor,"Yes, of course you can. [unclear] [unclear]",00:04:00
cgatgxk,39,tutor,"Okay, done, right? Now here we have written this in terms of tens and hundreds, so here now we One tenth means 10 piece, okay? When we like talk it in terms of money. And then there are no 10 piece here, right? So how would you compare these two? Which one is larger? Which one is smaller? [unclear]",00:04:48
cgatgxk,40,tutor,"Can you hear me, Linnea?",00:05:15
cgatgxk,41,tutor,"Okay, can you hear me now, Linnea? Hello, can you hear me? Hello? Hello? [unclear]",00:06:43
cgatgxk,42,background,I can't hear you.,00:06:57
cgatgxk,43,tutor,Hello? Can you hear me? [unclear],00:07:13
cgatgxk,44,tutor,"Hello, are you there? Can you hear me? [unclear] [unclear]",00:07:30
cgatgxk,45,tutor,"I can't hear you, Linnea.",00:07:54
cgatgxk,46,student,Hello?,00:08:17
cgatgxk,47,tutor,"Can't hear you now. Can you refresh the page again? Can you refresh the page once again? Once you just got disconnected and connected back again, I couldn't hear you.",00:08:22
cgatgxk,48,tutor,[unclear] Hello.,00:09:08
cgatgxk,49,tutor,"Hello, can you hear me now?",00:09:11
cgatgxk,50,student,"Yes, I can. [unclear]",00:09:13
cgatgxk,51,tutor,"Okay, all right. Yes, I can hear you now. [unclear]",00:09:16
cgatgxk,52,student,I was done with this one.,00:09:20
cgatgxk,53,tutor,"Okay, all right.",00:09:28
cgatgxk,54,tutor,"Okay, so we are done with that?",00:09:37
cgatgxk,55,student,"Yes, correct.",00:09:38
cgatgxk,56,tutor,"So, well done. [unclear]",00:09:40
cgatgxk,57,student,Okay.,00:09:46
cgatgxk,58,tutor,"So, can you work on this question all by yourself? Can you do it alone?",00:09:50
cgatgxk,59,student,"Okay. A equals 48, and then I add 8. [unclear] Which is 16. 4 times 8, which is 32.",00:09:56
cgatgxk,60,tutor,"Okay, so this 2.2 is going to be larger than 2.15. Yes, correct. So there's a tool actually in the toolbox also, so you can, from the same numbers, you can pick up if you want this tool. Or else even in the keyboard you have the tool, okay? Otherwise you can draw it, of course, no worries. Okay, so let's move to the doodle slide, okay? So here we have 4 questions. Which one do you want to try out first?",00:10:40
cgatgxk,61,tutor,First one.,00:11:13
cgatgxk,62,student,"Okay, let's do it. Let me take the pointer, okay? Okay. [unclear] [unclear]",00:11:15
cgatgxk,63,tutor,"Oh, interesting.",00:11:21
cgatgxk,64,student,Yeah.,00:11:30
cgatgxk,65,tutor,Okay. [unclear],00:11:32
cgatgxk,66,tutor,"It's okay, you can use the draw tool if it is too difficult. No worries. [unclear]",00:12:02
cgatgxk,67,tutor,That would be 5 minutes.,00:12:13
cgatgxk,68,student,Thank you. [unclear],00:12:16
cgatgxk,69,tutor,"Okay, so we are done. Fantastic job there, Linnea, right? So you have understood the concept now. So we know how to compare decimeters by using money as decimals, okay?",00:13:18
cgatgxk,70,tutor,"So then with that, we can move to the final slide of this lesson. Okay, what's the question? Can you read it?",00:13:32
cgatgxk,71,student,Would you rather have 6... 60... 6... 6... 20p or 20... 23p?,00:13:43
cgatgxk,72,student,[unclear],00:13:59
cgatgxk,73,tutor,Uh-huh.,00:13:59
cgatgxk,74,student,Would you write that?,00:14:03
cgatgxk,75,tutor,It's 20 pence.,00:14:09
cgatgxk,76,student,Yeah.,00:14:12
cgatgxk,77,tutor,"Or 23 5p. Now here, pence means the pence, okay? The ones that we use to like, you know, we have pounds and pence, right?",00:14:13
cgatgxk,78,tutor,"So here the P's are those pence, and they are asking you, would you rather have 6 20p or else 23 5p? Okay, so which would give you the greatest amount? What do you think? So first you have to find out how much is 6 20p and how much is 23 5p. Okay, so you have to find out the amount separately, and then you can compare which one would give you the greatest amount.",00:14:25
cgatgxk,79,student,So I would rather have 6 20ps.,00:14:57
cgatgxk,80,tutor,Mm-hmm.,00:15:06
cgatgxk,81,student,Because the 10s is more bigger than the hundreds. So if I—,00:15:07
cgatgxk,82,tutor,"So here— [unclear] Let me just give you a hint. So here you have to find the exact amounts. How much is exactly 620 pieces? Okay. And how much is exactly 23 5-pieces? Because there must be a twist and a turn that you would not expect. Okay, that's why. So can you find it out? How much is that? [unclear]",00:15:16
cgatgxk,83,tutor,How would you find it out? Any idea?,00:15:47
cgatgxk,84,student,[unclear],00:15:53
cgatgxk,85,tutor,"23 pens. So you have to do times in here. 23 times 5 would give you how many pens are there, right? And the next one is 20 times 6. How much would each give you?",00:15:53
cgatgxk,86,student,Okay.,00:16:12
cgatgxk,87,tutor,Did you get this one? Did you understand this part?,00:16:17
cgatgxk,88,student,Yeah.,00:16:21
cgatgxk,89,tutor,How much it would give you?,00:16:21
cgatgxk,90,student,[unclear],00:16:22
cgatgxk,91,tutor,Okay. [unclear],00:16:23
cgatgxk,92,tutor,So that would be 5. 30. 34.,00:16:45
cgatgxk,93,student,"Yeah, so I think that's inside. [unclear]",00:16:58
cgatgxk,94,student,"Yes, you might get [UNCLEAR]. [Speaker:TUTOR] I'm done.",00:17:09
cgatgxk,95,student,"Okay, how much did you get?",00:17:16
cgatgxk,96,tutor,"For the first one, I got 115, and for the second one, I got 120.",00:17:18
cgatgxk,97,student,"Okay, right. So the next thing is, now that is in pens, right? So then we can like just as 120p, and then this one is 115, right? So you must be able to convert this into decimals because we were dealing with decimals here. Any idea how we can convert this into decimals? Like, we need to convert this into pounds. [unclear]",00:17:25
cgatgxk,98,student,"Oh, I know what it's going to be.",00:17:54
cgatgxk,99,tutor,Okay. So it's going to be— [unclear],00:17:58
cgatgxk,100,tutor,"Okay, well done. Now this is £1.15, okay? Yes, good job. Next one. [unclear] All right, fantastic. Now which one would give you the greatest amount?",00:18:28
cgatgxk,101,student,"The— this one. This one, right?",00:18:45
cgatgxk,102,tutor,Yeah.,00:18:52
cgatgxk,103,student,"Of course, it would give us the greatest amount. So then we have done everything. So they have asked us to write the amounts in pounds and circle the greatest amount. So we have done all of it. So only thing is here we have to add the, uh, the units pounds. So we can add it from the symbols too, like this, and here also we can add it. Okay. That's it. So we are done. All right. Hope you understood it.",00:18:52
cgatgxk,104,student,Yeah.,00:19:20
cgatgxk,105,tutor,Okay. So then we are done with that lesson. So we can move on to another one now. Let's see what we have next. Okay. What is this next lesson?,00:19:22
cgatgxk,106,student,"Multiplying and dividing false numbers and decimals by [UNCLEAR]. Yeah, so this lesson is somewhat related to the previous one, so it also has decimals, but most importantly it has whole numbers as well. So we are going to multiply and divide now, right? 5,900. So let's see what happens when we multiply a number. So can you try out this question, the learning goal one, please?",00:19:37
cgatgxk,107,student,[unclear],00:20:05
cgatgxk,108,tutor,Yes. [unclear],00:20:23
cgatgxk,109,student,This one would be 3. [unclear],00:20:25
cgatgxk,110,tutor,"Okay. So is that your answer? All right. So this one, now what happens is,",00:20:57
cgatgxk,111,tutor,"So when you times a number by 100, so this number, it does not change the values, the digits, they do not change. Only thing happen is this number becomes 100 times bigger. Okay, so if it is 2, it becomes 200. If this is 6, like 0.06, then it becomes 6. Like that. So the number, if the value of it becomes 100 times bigger. Okay? So it's okay. We can learn about that. So can you guess what happens here? Can you first write the number shown here? And then we will see what happens to it when we divide it by 10. Okay?",00:21:03
cgatgxk,112,student,[unclear],00:21:41
cgatgxk,113,tutor,Can you type the number that is shown by this place value chart? [unclear],00:21:43
cgatgxk,114,tutor,"Okay, 41.2, right? So now you're going to divide this by 10. What do you think will happen if you divide a number by 10?",00:22:11
cgatgxk,115,tutor,Any idea? [unclear],00:22:33
cgatgxk,116,student,Linnea can't hear you. Can you hear me? [unclear],00:22:45
cgatgxk,117,tutor,"Hello, can you hear me?",00:23:00
cgatgxk,118,student,"Hello, can you hear? Okay. So I can't hear you.",00:23:11
