session_id,utterance_id,role,content,timestamp
chcizqy,0,tutor,Hello again. [unclear],00:00:00
chcizqy,1,student,Hello.,00:00:02
chcizqy,2,tutor,Can you hear me?,00:00:02
chcizqy,3,student,I was literally trying to draw something and then— okay.,00:00:05
chcizqy,4,tutor,"Alright, so how have you been doing today?",00:00:13
chcizqy,5,student,"Good, so like at the start of the day I walked in school and we were doing my happy minds and I had to go to the doctor because last week I went to the doctor and they said I have a chest infection and I have to cough it out and so my cough has calmed down and then I went to the doctor today. [unclear]",00:00:18
chcizqy,6,tutor,Yes?,00:00:39
chcizqy,7,student,So.,00:00:42
chcizqy,8,tutor,Okay.,00:00:43
chcizqy,9,student,And then—,00:00:44
chcizqy,10,tutor,That's how we get back to [UNCLEAR].,00:00:44
chcizqy,11,student,"Wait, can I— and then we had maths. And then we had lunch, and now we're doing Karakata practice, and now I'm with you.",00:00:44
chcizqy,12,tutor,"Okay, so let's get started, shall we?",00:00:55
chcizqy,13,student,"Yeah. Oh wait, can I answer this question?",00:00:59
chcizqy,14,tutor,"Yes, sure.",00:01:03
chcizqy,15,student,"Yes. [unclear] Oh yeah, I'll go in front in order. [unclear]",00:01:04
chcizqy,16,student,"9,336.",00:01:26
chcizqy,17,tutor,"Yes, that's right, Marnie. Good job. Can you just explain to me how you had gotten your answer?",00:01:29
chcizqy,18,student,"So first what I did, first what I did, I did 4 times 4 which gave me 16, times another 1, and 4 times 3 which is 12. 3, added the 1. 4 times 3, I did the exact same that I did before and did 4 times 2 which is 8 and then added the 1. Now this will complete the calculation by using 6 times 6 using the array area model.",00:01:34
chcizqy,19,tutor,"Since you answered the learning goal question, it wouldn't be necessary for you to answer the prior learning question. You can actually go all the way to the YouTube slide. Alright? So here you have to solve these calculations using the short multiplication just like you did in the introduction slide.",00:01:55
chcizqy,20,student,[unclear] give it a go. You can use this space for any of your calculations.,00:02:12
chcizqy,21,student,"Okay, let me just write it down. [unclear] And 63. Mind that it's not in the squares as it should be because we're limited, as you know. Yeah?",00:02:18
chcizqy,22,tutor,"Yeah, that's completely correct.",00:02:35
chcizqy,23,student,"Yeah, okay. And then in here where the 3 is, you have to put your 3 there because we're doing a long Multiplication, the thing is, like, you grab your shapes, grab the line, grab your purple. [unclear]",00:02:37
chcizqy,24,tutor,"Wait, no, we're doing short multiplication, not doing long. I almost— I got you. [unclear]",00:03:00
chcizqy,25,tutor,"Okay, let's just do this. Okay, so let me just quickly answer this. 4 times 3 is 9.",00:03:15
chcizqy,26,student,Mm-hmm. [unclear],00:03:29
chcizqy,27,tutor,"7, 8, 9.",00:03:46
chcizqy,28,student,"Yes, that's right, Marnie. Good job.",00:03:53
chcizqy,29,background,I can't believe I just got tricked by doing long multiplication.,00:03:55
chcizqy,30,tutor,That's completely fine as long as you have figured out what you were supposed to do correctly. [unclear],00:04:00
chcizqy,31,student,That's not mine.,00:04:20
chcizqy,32,tutor,"Oh, sorry, Miss. Sorry that I said that, not mine, because the teacher— there was like a little chocolate wrapper on the floor and she asked who was that and I said not mine because I don't have chocolate. I don't have chocolate.",00:04:23
chcizqy,33,tutor,Don't mind.,00:04:39
chcizqy,34,student,"Don't mind, that's my friend. But anyway, I love multiplication. Audio, vision is one of them. I don't know why. [unclear]",00:04:40
chcizqy,35,background,"Marnie, I think you could use these classroom tools in order to write your numbers.",00:04:53
chcizqy,36,student,"Okay. Are you going to— I'll just use it on the other page, I think, because the mouse is— okay, but I do know the answer. As long as we get the answer, it's perfect.",00:05:06
chcizqy,37,tutor,"Yes, that's the— [unclear]",00:05:19
chcizqy,38,background,"Yes, that's right, Marnie. And also, could you please add the commas for the number?",00:05:23
chcizqy,39,student,Pardon?,00:05:30
chcizqy,40,background,Could you add the correct comma in the correct place? [unclear],00:05:31
chcizqy,41,student,"And I was like, huh? We don't need a sign number.",00:05:38
chcizqy,42,tutor,"Yes, that's right, Marnie. Good job. Now moving on to the singing part.",00:05:45
chcizqy,43,student,"The singing part. I've got a certain song that in the choir, it's like we're doing a choir concert and it's next week, and I've got this song stuck in my head. It's like a really good song. It's like really good, like if you were at our school, you'll be like, ""I love this song."" [unclear]",00:05:49
chcizqy,44,student,[unclear],00:06:11
chcizqy,45,student,There we go. [unclear],00:06:31
chcizqy,46,tutor,And then you—,00:06:33
chcizqy,47,student,3 times 3 is 9.,00:06:35
chcizqy,48,tutor,Is that right?,00:06:41
chcizqy,49,student,"4 times 3 is 12. 3 times 1 is 3, add the 1, add the 4. This pen is not good. I hate this pen. 9,429. Wait, I mean, you've got a good old comma. I need to add a good old comma there.",00:06:44
chcizqy,50,tutor,"Yes, that's right, Marnie. So can you just walk me through the steps? What made it easier for you to do this one?",00:07:12
chcizqy,51,student,"It made it easier for me because I need my timetable, like, within like seconds, so because I knew, I know all my timetables and I've got them on boldface. So if you give me any question, even if it's a [unclear] up to my 12th year, I'll answer it.",00:07:18
chcizqy,52,tutor,"Yes, that's really impressive, I would say. Having the timetables by heart would actually come in handy for sums like this.",00:07:33
chcizqy,53,student,"So fill in the missing digits. Oh! I've got this, I've got this. I know what I'm going to do. How do you pronounce your name? [unclear]",00:07:43
chcizqy,54,tutor,Hello?,00:07:59
chcizqy,55,student,Mm-hmm.,00:08:01
chcizqy,56,tutor,I'm going to do like a little method.,00:08:03
chcizqy,57,student,Okay.,00:08:06
chcizqy,58,tutor,"Let me grab my shapes. I'm going to do short multiplication— no, not short. What's it called again? Short division.",00:08:07
chcizqy,59,tutor,"Help me solve this. So because you're timesing by 3, you're going to have to put 3 here. And then you have to put 1, 2— I'm never using the pen, okay? Because it's really [UNCLEAR].",00:08:17
chcizqy,60,student,One comma [unclear],00:08:43
chcizqy,61,tutor,"I just put it like, not like separated, but like put a space bar in between it so we don't get muddled up if we need to do any crossing out. You know what I mean? Okay, so 3 into 1 is 0. So as you can see, it's going to be 3 digits, so we're going to carry this one over. 3 into 12 is 4, so we know this one will be 4. 3 into 6 is... [unclear]",00:08:45
chcizqy,62,student,"Wait, to make sure it's right, make sure it's even. Make sure it's right, what we're going to do, because I like making sure, double-checking if everything's right. First we're going to do 423 times— wait, times— wait, wait, first we're going to double-check, okay? I just didn't know how to— so 3 times 3 is 9, 3 times 2 is 6, 3 times 4 is 12. Yes, we are correct.",00:09:30
chcizqy,63,tutor,Hello?,00:09:59
chcizqy,64,student,Mm-hmm.,00:10:01
chcizqy,65,tutor,So can you just explain how you got your answer?,00:10:03
chcizqy,66,student,"So first, how I got 423 is I did short division, which got me 423, and then I double-checked it by just doing like 3 times 3 is 9, 3 times 2 is 6, 3 times 4 is 12, and then I was like, now you got the right answer, so.",00:10:07
chcizqy,67,student,Yeah.,00:10:29
chcizqy,68,tutor,"Yes, that's right, Marnie. Excellent focus on how you came up with your own strategy in order to answer this question. So is there anything else that you want me to clear from the lesson?",00:10:29
chcizqy,69,student,[unclear],00:10:45
chcizqy,70,tutor,Is there anything else you want me to clear from this lesson?,00:10:47
chcizqy,71,student,Um...,00:10:50
chcizqy,72,tutor,What do you mean by that? Is there anything that you don't understand? I understand everything because it's multiplication and I know multiplication.,00:10:53
chcizqy,73,tutor,"Okay, then we'll move on to our next lesson for the day. Okay, let's see what we've got here. [unclear] Dividing using short division. So would you like to give the learning goal question a go?",00:11:04
chcizqy,74,student,Yes. So 3 into 9. [unclear],00:11:19
chcizqy,75,tutor,Could you move your arrow? Thank you. And then— could you read out the answer for me?,00:11:32
chcizqy,76,tutor,"One second, I just need to finish. [unclear]",00:11:50
chcizqy,77,student,How dare you!,00:11:53
chcizqy,78,tutor,"Yeah, she's going to carry on. So if it was a real answer, it would be 322.666666, etc. But if we wanted to make it short, it would be 322.6.",00:11:59
chcizqy,79,tutor,"It's actually wrong, Marnie. There's a mistake that you have made. Do you think you want to check the answer again?",00:12:16
chcizqy,80,student,"I saw it, I saw it, I saw it. I just found it. Let me just erase all of this. I just found it. [unclear] [unclear]",00:12:22
chcizqy,81,student,It's going to be 312.6.,00:12:49
chcizqy,82,tutor,"No, Marnie, that's actually going to be wrong again. That's completely fine. I really appreciate your effort over here. So how about you maybe try to answer the prior learning question? [unclear]",00:13:11
chcizqy,83,student,What does this one mean? Let me just come up.,00:13:25
chcizqy,84,tutor,Annotate. That means you can draw on each diagram to show 20 divided by 4 in 2 different ways. [unclear],00:13:28
chcizqy,85,tutor,In which two different ways can you divide them?,00:13:40
chcizqy,86,student,Okay. So do we need to use all of the counters?,00:13:53
chcizqy,87,tutor,"Oh, yes, of course. There's 20 counters in one, so you have to divide 20 by 4.",00:13:58
chcizqy,88,student,"Okay. So do all the counters have to— what do the counters work? Do they work tens, ones? [unclear]",00:14:04
chcizqy,89,tutor,"Uh, each counter is going to be ones, I guess.",00:14:13
chcizqy,90,student,"Ones. Okay, I think that made it a lot easier because it kind of looked like they had like 11 on them or something. Okay, 1, 2, [unclear]",00:14:19
chcizqy,91,tutor,"That's completely fine, Marnie. So we'll start off with our prior learning slide. There are two ways to actually think about division. One is sharing and one is grouping. Okay, so 12 divided by 3 has been done in 2 different ways. Now you can see that in total you have 12 cans over here. Can you pay attention over here, Marnie?",00:14:52
chcizqy,92,student,Yeah.,00:15:13
chcizqy,93,tutor,"Okay, so we have 12 cans in total and it should be divided into 3 parts. [unclear] So one they have done is in each part they have 3 cans, right? And over here they have divided all of it into 3 different parts. [unclear] Do you understand? So this one has each 3 parts and over here you have 3 parts in 3 groups in total. So this is sharing and this is known as grouping. Can you see how different they are?",00:15:14
chcizqy,94,student,Pardon?,00:15:49
chcizqy,95,tutor,This is known as grouping and this is known as sharing. Can you see how different they can be?,00:15:52
chcizqy,96,student,"Yeah, because one of them are like going down in columns and then the other one is going like—",00:15:58
chcizqy,97,tutor,"No, no, that's not the difference, Marnie. That is a very basic understanding, but what I'm trying to say is that over here each group has how many cans?",00:16:03
chcizqy,98,student,3.,00:16:16
chcizqy,99,tutor,"3 cans. But over here it has been shared. It has been shared among 3 groups. See over here, okay, Marnie, there's a number 3, right? Division by 3. So over here it has been grouped into 3. Over here has been shared among 3 groups. Okay?",00:16:17
chcizqy,100,student,Yeah.,00:16:43
chcizqy,101,tutor,So can you write grouping and sharing over here?,00:16:44
chcizqy,102,background,"Like, like [unclear] one. Yes, no. Over here, this is what I told you. What did I explain this was, Marnie?",00:16:49
chcizqy,103,student,Sharing. [unclear],00:17:02
chcizqy,104,tutor,"Obviously, if it's not sharing, it's going to be grouping. So I want you to pay close attention. Our lessons are being recorded.",00:17:03
chcizqy,105,student,"It's just that I accidentally looked at the bottom and I thought it was sharing, but then I remember that",00:17:11
chcizqy,106,student,Other questions that have— could have different answers to.,00:17:19
chcizqy,107,tutor,"Over here it has been shared equally between 3, but over here it has been grouped into 3 each. Okay, so this is grouping and this is sharing. Can you now write them down?",00:17:22
chcizqy,108,background,Yeah. [unclear],00:17:39
chcizqy,109,student,As in the numbers.,00:17:39
chcizqy,110,background,"10, 10, 10.",00:17:41
chcizqy,111,tutor,"No, Marnie, just like how they have written grouping and sharing, you just have to write them.",00:17:45
chcizqy,112,student,"Oh, is it— my thing is on capitals.",00:17:50
chcizqy,113,tutor,"That's fine. Good job. [unclear] All right. So now in the B part also, you can see in total you have 8 counters and it has been divided into 3 Now over here they are saying that it should be sharing. So if it's going to be sharing, can you use the shapes tool and tell me how it can be shared among two? [unclear]",00:17:57
chcizqy,114,tutor,Shared among two groups.,00:18:21
chcizqy,115,student,"Oh, okay. Shall I go with this one first? Into two groups.",00:18:26
chcizqy,116,tutor,"We are talking about this one, right?",00:18:38
chcizqy,117,student,"Yeah, here.",00:18:40
chcizqy,118,tutor,"Yes, that's right. Now you have 2 groups and each group has 4. What about grouping? [unclear]",00:18:42
chcizqy,119,student,"If it's grouping, do you want to ungroup some 2?",00:18:49
chcizqy,120,tutor,"Uh-huh. Okay, if it was— wait, wait, wait, wait, wait, wait, wait.",00:19:02
chcizqy,121,student,"Okay, okay.",00:19:10
chcizqy,122,tutor,Would it be like—,00:19:11
chcizqy,123,background,"Okay, so here are some factors— [unclear]",00:19:12
chcizqy,124,tutor,"Isn't it the same thing as sharing what you're doing right now, Marnie? You're literally just making two shared groups. That is wrong. Can you look at what grouping is? Grouping means it has to have—",00:19:17
chcizqy,125,student,Sorry.,00:19:33
chcizqy,126,tutor,"2 in each group, Marnie.",00:19:34
chcizqy,127,student,Okay.,00:19:37
chcizqy,128,tutor,"Yes, that's right. Good job. [unclear]",00:19:38
chcizqy,129,background,Ah.,00:19:46
chcizqy,130,student,Okay. [unclear],00:19:48
chcizqy,131,tutor,"Alright, then let's move on. So now you're going to learn something new again. So we use the formal method of short division when dividing by one-digit number or dividing by a number you know your x tables for. For example, 12x. So over here, 84 is being divided by 4. So how do you think we can solve that?",00:19:55
chcizqy,132,student,You could use short division. So shall I do that?,00:20:23
chcizqy,133,tutor,"Okay, you have to fill in these.",00:20:29
chcizqy,134,student,Okay. [unclear],00:20:33
chcizqy,135,tutor,That's right. [unclear],00:20:38
chcizqy,136,tutor,"Hello? That's right, Marnie. Good job. So now they say 8/10 divided by 4 gives how many tenths?",00:20:58
chcizqy,137,student,It gives you— 8/10 divided by 4 gives you 2/10.,00:21:06
chcizqy,138,tutor,"That's right, Marnie. Great job. Could you write that down? [unclear] And in the next one, 4 ones divided. Yes, that's right. And then finally, 84 divided by 4 gives me 21. Good job. So now we have another similar sum over here where 96 is divided by 3. So could you give it a go?",00:21:15
chcizqy,139,student,Yeah. 3... [unclear],00:21:40
chcizqy,140,tutor,"That's actually going to be wrong, Marnie.",00:21:53
chcizqy,141,student,"Wait, should I do it again?",00:21:56
chcizqy,142,tutor,Mm-hmm.,00:22:02
chcizqy,143,student,"3, 2, 1. Oh, why do I keep on making mistakes? [unclear]",00:22:03
chcizqy,144,tutor,"That's right, Marnie. Good job. So 9/10 divided by 3 gives you 3/10. Exactly. 6/1 divided by 3 gives you 2. That's right. Good job. Yes, that's right. Now can you just walk me through the step that you took in order to complete this math?",00:22:19
