session_id,utterance_id,role,content,timestamp
ciogvmj,0,background,[unclear],00:00:00
ciogvmj,1,tutor,"Hi, Seraphina. Can you hear me?",00:00:00
ciogvmj,2,student,Yes.,00:00:03
ciogvmj,3,tutor,"Thank you. Seraphina, can you hear me?",00:00:04
ciogvmj,4,student,Yes.,00:00:14
ciogvmj,5,tutor,"Hi darling, how are you?",00:00:16
ciogvmj,6,student,Good.,00:00:19
ciogvmj,7,tutor,"Good. Okay, so is this your first lesson in TSG? [unclear]",00:00:19
ciogvmj,8,tutor,"This is your first class, right?",00:00:35
ciogvmj,9,student,Yes.,00:00:38
ciogvmj,10,tutor,"Okay. So we'll learn about [unclear] now before we move on to the lesson. Okay. So let me tell you what makes this special. Actually, like, you'll be learning everything in school.",00:00:40
ciogvmj,11,tutor,"Right, so this is revision. We'll be going through the lessons we have already learned. So we'll be learning everything in detail. For example, now you might do some questions as well, uh, it's in school, but here we'll be doing more in depth. So even if you have some like misunderstandings or any gaps, you can fill that here. So that's the main [unclear] thing that we are doing in EduSpark Tutoring. And also, like, are your friends doing EduSpark Tutoring?",00:01:00
ciogvmj,12,student,"Yeah, actually, I don't know.",00:01:34
ciogvmj,13,tutor,"Yes, you have a lot, right? So you can get some ideas from them as well, right? So we'll learn a lot about this when we go in depth, I mean, in our other classes as well. So, right. The next thing is we'll learn about the tools that are available here. So can you see a small toolbox down there on your screen?",00:01:37
ciogvmj,14,student,Yes.,00:02:01
ciogvmj,15,tutor,Can you tell me what is the first tool that's available here?,00:02:03
ciogvmj,16,student,One with a mouse that says Select.,00:02:08
ciogvmj,17,tutor,"Okay, you can select that. And like, I'll tell you what that tool is next. But before that, can you see something called color?",00:02:14
ciogvmj,18,tutor,Yes.,00:02:24
ciogvmj,19,student,"Yes, can you select that?",00:02:26
ciogvmj,20,tutor,Uh-huh.,00:02:28
ciogvmj,21,student,"Okay, you can see different colors, the colors that you like or the colors that you want to choose to write on the screen. You can choose any colors out of this. And the next one is, let's talk about the point. Can you touch that point and come to the screen?",00:02:30
ciogvmj,22,student,Yeah.,00:02:48
ciogvmj,23,tutor,"Okay, right. Can you see your name? Can you come up to the screen? Click the point tool and come to the screen. [unclear]",00:02:48
ciogvmj,24,student,"Oh, wow.",00:02:57
ciogvmj,25,tutor,"You have your name there. Okay, actually I want to know what your name is. Is it Seraphina or Seraphina?",00:02:59
ciogvmj,26,student,Seraphina.,00:03:06
ciogvmj,27,tutor,"Sera, is it?",00:03:08
ciogvmj,28,student,Yeah. It's a very beautiful name actually. Right. The next tool is Symbols. Can you see something named Symbols?,00:03:10
ciogvmj,29,student,Yeah.,00:03:20
ciogvmj,30,tutor,"Okay, when you click that and click on the screen, you can see all the mathematical operations like division, multiplication, percentage, pounds, everything. Can you see it? [unclear] Click the symbols tool and click on the screen.",00:03:21
ciogvmj,31,tutor,Yeah.,00:03:41
ciogvmj,32,student,"Okay, you can use it if it's necessary. And the next one is the text tool. When you click the text tool and click on the screen, you can type whatever you want. For example, mostly we will— it's useful to write down the answers. For example, I'll write down my name. Can you write down your name in this space? Okay.",00:03:41
ciogvmj,33,tutor,"Oops, sorry. Oops. [unclear] Right, good job. Yes, well done. And the next one is shapes. They have given only 3 shapes for now. So you can use that to draw any shapes that you want if it's necessary. And the next one is the Draw tool. Now in case if you find it difficult to use the Text tool, you can use this. Draw tool. It's actually not neat, but if this is comfortable with you, you can use this. Right?",00:04:03
ciogvmj,34,student,Yeah.,00:04:40
ciogvmj,35,tutor,"This one is erase. You can erase each and every letters if you want. Right. Now, did you get the idea of these tools?",00:04:41
ciogvmj,36,student,Yeah.,00:04:50
