session_id,utterance_id,role,content,timestamp
ciskmnk,0,tutor,Hello?,00:00:00
ciskmnk,1,background,[unclear],00:00:00
ciskmnk,2,student,Hello?,00:00:00
ciskmnk,3,tutor,"Hi, Tavish.",00:00:00
ciskmnk,4,student,Hello?,00:00:02
ciskmnk,5,tutor,"Hi, Tavish. Can you hear me clearly?",00:00:02
ciskmnk,6,student,Yes.,00:00:07
ciskmnk,7,tutor,"All right, great. So how are you today, Tavish? Good. Good.",00:00:07
ciskmnk,8,tutor,"That's nice. So I'm Alistair over here and I'll be your Tutor for today. And may I know whether I have pronounced your name properly? It's Tavish, right?",00:00:13
ciskmnk,9,student,Yeah. Yes.,00:00:24
ciskmnk,10,tutor,"All right, that's excellent. So how has your day been so far, Tavish?",00:00:27
ciskmnk,11,student,Good. That's right. So what are the interesting things that you've been doing throughout the day so far? [unclear],00:00:32
ciskmnk,12,tutor,Sorry?,00:00:50
ciskmnk,13,student,What did you say? I couldn't hear you.,00:00:52
ciskmnk,14,tutor,"Okay. All right, can you hear me clearly now?",00:00:55
ciskmnk,15,student,Yes.,00:00:59
ciskmnk,16,tutor,"All right, nice. So what are the interesting things that you've been doing throughout the day so far?",00:01:01
ciskmnk,17,student,"The same, playing football.",00:01:08
ciskmnk,18,tutor,"Mm-hmm, that's great. What else?",00:01:13
ciskmnk,19,student,[unclear] Nothing else.,00:01:16
ciskmnk,20,tutor,"All right, okay. So nice to hear all these things, Tavish, and And thanks for sharing all these things. So with that, shall we get started with today's lesson?",00:01:23
ciskmnk,21,student,Yes.,00:01:33
ciskmnk,22,tutor,"All right, so in a previous session, we started learning on how to use known facts to find factors. Can you tell me what do you mean by known facts? [unclear]",00:01:35
ciskmnk,23,student,"You know, 2 times 2, which is 4, so that you, you can use that That to work out 2 divided by 4 equals 2. [unclear]",00:01:46
ciskmnk,24,tutor,"Alright, okay. So with that understanding, can you tell me what are the factors of 4? Factors of 4 are 2 and 2. [unclear]",00:02:12
ciskmnk,25,tutor,"Okay, so you'll be able to write down the factors of 4 over here.",00:02:35
ciskmnk,26,student,"4 equals— all the factors are 12. That's so easy, man.",00:02:45
ciskmnk,27,student,"Well, 24. [unclear]",00:02:50
ciskmnk,28,tutor,"space, let's go.",00:02:50
ciskmnk,29,student,Nice.,00:02:50
ciskmnk,30,tutor,What else?,00:03:07
ciskmnk,31,student,3.,00:03:08
ciskmnk,32,tutor,3.,00:03:08
ciskmnk,33,student,phone.,00:03:08
ciskmnk,34,tutor,Mm-hmm.,00:03:15
ciskmnk,35,student,And...,00:03:17
ciskmnk,36,tutor,"All right, so are these the factors of 4?",00:03:26
ciskmnk,37,student,[unclear] is a factor of 4.,00:03:30
ciskmnk,38,tutor,"All right, that's great. And okay, so that's nice, but actually, can you tell me whether 3 can be found out in the 4 times table.",00:03:36
ciskmnk,39,tutor,or 2 is in [UNCLEAR],00:03:36
ciskmnk,40,student,Or can we get into 4 with the use of the 3 times table?,00:03:52
ciskmnk,41,background,"You can do it in the 1 times table and the 2 times table, but no other times table.",00:04:00
ciskmnk,42,student,And 4 times table.,00:04:08
ciskmnk,43,tutor,"That's great. So then the factors of 4 will be 1, 2, and 4. Exactly. So that's great job in recognizing the factors of 4, right? So with that awesome understanding, let's quickly move on to this slide to learn more about this. Okay, here we go. So on this slide, we have got 2 sections as follow me. On your turn. In the Follow Me section, let me walk you through how am I going to work out this question, and after that you can work on the [unclear] question on your own. Okay?",00:04:10
ciskmnk,44,student,Okay.,00:04:44
ciskmnk,45,tutor,"Right, here it says let's use a table to find the factors of 16. Right, so now I'm going to complete this table over here with this chart given over here. I'm going to use that, right? So I know that 1 times 16 would give me 16. So definitely 1 and 16 are factors of 16. Or else I can look into this part as well. So if I take 1 count over here, okay?",00:04:46
ciskmnk,46,student,[unclear],00:05:22
ciskmnk,47,tutor,"So then I can see likewise 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16. So there are 16 counters. So when I count individually, that means I am getting 16 counters. So that's why we say 1 times 16.",00:05:25
ciskmnk,48,tutor,Alright.,00:05:54
ciskmnk,49,student,[unclear],00:05:55
ciskmnk,50,tutor,"Right. Now I will be counting in twos. So that means there will be 2 counters in one group. So likewise, let's see how many groups do we get. 1, 2, 3, 4, 5, 6, 7, 8.",00:05:57
ciskmnk,51,student,7... 8.,00:05:57
ciskmnk,52,tutor,"Exactly. So that means 2 times 8 would give us 16 once again. So 2 and 8 are also factors of 16. Right, now let's look into whether we can get into 16 by counting in 3s. So let me use another color for that.",00:05:57
ciskmnk,53,tutor,"Right. So, 3 counters over here and 3 counters over here.",00:06:47
ciskmnk,54,student,"36, 9, 20, and [unclear]",00:06:57
ciskmnk,55,tutor,"Right, so I can get into up till 15 when I'm counting in 3s, but I'm getting one extra count over here. That means I can't get into 16 with the use of the 3 times table. So that's why I have used a cross to indicate that 3 is not a factor of 16. Are we clear on that?",00:07:10
ciskmnk,56,student,[unclear],00:07:32
ciskmnk,57,tutor,"Nice, so then let's move on.",00:07:35
ciskmnk,58,tutor,"To count in fours, right? So this time I'll be counting in fours. So the first group with 4 counters in it— [unclear] 1, 2, 3, and 4.",00:07:38
ciskmnk,59,student,So 4 times 4 equals 16.,00:07:57
ciskmnk,60,tutor,"Exactly, there you go. So now I have already completed the table. So with due use of this table, I can list down all the factors of 16 over here. So that means 1 is a factor of 16. So 1, and then 2.",00:08:01
ciskmnk,61,student,[unclear],00:08:20
ciskmnk,62,tutor,"Exactly. So we have already recognized that 3 is not a factor of 16, so definitely we'll be moving on with the next one, which is 4. And then the other one is 8, and the next one is 16 over here. Right, so there are 5 factors of 16. They are 1, 2, 4, 8, and 16. Are we clear on this one? [unclear]",00:08:27
ciskmnk,63,student,Yes.,00:08:56
ciskmnk,64,tutor,"Right, so do you have any doubts or any questions over here, Tavish?",00:08:56
ciskmnk,65,student,No.,00:09:00
ciskmnk,66,tutor,"Right. If it's all good, would you be able to complete the R10 question on your own? [unclear] Sorry? [unclear]",00:09:02
ciskmnk,67,student,20. You got 20 there and 2 times 10. [unclear],00:09:15
ciskmnk,68,student,"Wait, let me count.",00:09:34
ciskmnk,69,tutor,[UNCLEAR],00:09:34
ciskmnk,70,student,10 is— 2 times 10 equals— is a factor of—,00:09:44
ciskmnk,71,student,20.,00:09:56
ciskmnk,72,tutor,Nice.,00:09:58
ciskmnk,73,student,"[unclear] 3, 6, 9, 12, 1, 2, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12. 5, 6. So 3 is not a factor. So next. [unclear]",00:10:01
ciskmnk,74,student,"Wonderful job, Tavish.",00:10:34
ciskmnk,75,tutor,And then 4.,00:10:37
ciskmnk,76,student,And then 4.,00:10:40
ciskmnk,77,student,"So, 5 is 1, 2. So, [unclear] [unclear]",00:10:51
ciskmnk,78,tutor,"Right, that is an excellent workout over there, Tavish, and I'm really glad to see how you nicely worked out this question independently. That's superb. So let me give you this sticker for that. Great. So can you tell me what is the main thing that you learned from this question? [unclear]",00:11:22
ciskmnk,79,tutor,You must know your times tables to work out other things.,00:11:44
ciskmnk,80,background,"Exactly. So we can use our times table, or what are the other strategies that we can use to find the factors of a particular number?",00:11:50
ciskmnk,81,student,Um... [unclear],00:11:59
ciskmnk,82,tutor,What is the technique we used?,00:12:09
ciskmnk,83,student,Tens.,00:12:13
ciskmnk,84,tutor,Okay.,00:12:16
ciskmnk,85,student,yes.,00:12:16
