session_id,utterance_id,role,content,timestamp
cjligoh,0,background,[unclear],00:00:00
cjligoh,1,student,"No, that ain't fair, one. No, man, shut up, shut up, shut up, shut up, shut up, shut up.",00:00:00
cjligoh,2,tutor,Hello?,00:00:09
cjligoh,3,student,"Oh, help!",00:00:10
cjligoh,4,tutor,What's going on?,00:00:14
cjligoh,5,student,I was talking to my friend.,00:00:16
cjligoh,6,tutor,All right.,00:00:18
cjligoh,7,student,You're kind of scary.,00:00:19
cjligoh,8,tutor,"No problem. So how are you, Kellan? Am I pronouncing your name right?",00:00:21
cjligoh,9,student,Yes.,00:00:26
cjligoh,10,tutor,"Okay, that's a nice name.",00:00:28
cjligoh,11,student,What's your name?,00:00:29
cjligoh,12,tutor,"Okay, let me make sure my— [unclear]",00:00:32
cjligoh,13,tutor,"Yes, that's right.",00:00:35
cjligoh,14,tutor,"That's correct. So how are you, Kellan? How was your day?",00:00:39
cjligoh,15,student,I'm very good. It was okay.,00:00:44
cjligoh,16,tutor,Okay. So what were you doing at school today? Was it a fun day?,00:00:48
cjligoh,17,student,"Yeah, it was quite fun. We had PE. Yeah.",00:00:53
cjligoh,18,tutor,"Oh, wow.",00:00:58
cjligoh,19,student,And then we had music as well.,00:00:59
cjligoh,20,tutor,"Oh, that seems to be a very nice day.",00:01:02
cjligoh,21,tutor,Yeah.,00:01:06
cjligoh,22,background,"Okay, Kellan. So shall we get started?",00:01:06
cjligoh,23,tutor,Yeah.,00:01:10
cjligoh,24,background,"Okay. So according to your records, you have been— you have started this lesson last week.",00:01:11
cjligoh,25,tutor,Yeah.,00:01:17
cjligoh,26,background,Converting between units of measures. And you have done this slide. Am I right?,00:01:18
cjligoh,27,student,Hello?,00:01:28
cjligoh,28,background,Yeah.,00:01:29
cjligoh,29,student,I can't hear. [unclear],00:01:29
cjligoh,30,tutor,"And you have completed this slide, yes?",00:01:31
cjligoh,31,student,Yes.,00:01:34
cjligoh,32,tutor,"Okay. So we have to move on to the next, right? So it's all about converting between units of measures. So could you read what's given in this green [UNCLEAR]?",00:01:36
cjligoh,33,student,"In the green one, knowing some key units, conversion, can help you....can help in real life when solving problem— problem— problems.",00:01:36
