session_id,utterance_id,role,content,timestamp
ckwriif,0,tutor,Hello.,00:00:00
ckwriif,1,background,[unclear],00:00:00
ckwriif,2,student,Hello.,00:00:01
ckwriif,3,tutor,Hello. Hi.,00:00:02
ckwriif,4,student,Hello.,00:00:04
ckwriif,5,tutor,"A very good morning to you, Rowan.",00:00:05
ckwriif,6,student,Good morning. How are you doing today?,00:00:09
ckwriif,7,student,Good.,00:00:13
ckwriif,8,tutor,"You are doing good, and this is a new month, July. How excited are you for July?",00:00:15
ckwriif,9,student,I'm good.,00:00:22
ckwriif,10,tutor,"It's a good month, and you have your summer holidays this month. Are you looking forward for it?",00:00:24
ckwriif,11,student,Yes.,00:00:30
ckwriif,12,tutor,"That's great. Now, so shall we now begin with the lesson we are doing today?",00:00:31
ckwriif,13,student,Yeah.,00:00:40
ckwriif,14,tutor,"Right, perfect. Can you read the heading for us please?",00:00:40
ckwriif,15,student,Multiplying and dividing whole numbers and decimals by 10 and 100.,00:00:45
ckwriif,16,tutor,"Well, so this is going to be an interesting lesson because we multiply and divide whole numbers as well as decimals by 10 and 100. So this is going to be interesting and easy for you. All right? [unclear] Okay, so Rowan, what happens when you multiply a number by 10?",00:00:57
ckwriif,17,student,"Um, it gets 10 times bigger.",00:01:28
ckwriif,18,tutor,"Exactly. I was waiting for the answer and you told me perfectly, 10 times bigger. And would you agree with me if I say that when you divide a number by 100, okay, it gets 100 times smaller? [unclear] 500 divided by 100 would give you 5. Yeah?",00:01:32
ckwriif,19,student,Yeah.,00:01:59
ckwriif,20,tutor,"Yeah, so when you divide a number by 100, it gets 100 times smaller. Yeah?",00:01:59
ckwriif,21,student,Yeah.,00:02:06
ckwriif,22,tutor,"Okay, that was a very good discussion to begin with. Now we are also multiplying and dividing decimals. So before we try the learning goal, let's understand decimal numbers. All right?",00:02:08
ckwriif,23,student,Okay.,00:02:20
ckwriif,24,tutor,"Okay, can you write any decimal number for me? Any random decimal number? [unclear] Perfect. Yes, we have 9.99. That's great, Rowan. And I like the way we began the session today with a very good discussion. How do you feel about it?",00:02:22
ckwriif,25,student,Good.,00:02:52
ckwriif,26,tutor,"It's wholesome, right?",00:02:52
ckwriif,27,student,Yeah.,00:02:55
ckwriif,28,tutor,"Yeah, so let's take it slow and you can now try the learning goal. Do you want to give this a go?",00:02:56
ckwriif,29,student,[unclear] Yeah.,00:03:01
ckwriif,30,tutor,"Okay, so you are going to multiply a decimal number. Don't worry, it's your very first time, okay? You can take your time and don't worry about wrong answers. You are here to learn new things and this is a new learning for you, all right? [Speaker:Rowan]... [UNCLEAR]",00:03:05
ckwriif,31,tutor,"Okay, these are the type of questions that you will do in today's session. Wow, I am impressed. That's a great answer and you got it very quick and fast. So I am going to give you a star for it. [Speaker:Rowan]... [UNCLEAR]",00:03:22
ckwriif,32,tutor,"Yes. So Rowan, how do you know that the answer should be a 206?",00:03:40
ckwriif,33,student,"When you times by— with a decimal, you move your decimal point 2 places to the right.",00:03:47
ckwriif,34,tutor,"Okay, 2 places to the left, you mean, right?",00:03:59
ckwriif,35,student,Yeah.,00:04:02
ckwriif,36,tutor,"Okay, 2 places backward, yeah?",00:04:04
ckwriif,37,student,Yeah.,00:04:08
ckwriif,38,tutor,"Yeah, so you moved it 2 places Yes, as you said, to the right. I just checked it. Yeah?",00:04:09
ckwriif,39,student,Yeah.,00:04:18
ckwriif,40,tutor,"Okay, that's amazing. So now shall we try some more easy questions?",00:04:20
ckwriif,41,student,Yeah.,00:04:26
ckwriif,42,tutor,"Okay, we will be working out with different types of questions, and you will then be perfect in the lesson with more confidence. All right?",00:04:28
ckwriif,43,student,[unclear],00:04:35
ckwriif,44,tutor,"Okay, so Rowan, this chart here must be very new for you, right?",00:04:38
ckwriif,45,student,No.,00:04:42
ckwriif,46,tutor,"Okay, you know it already. That's amazing. We have a [unclear] chart. You can work it out with this, and if you know the answer already, you can also work with your head, all right?",00:04:44
ckwriif,47,student,Okay.,00:04:56
ckwriif,48,tutor,Mentally.,00:04:58
ckwriif,49,student,It was fine.,00:05:00
ckwriif,50,tutor,"Amazing, one more correct answer. That was really quick. So Rowan, how did you get your answer 95? I'm curious.",00:05:06
ckwriif,51,student,I moved the—,00:05:16
ckwriif,52,tutor,0.9?,00:05:19
ckwriif,53,student,I moved the decimal point of 2 places to the right.,00:05:21
ckwriif,54,tutor,"Okay, 2 rows up? [unclear]",00:05:28
ckwriif,55,tutor,"Okay, so you worked it out mentally, I see that. And as you said, you moved it 2 places to the right, okay?",00:05:34
ckwriif,56,student,Yes.,00:05:43
ckwriif,57,tutor,"Yes, that was great and a very good tactic that you followed. And when you are working in the cateno chart, you move it 2 places up, yeah?",00:05:44
ckwriif,58,student,Yeah.,00:05:54
ckwriif,59,tutor,"That's amazing. Now, would you also like to try question number 2 here?",00:05:55
ckwriif,60,student,Yeah.,00:06:01
ckwriif,61,tutor,"Okay, go forward. This is much more easier than you think. [unclear]",00:06:02
ckwriif,62,tutor,That's a great start. [unclear],00:06:28
ckwriif,63,student,"Because in the answer, it shows that it has moved one place. [unclear]",00:06:35
ckwriif,64,tutor,"Okay, perfect.",00:06:53
ckwriif,65,student,[unclear],00:06:54
ckwriif,66,tutor,"Well, so far?",00:06:56
ckwriif,67,student,"So it wouldn't be divided by 100 since only the zero moves. Yes, that's it, and you've done amazing work. Let's give you a praise card for your excellent focus. Right, so how did you feel about this question here?",00:06:58
ckwriif,68,student,Good.,00:07:24
ckwriif,69,tutor,[unclear] Was it much more easier than you thought?,00:07:25
ckwriif,70,student,Yeah.,00:07:30
ckwriif,71,tutor,"Right, I'm giving you 4 to 10 stars for your good work here, alright? Let's count the number of stars you get at the end of the lesson.",00:07:31
ckwriif,72,tutor,So how many stars are you targeting for this lesson?,00:07:39
ckwriif,73,student,"Um, 16.",00:07:44
ckwriif,74,tutor,"16, all right. You already have 6 stars. You just have 10 more stars to go. I think that's a pretty good one, a good target actually. Okay, you have 5 stars here and you have 1 here, right?",00:07:48
ckwriif,75,student,Yeah.,00:08:03
ckwriif,76,tutor,You already have 6.,00:08:04
ckwriif,77,tutor,"That's amazing. Let's keep going, right?",00:08:06
ckwriif,78,student,Yeah. Yeah.,00:08:09
ckwriif,79,tutor,Shall we try question 3 now?,00:08:16
ckwriif,80,student,Yeah.,00:08:19
ckwriif,81,tutor,"Okay, you can take your time. There is no rush, all right? Good working. Amazing.",00:08:20
ckwriif,82,tutor,"Right, do you have a 91 here? [unclear]",00:08:45
ckwriif,83,tutor,"Awesome. Okay, do you want to check your— okay, you're working. No rush. That's amazing. Good work. I do have one big [unclear] for all the good work you did. OK?",00:09:01
ckwriif,84,student,OK.,00:09:25
ckwriif,85,tutor,"So Rowan, can you explain me this division? Because I think we didn't do a lot of questions on division. Can I know how you got the answer 6.12?",00:09:26
