session_id,utterance_id,role,content,timestamp
clkjcgp,0,background,[unclear],00:00:00
clkjcgp,1,student,Hello.,00:00:00
clkjcgp,2,tutor,Hello.,00:00:01
clkjcgp,3,student,Hello.,00:00:02
clkjcgp,4,tutor,Hello.,00:00:04
clkjcgp,5,student,"Hi, is this Kaelan here?",00:00:05
clkjcgp,6,tutor,Yeah.,00:00:08
clkjcgp,7,student,"Okay, welcome back to Tutor Provider sessions. How are you today?",00:00:09
clkjcgp,8,background,Good.,00:00:14
clkjcgp,9,tutor,That's nice to hear. How has the day been?,00:00:16
clkjcgp,10,student,Good.,00:00:20
clkjcgp,11,tutor,Good. Anything else that you would like to share with me?,00:00:21
clkjcgp,12,student,No.,00:00:26
clkjcgp,13,tutor,"Okay, then that means we are going to start the session. [unclear]",00:00:28
clkjcgp,14,student,Are we ready?,00:00:35
clkjcgp,15,tutor,Yeah.,00:00:41
clkjcgp,16,tutor,"Okay, then let's go ahead. So today's lesson is going to be about... [unclear]",00:00:43
clkjcgp,17,student,"Right, so this is the lesson for today. Okay, so this is about comparing fractions using [Speaker:Tutor]...isn't it? [Speaker:Lorcan] Yeah.",00:00:54
clkjcgp,18,background,Yeah.,00:01:10
clkjcgp,19,tutor,OK. So do you have any idea about fractions?,00:01:10
clkjcgp,20,background,"That if it's, well, to say 3/5 and the other one was 3/9, then 3/5 would be bigger because fractions are kind of backwards and what you would think is the smaller one is actually the bigger one.",00:01:16
clkjcgp,21,tutor,"Wow, that's an interesting answer, Kaelan. Thank you so much for giving me your answer. You can try learning goal question maybe. [unclear]",00:01:35
clkjcgp,22,student,Okay.,00:01:48
clkjcgp,23,tutor,"Okay, so why do you think this idea is the greatest fraction?",00:01:53
clkjcgp,24,student,Because the denominator is a 5 and the numerator is a 3.,00:01:57
clkjcgp,25,student,Over denominator is a 9.,00:02:03
clkjcgp,26,tutor,"Mm-hmm, right, okay. So what about the numerators then?",00:02:05
clkjcgp,27,student,They're both the same.,00:02:13
clkjcgp,28,tutor,"They're both the same, okay. What if I change the numerators as— this i is going to be 8/9 now. [unclear] What do you say now?",00:02:15
