session_id,utterance_id,role,content,timestamp
cmcmpxt,0,tutor,Hello.,00:00:00
cmcmpxt,1,background,[unclear],00:00:00
cmcmpxt,2,student,Hello.,00:00:01
cmcmpxt,3,tutor,Hello.,00:00:02
cmcmpxt,4,student,Hello.,00:00:02
cmcmpxt,5,tutor,Can you hear me?,00:00:03
cmcmpxt,6,student,"Yeah, I can hear you. Am I clearly audible to you? [unclear]",00:00:04
cmcmpxt,7,tutor,Am I clearly audible to you?,00:00:11
cmcmpxt,8,student,Yeah.,00:00:14
cmcmpxt,9,tutor,"Okay, so how was your day today?",00:00:15
cmcmpxt,10,student,Good.,00:00:17
cmcmpxt,11,tutor,"And this is your very first session at Apex Tutoring, isn't it?",00:00:19
cmcmpxt,12,student,"Yeah, it is.",00:00:23
cmcmpxt,13,tutor,"Okay, fantastic. So Lorcan, let me explain what makes learning at Apex Tutoring so special and what I'm going to do here.",00:00:25
cmcmpxt,14,background,Okay.,00:00:33
cmcmpxt,15,tutor,"Cassian, I'm [TUTOR_NAME], and I will be your tutor for these sessions. I'm an experienced tutor, so you can ask as many questions that you need in these sessions, okay?",00:00:36
cmcmpxt,16,student,Mm-hmm.,00:00:45
cmcmpxt,17,tutor,"Yeah, so if you need a break, or if you are tired, or if you have any doubt or any clarification needed, you can ask at any time.",00:00:47
cmcmpxt,18,student,"Okay, [UNCLEAR].",00:00:57
cmcmpxt,19,tutor,"Now, in here, in this slide, Can you see there are some tools at the bottom of the page? [unclear] Can you see there are some tools at the bottom of the screen?",00:00:58
cmcmpxt,20,student,"Yeah, yeah.",00:01:11
cmcmpxt,21,tutor,"Yeah, there are tools called the color, select, point, likewise. So we can use these tools to write on the screen.",00:01:12
cmcmpxt,22,student,Okay.,00:01:21
cmcmpxt,23,tutor,So there is a tool called text. Can you see it?,00:01:21
cmcmpxt,24,student,What?,00:01:25
cmcmpxt,25,tutor,There is a tool called Text. Can you see that?,00:01:27
cmcmpxt,26,student,Yeah.,00:01:31
cmcmpxt,27,tutor,"Yeah. Can you please click on that Text tool and write your name on this blank given here? Nice. That is how we are going to type our name, and that is how we are going to type our answers on the screen. And also, there are many tools like Draw and the Shapes also.",00:01:31
cmcmpxt,28,student,[unclear],00:01:56
cmcmpxt,29,tutor,"You can use them to write on the screen. Now the other things are we can turn up on time as we have done today, and we will try our best to work out on all of these questions. And the other thing is actually there are some of the small questions at the end of each and every session, so please make sure to fill these small questions at the end. Because they are really helpful for us to plan our future sessions. So now don't worry, I'm not going to repeat all of these things in each and every session. This is only happening on the first day. [unclear] And do you have any questions? [Speaker:Cassian]... [unclear]",00:01:56
cmcmpxt,30,tutor,What? Do you have any questions about the session or what are we going to do today?,00:02:39
cmcmpxt,31,student,"No, not really.",00:02:46
cmcmpxt,32,tutor,"Okay, nice. So let's move on to our lesson. Are you ready to move?",00:02:47
cmcmpxt,33,student,Yeah.,00:02:53
cmcmpxt,34,tutor,"Okay, let's see what you're going to do first. Now here, this is our very first",00:02:54
cmcmpxt,35,background,"knowing the value of each digit in numbers with up to 2 decimal places. So in here we are— [unclear] Even before I'm telling, you have started the learning goal question. Carry on.",00:03:01
cmcmpxt,36,student,[unclear],00:03:21
cmcmpxt,37,tutor,"Hey, fantastic! So can you explain me how did you get that answer?",00:03:21
cmcmpxt,38,student,"I saw the 35, that's a whole number, and then I saw the decimal point, and on the first row after the decimal, I know that's the tenths, so that's 2 tenths.",00:03:28
cmcmpxt,39,tutor,"Good explanation. Here in our 35.28, the value of digit 2 is 0.2. That is really correct. Here we go. Now, Cassian, as you are really good on all these questions, we can directly move on to our set of questions. And here we go. Here are case. In this slide, we have got 4 questions, and you can do these questions by your own. Shall we start then?",00:03:41
cmcmpxt,40,student,"Yeah, [UNCLEAR].",00:04:10
cmcmpxt,41,tutor,Let's have a go. [unclear],00:04:11
cmcmpxt,42,tutor,"Yeah, I'm done.",00:04:54
cmcmpxt,43,student,Nice looking. Now in here you forgot to find the value of 0.,00:05:00
cmcmpxt,44,tutor,"And in our third one, there are a lot of 6s. You have put 3 6s. So from these 6s, can you circle the 6 in the tens place? Which 6 is in the tens place? [unclear] Fantastic, that is it. Here, this is correct. And also here, we have placed 5 in the hundreds place. Amazing! You have got all these questions correctly. It seems that you are really good on decimals and our tenths and the hundredths. Now in here you have done a nice working out. We can move on to our next question. In there, we have [UNCLEAR]. Can you read this question out, please?",00:05:08
cmcmpxt,45,student,So how many houses are there? [unclear],00:05:59
cmcmpxt,46,tutor,"Fantastic. Here you have done these questions with an excellent focus on these questions, and these are the of the answers that we are getting here. All of these things are correct. And thing is, actually, with this slide, we have completed this lesson. This is all that we are going to do on this lesson. And here, how do you feel about this lesson? [unclear]",00:06:23
cmcmpxt,47,tutor,"Okay, nice. So what's your favorite hobby? [Speaker:Cassian]...",00:06:48
cmcmpxt,48,tutor,What do you like to do at the leisure time?,00:06:58
cmcmpxt,49,student,What?,00:07:01
cmcmpxt,50,tutor,What is your hobby?,00:07:03
cmcmpxt,51,student,My hobby is [UNCLEAR].,00:07:07
cmcmpxt,52,tutor,"Oh, really?",00:07:09
cmcmpxt,53,student,Yeah.,00:07:11
cmcmpxt,54,tutor,"Okay, now we have completed this lesson and we are ready to move on to a new lesson. So shall we move? Do you have any guesses about our new lesson? fraction. Okay,",00:07:12
cmcmpxt,55,tutor,"let's see what you are going to do now. Here we go. Fractions [unclear] also. In here, we are going to add or subtract tens or hundreds. This is it. Wow,",00:07:31
cmcmpxt,56,student,that is awesome!,00:07:54
cmcmpxt,57,tutor,"In here you have got the correct one. 59.73 take away 0.3, 59.70. Wow, you are really great at this one. You got some 0.6. That's really nice, Cassian. So we can directly move on to our question list. Here we go. Here we have got 4 questions and let's have a try. [unclear]",00:07:56
cmcmpxt,58,student,Yeah. [unclear],00:08:22
cmcmpxt,59,student,The number... the number has two fringes. [unclear],00:08:40
cmcmpxt,60,tutor,"Hey, you have done them! First, here we got our 0.34 takeaways, here 0.02. [unclear]",00:09:09
cmcmpxt,61,tutor,"3.87, Tutor is 0.8. So can you tell me how did you get this?",00:09:26
cmcmpxt,62,student,"Oh no, no, no, sorry, sorry, sorry.",00:09:31
cmcmpxt,63,tutor,It's fine.,00:09:34
cmcmpxt,64,student,I got that wrong. I've seen more mistakes.,00:09:35
cmcmpxt,65,tutor,"Okay, that's [unclear] 0.4, 70.42. How about Part B?",00:09:46
cmcmpxt,66,student,"What? I took hundreds, so instead of tens.",00:09:54
cmcmpxt,67,tutor,"Can you try that section again, Part B?",00:10:04
