session_id,utterance_id,role,content,timestamp
cmxvify,0,background,"Hello? Hello? Hello? Hello, Desmond? Yeah, Desmond, can you hear me?",00:00:00
cmxvify,1,tutor,Yes.,00:00:06
cmxvify,2,background,Okay. [unclear],00:00:06
cmxvify,3,tutor,Hello.,00:00:07
cmxvify,4,student,Hello.,00:00:08
cmxvify,5,tutor,Good.,00:00:10
cmxvify,6,student,Okay.,00:00:10
cmxvify,7,tutor,How's school today?,00:00:12
cmxvify,8,student,Good.,00:00:14
cmxvify,9,tutor,Good. Okay. So did you have maths lesson today?,00:00:16
cmxvify,10,student,No.,00:00:22
cmxvify,11,tutor,"Okay, so what did you learn today at school then?",00:00:24
cmxvify,12,student,We had to get about the wolf. [unclear],00:00:29
cmxvify,13,tutor,"Okay, all right. So Desmond, I hope you are having a good day at school today. All right, so Desmond, shall we begin our lesson today?",00:00:35
cmxvify,14,tutor,"All right, thank you, Desmond. So Desmond, last time we learned about subtracting whole numbers and decimals using the column method. Can you remember? [unclear] Okay, so we'll just do a small recap on what we learned last time. Okay, after that we can continue from the fourth slide. Okay, so Desmond, last time we did this lesson, and here we are having a calculation. Okay, so we explored this question. So this is actually wrong because the numbers are not aligned properly. Okay, so the decimal point should be in the same column. Okay, so everything is messed up here, so that is why the answer went wrong here. Okay, so the proper way to [unclear] do the calculation is to align the numbers in a correct way. Okay, so they should always line up like this. So the decimals should line up like this and the digits should be wrote accordingly. All right, so we did, uh, we did the learning goal question and today we should be continuing from the [unclear] slide. Okay, now we have two questions here, so can you try this one?",00:00:47
cmxvify,15,tutor,Hi. [UNCLEAR]...the calculation method using the column method.,00:02:07
cmxvify,16,student,Yeah.,00:02:07
cmxvify,17,tutor,"167,763 minus 64,972.",00:02:25
cmxvify,18,student,"72, yes.",00:02:32
cmxvify,19,tutor,"All right, so now you need to use the column method here, okay?",00:02:36
cmxvify,20,student,Mm-hmm.,00:02:40
cmxvify,21,tutor,"Okay, let's see if you can do this. [unclear] [unclear]",00:02:41
cmxvify,22,student,"Is it 97,792? Okay, no, that's not the correct answer. Okay, uh, all right, so we'll do this once again, Desmond. Okay, so why don't you write your numbers here first? Write that. Okay. [unclear] Okay, let's do this once again. I think you made a small mistake somewhere. Okay, let's see. [unclear]",00:03:00
cmxvify,23,tutor,[UNCLEAR] [unclear],00:03:00
cmxvify,24,tutor,[unclear] [unclear],00:03:00
cmxvify,25,tutor,"Okay, so now you can see that these lines are— sorry, these numbers are not aligned properly. So they should line up. Everything should be in the same line. [unclear]",00:04:25
cmxvify,26,tutor,[unclear],00:04:25
