session_id,utterance_id,role,content,timestamp
cndwpfo,0,tutor,Hello.,00:00:00
cndwpfo,1,background,[unclear],00:00:00
cndwpfo,2,student,Hello.,00:00:00
cndwpfo,3,tutor,"Hi, Linus. Can you hear me?",00:00:02
cndwpfo,4,tutor,Yeah.,00:00:06
cndwpfo,5,student,"All right, that's great. So how are you doing today?",00:00:06
cndwpfo,6,tutor,Good.,00:00:10
cndwpfo,7,student,You're doing good. So how was your day so far at school?,00:00:11
cndwpfo,8,tutor,Good.,00:00:15
cndwpfo,9,student,"It was good. All right, that's really nice to hear. So what did you do at school today so far?",00:00:17
cndwpfo,10,tutor,We got [UNCLEAR]. I thought [unclear],00:00:26
cndwpfo,11,tutor,"Uh-huh, okay.",00:00:34
cndwpfo,12,student,[unclear],00:00:34
cndwpfo,13,tutor,"Mm-hmm. Oh, good. So you have done a lot today at school. So thank you so much for sharing those with me. Welcome back to another session at Tutor Provider, Linus. So yes, are you ready to start our session for the day?",00:00:37
cndwpfo,14,student,Yeah.,00:00:59
cndwpfo,15,tutor,"Oh, good. As you can see, your first lesson for the day is on multiplying and dividing whole numbers and decimals by 10 and 100. Alright? So can you remember, Linus, we already started this lesson in our last session.",00:01:00
cndwpfo,16,student,[unclear] Yeah.,00:01:15
cndwpfo,17,tutor,"Yes. Okay, that's great. So we have completed all these slides. So today we are supposed to continue from the 'You Do' slide, Linus. Can you give them a try?",00:01:19
cndwpfo,18,student,Okay.,00:01:33
cndwpfo,19,tutor,Go ahead. [unclear],00:01:34
cndwpfo,20,tutor,"Yes, can you try the first question? [unclear]",00:02:08
cndwpfo,21,tutor,"Yes, 0.95 times 100. You can use a Gattacno chart to get the answer.",00:02:21
cndwpfo,22,student,[unclear],00:02:26
cndwpfo,23,tutor,Yes. How do you work out using the Gattacno chart?,00:02:45
cndwpfo,24,student,Um.,00:02:50
cndwpfo,25,tutor,"So when you multiply, do you move upwards or downwards?",00:02:52
cndwpfo,26,student,[unclear],00:02:55
cndwpfo,27,tutor,Pardon?,00:02:58
cndwpfo,28,student,Upwards.,00:02:59
cndwpfo,29,tutor,Upwards. So why have you moved it downwards here?,00:03:01
cndwpfo,30,student,I don't know.,00:03:05
cndwpfo,31,tutor,You're supposed to move it upwards. How many times are you supposed to move it upwards when you're timesing it by 100?,00:03:07
cndwpfo,32,student,2.,00:03:14
cndwpfo,33,tutor,2 times. So can you move each of the number highlighted 2 times upwards and get the answer?,00:03:16
cndwpfo,34,student,Okay. [unclear],00:03:21
cndwpfo,35,tutor,Guess what would you get?,00:03:32
