session_id,utterance_id,role,content,timestamp
cqolagh,0,background,[unclear],00:00:00
cqolagh,1,tutor,"Hi Thaddeus, how are you?",00:00:00
cqolagh,2,student,"Good, thank you.",00:00:02
cqolagh,3,tutor,"Okay, so how was your day?",00:00:03
cqolagh,4,student,"It was quite good, thank you.",00:00:07
cqolagh,5,tutor,"Okay, that's nice. All right, so can we start with your lesson?",00:00:10
cqolagh,6,student,Yeah.,00:00:16
cqolagh,7,tutor,"Okay, so today your lesson is about finding angles in polygons. So have you done this lesson before? [unclear]",00:00:17
cqolagh,8,background,I think so.,00:00:30
cqolagh,9,tutor,"Okay. So, can you try out the question which is given on the slide? [unclear]",00:00:36
cqolagh,10,student,"Same, this one.",00:00:47
cqolagh,11,tutor,Okay. [unclear],00:00:59
cqolagh,12,tutor,This one.,00:01:06
cqolagh,13,student,Okay.,00:01:10
cqolagh,14,tutor,This one.,00:01:15
cqolagh,15,student,Okay.,00:01:16
cqolagh,16,tutor,Yeah.,00:01:20
cqolagh,17,student,So.,00:01:23
cqolagh,18,tutor,We can write it this way.,00:01:24
cqolagh,19,tutor,So what can you say about them?,00:01:27
cqolagh,20,student,They are all irregular.,00:01:29
cqolagh,21,tutor,"Okay, and why do you think so? [unclear]",00:01:33
cqolagh,22,tutor,"Okay, so can you explain this to me? Why you have circled these three?",00:01:44
cqolagh,23,tutor,Yeah.,00:01:58
cqolagh,24,student,It's like—,00:01:59
cqolagh,25,tutor,Hello?,00:02:01
cqolagh,26,student,"I know the irregular one, but I don't know how to explain it.",00:02:02
cqolagh,27,tutor,Okay. So what do you know about the regular polygons and the irregular polygons?,00:02:06
cqolagh,28,student,All of them have an interior angle of 360.,00:02:15
cqolagh,29,tutor,"No, actually regular polygons have all the sides of the same length. Like if you see in this triangle, all the sides are of the same length. They are not unequal. Similarly, if we talk about this rectangle, are all the sides of the same length?",00:02:20
cqolagh,30,student,[unclear] Not quite.,00:02:41
cqolagh,31,tutor,No. So will this be a regular polygon or an irregular polygon?,00:02:46
cqolagh,32,student,It will be irregular. [unclear],00:02:51
cqolagh,33,tutor,This hexagon over here?,00:02:58
cqolagh,34,student,Regular.,00:03:01
cqolagh,35,tutor,"Okay, and how do you know it's a regular?",00:03:02
cqolagh,36,student,Because all the sides are the same length.,00:03:07
cqolagh,37,tutor,"Yes, that's correct. Correct. So a praise for your efforts on this question. So now it's clear the difference between regular polygons and irregular polygons?",00:03:09
cqolagh,38,student,"Oh, mm-hmm.",00:03:20
cqolagh,39,tutor,"Okay, so are you ready for your exam style questions then?",00:03:23
cqolagh,40,student,Yeah.,00:03:30
cqolagh,41,tutor,"Okay, so this is your first question. So how can you do this kind of a question? [unclear]",00:03:31
cqolagh,42,student,Yeah. [unclear],00:03:44
cqolagh,43,tutor,"First, you need to find the total interior angle.",00:03:46
cqolagh,44,student,Okay.,00:03:55
cqolagh,45,tutor,How will you find that out? [unclear],00:04:03
cqolagh,46,student,We add all the sides together and then take away 2 and times it by 182.,00:04:10
cqolagh,47,tutor,"Okay, good. So please show me your workings.",00:04:17
cqolagh,48,student,Then we divide it and then we have to subtract it out. [unclear],00:04:20
cqolagh,49,tutor,Well done.,00:04:35
cqolagh,50,tutor,"So then to find out this one, we have to do 360 take away 260.",00:04:58
cqolagh,51,student,Okay.,00:05:08
cqolagh,52,tutor,Because angles around a point add up to 360.,00:05:10
cqolagh,53,student,Okay. [unclear],00:05:14
cqolagh,54,tutor,"Okay, well done. [unclear]",00:05:23
cqolagh,55,student,"Nice, out of all the angles, you know, take it away from 900.",00:05:30
cqolagh,56,tutor,All right. [unclear],00:05:41
cqolagh,57,student,"So you have to do 767, take away 900.",00:06:31
cqolagh,58,tutor,Okay. [unclear],00:06:36
cqolagh,59,tutor,"Fabulous. A praise for this fantastic working. Okay. And if we are giving the measure of an angle, so will this answer be complete?",00:06:56
cqolagh,60,student,[unclear],00:07:18
cqolagh,61,tutor,"Yes, that's the correct format. Well done. Okay, so what do you think, how much marks you will get for this question?",00:07:18
cqolagh,62,background,[unclear],00:07:25
cqolagh,63,tutor,"Okay. And if you look at this step, then what do you think? Is there some mistake which you have done on this step?",00:07:26
cqolagh,64,student,Mm-hmm.,00:07:44
cqolagh,65,tutor,"Okay. So, what's that?",00:07:47
cqolagh,66,background,[unclear],00:07:49
cqolagh,67,student,It should have been 360 by 260.,00:07:51
cqolagh,68,tutor,"Yes, that's correct. So after making that correction, you will get your full 4 marks. Okay, so always double-check your steps when you submit your answers in the exams. Okay, so what did you learn from this kind of a question?",00:07:59
cqolagh,69,student,[unclear],00:08:19
cqolagh,70,tutor,Why do we use n 2 as the formula? Do you know the reason about that? No.,00:08:28
cqolagh,71,student,"Okay,",00:08:38
cqolagh,72,tutor,"so into how many triangles can you split this? Yes,",00:08:39
cqolagh,73,student,[unclear],00:08:47
cqolagh,74,tutor,"so that is why we are taking away 2 from the total number of sides. Okay, because 5 triangles are there and each triangle stands for 180 degrees. So the total sum of the angles will be 5 times 180. [unclear] That is why we always take away 2 from the total number of sides. All right? Okay, so now tell me your learnings from this question.",00:08:48
cqolagh,75,student,[unclear] Is there anything that you learnt from this? [unclear],00:09:17
cqolagh,76,student,"Well, I have to take away 2.",00:09:28
cqolagh,77,tutor,"Okay, good. So again, a praise for your learnings from this question. Now, this is your second exam style question. Please try this out. [unclear]",00:09:31
cqolagh,78,tutor,"Any idea how to do the A part? Yes, [unclear]",00:09:59
cqolagh,79,tutor,"Thaddeus, any idea how to do the first part on this slide?",00:10:28
cqolagh,80,student,Find out the total interior angle.,00:10:39
cqolagh,81,tutor,"Please repeat, I didn't get you.",00:10:44
cqolagh,82,student,Will you find out the total interior angle?,00:10:46
cqolagh,83,tutor,"Yes, and how will you find that? [unclear]",00:10:50
cqolagh,84,tutor,"Okay, so can you show me your workings, like what is running in your mind?",00:11:08
cqolagh,85,student,Straight line. This angle has to add up to 180. So you see 180 take away 35.,00:11:13
cqolagh,86,tutor,"Well done, a fabulous performance. Another praise for this. [unclear] [unclear]",00:11:22
cqolagh,87,tutor,"Great. So you get your 1 mark for this answer. Well done. Okay, now what do you know about the B part? [unclear]",00:11:51
cqolagh,88,tutor,Another angle in the triangle that's 180.,00:12:16
cqolagh,89,student,Okay.,00:12:21
cqolagh,90,tutor,"From these lines here, I think all the interior angles in this are equal.",00:12:28
cqolagh,91,student,Yeah.,00:12:32
cqolagh,92,background,"Hmm, okay.",00:12:33
cqolagh,93,tutor,So if I do... [unclear],00:12:39
cqolagh,94,background,"So I did 108, so...",00:12:45
cqolagh,95,tutor,"Okay, so can you show me the workings? [unclear]",00:12:52
cqolagh,96,tutor,So one angle would be 60.,00:13:12
cqolagh,97,student,Okay.,00:13:15
cqolagh,98,tutor,So the angle would be 60.,00:13:16
cqolagh,99,student,Yes.,00:13:17
cqolagh,100,student,"Because this is a straight line, they add 280. So you do 180 take away 60.",00:13:22
cqolagh,101,tutor,"Well done. Fabulous. Again, a praise for your independent workings on this part. So you get your 2 marks for showing the steps and finding out the correct answer. Okay, now can we find out this answer in some other way for this figure?",00:13:29
cqolagh,102,student,[unclear],00:14:01
cqolagh,103,student,yeah.,00:14:01
cqolagh,104,tutor,"Okay, and what can be the other method?",00:14:01
cqolagh,105,student,From the exterior angle.,00:14:21
cqolagh,106,tutor,Exterior angle? Which exterior angle?,00:14:26
cqolagh,107,student,[unclear],00:14:31
cqolagh,108,tutor,Mm-hmm.,00:14:43
cqolagh,109,student,[unclear],00:14:43
cqolagh,110,tutor,"Okay, and how will this help you?",00:14:44
cqolagh,111,student,"Because you have to find the interior angle for this bit here, which will give you the degrees for that.",00:14:51
