session_id,utterance_id,role,content,timestamp
csjptup,0,background,[unclear],00:00:00
csjptup,1,tutor,Hello? Hello? Hello? [unclear],00:00:00
csjptup,2,tutor,Now?,00:00:23
csjptup,3,tutor,Hello? [Speaker:Gideon]... [unclear],00:00:39
csjptup,4,tutor,Hi. Can you hear me?,00:00:41
csjptup,5,student,Hello?,00:00:45
csjptup,6,tutor,"Hello, Gideon, can you hear me? Hello?",00:00:47
csjptup,7,student,Say that again. Hello?,00:00:52
csjptup,8,tutor,"Can you hear me, Gideon?",00:00:54
csjptup,9,student,Yeah.,00:00:56
csjptup,10,tutor,"Alright, great. How are you doing, Gideon?",00:00:57
csjptup,11,student,Good.,00:01:01
csjptup,12,tutor,That's great. How has the day been?,00:01:02
csjptup,13,tutor,Good. So how was summer vacation?,00:01:07
csjptup,14,student,"Uh, alright. I didn't do much.",00:01:09
csjptup,15,tutor,"Why is that, Gideon? How did you spend your summer vacation?",00:01:15
csjptup,16,student,Just stayed home.,00:01:18
csjptup,17,tutor,Just stayed home?,00:01:22
csjptup,18,student,Yeah.,00:01:23
csjptup,19,tutor,Okay. Did you do anything interesting even at home?,00:01:24
csjptup,20,student,Just played on my PlayStation.,00:01:30
csjptup,21,tutor,"Okay, that's interesting. So what's the game that you play in your PlayStation, Gideon?",00:01:32
csjptup,22,student,"Uh, Rainbow Six Siege.",00:01:40
csjptup,23,tutor,"Mm-hmm, that's cool. Alrighty then, so welcome back to your session after a very long break.",00:01:42
csjptup,24,student,Yeah.,00:01:52
csjptup,25,tutor,"Okay, so are you ready for today's lesson?",00:01:54
csjptup,26,student,Yeah.,00:01:57
csjptup,27,tutor,"Okay then, let's get started. So today's lesson is about Simplifying fractions. So Gideon, can you remember? We— I think we did this lesson in our last session on how we simplify fractions. Do you remember? [unclear]",00:01:59
csjptup,28,tutor,Yeah.,00:02:17
csjptup,29,student,Do you remember how we simplify?,00:02:18
csjptup,30,tutor,Yeah.,00:02:23
csjptup,31,student,Okay. Can you simplify this fraction for me?,00:02:24
csjptup,32,tutor,3 nines.,00:02:31
csjptup,33,student,3 nines. That would be 1 nine.,00:02:33
csjptup,34,tutor,"No, no, 9.",00:02:39
csjptup,35,student,Oh yeah.,00:02:41
csjptup,36,background,Is that correct?,00:02:43
csjptup,37,student,I think so.,00:02:45
csjptup,38,tutor,"So how did you simplify that and how did you get your answer? [unclear] Because I learnt that how to make some simple fractions is that you can— whatever's left, that's the answer of multiplying fractions.",00:02:48
csjptup,39,tutor,So do you multiply fractions to simplify?,00:03:17
