session_id,utterance_id,role,content,timestamp
csoxiwr,0,background,[unclear],00:00:00
csoxiwr,1,tutor,Hello? Hello? Hello? Hello?,00:00:00
csoxiwr,2,tutor,You're talking?,00:00:22
csoxiwr,3,student,No. [unclear],00:00:32
csoxiwr,4,tutor,Hello? [unclear],00:00:38
csoxiwr,5,tutor,Yes. [unclear],00:00:58
csoxiwr,6,student,Yes.,00:01:04
csoxiwr,7,tutor,Yeah.,00:01:04
csoxiwr,8,student,"Yeah, no, let's try and straight into it.",00:01:05
csoxiwr,9,tutor,Write the blue shaded part as a decimal.,00:01:12
csoxiwr,10,student,No. [unclear],00:01:17
csoxiwr,11,tutor,Yeah.,00:01:18
csoxiwr,12,background,We don't solve Eldric.,00:01:20
csoxiwr,13,tutor,Yeah?,00:01:29
csoxiwr,14,background,Write the blue shaded part as a decimal.,00:01:31
csoxiwr,15,tutor,Work it out.,00:01:36
csoxiwr,16,tutor,Yeah. [unclear],00:01:43
csoxiwr,17,student,Hello. [unclear],00:01:50
csoxiwr,18,tutor,Fill that in. [unclear] [unclear],00:02:04
csoxiwr,19,tutor,"2 bits, guys.",00:02:32
csoxiwr,20,student,"To multiply by 10, move each digit to the thousand line.",00:02:34
csoxiwr,21,background,"4, 2, 1, 4.",00:02:43
csoxiwr,22,student,41.2.,00:02:46
csoxiwr,23,background,"So if you multiply that by 10, you'd have to go 6 digits. [unclear] [Speaker:Eldric]... [UNCLEAR] [unclear] [Speaker:Eldric]... [unclear] [unclear]",00:02:48
csoxiwr,24,tutor,Is that right?,00:09:03
csoxiwr,25,background,Try saying hello to him.,00:09:08
csoxiwr,26,tutor,Hello? Hello?,00:09:10
csoxiwr,27,background,It's not working. Okay.,00:09:14
csoxiwr,28,tutor,"You just have to leave it or find something. [Speaker:Eldric]...and then I've just guessed and then I've got it correct. Because I practiced at home. [Speaker:Tutor] Okay, you just carry on with that.",00:09:18
csoxiwr,29,student,We can show temps using decimals.,00:09:41
csoxiwr,30,tutor,One-tenth of the whole is shaded. One-tenth of the whole is shaded. We write this as 0.1. What would one-tenth of our measure [unclear] be? What would one-tenth of 100 be worth?,00:09:46
csoxiwr,31,tutor,And the water's [UNCLEAR].,00:10:11
csoxiwr,32,tutor,Dividing into 100 equal pieces.,00:10:37
csoxiwr,33,student,Is it a 1/10? So that should be 0.3. 0.03. [unclear],00:10:43
csoxiwr,34,student,And the [unclear] works for that.,00:11:03
csoxiwr,35,tutor,"You know what to do. So does it meet 100? What would 1/10 of a metre be? So if you had 1, so 1 metre is 100, so what would it be? So you just take what off?",00:11:06
csoxiwr,36,student,10.,00:11:24
csoxiwr,37,tutor,"Yeah, just 10. Because 1 metre is 100 centimetres, so 1/10",00:11:25
csoxiwr,38,tutor,Yeah.,00:11:37
csoxiwr,39,student,"So you count 10, 20, 30, 40, 50.",00:11:38
csoxiwr,40,tutor,"Yeah. Okay, yeah. Wait, I think, wait. Wait, I think, wait, let me just do something. [unclear] I don't understand why.",00:11:41
csoxiwr,41,tutor,10 what?,00:12:02
csoxiwr,42,student,10 centimeters.,00:12:03
csoxiwr,43,tutor,Yeah. [unclear],00:12:06
csoxiwr,44,background,"Yeah, good.",00:12:08
csoxiwr,45,tutor,"Yeah, yeah. [unclear]",00:12:18
csoxiwr,46,tutor,"Okay, so the hole is divided into 4 equal parts. So watch him. So we've got 4 tenths. It should be 1, 2, 3, 4. [unclear]",00:12:34
csoxiwr,47,tutor,"Yeah, he goes inside and you go outside, yeah?",00:12:45
csoxiwr,48,student,"Yeah. So can you see he's not shaded blue? So how many's not shaded blue on this one? He's going to do it, but what do you think which one is not shaded blue?",00:12:49
csoxiwr,49,student,0.216.,00:13:04
csoxiwr,50,tutor,So what would it be?,00:13:05
csoxiwr,51,student,6.,00:13:08
csoxiwr,52,tutor,Yeah. So it would be what as a decimal? [unclear] So you put 0.4 and 0.6 equals?,00:13:09
csoxiwr,53,student,1.,00:13:20
csoxiwr,54,tutor,"Yeah. I think you'll be able to do this, won't you?",00:13:21
csoxiwr,55,student,Yeah. [unclear],00:13:29
csoxiwr,56,tutor,Is that it?,00:13:30
csoxiwr,57,student,Because they all have 100 in them when they're all together.,00:13:32
csoxiwr,58,tutor,"Okay, I like it. Okay, okay, okay, I think I get it. [unclear]",00:13:37
csoxiwr,59,tutor,Did your headphone not work last time?,00:13:48
csoxiwr,60,student,It did.,00:13:49
csoxiwr,61,tutor,Thank you.,00:13:50
csoxiwr,62,student,Not sure why it didn't work. What's not shaded?,00:13:52
csoxiwr,63,tutor,"So, well, you'll be dealing, don't you?",00:14:13
csoxiwr,64,student,"No, any number to the right or left. [unclear] Okay, okay, okay. [unclear]",00:14:15
csoxiwr,65,tutor,"To the left. Right, right, right. [unclear]",00:14:35
csoxiwr,66,tutor,That shaded part is a decimal?,00:14:47
csoxiwr,67,student,Place.,00:14:53
csoxiwr,68,tutor,Two place.,00:14:55
csoxiwr,69,tutor,So what's the shaded part?,00:14:57
csoxiwr,70,student,One place. [unclear],00:15:00
csoxiwr,71,student,"Yeah, fine. [unclear] [Speaker:Tutor]...500. [Speaker:Eldric] Nope.",00:15:07
csoxiwr,72,tutor,"Yeah. [Speaker:Background]...we can use each gas station to build... [Speaker:Tutor]...what might it go in? [Speaker:Background]...5, 5... [Speaker:Tutor] Not 5. What might it go in?",00:15:41
csoxiwr,73,tutor,Ones.,00:15:58
csoxiwr,74,student,Not ones.,00:16:00
csoxiwr,75,tutor,And twos.,00:16:03
csoxiwr,76,student,"No. [unclear] When we did the 100 meters, what did we walk in?",00:16:04
csoxiwr,77,tutor,Tens.,00:16:08
csoxiwr,78,student,"Yeah, go on and do that in tens.",00:16:10
csoxiwr,79,tutor,0.63.,00:16:14
csoxiwr,80,student,63.,00:16:19
csoxiwr,81,tutor,"Not cm. Won't be cm, will it? Because it's in litres. Not 50 centimetres.",00:16:24
csoxiwr,82,student,Okay. [unclear],00:16:33
csoxiwr,83,tutor,"In litres, Eldric.",00:16:39
csoxiwr,84,student,Okay. [unclear],00:16:42
csoxiwr,85,tutor,Is it 83?,00:16:50
csoxiwr,86,student,Yes.,00:16:52
csoxiwr,87,tutor,30.6. [unclear],00:16:53
csoxiwr,88,background,Do you want to have a decimal?,00:17:03
csoxiwr,89,tutor,"Okay, mate. [unclear]",00:17:08
csoxiwr,90,tutor,"It's hard like this, isn't it, when they can't teach you? [unclear]",00:17:23
csoxiwr,91,tutor,About putting a note in between?,00:17:35
csoxiwr,92,student,Yeah.,00:17:39
csoxiwr,93,tutor,0.663.,00:17:47
csoxiwr,94,student,You put a 0 in there somewhere? [unclear],00:17:52
csoxiwr,95,tutor,Yeah.,00:17:56
csoxiwr,96,student,So where would you go at the front?,00:18:02
csoxiwr,97,tutor,0.018. [unclear],00:18:03
csoxiwr,98,tutor,Yeah. Yeah.,00:18:09
csoxiwr,99,tutor,There you go.,00:18:35
