session_id,utterance_id,role,content,timestamp
cwsbjtj,0,tutor,I'm good. How are you?,00:00:00
cwsbjtj,1,background,Hello.,00:00:01
cwsbjtj,2,tutor,"Yeah, I'm also good. Thank you. Okay, so I hope you can remember last week the place we stopped in the factors. So expand in the double brackets. So hope you can remember the place where we stopped in here. I think this is like a type of question we discussed last week. Remember how we can expand this type of brackets?",00:00:01
cwsbjtj,3,tutor,Yeah.,00:00:27
cwsbjtj,4,background,"Okay, so mainly please be careful when you're dealing with the signs, right? So in here it's minus, and when you're expanding, you need to times with the minus signs. That is the very important thing you need to be careful when you expand the brackets. Okay?",00:00:27
cwsbjtj,5,tutor,Yeah.,00:00:50
cwsbjtj,6,tutor,So the other one is this grid method you can follow. Remember how you're gonna use this grid method?,00:00:51
cwsbjtj,7,student,Yeah.,00:00:58
cwsbjtj,8,tutor,Can you explain it to me? Just run me through it.,00:01:00
cwsbjtj,9,student,"Okay, so you just, um...",00:01:03
cwsbjtj,10,tutor,Take your pointer.,00:01:06
cwsbjtj,11,student,"Oh, okay. [unclear] So you put those in there and then you follow the grid to do the equation. [unclear]",00:01:07
cwsbjtj,12,tutor,Which is— what is this? In here? What is— yeah? [unclear],00:01:21
cwsbjtj,13,student,"Oh, that's the— that's this. Can you see what I'm pointing? That's this one or that one. It's one of the things. I remember doing it. It's just hard to explain.",00:01:29
cwsbjtj,14,tutor,"All right, all right, right. So anyways, uh, we completed this question and we discussed one by one. So, um, we'll go for the place we've stopped last week. So here is your turn question. I'll give you some time to try it by your own. If you can try it in this space, it's your choice, or else you can try it in your paper and write the final answer. After that, we can discuss.",00:01:48
cwsbjtj,15,tutor,"Okay, cool. [Speaker:Background]... [unclear]",00:02:19
cwsbjtj,16,student,"Basically, any death",00:02:34
cwsbjtj,17,tutor,"Let's go to live. Because over 10 or over 100, it would be out of— so that's the destiny. [unclear]",00:02:35
cwsbjtj,18,student,"Wait, what's that mean? [unclear]",00:02:45
cwsbjtj,19,tutor,"0.8%. [unclear] [Speaker:Tutor]...divided by 100, don't you?",00:02:47
cwsbjtj,20,student,Yeah. [unclear] [unclear],00:03:30
cwsbjtj,21,tutor,Is that the answer? [unclear],00:03:30
cwsbjtj,22,student,Is that right? [unclear],00:03:49
cwsbjtj,23,tutor,Can you divide 0.19 by 100? [unclear],00:04:02
cwsbjtj,24,tutor,Say again? [unclear],00:04:25
cwsbjtj,25,student,"So, 1 minus 1.0. [unclear]",00:04:31
cwsbjtj,26,tutor,0. [unclear],00:04:36
cwsbjtj,27,student,"Okay, 0.19. Is as well. 0.9 is [UNCLEAR].",00:04:40
cwsbjtj,28,tutor,"Right, you're on a thing. There's 3 zeros and you need to make it to 1 to make it equal. So I take 2 zeros off, which would be like... [unclear]",00:04:56
cwsbjtj,29,tutor,"Yeah, right now?",00:05:17
cwsbjtj,30,student,What? [unclear],00:05:42
cwsbjtj,31,tutor,Yeah.,00:05:57
cwsbjtj,32,student,"No, you have to make it in the sentence. [unclear]",00:05:58
cwsbjtj,33,tutor,"Yeah, okay.",00:06:10
cwsbjtj,34,student,Yeah. [unclear],00:06:28
cwsbjtj,35,tutor,Yeah. Okay. Yeah. [unclear] [Speaker:Tobias]... [unclear],00:06:35
cwsbjtj,36,tutor,I didn't say that's right.,00:07:13
cwsbjtj,37,tutor,"I don't know if it's right, Alistair. I don't know. Confusing. [unclear] [unclear]",00:07:29
cwsbjtj,38,tutor,Hello?,00:08:04
cwsbjtj,39,student,Hello.,00:08:05
