session_id,utterance_id,role,content,timestamp
cydhmla,0,background,[unclear],00:00:00
cydhmla,1,student,"Hello? [Speaker] Hello. Hi, Oliver. How are you?",00:00:00
cydhmla,2,student,Good. [Speaker] That's lovely. And how has your day been so far?,00:00:02
cydhmla,3,student,"Good. That's amazing. And if there's nothing else, shall we get started with the lesson?",00:00:06
cydhmla,4,student,Yeah.,00:00:13
cydhmla,5,tutor,All right. What are you learning about today?,00:00:15
cydhmla,6,student,Calculating areas.,00:00:18
cydhmla,7,tutor,Okay. Can you try the learning goal question?,00:00:21
cydhmla,8,student,"Calculate the area of the rectangle. 8 times 3, maybe, which would be [UNCLEAR]. [Speaker] 24, so 24 centimeters.",00:00:24
cydhmla,9,tutor,"Very good. Did you just write 24 centimeters, or would you write 24 centimeters squared? [Speaker] Squared, 24 centimeters squared.",00:00:41
cydhmla,10,tutor,"Very good. So, what does it even mean by area? [Speaker] It means like the— [unclear] out the inside— the outsides of the ship.",00:00:51
cydhmla,11,tutor,"Okay, well, good try. Let's find out. Before that, can you try the prior learning question?",00:01:03
cydhmla,12,student,Solve this,00:01:09
cydhmla,13,background,"6 times 4, 24.",00:01:11
cydhmla,14,tutor,Very good. Can you write that down?,00:01:15
cydhmla,15,student,Yeah. [unclear],00:01:18
cydhmla,16,tutor,"Okay, now, um, right, why",00:01:19
cydhmla,17,tutor,What? How does 6 times 4 describe this diagram? Why do you think we have this diagram to describe 6 times 4?,00:01:26
cydhmla,18,student,"Because it goes 4 in the length and 6 in the width, maybe.",00:01:34
cydhmla,19,tutor,"Oh yeah, that's right. So there's 4 going across and 4 that goes down. So that's 4, that's 6, and then there's another one. So 6, 2 times. 6, 3 times, and 6, 4 times. So you can see we can do 6 times 4 to find out how many squares we have in total, and that'll be 24. Is that clear?",00:01:40
cydhmla,20,student,Yeah.,00:02:02
cydhmla,21,tutor,"All right, awesome. So I'm going to take you to the next slide now. Here's a sticker for me for working this out. Can you read this?",00:02:04
cydhmla,22,student,The area of a shape is the space within the shape. The square [unclear] centimeters in brackets centimeters squared is the standard unit of measure for the area that is used most frequently.,00:02:13
cydhmla,23,tutor,"Right. So you can see we have a centimeter squared over here. And that will be like the size of this, this size in your finger. And let's read this now. [Speaker] Let's look at finding the area of a rectangle.",00:02:29
cydhmla,24,tutor,"Right. Now, what do you notice over here? [Speaker] [unclear] 4 rows of 5 square centimetres, or 5 columns of 4 square centimetres.",00:02:50
cydhmla,25,tutor,Very good. And what does that mean? [Speaker] It means there's 4 rows of 5 squares in them.,00:03:06
cydhmla,26,tutor,"Very good. Very good. There's 5 squares and there's 4 rows of it. 1, 2, 3, 4. Or when you look at the columns, how many columns do we have? [Speaker] We've got 5.",00:03:18
cydhmla,27,tutor,"5 columns, and in each one there's 4. So that's 5 columns of 4 square centimeters. Is that clear?",00:03:32
cydhmla,28,student,"Yeah, right. Keep in mind, area is the amount of space inside of a shape, and we use square centimeters to measure it. Now, for example, over here you can see we can fit in 20 squares. So the area is 20 square centimeters. Is that clear? So you measure the area with the number of squares you can fit into the shape. Is that clear? [Speaker] Yeah.",00:03:38
cydhmla,29,tutor,"Right. Now, you can see we've written that as 4 centimeters down and 5 centimeters across. So you do 5 times 4 or 4 times 5. What would be the answer? [Speaker] [unclear] 20.",00:04:06
cydhmla,30,tutor,"Very good. Let's write that down. [unclear] Now, can you read this?",00:04:20
cydhmla,31,student,The area of a rectangle can be found multiplying the length by the width.,00:04:40
cydhmla,32,tutor,What does that mean?,00:04:46
cydhmla,33,student,"So, a rectum, the like area of a rectangle, which is like inside, [Speaker] Can be found by multiplying the length and the width together.",00:04:48
cydhmla,34,tutor,"Very good. Great explanation. And wonderful focus so far. Moving on, on this slide we have the following section. I'll first work it out and then you can try the [unclear] section, okay?",00:05:01
cydhmla,35,student,Okay.,00:05:13
cydhmla,36,tutor,Let's calculate the area of this rectangle. So we have—,00:05:15
cydhmla,37,student,"8 centimeters the length, and the width is 6 centimeters. To calculate the area, we have to multiply the length by the width. So 8 times 6, that is [unclear] centimeters squared. Now this rectangle has an area of 80 centimeters squared. We already know the area, and we know the length. Now we have to work out the missing side length. To do that, I have to find out 10 times what is 80. 10 times 8 is 80, and that means the short side is 8 centimeters. Is that clear?",00:05:21
cydhmla,38,tutor,Yeah.,00:05:57
cydhmla,39,student,"All right, can you now try the your turn section?",00:05:59
cydhmla,40,tutor,So calculate the area of this rectangle. So we'll do 3 centimeters times 8 centimeters.,00:06:01
cydhmla,41,student,"Mm-hmm. 8? Why do you multiply 3 by 8? Oh, times 12, not 8.",00:06:11
cydhmla,42,tutor,Exactly. [unclear] [Speaker:Tamsin]...square centimetres is 36 centimetres square.,00:06:17
cydhmla,43,tutor,Very good.,00:06:37
cydhmla,44,tutor,Now how about the next question?,00:06:41
cydhmla,45,student,This rectangle has an area of 54 centimetres. Work out the missing side's length. So 9 times what equals 54? 9 times 6? [unclear],00:06:44
cydhmla,46,tutor,Very good. [Speaker] The short side is— [unclear],00:06:58
cydhmla,47,tutor,That's right.,00:07:26
cydhmla,48,student,Here's a sticker for me for working both of these out excellently well. Very proud of you.,00:07:31
cydhmla,49,tutor,We are now going to move on. Can you try this question? [Speaker:Background]...talk to them again.,00:07:36
cydhmla,50,student,Calculate the area of the shapes below.,00:07:44
cydhmla,51,background,"If that's what's going on, it's very annoying.",00:07:47
cydhmla,52,student,"So we will put... [Speaker:Background]...bye-bye. [Speaker:Tamsin]...2 over here, and then this is 1, 2, 3, So you put a 3 here, and this is 2, so a 2 goes here, and this is 1, 2, 1, 2, 3, 4, 5, maybe?",00:07:50
cydhmla,53,tutor,Okay. [unclear],00:08:23
cydhmla,54,student,"Okay, and then 1, 2, 3,",00:08:26
cydhmla,55,tutor,"Okay. All right, here you go, Sophia. Stop ignoring your teacher. [Speaker] So we'll do— so calculate the area. So do we do 2 times 5 times 3 times 2 times 3? [Speaker] [unclear] That's not how it works. Remember how we discussed that area is the amount of space inside of a shape, and we basically find out the number of squares that fit into the shape. To find the area? [unclear] [Speaker] So 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.",00:08:30
cydhmla,56,tutor,Exactly. [Speaker] So the answer is 12 centimetres squared.,00:09:12
cydhmla,57,tutor,"Very good. Because each square is a centimetre squared, so 12 of them is 12 centimetres squared. Very well done. And now how about card B? [Speaker] So it's 18 centimetres square.",00:09:17
cydhmla,58,tutor,Very good. How did you work it out? [Speaker] So I counted the squares inside.,00:09:39
cydhmla,59,tutor,"Okay. And how did you count the squares? [Speaker] So count the ones [unclear] counted 3 and then see how long it was on the outside. So there's 1, 2, 3, 4, 5, 6 on the outside, and then 1, 2, 3 here.",00:09:46
cydhmla,60,tutor,"Very good. So you've basically done— 6 is the length, which is a 6 over here, and the width is basically 3 centimeters. So you've basically done 6 times 3. That's impressive. Very good job and wonderful explanation. We're now going to try Part C. Can you give that a go? [Speaker] So 7 and 4, so we do 7 times 4, which is 28. [unclear]",00:10:05
cydhmla,61,tutor,"That's right. Very well done. [Speaker] Fill in the missing numbers. So— [Speaker] 5 centimeters square? No, 5 centimeters.",00:10:34
cydhmla,62,tutor,"Very good. Impressive. All right, great thinking and good job so far. We're now going to move on to the next slide. Can you try this question? [Speaker] The area of this shape is 168 centimeters square. Find the missing side, length. X.",00:10:52
cydhmla,63,tutor,"Mm-hmm. [Speaker] So the area is 168 centimeters, and we have 12 and 12 and 8, which is 20— 24 is 12 plus [UNCLEAR]. Or do we do 12 times 12?",00:11:13
cydhmla,64,student,"And if you did 12 times 12, The answer would be what? [Speaker] 20— no, 144.",00:11:36
cydhmla,65,tutor,And what would the 144 mean? [Speaker] [unclear] 144 is the area of the square part thing.,00:11:44
