session_id,utterance_id,role,content,timestamp
cyetdhg,0,background,[unclear],00:00:00
cyetdhg,1,tutor,"No! What just happened right now? Oh, hello?",00:00:00
cyetdhg,2,student,I'm joking.,00:00:06
cyetdhg,3,tutor,Hello?,00:00:07
cyetdhg,4,tutor,"Hello, Kellan?",00:00:11
cyetdhg,5,student,Hello?,00:00:12
cyetdhg,6,tutor,Can you hear me?,00:00:13
cyetdhg,7,student,"Yeah, I can hear you.",00:00:16
cyetdhg,8,tutor,"Kellan, can you hear me?",00:00:17
cyetdhg,9,student,Yeah.,00:00:18
cyetdhg,10,tutor,"Okay, that's great. So, how are you doing today, Kellan? [unclear]",00:00:19
cyetdhg,11,student,"Yeah, what'd you say?",00:00:25
cyetdhg,12,tutor,How are you doing today? Hello?,00:00:27
cyetdhg,13,student,Hello? You can hear me?,00:00:36
cyetdhg,14,tutor,"Yeah, now I can.",00:00:39
cyetdhg,15,student,"Okay, that's great. So how are you doing today?",00:00:41
cyetdhg,16,tutor,Good. I'm good.,00:00:46
cyetdhg,17,student,"Yeah, that's good to know. So are you excited to learn today?",00:00:49
cyetdhg,18,tutor,Yeah.,00:00:56
cyetdhg,19,student,Uh-huh. That's wonderful. So shall we start right with the lesson?,00:00:58
cyetdhg,20,student,"Uh, yeah.",00:01:03
cyetdhg,21,tutor,Yes. So today we're going to learn comparing and ordering fractions.,00:01:06
cyetdhg,22,student,Oh yeah.,00:01:17
cyetdhg,23,tutor,"Okay, so can you give this question a go? [unclear] Write these fractions in order from largest to smallest. [unclear]",00:01:19
cyetdhg,24,tutor,So how do you find this out?,00:01:30
cyetdhg,25,student,So you have to make these all have a denominator of 10.,00:01:43
cyetdhg,26,tutor,Uh-huh. Yes.,00:01:49
cyetdhg,27,student,"So, um, you go.",00:01:51
cyetdhg,28,student,So 2 tens. [unclear],00:01:57
cyetdhg,29,tutor,Yes?,00:02:04
cyetdhg,30,student,"Oh, I can't. So this is 2 tens.",00:02:09
cyetdhg,31,tutor,"2 tens, uh-huh.",00:02:19
cyetdhg,32,student,"This one becomes This one just becomes 6, 10.",00:02:21
cyetdhg,33,tutor,Wonderful. [unclear],00:02:29
cyetdhg,34,student,"And this one becomes— this one becomes 5, 10.",00:02:36
cyetdhg,35,tutor,"Okay, now 5. Great. So now can you order from smallest to largest?",00:02:47
cyetdhg,36,student,Huh? [unclear],00:02:53
cyetdhg,37,tutor,Can you order from smallest to largest?,00:02:55
cyetdhg,38,student,"Um, so this one, um, so you have to work out which one is closest to the denominator. So that means that, um, this one is the smallest.",00:02:59
cyetdhg,39,tutor,That's great.,00:03:17
cyetdhg,40,student,"It's a small, I suppose it's the least closest to [UNCLEAR]. [Speaker:Tutor] Wonderful.",00:03:18
cyetdhg,41,student,Here's a fun.,00:03:25
cyetdhg,42,tutor,Yeah.,00:03:30
cyetdhg,43,student,And then this one is next.,00:03:32
cyetdhg,44,tutor,"Oh, no way.",00:03:39
cyetdhg,45,student,"Oh no, I mean, that is right, that's right, that's right. And 6 tenths is the same as 3 fifths, so that's the biggest. So 3 fifths will go in there. And then 5 tenths is the same as 1 half, so that.",00:03:45
cyetdhg,46,student,"Yes, I'm really impressed with his effort. Keep it up. Okay, and you deserve a huge star for working out.",00:04:09
cyetdhg,47,tutor,Okay.,00:04:22
cyetdhg,48,student,"Okay, since time's been limited, we better listen now.",00:04:23
cyetdhg,49,tutor,Yeah.,00:04:29
cyetdhg,50,student,So why am I— [unclear],00:04:31
cyetdhg,51,tutor,"So as this is the continuation of previous week, we will start from the question B. Can you give this question a go?",00:04:33
cyetdhg,52,student,"This one? B is... So you have to find... [unclear] So, oh, this one. So you have to write them with a common denominator",00:04:45
cyetdhg,53,student,[unclear],00:05:01
cyetdhg,54,tutor,The common denominator is 18. Yeah. So this becomes 4/18. 4/18. This one is 4/18.,00:05:01
cyetdhg,55,student,That's nice.,00:05:23
cyetdhg,56,student,"Oh no way. Okay, and this one becomes— [unclear]",00:05:27
cyetdhg,57,student,"So that becomes 18. No, this one becomes 18.",00:05:55
cyetdhg,58,tutor,So what do you think here the numerator and denominator would be? So if you [unclear],00:06:07
cyetdhg,59,student,"So this one becomes 6, 6 over 18.",00:06:13
cyetdhg,60,student,There you go. [Speaker:Tutor]...of 18. And then this one comes.,00:06:18
cyetdhg,61,student,3/18.,00:06:50
cyetdhg,62,tutor,3/18. Good job. [unclear],00:06:51
cyetdhg,63,student,3/18. And this one becomes— this one is already 5/18.,00:06:55
cyetdhg,64,tutor,That's great. So now how would you order from smallest to largest?,00:07:04
cyetdhg,65,tutor,"So, um, you have to see which one is closest to this. So the biggest is, um, 5/18. [unclear] I'm sure that is 5/18 which is the biggest.",00:07:09
cyetdhg,66,student,"Oh no, it's 6/18.",00:07:26
cyetdhg,67,tutor,Mm-hmm.,00:07:30
cyetdhg,68,student,Yes?,00:07:34
cyetdhg,69,student,"So 6 over 18 is the same as 1 over 3, so we need to write 1 over 3.",00:07:35
cyetdhg,70,tutor,There we go.,00:07:44
cyetdhg,71,student,And then there's 5/18.,00:07:46
cyetdhg,72,tutor,"It's called, like, you could—",00:07:49
cyetdhg,73,student,"And then there's, um—",00:07:52
cyetdhg,74,tutor,"You can cross them off, that pretty much is the fun.",00:07:55
cyetdhg,75,student,Yeah.,00:07:58
cyetdhg,76,student,"Oh, and then, um, that is 4/18, which is same as 2/9, and then the smallest is 1/6.",00:08:01
cyetdhg,77,tutor,"That was a fantastic working out over there. Keep up the good job. Okay, but I want you to find the question A2.",00:08:16
cyetdhg,78,student,"Okay, so then the common denominator of all of them is 20.",00:08:26
cyetdhg,79,tutor,Why is this 20?,00:08:37
cyetdhg,80,student,Because 20 is in the— is in all of these times tables. It's a multiple.,00:08:39
cyetdhg,81,background,Exactly.,00:08:51
cyetdhg,82,tutor,There you go.,00:08:53
cyetdhg,83,student,"Multiple of numbers. So this becomes— this one becomes— no, this one is already 420, so this one becomes— [unclear]",00:08:54
cyetdhg,84,student,"This is water, so this is 8/20. And then this one becomes 6/20. And then this one becomes— [unclear] [unclear]",00:09:18
cyetdhg,85,student,5/20. So now—,00:10:04
cyetdhg,86,tutor,There you go.,00:10:05
