session_id,utterance_id,role,content,timestamp
dejhpgw,0,background,"Quickly just plug this into my TV. Hello? Hello? Come on, come on. [unclear] [Speaker:Tutor]...the spaces one. Right, right, right. This is... [Speaker:Kieran] Hello?",00:00:00
dejhpgw,1,background,"Hello, Kieran? Hi, can you hear me?",00:00:22
dejhpgw,2,tutor,What happened? [unclear],00:00:31
dejhpgw,3,student,Hello? [unclear],00:00:41
dejhpgw,4,tutor,Hello?,00:00:48
dejhpgw,5,student,Yes. [unclear],00:00:52
dejhpgw,6,tutor,Hello?,00:00:53
dejhpgw,7,student,Can you hear me?,00:00:54
dejhpgw,8,tutor,"Yeah, I can hear you now.",00:00:55
dejhpgw,9,student,"Okay, okay. If you don't find like unable to hear, you can type on the screen so that we can continue. Okay, Kieran?",00:00:57
dejhpgw,10,tutor,Okay.,00:01:03
dejhpgw,11,student,"Yeah, yeah, because sometimes what happens is that from your end sometimes network issue had happened.",00:01:04
dejhpgw,12,tutor,Yeah.,00:01:11
dejhpgw,13,student,"So if it is happening, I'll let you know. You can type on the screen so that at least we can use the time. You know, time is important.",00:01:11
dejhpgw,14,tutor,Yes.,00:01:18
dejhpgw,15,tutor,"Yes, of course. So how are you and how was the day so far?",00:01:19
dejhpgw,16,student,Pardon?,00:01:24
dejhpgw,17,tutor,I'm good. [unclear] How was yours been?,00:01:26
dejhpgw,18,background,"Yeah, the day was fantastic but not well actually. Suffered from cold, fever, and cough.",00:01:30
dejhpgw,19,tutor,"Ah, yes. That's the reason.",00:01:40
dejhpgw,20,background,That is the reason sometimes voice is changing. Certain students are there who are not able to recognize the voice also.,00:01:43
dejhpgw,21,student,"Yeah, I'm not able to [UNCLEAR]. [Speaker:Tutor] I'll try my best. If like I stop talking or anything, you can understand that I'm coughing, or either, you know, I'll just type. Okay?",00:01:51
dejhpgw,22,student,"Yeah, I hope you are catching me.",00:02:02
dejhpgw,23,tutor,"Okay, okay, I'm okay, right? Okay, in the last class we were doing a lesson called as finding equivalent fractions. Yeah.",00:02:03
dejhpgw,24,tutor,"Yeah, so today we will continue with the go further slide, right? So before that, can you tell me what are the equivalent fraction of 1/3? [unclear]",00:02:12
dejhpgw,25,student,Let's find equivalent fractions by looking at the numerators and denominators.,00:02:31
dejhpgw,26,tutor,"For 1/3, what is the equivalent fraction? How will you get?",00:02:36
dejhpgw,27,tutor,"Oh, so you would, um, so basically you would, um, 3 times 9 at the bottom. [unclear]",00:02:40
dejhpgw,28,tutor,"Yeah, which would equal 9. And then it would be 1 at the top. Yes, so we will multiply the top as well as the bottom, right? [unclear] Right, we're going to the final question for this session. I mean, for this, I mean, topic. Please do that, okay?",00:02:52
dejhpgw,29,student,Hello?,00:03:29
dejhpgw,30,tutor,Yeah.,00:03:30
dejhpgw,31,tutor,I like my soup.,00:03:35
dejhpgw,32,student,"Here are some fractions, all fractions I've seen. [unclear]",00:03:37
dejhpgw,33,tutor,"Do you want me to sort out, Thaddeus?",00:03:48
dejhpgw,34,student,"No, yeah, actually. [unclear]",00:03:57
dejhpgw,35,tutor,I didn't know.,00:04:00
dejhpgw,36,student,I don't really get it.,00:04:04
dejhpgw,37,tutor,"Okay, for example, if we have these two fractions, right?",00:04:08
dejhpgw,38,student,Yeah.,00:04:17
dejhpgw,39,tutor,How will you find the equivalent of it?,00:04:18
dejhpgw,40,tutor,Would you have timed it?,00:04:24
dejhpgw,41,student,"Yes, yes, of course.",00:04:27
dejhpgw,42,tutor,"I've got Ladybug headsets on, so I'm having a really good day. [unclear]",00:04:28
dejhpgw,43,student,"Oh, you timed it by 5 to get there?",00:04:41
dejhpgw,44,tutor,"Yes, of course.",00:04:49
dejhpgw,45,student,Let's add 10 more and stick it to the 5.,00:04:51
dejhpgw,46,tutor,"If you will be multiplying with 5, what will you get? You will be getting?",00:05:02
dejhpgw,47,student,20.,00:05:06
dejhpgw,48,tutor,"So if you are multiplying— [unclear] You have to do. Timed it by five. What should be here, which you time by five to get 15. Yeah, exactly. Exactly. Three, right? Yeah, three. Right.",00:05:08
dejhpgw,49,tutor,Yeah.,00:05:39
dejhpgw,50,student,"Okay, so if it is 3?",00:05:41
dejhpgw,51,tutor,Yeah.,00:05:50
dejhpgw,52,student,Mm-hmm.,00:05:52
dejhpgw,53,tutor,"Yeah. [unclear] Now, you know, this is 3. What should you add to green part to get 12?",00:05:54
dejhpgw,54,student,9.,00:06:12
