session_id,utterance_id,role,content,timestamp
dfiovts,0,background,[unclear],00:00:00
dfiovts,1,tutor,"Oh, hello.",00:00:00
dfiovts,2,student,Hello.,00:00:02
dfiovts,3,tutor,"Oh, here we go.",00:00:05
dfiovts,4,student,"Hi Alistair, I can hear you. Can you hear me as well?",00:00:08
dfiovts,5,tutor,"Yeah, I can hear you now.",00:00:11
dfiovts,6,student,Great. How are you doing today?,00:00:12
dfiovts,7,tutor,I'm all good.,00:00:15
dfiovts,8,tutor,"That's nice to hear, Alistair. How has your previous week been at school?",00:00:17
dfiovts,9,student,It's been alright.,00:00:22
dfiovts,10,tutor,"Alrighty, so that's really nice to hear. So are you ready to start the session now?",00:00:26
dfiovts,11,student,Yes.,00:00:34
dfiovts,12,tutor,"Okay, so let's get started off with the lesson. You did most part of this lesson last week. We'll start from where we left off. Working with y mx c. Shall we try this question first, Alistair? Oh, I",00:00:35
dfiovts,13,student,can hear you now. I'm good. How are you? We did [unclear],00:00:50
dfiovts,14,tutor,types of numbers.,00:01:02
dfiovts,15,student,I think I agree with Phyllis.,00:01:08
dfiovts,16,tutor,"That's right, Alistair. Can you tell me the reason as well?",00:01:13
dfiovts,17,student,"Each line intercepts at a different y-axis, so he is correct.",00:01:17
dfiovts,18,tutor,"That's right. That was a very good job done in answering that question correctly, and great job in explaining the answer as well. So let's move on to— you did 2 questions of this lesson last week, so we can start From this question. This is the place where we need to start from. Shall we read the question first, Alistair? [unclear]",00:01:23
dfiovts,19,student,Okay.,00:01:50
dfiovts,20,tutor,"Okay. So what kind of a thing do you think you need to do in this question, Alistair? Are you supposed to draw a picture? Graph, or are you supposed to find the equation?",00:01:54
dfiovts,21,student,"[unclear] find the equation, not draw it, because it's already done for you.",00:02:07
dfiovts,22,tutor,That's right. There we go. So how do you think we should work out this kind of a question?,00:02:11
dfiovts,23,background,I think we should start off with finding the y-intercept.,00:02:18
dfiovts,24,tutor,"That's right, Alistair. That was a very good job in figuring out the first step. So we can start from there. So we can first of all I will just write y mx c. So in this formula, which letter represents y-intercept? c. That's",00:02:22
dfiovts,25,student,right.,00:02:45
dfiovts,26,tutor,"Yes, you can write c equals and then in front of it you can write the y-intercept. That's right, [unclear] c is -1. And what do you think you should do next, Alistair?",00:02:45
dfiovts,27,student,Find the gradient.,00:03:06
dfiovts,28,tutor,"Yes, that's right. That's the next thing we need to find out. How do you think we should find the gradient?",00:03:11
dfiovts,29,student,Not really sure.,00:03:23
dfiovts,30,tutor,"That's fine, Alistair. We can move on to the next slide where they have explained How to find the gradient for us. So, we can read the explanation and then find it out. And shall we write the C over here again, Alistair?",00:03:26
dfiovts,31,student,There we go. That's right.,00:03:46
dfiovts,32,tutor,Okay. And let's read this part over here to figure out how to find the gradient out. [unclear] [unclear],00:03:47
dfiovts,33,tutor,Yeah? No?,00:03:57
dfiovts,34,student,"Okay, um...",00:04:10
dfiovts,35,tutor,"And when you come back to the draft over here, Alistair, what do you think they have done here?",00:04:15
dfiovts,36,student,"Like, they've drawn the triangle.",00:04:22
