session_id,utterance_id,role,content,timestamp
dnvigbn,0,tutor,I think people need to remind themselves how grateful and lucky we are that they get to pay a tutor. That's a very expensive resource. [unclear],00:00:00
dnvigbn,1,student,I just like biscuits. So it's like a little crunchy biscuit with a bit of white chocolate on top. [unclear],00:00:10
dnvigbn,2,tutor,Hello.,00:00:31
dnvigbn,3,student,Hi.,00:00:32
dnvigbn,4,tutor,"Hi Callum, can you hear me?",00:00:32
dnvigbn,5,student,Yeah.,00:00:33
dnvigbn,6,tutor,"Hello, can you hear me?",00:00:34
dnvigbn,7,student,How are you?,00:00:35
dnvigbn,8,tutor,I'm good.,00:00:36
dnvigbn,9,student,"I'm glad. So I think we have already started this lesson, right?",00:00:37
dnvigbn,10,tutor,Yeah.,00:00:43
dnvigbn,11,student,"So this lesson is about multiplying and dividing decimals using the known facts, okay?",00:00:44
dnvigbn,12,tutor,"Alright, so before we start from the place where we stopped last week, we'll just go through the lessons that you have already done. Okay, so I think we completed this, then we completed this. So we have to start from this Part B, right? So before doing that, let's just summarize the things that we have already done. Okay, alright, so here",00:00:50
dnvigbn,13,tutor,So what do you mean by these known facts? What are they?,00:01:17
dnvigbn,14,student,That you use things that you know to work out the questions.,00:01:22
dnvigbn,15,tutor,"Yeah, so known facts in the sense the simple things that you know, like, so you know 2 times 10 is 20, right? So similarly, let's consider 3 times 5 is 15, right? So those are the known facts that can be useful when we are multiplying and dividing decimals. Okay, all right. So, and here when you're doing these questions, a place value chart can be really useful. Okay, so here, can you see here we are multiplying 3 by 5 to get 15, right? So that's a known fact, right? So that means if we multiply 3 by 500, we are going to get 1500, right?",00:01:26
dnvigbn,16,student,Yeah.,00:02:03
dnvigbn,17,tutor,"So if we place that in a place value chart, the answer we get is 0.15. Okay. All right, so similarly, uh, can you see here? If we look at this, okay, so 3 remains the same. So here we have divided 5 by 100, right?",00:02:04
dnvigbn,18,student,Yes.,00:02:19
dnvigbn,19,tutor,"That means the answer, you should divide the answer also by 100. Okay, all right, so this is divided by 100. [unclear]",00:02:20
dnvigbn,20,tutor,"That means the answer also should be divided by the same amount, which is 100. Okay. All right. So that's how we use a known fact to do a question like that. Okay. So then I think we discuss similar questions like that, right? So see here. So here we have 3, here we have 3/10, right? So that means we have divided 3 by 10, right? So that means what should we do with the final answer?",00:02:36
dnvigbn,21,student,"You times it by— I mean, divide it by 10.",00:03:02
dnvigbn,22,tutor,"Exactly, you divide the final answer also by 10. Okay, so keeping these things in your mind, we'll go to our question. Okay, so can you try part B?",00:03:06
dnvigbn,23,student,It's 24 divided by 46. So that means that is— [unclear],00:03:16
dnvigbn,24,tutor,Is it 0.6? [unclear],00:03:28
dnvigbn,25,tutor,"Alright, so can you explain to me how you got that answer?",00:03:32
dnvigbn,26,student,"Since you know that 24 divided by 4 is 6, it was divided by 10, so then you divide the 6 by 10, which would equal 0.6.",00:03:39
dnvigbn,27,tutor,"Exactly. Well done, Callum. Okay. All right. So we'll move to Part C now.",00:03:55
dnvigbn,28,student,"[unclear] 0.04 times 8. It was 4 times 8. No, no, not 4 times 8.",00:03:58
dnvigbn,29,tutor,Yeah. So you should know your own facts.,00:04:17
dnvigbn,30,student,Yeah. So it's 4 times 8.,00:04:21
dnvigbn,31,student,This 4 times 8 is 32.,00:04:29
dnvigbn,32,tutor,Yeah.,00:04:32
dnvigbn,33,student,[unclear] equals 32. 0.04 times 8 would be 0.32.,00:04:34
dnvigbn,34,tutor,"Exactly. So what we have to do is, since they are here, we have 4, but here in the question is we have 4 hundredths, right? So that means the final answer also you should get 3200. Okay, all right, good job. So we'll do the final question as well. So you can try part D now.",00:04:46
dnvigbn,35,student,0.27 divided by 9. [unclear] 27 divided by 9 is 3. So then if you divide 3 by,00:05:02
dnvigbn,36,tutor,"Yeah, so what you can do is write the known fact below it, okay? So can you write the known fact below it?",00:05:21
dnvigbn,37,student,"Uh, 27— [unclear] 27 divided by 9 equals 3. Then, um,",00:05:26
dnvigbn,38,student,"[unclear] 0.27 divided by 9 would be, um, would it be 0.03?",00:05:46
dnvigbn,39,tutor,"Mm-hmm. Yeah, exactly. So can you see the relationship between 27 and here? We have 27, here we have 27 hundredths, right? So the answer we get 3, so we should get 3 hundredths. Okay, all right. So well done there, Callum. So you did it all by yourself, so awesome effort. Okay.",00:05:55
dnvigbn,40,tutor,"Alright, so I hope this slide is clear for you. So shall we move on to our next slide?",00:06:13
dnvigbn,41,student,Yeah.,00:06:17
