session_id,utterance_id,role,content,timestamp
dsjdcdg,0,background,[unclear],00:00:00
dsjdcdg,1,student,What's that now? [unclear],00:00:00
dsjdcdg,2,tutor,Hello?,00:00:22
dsjdcdg,3,student,Hello?,00:00:30
dsjdcdg,4,tutor,Hello?,00:00:33
dsjdcdg,5,student,Hello?,00:00:37
dsjdcdg,6,tutor,Hello?,00:00:38
dsjdcdg,7,student,Hello?,00:00:39
dsjdcdg,8,tutor,Hello?,00:00:41
dsjdcdg,9,student,Hello?,00:00:42
dsjdcdg,10,tutor,Hello.,00:00:44
dsjdcdg,11,student,Hello.,00:00:46
dsjdcdg,12,tutor,"Hello, Calliope. We have about 2 minutes till the session start time. Please wait for another 2 minutes, okay? Then I'll start the session. [unclear]",00:00:47
dsjdcdg,13,tutor,"It's your initials and 1, 2, 3. Can I have the sheet back, please?",00:00:56
dsjdcdg,14,tutor,Is that everything working? [unclear] [unclear],00:01:39
dsjdcdg,15,student,You can let me first. [unclear],00:02:15
dsjdcdg,16,tutor,You're all right now.,00:02:28
dsjdcdg,17,student,Sorry.,00:02:39
dsjdcdg,18,tutor,You're all right now. [unclear],00:02:47
dsjdcdg,19,tutor,Hello.,00:03:02
dsjdcdg,20,student,Hello.,00:03:03
dsjdcdg,21,tutor,"Hi, Calliope.",00:03:05
dsjdcdg,22,student,Hello.,00:03:07
dsjdcdg,23,tutor,Hello.,00:03:09
dsjdcdg,24,student,"You can hear me clearly, right?",00:03:11
dsjdcdg,25,tutor,"Yeah, it's lagging out a bit.",00:03:15
dsjdcdg,26,student,Is that so? How about now? Is it still the same?,00:03:19
dsjdcdg,27,tutor,"Okay, so Calliope, how are you doing?",00:03:28
dsjdcdg,28,student,Good. Sorry. Good.,00:03:31
dsjdcdg,29,tutor,Good. So how are the studies going? How's school? [unclear],00:03:36
dsjdcdg,30,tutor,"Good. So today, did you have maths today, Calliope?",00:03:47
dsjdcdg,31,student,Yeah.,00:03:52
dsjdcdg,32,tutor,"Yeah? Okay, can you tell me what you learned there?",00:03:53
dsjdcdg,33,student,I don't know. I forgot. Sorry. I forgot.,00:03:57
dsjdcdg,34,tutor,"Calliope, I can't hear you clearly. Hello? Okay, so today we have a new lesson to start, okay?",00:04:05
dsjdcdg,35,tutor,"So let's see what our today's lesson is. Okay, so today we are going to learn about writing simple fractions as decimals. Okay, so here we are going to understand the equivalence between decimals and fractions, right? And we are going to learn how to compare decimals and fractions. Okay.",00:04:20
dsjdcdg,36,tutor,So have you done this before at school? Calliope?,00:04:45
dsjdcdg,37,student,I forgot.,00:04:53
dsjdcdg,38,tutor,Have you done this before at school?,00:04:55
dsjdcdg,39,student,I don't know.,00:04:57
dsjdcdg,40,tutor,"Okay, it's fine. Let's see what we have today, okay? So as usual, we'll be doing the learning goal questions first. [unclear] [unclear]",00:04:59
dsjdcdg,41,tutor,What does the question say?,00:05:13
dsjdcdg,42,student,Writing simple fractions of a decimal.,00:05:22
dsjdcdg,43,tutor,What's the learning goal question?,00:05:26
dsjdcdg,44,student,"Alright, 2/5 as a decimal.",00:05:37
