session_id,utterance_id,role,content,timestamp
dxdxhly,0,background,[unclear],00:00:00
dxdxhly,1,tutor,Hello? Hello? Hello? Hello?,00:00:00
dxdxhly,2,student,Hello?,00:00:05
dxdxhly,3,tutor,"Hello? So, other things to try, guys, if it's not working, scratchy scratchy, Hello? Hello? Hello? [unclear]",00:00:07
dxdxhly,4,tutor,Can you hear me now?,00:00:33
dxdxhly,5,student,Yes.,00:00:35
dxdxhly,6,tutor,"Okay, great. How are you doing today?",00:00:36
dxdxhly,7,student,Good.,00:00:38
dxdxhly,8,tutor,"So we are after the long holiday, right?",00:00:39
dxdxhly,9,student,Yeah.,00:00:43
dxdxhly,10,tutor,How was your holidays?,00:00:44
dxdxhly,11,student,Good.,00:00:47
dxdxhly,12,tutor,Good? Okay. How did you enjoy your holiday?,00:00:47
dxdxhly,13,student,Because I went to [unclear] on the train.,00:00:51
dxdxhly,14,tutor,"Okay, so we are back to the session, right?",00:00:57
dxdxhly,15,tutor,"All right, yes. So with that, let's get into today's lesson. So actually, we have already started this lesson last time on your last session. Can you remember?",00:01:08
dxdxhly,16,student,Yeah.,00:01:18
dxdxhly,17,tutor,Would you like to read the topic?,00:01:19
dxdxhly,18,student,Using fact families to multiply and divide.,00:01:22
dxdxhly,19,tutor,"Yes. So last time we were able to complete only up to the Let's Learn slide. So we have some more concepts to learn about fact families in this lesson. So we will be continuing with the Follow Me or Your Turn slides. Okay? Alright, so if you can remember, can you remember this slide?",00:01:29
dxdxhly,20,student,Yeah.,00:01:48
dxdxhly,21,tutor,Which was already completed last time.,00:01:49
dxdxhly,22,student,If we know...,00:01:55
dxdxhly,23,tutor,"No, no, we have already completed it. We need to start from the Follow Me slide. Okay?",00:01:56
dxdxhly,24,student,Okay.,00:02:02
dxdxhly,25,tutor,"Right, so here maybe I'll talk through the Follow Me step, Follow Me part as a recap of this concept of this lesson. So have a look at how I answer a question, and then if you have any doubts, you can interrupt me and ask your question.",00:02:03
dxdxhly,26,student,Okay.,00:02:20
dxdxhly,27,tutor,"Alright, so let me start. It says, let's look at 6 times 4 and complete the fact triangle here. So we have a triangle here. It is called a fact triangle, by the way. So we have 6 multiplied by 4, and the answer needs to be written here in the blank. Okay?",00:02:21
dxdxhly,28,student,Yeah.,00:02:40
dxdxhly,29,tutor,"Right. So, times 4 is 24. So I need to write it here. There's an interesting fact about this triangle. So if you can notice that 6 times 4, like the bottom two numbers multiplied together, which gives us 24 here. And if you observe closely, this 24, if you're going to divide it by 8, the bottom number, the answer will be the remaining. For an example, if we try and divide 24 by 6, if you check how many 6s we have in 24, it would be 4, because 6 times 4 is 24. So if you divide 25 by 6, you will get the answer as 4. Okay, am I right?",00:02:41
dxdxhly,30,student,[unclear],00:03:28
dxdxhly,31,tutor,"Okay, so similarly, if I still divide 24 by this 4 over here, the 24 divided 24 by 4 will give me over 6 here as my answer. Now, how many 4s I have in 24? If I start counting in my 4 times table, I will have 6 4s in 24. Okay, so this is how the factor triangle works. Okay, let's write down those, uh, steps here. So it says write 3 other calculations using the factor triangle. So we already know that 6 times 4 or 4 times 6, either way, it is 24.",00:03:29
dxdxhly,32,student,"[unclear] And I can also write that 24 divided by 6 will give me 4. And the same 24 divided by 4 will give me 6 as my answer. So it is like this, either you divide it by 6 or 4, you will be getting the other two numbers as the answer. It is interrelated. Okay?",00:04:06
dxdxhly,33,student,"[unclear] Okay, so using the same concept, using the same fact, I need to solve the related concept— I mean, related calculation here. 6 times 40. So if I know what is 6 times 4, which is 24, I need to make the 4 to 40. The 40 is 10 times bigger than 4. Am I right?",00:04:33
dxdxhly,34,student,[UNCLEAR],00:04:33
dxdxhly,35,tutor,"So if— let me write it here. So if 6 times 4 equals 24, I need to find how much is 6 times 40. So this 40 is 10 times bigger than 4. So therefore, my answer to this calculation should also be 10 times bigger. It should be [UNCLEAR], which means 24 needs to be multiplied by 10 to make it 10 times bigger. Okay, so 24 times 10 will give me 240. Am I clear with that?",00:04:54
dxdxhly,36,student,Yeah.,00:05:36
dxdxhly,37,tutor,"Okay, so another related concept. So the answer is 40. Something has been divided by 6. So they have used the same calculation here, which means the 240 has been divided by 6 so that it gives the answer of 40. It is related with the multiplication fact here. Okay?",00:05:37
dxdxhly,38,student,Okay.,00:06:00
dxdxhly,39,tutor,Do you have any questions regarding what I did so far?,00:06:02
dxdxhly,40,student,No.,00:06:06
dxdxhly,41,tutor,"Okay, are we good to start your turn then?",00:06:07
dxdxhly,42,student,Yes.,00:06:10
dxdxhly,43,tutor,"Alright, let's read the question.",00:06:12
dxdxhly,44,background,Complete the calculations below. [unclear] 9 times 3.,00:06:14
dxdxhly,45,tutor,Yes.,00:06:24
dxdxhly,46,student,This completes the fact triangle.,00:06:27
dxdxhly,47,tutor,"Yes, so we have the fact triangle here, 9 times 4. What do you think we need to do?",00:06:31
dxdxhly,48,student,We need to times [unclear] 4.,00:06:39
dxdxhly,49,tutor,"Yes, which is? [unclear]",00:06:42
dxdxhly,50,tutor,"9 times 4. Okay, let's start from the beginning. How much is 9 times 1?",00:06:54
dxdxhly,51,student,9.,00:07:06
dxdxhly,52,tutor,9 times 2 is?,00:07:07
dxdxhly,53,student,18.,00:07:10
dxdxhly,54,tutor,And 9 times 3 is?,00:07:12
dxdxhly,55,student,24.,00:07:14
dxdxhly,56,tutor,9 times 3?,00:07:20
dxdxhly,57,student,27.,00:07:25
dxdxhly,58,tutor,Yes. And 9 times 4 will give us?,00:07:26
dxdxhly,59,student,28.,00:07:30
dxdxhly,60,tutor,"Hmm, 24 is 9 times 3. How much is 9 times 4 then? [unclear] [unclear]",00:07:33
dxdxhly,61,tutor,9 times 1 is 9. 9 times 2 is 18. 9 times 3 is 27. What comes next?,00:07:50
dxdxhly,62,student,The teaching? 32. How many did you add on to 27? How many do you think we need to keep on adding?,00:08:06
dxdxhly,63,student,9.,00:08:24
dxdxhly,64,tutor,"9. So 27 plus 9 is 36. Yes, it's 36. So how much is 9 times 4?",00:08:25
dxdxhly,65,student,36.,00:08:25
dxdxhly,66,tutor,"Absolutely, it is 36. Yes, you can complete the blank. All right.",00:08:25
dxdxhly,67,student,Complete 3 other calculations using this fact.,00:08:49
dxdxhly,68,tutor,"Yes, so what is the first calculation you can make?",00:08:56
dxdxhly,69,student,36 divided by... We have a multiplication calculation here. Yes.,00:09:01
dxdxhly,70,student,36 times 9.,00:09:11
dxdxhly,71,tutor,Uh-oh. 36 times 9. What is the multiplication calculation that we have in this triangle? [unclear] Absolutely.,00:09:15
dxdxhly,72,student,4 times 9.,00:09:33
dxdxhly,73,tutor,"Yes, either way you can write it in the blank. The answer is? Right. So here comes the other 2 calculations with division this time.",00:09:35
dxdxhly,74,student,36 divided by 4.,00:09:53
dxdxhly,75,tutor,"Yes, you can write it in the blank. Will give us the answer of? Right. What could be the other calculation? [UNCLEAR]... Yes, absolutely. A very good working out in using the fact triangle and finding these calculations. Great work, Lorcan. Lorcan, keep it down. Okay? Right. So here comes the next C part. How can we find 90 times 4 rays?",00:09:56
dxdxhly,76,student,[unclear],00:10:49
dxdxhly,77,tutor,"Using which fact we can find 90 times 4, the answer of 90 times 4? [unclear]",00:10:53
dxdxhly,78,tutor,"Maybe you can look at how I related with the calculation. To find 6 times 4, which calculation did I use? Can you remember?",00:11:10
dxdxhly,79,student,6 times 4.,00:11:21
dxdxhly,80,tutor,"Yes, to find the answer of 6 times 40, I used 6 times 4, right? Similarly, to find 90 times 4, which calculation would be useful? [unclear]",00:11:26
dxdxhly,81,tutor,"9 times? 9 times 4, right?",00:11:41
dxdxhly,82,student,Yeah.,00:11:52
dxdxhly,83,tutor,"By the way, how much is 9 times 4?",00:11:53
dxdxhly,84,student,36.,00:11:57
dxdxhly,85,tutor,"36. So if 9 times 4 is 36, what do you think 90 times 4 is?",00:11:58
dxdxhly,86,student,[unclear],00:12:06
dxdxhly,87,tutor,Did you say that 260 or 360?,00:12:06
dxdxhly,88,student,360.,00:12:15
dxdxhly,89,tutor,Yes. How did you find that it is 360?,00:12:16
dxdxhly,90,student,"Because you can't add any more onto it. So if you add a zero, it will be 360.",00:12:20
dxdxhly,91,tutor,"Okay, now if we look into this calculation, which number has changed? Or which number has changed?",00:12:33
dxdxhly,92,student,The 90.,00:12:41
dxdxhly,93,tutor,"Then yes, the 9 has become 90, right?",00:12:41
dxdxhly,94,student,Yeah.,00:12:48
dxdxhly,95,tutor,"Right, so is the number has become bigger or smaller?",00:12:48
dxdxhly,96,student,It became bigger.,00:12:52
dxdxhly,97,tutor,Bigger. How many times the 90 is bigger than 9?,00:12:56
dxdxhly,98,student,em... [UNCLEAR],00:12:56
dxdxhly,99,tutor,How many times the 90 is bigger than 9?,00:13:02
dxdxhly,100,student,one.,00:13:02
dxdxhly,101,tutor,"What do you think? In other words, 9 times how much is 90?",00:13:02
dxdxhly,102,student,[UNCLEAR],00:13:02
dxdxhly,103,tutor,9 times how much is 90? [unclear] Are you trying to find that? 9 times how much is 90?,00:13:26
dxdxhly,104,student,[unclear],00:13:55
dxdxhly,105,tutor,Okay. Are you using the multiplication table?,00:13:57
dxdxhly,106,student,[unclear],00:14:00
dxdxhly,107,tutor,"Okay, go ahead. [unclear]",00:14:01
dxdxhly,108,tutor,You can— maybe you can check the 9 times table and find where this 99 times how much would give us 90. [unclear],00:14:26
dxdxhly,109,tutor,Are you finding it difficult to find it?,00:14:52
dxdxhly,110,student,Yeah.,00:15:06
dxdxhly,111,tutor,"Okay, don't worry, I'll help you. So we have already listed down the 9 times table up to— can you remember up to 36? So what comes after 36? [unclear] After 36, it's a 9 times table, so we keep on adding how much?",00:15:08
dxdxhly,112,student,9.,00:15:34
dxdxhly,113,tutor,9. So 36 plus 9 will give us?,00:15:35
dxdxhly,114,student,45.,00:15:39
dxdxhly,115,tutor,45. And what comes next?,00:15:41
dxdxhly,116,student,[unclear],00:15:43
dxdxhly,117,tutor,Yes. And then?,00:15:43
dxdxhly,118,student,63.,00:15:50
dxdxhly,119,tutor,Right. Go ahead.,00:15:53
dxdxhly,120,student,62.,00:15:57
dxdxhly,121,tutor,Right. And then?,00:15:58
dxdxhly,122,student,81.,00:16:05
dxdxhly,123,tutor,"Right, good. And finally, you will get?",00:16:06
dxdxhly,124,student,99.,00:16:11
dxdxhly,125,tutor,"9, um, 9 T's, right?",00:16:12
dxdxhly,126,student,Yeah.,00:16:15
dxdxhly,127,tutor,"Right, 9 T's. So 9 times how much is 90? [unclear] [unclear]",00:16:16
dxdxhly,128,tutor,"9 times 10. So if you can look at— coming back to the question, so 9 times 10 is 90, which is— 90 is how many times bigger than 9?",00:16:29
dxdxhly,129,student,10.,00:16:43
dxdxhly,130,tutor,"10 times. So the answer here should also be the same, which means you need to make 36 how many times bigger? Same thing, you need to make 36. How many times bigger?",00:16:44
dxdxhly,131,student,10.,00:17:03
dxdxhly,132,tutor,"10 times bigger, which is 36 times 10 will give us?",00:17:04
dxdxhly,133,student,[unclear],00:17:08
dxdxhly,134,tutor,"Oh, 36 times 10 will give us?",00:17:09
dxdxhly,135,student,[unclear],00:17:16
dxdxhly,136,tutor,How do we multiply by 10 on a place value chart? 36. What do you think we need to do when multiplying by 10?,00:17:17
dxdxhly,137,student,We need to move the 3 in the hundreds.,00:17:33
dxdxhly,138,tutor,"Yes, and 6 to the...",00:17:36
dxdxhly,139,student,Tens.,00:17:39
dxdxhly,140,tutor,"Tens. So can you fill the blank here, the answer after multiplying by 10? [unclear] 300, 6 tens, and... Yeah, so what number is it?",00:17:40
dxdxhly,141,student,360.,00:17:53
dxdxhly,142,tutor,"There you go. So 360 is how you got here. We made the number 10 times bigger as same here. Okay, right. So here comes another plan. Something divided by 4 is 90. What do you think?",00:17:55
dxdxhly,143,student,[unclear],00:18:12
dxdxhly,144,tutor,"There you go, it is. How did you find that?",00:18:12
dxdxhly,145,student,Because 360 divided by 4 equals 90.,00:18:18
dxdxhly,146,tutor,"Okay, and you could also check with this. 90 times 4 is 360. So if you divide this answer by any of these multiplier, you will be getting the remaining as your answer, just like how the triangle works. Okay. [unclear] Right, so once again, really an awesome effort put in in completing these plans by yourself. So great work in finding them. So yep, with that we can move on to the You Do slide. We have some more questions to practice. Okay?",00:18:26
