session_id,utterance_id,role,content,timestamp
eakvepq,0,tutor,[unclear],00:00:00
eakvepq,1,tutor,[unclear],00:00:09
eakvepq,2,student,Hello?,00:00:31
eakvepq,3,tutor,"Hello, sorry, I've been trying to get her on, it's not been working.",00:00:32
eakvepq,4,student,Okay.,00:00:36
eakvepq,5,tutor,"So, I'm just going to get her set up. [unclear] Right, Linus, that's working. If you need to refresh it, refresh it on there, okay?",00:00:38
eakvepq,6,tutor,"Okay. [unclear] It will get loud when people come in from playtime, but it'll only be for a few minutes, okay? Okay, if you need any help—",00:00:54
eakvepq,7,student,Hello.,00:01:01
eakvepq,8,tutor,"Hello, can you hear me?",00:01:03
eakvepq,9,student,Yes.,00:01:05
eakvepq,10,tutor,"Okay, so hi Linus, how are you?",00:01:07
eakvepq,11,student,"I'm great, thank you.",00:01:11
eakvepq,12,tutor,"Okay, great. So what were you doing before coming here?",00:01:15
eakvepq,13,tutor,What?,00:01:22
eakvepq,14,student,What were you doing before coming here?,00:01:22
eakvepq,15,tutor,"Um, I was doing my English.",00:01:26
eakvepq,16,student,All right. And how has your day been so far?,00:01:30
eakvepq,17,tutor,It's been great.,00:01:36
eakvepq,18,student,That's great. So are we ready to start with the session?,00:01:38
eakvepq,19,tutor,"Okay. Okay, so here we have the lesson name. Could you please read the name of this lesson?",00:01:43
eakvepq,20,student,Write sentence as decimals.,00:01:54
eakvepq,21,tutor,"Right, so do you remember that last time when you came, you started this lesson a bit with your previous tutor?",00:01:57
eakvepq,22,student,Yes.,00:02:08
eakvepq,23,tutor,"Yes, it is. So today we'll be continuing this topic from where it was left. So yeah, so today we have to start from Let's Learn slide. Alright?",00:02:09
eakvepq,24,tutor,Okay.,00:02:21
eakvepq,25,student,Great. So here we have something written in the green box. Could you please read the line in it?,00:02:22
eakvepq,26,tutor,We can show tense as [UNCLEAR].,00:02:31
eakvepq,27,student,Right. So we will learn here how can we show tense. Using decimals. So do you know what are decimals?,00:02:31
eakvepq,28,student,Yes.,00:02:44
eakvepq,29,tutor,Great. And have you seen this place value chart before?,00:02:45
eakvepq,30,student,No.,00:02:51
eakvepq,31,tutor,"No? All right. Do you know— okay, so we have a place value chart and we have columns in it. Do you know what is this column? What's the name of this column? The first one.",00:02:52
eakvepq,32,tutor,Hundreds?,00:03:06
eakvepq,33,student,"No, it's ones. Okay?",00:03:08
eakvepq,34,tutor,[unclear],00:03:10
eakvepq,35,student,"Yeah. Ones, like we have the numbers like 1, 2, 3. Firstly, let me just tell you something about the place value chart. Okay, so here we have some place value chart, right?",00:03:13
