session_id,utterance_id,role,content,timestamp
egpsyhm,0,background,[unclear],00:00:00
egpsyhm,1,tutor,Hello?,00:00:00
egpsyhm,2,student,Hello.,00:00:01
egpsyhm,3,tutor,"Hello, hello, Declan. How are you doing?",00:00:03
egpsyhm,4,student,Good.,00:00:06
egpsyhm,5,tutor,"Good to hear. Okay, so how has your day been so far?",00:00:08
egpsyhm,6,student,Good.,00:00:15
egpsyhm,7,tutor,"Good to hear as well. Okay, so what did you all learn at school today apart from maths that you have come now?",00:00:16
egpsyhm,8,student,English and [UNCLEAR].,00:00:24
egpsyhm,9,tutor,"And, sorry?",00:00:24
egpsyhm,10,student,English and [UNCLEAR].,00:00:33
egpsyhm,11,tutor,"Oh, okay, okay, all right, okay, that's really nice to hear.",00:00:33
egpsyhm,12,tutor,"Alright, so then are you ready for the lesson today?",00:00:41
egpsyhm,13,student,Yeah.,00:00:44
egpsyhm,14,tutor,"Yes, okay. So Declan, we already started with this lesson last week and we did the learnable [unclear] together, if you remember?",00:00:46
egpsyhm,15,student,Yeah.,00:00:59
egpsyhm,16,tutor,"Right, okay. So today we are going to complete with this lesson, right? Okay, so what do you remember from our previous session?",00:00:59
egpsyhm,17,student,"I remember that. [unclear] Wait, so I remember that ascending and descending.",00:01:09
egpsyhm,18,tutor,"Oh, okay. That was from the other lesson, right? Okay, I was not expecting that. Yes, that was a good answer. And I taught you a trick, right?",00:01:18
egpsyhm,19,student,Yeah.,00:01:32
egpsyhm,20,tutor,"Okay, I hope you remember the trick as well.",00:01:34
egpsyhm,21,student,"Yeah, I do.",00:01:37
egpsyhm,22,tutor,"Okay, that's great. Okay, so do you remember anything from this lesson then? Knowing the value of each digit?",00:01:39
egpsyhm,23,student,"Uh, I remember the decimals.",00:01:49
egpsyhm,24,tutor,"Oh, okay. And we learned to read out the decimal number as well, right?",00:01:53
egpsyhm,25,student,"Yeah, but I'm not really too keen on decimals, so I might be a bit [UNCLEAR].",00:01:59
egpsyhm,26,student,I think you will make it. [unclear],00:02:03
egpsyhm,27,tutor,"Don't get it wrong, but—",00:02:05
egpsyhm,28,student,"Okay. All right, I understand that, right? Because not everyone likes our lessons. That's fair enough, right?",00:02:07
egpsyhm,29,tutor,Yeah.,00:02:16
egpsyhm,30,student,"Okay. Yes. So don't worry, I'm here to help you out with that, right? All right. So can you read out this number?",00:02:17
egpsyhm,31,tutor,35.28.,00:02:25
egpsyhm,32,tutor,"There you go, you have a really good memory. 35.28, right? So then, Declan, we learned on how to write the value of the digit 2 in this number, right?",00:02:31
egpsyhm,33,student,Yeah.,00:02:43
egpsyhm,34,tutor,"So to write that, write the value of digit 2, first you have to know the place value of digit 2. So what is the place value of digit 2?",00:02:43
egpsyhm,35,student,Um...,00:02:54
egpsyhm,36,student,"Uh, is it the tenths column?",00:02:57
