session_id,utterance_id,role,content,timestamp
ekslqbz,0,background,[unclear],00:00:00
ekslqbz,1,tutor,Hello? Hello? Hello? Hello? Hello?,00:00:00
ekslqbz,2,student,"Hi, Kieran.",00:00:10
ekslqbz,3,tutor,Hi. Sorry I came late.,00:00:11
ekslqbz,4,student,Pardon?,00:00:14
ekslqbz,5,tutor,Sorry I came late.,00:00:15
ekslqbz,6,tutor,"Alright, it wasn't late anyway, just 2 minutes delay. [Speaker:Kieran]... [UNCLEAR]",00:00:18
ekslqbz,7,tutor,"Alright, okay. Then let's look at the lesson, Kieran. So we have started this lesson in our previous session, finding percentages of amounts. And if you want to find 50% of something, What do we have to do?",00:00:27
ekslqbz,8,student,"First we have to find— 50% is 25, right? Equals 25.",00:00:45
ekslqbz,9,tutor,What?,00:00:55
ekslqbz,10,student,"I think— okay, 5, 50, 75. First do we find 5 to start? I think— [unclear] Or we find 50 equals 25, I think.",00:00:56
ekslqbz,11,student,25? Does 50 equal 25?,00:01:12
ekslqbz,12,tutor,"Not really. Now when we say percent, what does it mean by percentages?",00:01:15
ekslqbz,13,student,Out of 100?,00:01:21
ekslqbz,14,tutor,"Out of 100. So when we say 50%, what does that mean? [unclear] Out of 100. It is a half, yeah.",00:01:23
ekslqbz,15,student,Yeah.,00:01:35
ekslqbz,16,tutor,Yeah.,00:01:36
ekslqbz,17,student,So 50% of something means we need to find the half. Then here we have a 50% of 140.,00:01:37
ekslqbz,18,tutor,Okay.,00:01:46
ekslqbz,19,student,Then what do we have to do if you want to find the 50% of 140?,00:01:47
ekslqbz,20,tutor,"Okay, if you have to find 150, 150 [unclear] 40.",00:01:52
ekslqbz,21,student,"40? I thought it was 50. Ah! Wait, what, what do we do? [unclear]",00:01:57
ekslqbz,22,tutor,Kieran?,00:02:11
ekslqbz,23,student,Yeah?,00:02:12
ekslqbz,24,tutor,First tell me what is mean by a 50%?,00:02:13
ekslqbz,25,student,50%? Half?,00:02:15
ekslqbz,26,tutor,It is a half. So 50% of 10 means how much it would be?,00:02:21
ekslqbz,27,student,50% of 10? [unclear],00:02:27
ekslqbz,28,tutor,"10 oranges. So when we say 50%, it is a half. So half of oranges means it's going to be 5.",00:02:44
ekslqbz,29,student,Yeah.,00:02:52
ekslqbz,30,tutor,So 50% of 10 means it is a 5.,00:02:53
ekslqbz,31,student,Okay.,00:02:59
ekslqbz,32,tutor,And we did this in our previous session. Do you remember?,00:02:59
ekslqbz,33,student,No. I've been quite busy.,00:03:07
ekslqbz,34,tutor,Pardon?,00:03:11
ekslqbz,35,student,I've been really busy lately.,00:03:12
ekslqbz,36,tutor,Okay. Then what is meant by a 25%?,00:03:15
ekslqbz,37,student,25%... [unclear] A fraction.,00:03:18
ekslqbz,38,tutor,"Yes. If 50% is 1/2, then what is 25%?",00:03:23
ekslqbz,39,student,1/4— 1/3 or 1/4?,00:03:31
ekslqbz,40,tutor,It is 1/4.,00:03:33
ekslqbz,41,student,"Ah, I know. 1/4 is 1/4.",00:03:34
ekslqbz,42,tutor,Yes.,00:03:40
ekslqbz,43,student,Okay. Yeah.,00:03:40
ekslqbz,44,tutor,"So here, now this is the 100 grid. So let me move here. So this is a 100. Great. Now when we say 50%, that means it is a half. [unclear] So if we divide like this, the half is the 50%.",00:03:42
ekslqbz,45,student,Yeah.,00:04:02
ekslqbz,46,tutor,"This would be the 50%. So that is going to be the half. Then when we say 25%, So 25% means now here out of 100, this is going to be a 25, this is going to be another 25. 25 and 25 would make how much? [unclear]",00:04:02
ekslqbz,47,tutor,25 and 25 would make a 50.,00:04:29
ekslqbz,48,student,50.,00:04:36
ekslqbz,49,tutor,How did you work?,00:04:38
ekslqbz,50,tutor,"So 25 and 25, these two together would make a 50. Then that means only one part is just a 25.",00:04:39
ekslqbz,51,student,Okay.,00:04:54
ekslqbz,52,tutor,"We have 1, 2, 3, 4 parts. Out of 4, one is the 25. That is why it is a one-quarter.",00:04:55
ekslqbz,53,tutor,"Ah, okay. Do you see this fraction, Kieran?",00:05:06
ekslqbz,54,student,"Yes, I do.",00:05:17
ekslqbz,55,tutor,"Alright. Then when we want to find a quarter of something, we have to divide it by 4.",00:05:19
ekslqbz,56,student,"[unclear] 4, yes. Quarter of something, we have to divide by 4. So then let's look at the 10%.",00:05:27
ekslqbz,57,student,They're all 10.,00:05:38
ekslqbz,58,tutor,"Then when we say 10%, it would be only a line over here.",00:05:42
ekslqbz,59,student,"Yeah, like one line.",00:05:50
ekslqbz,60,tutor,"Yes, because one line would make a 10, then this is another 10, 20, 30, 40, 50, like that. The whole would make a 100, so only one line would make a 10%.",00:05:52
ekslqbz,61,student,Yeah.,00:06:05
ekslqbz,62,tutor,"So when we say 10%, that means it is 10 over 100.",00:06:08
ekslqbz,63,student,[unclear] Yeah.,00:06:16
ekslqbz,64,tutor,"If we write it in fraction, we can say it as 1/10, because out of 10 rows",00:06:18
ekslqbz,65,student,"So a decimal, you write it like 0.01 or 0.0... [unclear]",00:06:26
ekslqbz,66,tutor,It would be 0.1 if it is decimal.,00:06:33
ekslqbz,67,student,"Oh, okay.",00:06:36
ekslqbz,68,tutor,"Because 1/10, 1 over 10 means it's a 1/10.",00:06:38
ekslqbz,69,student,Okay.,00:06:42
ekslqbz,70,tutor,"So when we want to find a 10% of something, we need to divide it by a 10.",00:06:45
ekslqbz,71,student,10. You have to divide it by a 10.,00:06:52
ekslqbz,72,student,Yeah.,00:06:56
ekslqbz,73,tutor,"Then when we say 1%, that's going to be one, only a single box.",00:06:57
ekslqbz,74,student,So it's going to be divided by one.,00:07:06
ekslqbz,75,tutor,"That is a single box, so that means it is a 1%, which means 1 over— [unclear]",00:07:09
ekslqbz,76,student,"100. When we want to find— since it's 1 over 100, when we want to find a 1% of something, we need to divide it by a— [unclear]",00:07:17
ekslqbz,77,student,Okay.,00:07:32
ekslqbz,78,tutor,"So if you want to find a 50%, by which number we have to divide?",00:07:38
ekslqbz,79,student,4?,00:07:43
ekslqbz,80,tutor,50%.,00:07:44
ekslqbz,81,student,50.,00:07:48
ekslqbz,82,tutor,"Yeah, for 50%, by which number we have to divide?",00:07:49
ekslqbz,83,student,50 is...,00:07:53
ekslqbz,84,tutor,What is the fraction of 50?,00:07:56
ekslqbz,85,student,One... one fourth... one quarter... I mean one tenth... I mean one two... I mean... how do you say it? One two... one over two. That is 1/2.,00:07:59
ekslqbz,86,student,It's 5. It's 5.,00:08:14
ekslqbz,87,tutor,50% means 1/2.,00:08:20
ekslqbz,88,student,Yeah.,00:08:23
ekslqbz,89,tutor,"Then if you want to find 50% of something, we need to divide by—",00:08:25
ekslqbz,90,student,5?,00:08:31
ekslqbz,91,tutor,Divide by 2.,00:08:34
ekslqbz,92,student,"[unclear] Because it is a half. What is mean by a half, Kieran?",00:08:35
ekslqbz,93,student,Half is like a number that's half.,00:08:42
ekslqbz,94,tutor,So what is half of 20?,00:08:47
ekslqbz,95,student,"If that's [unclear] 20, yeah, uh, wait, I think I know. 10?",00:08:52
ekslqbz,96,tutor,Pardon?,00:09:01
ekslqbz,97,student,10?,00:09:02
ekslqbz,98,tutor,That would be a 10.,00:09:02
ekslqbz,99,tutor,So half means exactly in the middle. We mix it to two equal parts.,00:09:06
ekslqbz,100,student,Yeah.,00:09:12
ekslqbz,101,tutor,"That is a half. So when we want to find the 50% of something, that means we have to half them. Then we have to divide them by 2.",00:09:13
ekslqbz,102,student,Okay.,00:09:24
ekslqbz,103,tutor,And how do we find 25%?,00:09:26
ekslqbz,104,student,[unclear],00:09:27
ekslqbz,105,student,Or divide it. So you do half of— so 25% is half— [unclear] then you divide it by 4.,00:09:32
ekslqbz,106,tutor,"You divide it by 4, yes. Then how about the 10%?",00:09:45
ekslqbz,107,student,"So for 10%, the fraction would be 1/10, then you divide it by 10. And 1%.",00:09:50
ekslqbz,108,student,"So why are you gonna— so if it's 1%, it's gonna be a fraction like 1 over 100. So then you divide it by 1.",00:09:58
ekslqbz,109,tutor,"We divide it by 100. [unclear] It should be 100. Okay, okay. So we have to remember that when we want to work out the questions. So that's a very good effort here in recalling that what we did in this slide. So let's move to the question now. So can you read the question?",00:10:10
ekslqbz,110,student,"A, 25% of a whole is the same as blank of a whole. B, complete the table.",00:10:37
ekslqbz,111,tutor,"Before completing the table, so shall we do this? So what is the 25%?...of a whole is the same as something of a whole.",00:10:48
ekslqbz,112,student,One quarter?,00:10:57
ekslqbz,113,tutor,"It is going to be one quarter, yes.",00:10:59
ekslqbz,114,student,Can I write it?,00:11:03
ekslqbz,115,tutor,"Yeah, you can. All right, then in the next question we have 100% is equals to how much?",00:11:04
ekslqbz,116,student,[unclear] Then we need to find 50% of 240. How would we find it?,00:11:15
ekslqbz,117,student,"Oh gosh, so if the 50% as a fraction is going to be— no wait, 1/2, then you divide it by 2, I think.",00:11:26
ekslqbz,118,tutor,"That's a great recalling. Yes, we need to divide it by 2.",00:11:41
ekslqbz,119,student,So you're like 50 divided by 2. [unclear],00:11:45
ekslqbz,120,tutor,"How are you going to divide 50 by 2, Kieran?",00:11:50
ekslqbz,121,student,"Oh, yeah?",00:11:56
ekslqbz,122,tutor,"50% is the question, and why are you dividing it again?",00:11:59
ekslqbz,123,student,"So wait, so we have to find half of 50, which is 10. [unclear]",00:12:03
ekslqbz,124,tutor,Kieran?,00:12:16
ekslqbz,125,student,Yeah?,00:12:17
ekslqbz,126,tutor,Now listen to me carefully. Okay?,00:12:19
ekslqbz,127,student,Yeah.,00:12:25
ekslqbz,128,tutor,"So when we say 50%, we said dividing it half. Is that right?",00:12:28
ekslqbz,129,student,"Yeah. And we are not going to divide the 50 because what is— we are finding is 50%. There's no point in dividing the 50. That would be 25. It doesn't matter how many times you divide, it's going to be 25.",00:12:35
ekslqbz,130,student,Okay.,00:12:52
ekslqbz,131,tutor,"So we are not going to divide the percentages, and keep that in mind. We are not dividing.",00:12:53
ekslqbz,132,student,Okay.,00:13:01
ekslqbz,133,tutor,Now let's say we have a 100%. And the 100% is 200 apples. Oops. So 100% is equals to 200 apples.,00:13:02
ekslqbz,134,student,So 50% equal to 100.,00:13:23
ekslqbz,135,tutor,50% would equals to 100 apples. And how did you get 100?,00:13:26
ekslqbz,136,student,You do 50— I thought I just did 50 plus 50. [unclear],00:13:33
ekslqbz,137,tutor,"If you did 50 plus 50, that method is wrong. That means what we need to do here is we need to find the half of 200.",00:13:47
ekslqbz,138,student,Okay.,00:13:58
ekslqbz,139,tutor,"We need to find the half of 200. And when we want to find the half of 200, what do we have to do, Kieran? By which number we have to divide?",00:13:58
ekslqbz,140,student,Half of 200.,00:14:09
ekslqbz,141,tutor,"Yeah, 200. By which number we have to divide?",00:14:11
ekslqbz,142,student,[unclear] by 4. [Speaker:Tutor]...divided by 2. [Speaker:Kieran] Yeah.,00:14:19
ekslqbz,143,tutor,"Then when we divide 200 by 2, the answer would be?",00:14:28
ekslqbz,144,student,100.,00:14:34
ekslqbz,145,tutor,So that means the half of 200. Half of 200 is 100.,00:14:37
ekslqbz,146,student,Yeah.,00:14:44
ekslqbz,147,tutor,"When you add 2 100s, how much you would get?",00:14:46
ekslqbz,148,student,200 to 100.,00:14:50
ekslqbz,149,tutor,You would get 200. So that is why we say half of 200 is 100.,00:14:52
ekslqbz,150,student,Okay.,00:14:58
ekslqbz,151,tutor,Not by adding the 50.,00:14:59
ekslqbz,152,student,Okay.,00:15:02
ekslqbz,153,tutor,So that is the 50%.,00:15:03
ekslqbz,154,student,"Okay, so it's 100.",00:15:06
ekslqbz,155,tutor,"That is 100. Then we move to 25%. Of 200 apples. In order to find 25%, what do we have to do?",00:15:12
ekslqbz,156,student,Divide it.,00:15:26
ekslqbz,157,tutor,Divide it by which number?,00:15:28
ekslqbz,158,student,Uh... 4?,00:15:31
ekslqbz,159,tutor,You have to divide by 4. And one quarter of 200. Are we dividing 50 by 4 or 200 by 4?,00:15:36
ekslqbz,160,student,"Uh, 200.",00:15:49
ekslqbz,161,tutor,"200 by 4. So when we want to find our 20, we have to divide 200 by 4. And what would be the answer? [unclear] 2. [unclear] 1. 0. 2. Where did it go?",00:15:51
ekslqbz,162,tutor,"Yes, Kieran, tell me how do we divide 200 by 4?",00:16:20
ekslqbz,163,student,You put 4 over there. Put 4 over there. That's 0 times. You put 2 over there.,00:16:25
ekslqbz,164,tutor,Okay.,00:16:47
ekslqbz,165,student,50?,00:16:50
ekslqbz,166,tutor,"That was a brilliant division, Kieran. Yes, that would be 50. [unclear] So quarter of 200 would be 50.",00:16:53
ekslqbz,167,student,50.,00:17:04
ekslqbz,168,tutor,"Yeah, this is going to be 50, and 25% of 200 would be 50.",00:17:06
ekslqbz,169,student,Okay.,00:17:15
ekslqbz,170,tutor,And there is another way to do this. What is half of 100?,00:17:16
ekslqbz,171,student,Half of 100? [unclear],00:17:22
ekslqbz,172,tutor,"Then we can do— first we can find the 50%, which which is 100, and then we can again find the half of 100. That also would give us 25%.",00:17:25
ekslqbz,173,student,Yeah.,00:17:39
ekslqbz,174,tutor,Then let's find the 10% of 200.,00:17:41
ekslqbz,175,student,Okay.,00:17:46
ekslqbz,176,tutor,Now what do we have to do? [unclear],00:17:48
ekslqbz,177,tutor,Divided by which number? What is the fraction of 10%? [unclear],00:17:52
ekslqbz,178,student,10 out of 100.,00:17:58
ekslqbz,179,tutor,No.,00:18:02
ekslqbz,180,student,Yeah.,00:18:03
ekslqbz,181,tutor,"10 over 100, and it is same as 1 over 10.",00:18:04
ekslqbz,182,student,Yeah.,00:18:14
ekslqbz,183,tutor,"So 1 over 10 of 200, that is what we need to find. So by which number we have to divide the 200 now?",00:18:15
ekslqbz,184,student,Divided by...,00:18:24
ekslqbz,185,student,100?,00:18:25
ekslqbz,186,tutor,Divided by 10.,00:18:27
ekslqbz,187,student,"Ah, okay, my bad.",00:18:30
ekslqbz,188,tutor,So what is 200 divided by 10?,00:18:34
ekslqbz,189,student,That's 20.,00:18:37
ekslqbz,190,tutor,That is 20. So 10% of 200 going to be?,00:18:40
ekslqbz,191,student,20%.,00:18:45
ekslqbz,192,tutor,20.,00:18:46
ekslqbz,193,student,Yeah.,00:18:48
ekslqbz,194,tutor,This is going to be 20.,00:18:51
ekslqbz,195,student,Yeah.,00:18:54
ekslqbz,196,tutor,Then let's find 1%. So what is the fraction for 1%?,00:18:55
ekslqbz,197,student,1 over 100.,00:19:04
ekslqbz,198,tutor,That is going to be 1 over 100. So by which number we have to divide?,00:19:06
ekslqbz,199,student,By 100.,00:19:12
ekslqbz,200,tutor,We have to divide it by 100. That was a great remembering. So we have to divide 200 by 100. And what would be the answer?,00:19:15
ekslqbz,201,student,I got 20.,00:19:30
ekslqbz,202,tutor,"Now 200 divided by 10 is 20. If you divide by 100, would you get the same answer again?",00:19:32
ekslqbz,203,student,No. Yeah. No. No. I got 200. I think I got 200.,00:19:41
ekslqbz,204,tutor,"Now, what is mean by division, Kieran? 200 divided by 100 is what? How many hundreds are there in a 200? How many hundreds are there in a 200?",00:19:50
ekslqbz,205,student,2.,00:20:01
ekslqbz,206,tutor,2. So the answer is 2.,00:20:03
ekslqbz,207,student,"Ah, okay.",00:20:07
ekslqbz,208,tutor,"And when we divide by a 10 and 100, We can use the place value. Remember? 200. Can we divide by 100? In the place value chart, how would we move these digits?",00:20:11
ekslqbz,209,student,2 times?,00:20:30
ekslqbz,210,tutor,2 times. So where would the 2 go to?,00:20:32
ekslqbz,211,student,"Uh, to the ones. 2 would move to the ones. And the zeros would move here, and it doesn't have any value. So what is the answer?",00:20:36
ekslqbz,212,student,2.,00:20:49
ekslqbz,213,tutor,Just a 2.,00:20:50
ekslqbz,214,student,"Ah, okay, okay.",00:20:51
ekslqbz,215,tutor,So we can use a place value chart also when we want to divide by a 100 or 10.,00:20:54
ekslqbz,216,student,"Okay, that makes sense.",00:21:01
ekslqbz,217,tutor,"Okay. All right, then can you tell me when we want to find 50% of something, what do we have to do?",00:21:04
ekslqbz,218,student,You divide it.,00:21:12
ekslqbz,219,tutor,By which number?,00:21:14
ekslqbz,220,student,2.,00:21:16
ekslqbz,221,tutor,And for 25%?,00:21:17
ekslqbz,222,student,"Uh, 4.",00:21:20
ekslqbz,223,tutor,And for 10%?,00:21:22
ekslqbz,224,student,10.,00:21:23
ekslqbz,225,tutor,And for 1%?,00:21:25
ekslqbz,226,student,100.,00:21:25
ekslqbz,227,tutor,"100. So using the same method, now we are going to work out these questions. I know the answer, but wait, so it was—",00:21:26
ekslqbz,228,tutor,So you do 50/50.,00:21:43
ekslqbz,229,student,"Okay, it was— what was it? [unclear]",00:21:44
ekslqbz,230,tutor,"No, you have to show the thing. The west, uh— [Speaker:Background]...road answer. [Speaker:Tutor] Kieran? I can't forget the answer. I'll go back to that. I don't need these ones.",00:21:50
ekslqbz,231,tutor,Can you tell me what's happening? [unclear],00:22:09
ekslqbz,232,tutor,What are you doing? Can you tell me that?,00:22:10
ekslqbz,233,student,I'm answering.,00:22:18
ekslqbz,234,tutor,Which one?,00:22:20
ekslqbz,235,student,The table.,00:22:22
ekslqbz,236,tutor,"In the table, did you find the 50%?",00:22:25
ekslqbz,237,student,No.,00:22:29
ekslqbz,238,tutor,"Okay, then are you finding the 25% now? Which one you are working it out?",00:22:29
ekslqbz,239,student,Huh? [unclear],00:22:34
ekslqbz,240,tutor,"You were typing something, Kieran. Can you tell me for which one you typed that answer?",00:22:39
ekslqbz,241,student,25.,00:22:45
ekslqbz,242,tutor,25. So what was the answer?,00:22:47
ekslqbz,243,student,2. 23.2.,00:22:51
ekslqbz,244,tutor,How did you get 2?,00:22:55
ekslqbz,245,student,Because I divided it.,00:22:58
ekslqbz,246,tutor,"But which number we have to divide, Kieran?",00:23:02
ekslqbz,247,student,"4? Oh wait, I know this one. [unclear] [unclear]",00:23:06
ekslqbz,248,tutor,Hello? Are you there?,00:23:30
ekslqbz,249,student,"Uh, uh, uh, yeah. Yeah.",00:23:31
ekslqbz,250,tutor,"Okay, what's happening?",00:23:33
ekslqbz,251,student,It's showing me this thing.,00:23:36
ekslqbz,252,tutor,Which thing?,00:23:40
ekslqbz,253,student,"It's like giving triangles. I mean, No, it's like— what's that? It's like a star, but with that. Wait, it's fine. [unclear]",00:23:41
ekslqbz,254,tutor,"Kieran, can you make sure your mic is closer to your mouth?",00:24:00
ekslqbz,255,student,Is this better?,00:24:04
ekslqbz,256,tutor,"Yeah, now it's better.",00:24:05
ekslqbz,257,student,Or should I move it closer?,00:24:07
ekslqbz,258,tutor,Okay.,00:24:11
ekslqbz,259,tutor,"Alright, how do we find 55— 50%?",00:24:13
ekslqbz,260,student,Divide by 2.,00:24:15
ekslqbz,261,tutor,Then can you divide by 2? Which number you need to divide by 2?,00:24:18
ekslqbz,262,student,200.,00:24:21
ekslqbz,263,tutor,Is this question is 200? What is the question?,00:24:23
ekslqbz,264,student,I mean 240.,00:24:26
ekslqbz,265,tutor,So we need to divide 240 by 2. So can you do the division?,00:24:28
ekslqbz,266,student,Yeah. [unclear] [unclear],00:24:33
ekslqbz,267,tutor,How did you divide it? And how did you get 220?,00:24:48
ekslqbz,268,student,"So 2— oh no, no, no, actually no, 120.",00:24:55
ekslqbz,269,tutor,It would be 120.,00:25:02
ekslqbz,270,tutor,That was a very good division. Now you can type your answer. And what do we have to do when we want to find 25%?,00:25:05
ekslqbz,271,student,Divide it by 4.,00:25:19
ekslqbz,272,tutor,So 240 divided by 4.,00:25:21
ekslqbz,273,student,[unclear] [unclear],00:25:24
ekslqbz,274,tutor,24.,00:25:38
ekslqbz,275,student,35.,00:25:38
ekslqbz,276,tutor,"60? That was a marvelous focusing there, Kieran. Yes, it would be 60. Then how do we find 10?",00:25:39
ekslqbz,277,student,24.,00:25:49
ekslqbz,278,tutor,"That is 24. All right, that's really quick.",00:25:52
ekslqbz,279,student,And then 1.,00:25:56
ekslqbz,280,student,"It's 100... 101... Oh wait, 22... So wait, what is 24?",00:26:01
ekslqbz,281,tutor,It would be a decimal answer. Do you want the place value chart?,00:26:13
ekslqbz,282,student,"Oh wait, I know it. This one. 0.24.",00:26:17
ekslqbz,283,tutor,"Alright, so here we have a 240. What happens when we divide by 100?",00:26:24
ekslqbz,284,student,Goes 2 times.,00:26:31
ekslqbz,285,tutor,Then can you move 2 times?,00:26:32
ekslqbz,286,student,[unclear] 2.4.,00:26:33
ekslqbz,287,tutor,It is going to be 2.4.,00:26:38
ekslqbz,288,student,My bad.,00:26:41
ekslqbz,289,tutor,"So when you are not sure, Kieran, you can simply use a place value chart to work it out.",00:26:44
ekslqbz,290,student,"Okay. Okay, so that was a wonderful effort in working it out, all these percentages.",00:26:49
ekslqbz,291,student,Yeah.,00:27:03
ekslqbz,292,tutor,"Yes. So when we want to divide— when we want to find a 1%, what do we have to do?",00:27:05
ekslqbz,293,student,"You could— you have to divide by 100. We have to divide it by 100, and in order to divide by 100, what is the method we can use?",00:27:14
ekslqbz,294,student,"You can— it's kind of like the— how do you say it? What's that thing you call, you move it?",00:27:25
ekslqbz,295,tutor,Place value chart.,00:27:32
ekslqbz,296,student,"Place value chart, you can do that.",00:27:34
ekslqbz,297,tutor,We can do the place value chart. That would be much easier when we use the place value chart.,00:27:36
ekslqbz,298,student,"Yeah. Okay, then since we were able to complete all these questions, let's move to the next slide. So can you read the question?",00:27:42
ekslqbz,299,student,"Tara says to find the 10% of a number, I divide it by 10. So to find 50% of a number, I divide it by 50. Do you agree? Explain your [UNCLEAR]. [Speaker:Tutor] I don't know.",00:27:54
ekslqbz,300,background,Why it is wrong? [unclear],00:28:09
ekslqbz,301,student,"Because 20— I mean, 10%, it's— you can't divide it by 10 because you can't— because you can't divide the percentage. Because if you divide the percentage, you would get—",00:28:11
ekslqbz,302,tutor,"It is not talking about dividing the percentages, Kieran.",00:28:33
ekslqbz,303,student,It's like I divided by 10.,00:28:36
ekslqbz,304,tutor,"Yeah, so when you want to find a 10%— [unclear] Read this carefully. To find a 10% of a number, you are not dividing the 10%. In order to find the 10% of a number, I divide by 10. Is that statement correct?",00:28:39
ekslqbz,305,student,"Nah, I don't think so. Then here, when you wanted to find the 10% of 240, what did you do?",00:29:00
ekslqbz,306,student,"Oh, yeah, yeah, yeah. You divided by 10. So yeah.",00:29:08
ekslqbz,307,tutor,We divided by 10.,00:29:12
ekslqbz,308,student,But I don't think for the 50.,00:29:13
ekslqbz,309,tutor,"So to find 50% of a number, I divide by 50. Now, is this right?",00:29:19
ekslqbz,310,student,"No, this is not right.",00:29:25
ekslqbz,311,tutor,"This is not. If you want to find 50% of a number, by which number we have to divide? [Speaker:Kieran]...divide them by 2? [Speaker:Tutor] We have to divide by 2, exactly.",00:29:27
ekslqbz,312,student,Yeah.,00:29:40
ekslqbz,313,tutor,"So here, in this [unclear] answer, only the first statement is correct, but the second one is wrong.",00:29:41
ekslqbz,314,student,Yeah.,00:29:52
ekslqbz,315,tutor,So that is what we have to say. So do you agree with this?,00:29:55
ekslqbz,316,student,"Yeah, kind of, kind of not.",00:30:00
ekslqbz,317,tutor,"Then since we are not agreeing with this second statement, so it is no.",00:30:03
ekslqbz,318,student,"Ah, okay. Just explain it. I like to try it.",00:30:09
ekslqbz,319,tutor,"No, okay, uh, you don't have to type the explanation, but you can tell me why it is no. Why do we disagree with Tara?",00:30:15
ekslqbz,320,student,Because [unclear],00:30:24
ekslqbz,321,student,"If you find it, I mean, if you find 10%, you don't divide by 10, you have to divide it by, uh, what's it called, 10? Yeah.",00:30:26
ekslqbz,322,tutor,"Yeah, for 10% you have to divide by 10.",00:30:37
ekslqbz,323,student,"So that one's correct, but if you do it by 50% and you divide it by 50, it won't work. So you have to divide it by 2?",00:30:40
ekslqbz,324,tutor,We have to divide by 2. And why do we divide by 2 when we want to find 50%?,00:30:50
ekslqbz,325,student,Because it's in the— if you half it—,00:30:59
ekslqbz,326,tutor,"It is halving, yes. When we say 50% out of 100%, 50% is the half.",00:31:04
ekslqbz,327,student,Yeah.,00:31:13
ekslqbz,328,tutor,So the numbers also we have to half. When we want to find a 50%.,00:31:14
ekslqbz,329,student,Yeah.,00:31:19
ekslqbz,330,tutor,"Okay, so with that, actually, we have completed the lesson, Kieran.",00:31:21
ekslqbz,331,student,Okay.,00:31:26
ekslqbz,332,tutor,"Then, yes, before moving on to the next lesson, sir, can you tell me the new things that you learned in this lesson?",00:31:27
ekslqbz,333,student,"I learned that if you do 50%, to do 50%, you have to divide it by 2. To get 10, you have to divide it by 10. To divide 25, you divide it by 4. And if you divide it by 1, you divide it— oh yes, if you get a 1, let's say you have to divide it by 10— 100.",00:31:36
ekslqbz,334,tutor,You have to divide it by 100.,00:32:02
ekslqbz,335,student,Yeah.,00:32:05
ekslqbz,336,tutor,"Okay, so that was a brilliant effort in recalling all of that. Then Let's see what is going to be our next lesson for the day. [unclear] Okay. So that is going to be finding factors. Why? You don't like factors?",00:32:06
ekslqbz,337,student,"No, because I'm like really bad. I don't know how factors work.",00:32:31
ekslqbz,338,tutor,"Alright then, it's a good opportunity for you to learn so we can see how the factors work. [unclear] Okay then, let's start with this. So we need to write all the factors of 12. Any idea?",00:32:38
