session_id,utterance_id,role,content,timestamp
ekyipai,0,tutor,Hi.,00:00:00
ekyipai,1,background,[unclear],00:00:00
ekyipai,2,student,Hello.,00:00:03
ekyipai,3,tutor,"Hi, Callum. Can you hear me?",00:00:05
ekyipai,4,student,Sorry for being late. It's because we had a workshop.,00:00:07
ekyipai,5,tutor,All right. That's totally fine. So how are you?,00:00:10
ekyipai,6,student,Good.,00:00:15
ekyipai,7,tutor,"Great, nice to hear that. And how has the day been so far?",00:00:16
ekyipai,8,student,Good.,00:00:20
ekyipai,9,tutor,"Great, nice to hear that once again. And were you able to enjoy your weekend?",00:00:21
ekyipai,10,student,Yes.,00:00:27
ekyipai,11,tutor,"Okay, did you learn anything new in maths today?",00:00:29
ekyipai,12,student,"We learned about kilograms, but we didn't do it for much because we had tests.",00:00:34
ekyipai,13,tutor,"Oh, how was the test then?",00:00:43
ekyipai,14,student,Good.,00:00:45
ekyipai,15,tutor,Good. Is it in maths?,00:00:46
ekyipai,16,background,It was English.,00:00:49
ekyipai,17,tutor,English. All right. Okay. So you remember we were doing multiplying up to 3 digits using short multiplication last week?,00:00:51
ekyipai,18,student,Yeah.,00:00:59
ekyipai,19,tutor,Okay. So we are going to continue short multiplication today from this question. Would you like to give it a try?,00:01:01
ekyipai,20,tutor,Okay. Starting from number C.,00:01:08
ekyipai,21,student,Yes.,00:01:12
ekyipai,22,tutor,Your letter C. [unclear],00:01:13
ekyipai,23,tutor,Oh no! [unclear],00:01:35
ekyipai,24,tutor,Oh my God! [unclear],00:02:01
ekyipai,25,student,Okay.,00:02:17
ekyipai,26,tutor,Hello?,00:02:29
ekyipai,27,student,Hi.,00:02:32
ekyipai,28,tutor,Good.,00:02:37
ekyipai,29,background,[unclear],00:02:38
ekyipai,30,tutor,"Excellent working out. So Callum, can you type your answer here as well?",00:02:42
ekyipai,31,student,Okay. So I think—,00:02:48
ekyipai,32,background,Are we missing anything in this big number?,00:02:52
ekyipai,33,tutor,Hmm? Are we missing anything in this number?,00:02:58
ekyipai,34,student,Yeah.,00:03:03
