session_id,utterance_id,role,content,timestamp
emovzsy,0,background,Hello. [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear],00:00:00
emovzsy,1,tutor,Hello.,00:01:07
emovzsy,2,student,Hello.,00:01:07
emovzsy,3,tutor,"Hello, Dexter. Can you hear me?",00:01:18
emovzsy,4,student,Yeah.,00:01:20
emovzsy,5,tutor,"How are you doing, Dexter? It's been a week since we worked together last, isn't it?",00:01:21
emovzsy,6,student,Yeah.,00:01:26
emovzsy,7,tutor,"Yeah, so how are you doing, Dexter?",00:01:27
emovzsy,8,student,Good.,00:01:29
emovzsy,9,tutor,"Alright, that's great to hear, Dexter. So, anything interesting happen during this week of time?",00:01:31
emovzsy,10,student,"Um... not really, but I'm kind of excited to meet you.",00:01:37
emovzsy,11,tutor,"Oh, that's amazing. Even I was excited too, Dexter, because I remember the last time we worked together, we enjoyed the session a lot, isn't it?",00:01:44
emovzsy,12,student,Yeah.,00:01:53
emovzsy,13,tutor,"Yeah, and we worked out together, and I remember you were a very, very good student throughout the session, and you kept enjoying. Also, you did really, really well, Dexter. All right?",00:01:53
emovzsy,14,student,Thank you.,00:02:04
emovzsy,15,tutor,"All right, come, come on, give me a high five.",00:02:05
emovzsy,16,student,"Okay. Bam! High five! All right, that's amazing. And also so, so happy to catch up with you once again, Dexter. So let me give you a big smile as well. Can I see a beautiful smile on your face too?",00:02:08
emovzsy,17,student,"Yeah, let me show it.",00:02:24
emovzsy,18,tutor,"All right. Oh, it's amazing. Oh, that's a very narrow smile, isn't it?",00:02:26
emovzsy,19,tutor,Yeah.,00:02:38
emovzsy,20,background,"Yes. Can you give me a wide spread, a kind of a big smile?",00:02:38
emovzsy,21,tutor,Okay.,00:02:42
emovzsy,22,background,"Yeah, amazing. That's exactly what I was looking for, Dexter. Thank you so much. All right?",00:02:43
emovzsy,23,tutor,Yeah.,00:02:52
emovzsy,24,background,"Dexter, so yes, that's a very good— yeah, it's good to meet up with you once again, Dexter. So today we got an interesting learning objective there for you. So shall we take a look at what we're going to do today?",00:02:53
emovzsy,25,tutor,Yeah.,00:03:07
emovzsy,26,background,All right. So any guesses on what we're going to do today?,00:03:07
emovzsy,27,tutor,I think we're doing like using a pound sign and monies.,00:03:11
emovzsy,28,background,"Amazing. Yes, you're correct. That's a very, very good guessing, right?",00:03:16
emovzsy,29,tutor,Yeah.,00:03:22
emovzsy,30,background,All right. So what are we going to do today?,00:03:22
emovzsy,31,tutor,So let me just get my [UNCLEAR].,00:03:25
emovzsy,32,tutor,Yeah.,00:03:32
emovzsy,33,student,Writing money using pound sign and P sign.,00:03:32
emovzsy,34,tutor,All right. So do you know to use money? Where do we use money?,00:03:37
emovzsy,35,student,We use money to buy stuff.,00:03:43
emovzsy,36,tutor,Exactly. So can you tell me how many Ps do we have in a pound?,00:03:46
emovzsy,37,student,"Uh, 50.",00:03:52
emovzsy,38,tutor,Is it 50?,00:03:54
emovzsy,39,student,"Uh, I don't know.",00:03:56
emovzsy,40,tutor,"Alright, no problem, Dexter. Let me give you a small introduction there, okay?",00:03:58
emovzsy,41,student,"Oh, nice. [unclear]",00:04:03
emovzsy,42,tutor,"So, one pound has 100 pence there, Dexter. Alright?",00:04:03
emovzsy,43,student,Yeah.,00:04:09
emovzsy,44,tutor,"Okay, so to start this off with, we have the learning goal question there for you. Do you want to give this a try?",00:04:11
emovzsy,45,student,Yeah.,00:04:17
emovzsy,46,tutor,"Come on, let's have a look at it.",00:04:18
emovzsy,47,student,"Alright. Alright, the amount of money shown.",00:04:19
emovzsy,48,tutor,Mm-hmm.,00:04:26
emovzsy,49,student,"So like, so B2 pound and [UNCLEAR]. Can I write it? [Speaker:Tutor] Yeah, sure. You can write it here, Dexter. Do you see that they have just asked you only in pounds? So you have to write the entire value in pounds.",00:04:27
emovzsy,50,student,"I don't have a pound sign, so I'm just going to do a decimal.",00:04:47
emovzsy,51,tutor,"Exactly, you had to do it in decimals. Amazing, Dexter. That's a good working out.",00:04:51
emovzsy,52,student,Yes.,00:04:56
emovzsy,53,tutor,"Excellent. All right, that's a perfect working out, Dexter. Come on, give me a high five.",00:04:56
emovzsy,54,student,Can I tell you how I did it?,00:05:03
emovzsy,55,tutor,"Yes, exactly, why not?",00:05:05
emovzsy,56,student,"So I did 2 pounds, that would equal 2 pounds. So I did 50 plus 20, that would be 70. Then 2p add to 70, that would be [UNCLEAR].",00:05:07
emovzsy,57,tutor,"Amazing, Dexter. That's amazing. That's a fantastic explanation there from you. I really love the way how you're thinking. All right, that's amazing. So Dexter, since we got a very, very good start for this learning objective, we can skip the prior learning question. Okay?",00:05:21
emovzsy,58,student,Yeah.,00:05:39
emovzsy,59,tutor,And we can skip a couple of slides as well. And now it's time for us to move to the you-do slides. So shall we work this out?,00:05:40
emovzsy,60,tutor,Yeah.,00:05:48
emovzsy,61,background,"Amazing. Come on, let's go ahead.",00:05:49
emovzsy,62,tutor,"Read the statement below. Here is a one-pound sign. So like 2 1 is 3, then added 1 will be 4. So then let me just text it out. Then [unclear] 10. Wait. 10 plus 50, like 50 add 10, that would be 60. Then that will add 60, then add 1p, that will be 61. Then 2p add to 61, that would be 63.",00:05:50
emovzsy,63,tutor,"So now, um, so the answer would be 4 pounds and",00:06:33
emovzsy,64,tutor,"Amazing. That's 63 peas, isn't it?",00:06:42
emovzsy,65,student,Yes.,00:06:45
emovzsy,66,tutor,"Yes, you're correct. Amazing, Dexter. That's great working out there. Come on, give me a high five. You're making this look very, very—",00:06:45
emovzsy,67,student,[unclear],00:06:53
emovzsy,68,tutor,"Yeah. High five, right?",00:06:54
emovzsy,69,student,Yeah.,00:06:57
emovzsy,70,tutor,Amazing. So we have an interesting question to work out on now. What are we going to do?,00:06:57
emovzsy,71,student,Match the amounts that are equal.,00:07:04
emovzsy,72,tutor,"Okay, so now you can take your draw tool and then you can match the correct answers. Do you want to give this a try?",00:07:07
emovzsy,73,student,Yes. [unclear] 3 and 4CP will be joined. That will be over here.,00:07:13
emovzsy,74,tutor,"Mm-hmm, yeah, you're correct.",00:07:24
emovzsy,75,student,"Then 3 pound and 4P will be over here. Oh, yeah. And 3 pounds will be over here. Then the last one, of course, will be over here.",00:07:27
emovzsy,76,tutor,"All right. That's great working out there, Dexter. I'm going to give you a huge star there, all right?",00:07:41
emovzsy,77,student,Thank you.,00:07:47
emovzsy,78,tutor,"Come on, give me a high five. You're welcome.",00:07:48
emovzsy,79,student,Yeah. [unclear],00:07:51
emovzsy,80,tutor,"You deserve it, Dexter. High five. Right. Amazing. Thank you so much, Dexter. And I really, really enjoyed the way you've been working out. And it was very, very good working out there from you, okay?",00:07:51
emovzsy,81,student,Yeah.,00:08:05
emovzsy,82,tutor,"All right. And then, Dexter, it's time for us to move to the last question of this learning objective. This becomes a bit interesting there for you.",00:08:06
emovzsy,83,student,"Okay. So I don't know how to pronounce this name, but—",00:08:15
emovzsy,84,background,You can call it Cedar.,00:08:21
emovzsy,85,student,"Cedar has 3 coins in his money [UNCLEAR]. How much does Cedar have altogether? Okay, so working out, so 50p plus 50p is £1, then add in a 50p, uh, will be— I think it's £2. [unclear]",00:08:23
emovzsy,86,tutor,"Mm-hmm, I should—",00:08:42
emovzsy,87,student,"No, no, so let me just check this thing. So, so that would be £1.60.",00:08:45
emovzsy,88,tutor,"Then add a 50, that will be 50 over here, but you have to add 50. So 20, 50, add 20 will be 70p. Then we add 10p in it, so that'll be 80p. Then ATP adds 2 in it, that will be 82p. 82p, then if we add 2 in it, that would be 84p. Is it right?",00:08:55
