session_id,utterance_id,role,content,timestamp
emueqjf,0,background,[unclear],00:00:00
emueqjf,1,tutor,Hello.,00:00:00
emueqjf,2,student,Hello.,00:00:04
emueqjf,3,background,Hello.,00:00:05
emueqjf,4,tutor,Hello.,00:00:08
emueqjf,5,student,Hello.,00:00:10
emueqjf,6,background,Hello.,00:00:12
emueqjf,7,student,Hello.,00:00:13
emueqjf,8,tutor,"Hello. Hi, Callum. Hello.",00:00:16
emueqjf,9,student,"Hi, can you hear me? [unclear] Hello, hello.",00:00:23
emueqjf,10,tutor,Hello.,00:00:30
emueqjf,11,student,"Oh, you can hear me, great.",00:00:39
emueqjf,12,tutor,"So, Callum, I can't hear you. Would you be able to check if you have your mic turned on? [unclear]",00:00:41
emueqjf,13,student,"Hello, can you hear me? [unclear]",00:01:09
emueqjf,14,tutor,"Callum, can you refresh the page then? Because I still can't hear you. Do you know how to refresh your page? Can you type yes or no? If no, I'll tell you the instructions.",00:01:15
emueqjf,15,tutor,All right. Hi.,00:01:35
emueqjf,16,student,Hi.,00:01:39
emueqjf,17,tutor,"Yes. So can you refresh the page, please? All right, go ahead. [unclear]",00:01:39
emueqjf,18,tutor,"Okay, but I still can't hear you.",00:02:11
emueqjf,19,student,"So you can hear me, right? Okay, great. So this is what we're gonna do. I will be speaking, yep, and you can write. All right, yeah, that's great. So how have you been doing today? [unclear] All right, okay, I'm glad to hear that. So welcome to the session. Um, shall we get started with the lesson we've got?",00:02:21
emueqjf,20,tutor,"Yes, I'm doing okay.",00:02:59
emueqjf,21,student,"All right, yes, I'm doing okay. So let's get on to the lesson we have. [unclear]",00:03:03
emueqjf,22,student,"So, I have to actually— hold on. Give me a minute to—",00:03:23
emueqjf,23,tutor,"Choose the lesson. All right, so this is the lesson. We have to continue from [UNCLEAR].",00:03:47
emueqjf,24,tutor,"Okay. So, yep, we've got to start from the let's learn part. Let's quickly recap what you have learned in the last session. So, yep, using multiplication and division facts up to 12 times 12. So this is what we did.",00:04:13
emueqjf,25,tutor,"Yeah, all right. So shall we get started with where we have to start today? Okay, great. So this is the [unclear] slide, and you have completed answering A, B, and C in the last session. So today you have to work out from part D, okay?",00:04:39
emueqjf,26,tutor,"So can you work out Part D? Which of these numbers are multiples of 3? So do you remember what a multiple is? [unclear] Great. So over here, can you circle the multiples of 3?",00:05:04
emueqjf,27,student,Mm-hmm. [unclear],00:05:30
emueqjf,28,tutor,"All right. Are you done? If you have completed, please type [unclear] done. Okay, yeah, you're done. All right.",00:06:02
emueqjf,29,student,"Yes, indeed. So these are the multiples of 3. Good job in working this out. Very well done. Yes. [unclear]",00:06:24
emueqjf,30,student,"This is step 3. [unclear] Okay, so yeah.",00:06:48
emueqjf,31,tutor,"Good job in completing the answers. So here's a star for that splendid work. Let's move on to the next slide, which is the Follow Me, Your Turn slide. So as usual, I will take you through the steps in the Follow Me part. Okay, so let me get started. Follow me. We can use multiplication table facts to solve Division problems. So here we are going to use multiplication table facts to solve division problems. So let's see how we can do that. The question here is 35 divided by 7. So we're gonna find what 7 times is to get 35, and we know that 7 times 5 is [UNCLEAR]. 35. So 35 divided by 7 is also 5. Is that clear? If it's clear, can you type in yes? [unclear]",00:07:13
emueqjf,32,student,"Hello, can you hear me? Okay. Is it clear? [unclear]",00:08:39
emueqjf,33,tutor,"Okay. Okay, great. All right. So let me move to Part B. No, Callum, I still can't hear you. Yeah, so you will have to type. Okay? All right. So I'm going to move into answering— into explaining Part B. Learning the Part B of the following part. Let's solve a problem using our multiplication and division facts.",00:08:58
emueqjf,34,tutor,Hello?,00:09:36
emueqjf,35,student,Hello.,00:09:38
emueqjf,36,tutor,"Hi, can you hear me?",00:09:39
emueqjf,37,student,"Oh, hi, I can hear you now.",00:09:41
emueqjf,38,tutor,"All right, thank you. Let me pass to Callum now.",00:09:43
emueqjf,39,student,Okay.,00:09:46
emueqjf,40,tutor,Hello? Hello?,00:09:46
emueqjf,41,student,Hello?,00:09:53
emueqjf,42,tutor,"Hi, I can hear you, Callum, but it's very faintly. Can you speak a bit close to the mic?",00:09:53
emueqjf,43,student,Okay.,00:10:02
emueqjf,44,tutor,"Oh, I can hear you now. All right. Is everything okay?",00:10:03
emueqjf,45,student,Everything's okay. Is this close enough?,00:10:09
emueqjf,46,tutor,"Yeah. Yes, all good. Yes, so it's finally glad— I'm finally glad to hear your voice. Uh, let's look at answering Part B now. All right. [unclear] Okay. [unclear] Yeah, so I will be going through the question and working this out for you. A regular octagon has a perimeter of 48 centimeters. What is the length of each of the sides. So an oct— yep. [unclear]",00:10:13
emueqjf,47,tutor,An octagon has 8 sides.,00:10:55
emueqjf,48,student,Sides. So—,00:10:59
emueqjf,49,tutor,Yes. So that means 40— 48 centimeters should be divided by,00:11:00
emueqjf,50,student,I have 8.,00:11:10
emueqjf,51,tutor,"8. So that, let's see what that is. 8 times what would give us 48? 8 times— [unclear] Yep, 8 times actually 6. 6. Yes, 6 would give you 48. So what is the length of each slide— each side? That will be 40— sorry, that will be 6. The length of each side will be 6 centimeters. So 6 into 8 is 48 centimeters. So that's the",00:11:12
emueqjf,52,tutor,"Perimeter. Yes, that's right. 48, that is correct. Good job in understanding that over there. All right, Callum, so now it's your turn to try and work out the questions over here. But first, can you work out your answer for part A?",00:12:02
emueqjf,53,tutor,"If Toby and Callum do washing cars and earn [unclear] together, if they share the money equally, how do they each get?",00:14:14
emueqjf,54,student,Yes.,00:14:27
emueqjf,55,student,It was divided by 8.,00:14:38
emueqjf,56,tutor,Yep.,00:14:41
emueqjf,57,student,So it would be 5 times 8. [unclear],00:14:42
emueqjf,58,student,That's 40 divided by 8. [unclear],00:15:11
emueqjf,59,tutor,Let's put in the division mark as well. [unclear],00:15:30
emueqjf,60,tutor,"You can even put this, put this division symbol, or you can go to the Symbols tool. And yeah, that's there. [unclear] Let me put it for you then. There we go. Oh, you've already put it. Yeah, good job.",00:15:58
emueqjf,61,tutor,"40 divided by 80. [unclear] Yes, that's right. So are we missing something to answer here?",00:16:28
emueqjf,62,tutor,So what is the question asking you to find?,00:16:51
emueqjf,63,student,8 children wash cars a day. [unclear] They share the money equally.,00:16:55
emueqjf,64,tutor,"Yes, it is asking how much do they each get. So what is 5? [unclear] 5 what? They each get 5 what? They each get 5 pounds.",00:17:11
emueqjf,65,tutor,5 pounds they would each get.,00:17:42
emueqjf,66,student,"Yes, that's right. So shall we put in the pound sign? Yes, that is correct. Good job in working out your answer here in dividing— here in dividing 40 by 8. Oh, 40 by 8. That's correct. And also, good job in working out your answer here. 9 times 12 is equal to 108. So wonderful job in completing the Your Turn part here. So here's a star for that splendid work. All right. [unclear]",00:17:45
emueqjf,67,tutor,You're welcome. And next up is the Yodo slide. So you've got 3 questions over here to work out. So can you start by answering part A? You can read the question out loud and then tell me how you are going to work it out.,00:18:26
emueqjf,68,student,[unclear],00:18:46
emueqjf,69,tutor,7 inches. How is [UNCLEAR]? What is its perimeter? Yeah. So how are you going to work this out?,00:18:53
emueqjf,70,student,I'm going to look at the sides.,00:18:53
emueqjf,71,tutor,Mm-hmm.,00:19:13
emueqjf,72,student,And,00:19:16
emueqjf,73,student,"And look, so when I'm going to— this would— that would be 10 inches, the top.",00:19:22
emueqjf,74,tutor,"It's the perimeter. So what is the meaning of perimeter, Callum? [unclear]",00:19:46
emueqjf,75,student,Mm-hmm.,00:19:52
emueqjf,76,tutor,So we worked out on a perimeter.,00:20:08
emueqjf,77,tutor,"Okay. All right, you can work out B and C then. Make sure to include the units if they are needed. [unclear] [unclear]",00:20:14
emueqjf,78,student,"Hello? Are you there, Callum? Hello?",00:20:45
emueqjf,79,tutor,Hello?,00:20:57
emueqjf,80,student,"Oh, I can hear you now. Yeah, did you ask me something?",00:20:58
emueqjf,81,tutor,"I'm sorry, I can't hear you that well. Could you come a bit close to the mic, please?",00:21:08
emueqjf,82,student,Hello?,00:21:14
emueqjf,83,tutor,"Yeah, I can hear you much better.",00:21:15
emueqjf,84,student,So a regular hexagon has 7— has a size of 7 [UNCLEAR].,00:21:20
emueqjf,85,tutor,"Yeah, what is it? Perimeter. Yeah. So how would you work out the perimeter? Perimeter, you have to— [unclear]",00:21:29
emueqjf,86,tutor,Add the lengths of all the sides. So you have to find how many sides are there. How many sides are here?,00:21:54
