session_id,utterance_id,role,content,timestamp
eoiittv,0,background,[unclear],00:00:00
eoiittv,1,tutor,Hello?,00:00:00
eoiittv,2,student,Hello?,00:00:07
eoiittv,3,background,"Lachlan, can you hear me?",00:00:10
eoiittv,4,tutor,"Yeah, I can hear you.",00:00:12
eoiittv,5,background,"Hi Lachlan, how are you?",00:00:13
eoiittv,6,tutor,I'm good.,00:00:16
eoiittv,7,background,Yeah.,00:00:17
eoiittv,8,tutor,Sorry?,00:00:18
eoiittv,9,student,How are you?,00:00:21
eoiittv,10,tutor,"I'm doing good too, thank you for asking. So how did your day go?",00:00:22
eoiittv,11,student,It's going good. How's yours?,00:00:27
eoiittv,12,tutor,"It's going good, thank you for asking again. So did you have fun today?",00:00:29
eoiittv,13,student,Yeah.,00:00:34
eoiittv,14,tutor,"Yeah, did you go to school?",00:00:36
eoiittv,15,student,Yeah.,00:00:38
eoiittv,16,tutor,Was it fun?,00:00:39
eoiittv,17,student,Yeah.,00:00:41
eoiittv,18,tutor,"Yeah, so anything special? [unclear]",00:00:42
eoiittv,19,tutor,"Okay, so yes, can you remember we did this lesson? Multiplying and dividing by tens and hundreds.",00:00:48
eoiittv,20,student,Yeah.,00:01:00
eoiittv,21,tutor,"So we, yeah, we did this and completed, I think, up to this part.",00:01:01
eoiittv,22,student,Oh yeah.,00:01:09
eoiittv,23,tutor,"We have, yeah, we have few questions left to complete. So can you try this question just to begin with?",00:01:10
eoiittv,24,student,Okay.,00:01:19
eoiittv,25,tutor,Okay. Is that right? [unclear],00:01:22
eoiittv,26,background,Can you tell me,00:01:38
eoiittv,27,tutor,How you got the answer?,00:01:40
eoiittv,28,student,"Because if you times it by 10, the 2 will go to being a 10,000, the 5 will be going to be a 1,000, and these zeros will just be zeros.",00:01:41
eoiittv,29,tutor,"Right, yeah, according to— yeah, your explanation is correct. If it is this way, you know, I think you have done it this way, 3,500. Yes.",00:01:57
eoiittv,30,tutor,"multiplied by 10 equals to 25,000. Yeah, right?",00:01:57
eoiittv,31,student,Yes.,00:01:57
eoiittv,32,background,"Wow. Okay, this is correct. Yes. But the question is, something multiplied by 10 equals [UNCLEAR].",00:02:12
eoiittv,33,student,"Oh, now I— oh, yes. [unclear]",00:02:12
eoiittv,34,tutor,"Right, the 50, yes. Good.",00:02:48
eoiittv,35,student,"Okay, next one.",00:02:55
eoiittv,36,student,Because the same [unclear] on here.,00:02:59
eoiittv,37,tutor,"Yes, 1,000, 1,100, 1,010, and 1,001. Good.",00:03:06
eoiittv,38,student,Yeah. [unclear],00:03:13
eoiittv,39,tutor,So we have completed up to this point. Can you tell me the things you remember?,00:03:14
eoiittv,40,student,"If you times it by 100, that would be— it's on this diagram.",00:03:24
eoiittv,41,student,What's it called again?,00:03:31
eoiittv,42,tutor,Getting in shape.,00:03:33
eoiittv,43,student,"Yes, and if you do 30— okay, 30 times 10 to go to 30. Can I just draw a circle around 30?",00:03:35
eoiittv,44,tutor,Yes.,00:03:50
eoiittv,45,student,"30, then we'll be going up to",00:03:51
eoiittv,46,student,"2, 3,000. [unclear]",00:03:57
eoiittv,47,tutor,Yes.,00:04:03
eoiittv,48,student,"Yes. Right, yeah.",00:04:10
eoiittv,49,tutor,And do I— can I do the one on the bottom here? Then divide it by 100.,00:04:17
eoiittv,50,background,You have actually completed this.,00:04:22
eoiittv,51,student,"Oh yeah, I have.",00:04:25
eoiittv,52,background,Yes. Good.,00:04:25
eoiittv,53,tutor,"Yeah, good job, guys. [unclear] Welcome. And okay, so then shall we move to the next one? The last question.",00:04:28
eoiittv,54,student,Yes.,00:04:39
eoiittv,55,tutor,"Right, so it says Jane's walk to school is 190 meters. Eva's is 10 times as far. So you'll have to find how far Eva walks to school.",00:04:40
eoiittv,56,student,"Then times... so times it by 10, that would equal... like... [unclear]",00:04:56
eoiittv,57,tutor,That right?,00:05:26
eoiittv,58,student,"Yeah, yeah, 1,900.",00:05:31
eoiittv,59,tutor,Should I put the answer here?,00:05:34
eoiittv,60,student,"Yes, please. With the measuring unit.",00:05:35
eoiittv,61,tutor,Is it cent?,00:05:39
eoiittv,62,student,"No way, that's not it. [unclear] [unclear]",00:05:40
eoiittv,63,tutor,"Yes, 1900. And what is the measuring unit here? Is it kilometers or meters or—",00:05:55
eoiittv,64,student,"Hmm, I think 1900 meters.",00:06:04
eoiittv,65,tutor,"Right, 1900 meters, yes.",00:06:09
eoiittv,66,background,"Can I do the M on it? Yes, please. [unclear]",00:06:12
eoiittv,67,tutor,"8,900 meters. Good. Okay. Yes, and yes, it would be better if you could place a comma there. Right, good job.",00:06:17
eoiittv,68,student,"Thank you, Tutor.",00:06:28
eoiittv,69,tutor,"Welcome. And okay, so we have come to the end of this lesson, that is multiplying and dividing by 10 and 100. So what do you think about this lesson? I think it's pretty good. What's going to be the next one?",00:06:30
eoiittv,70,tutor,"Yeah, we'll see that. Actually, it is writing tense as [UNCLEAR].",00:06:45
eoiittv,71,student,Okay.,00:06:45
eoiittv,72,tutor,Okay. So was there anything that was challenging or tricky?,00:06:53
eoiittv,73,student,No. Because we have learned this in school.,00:06:59
eoiittv,74,tutor,"Cool. All right. Okay. And last session when we were discussing, you wanted to show me bus stop that, right?",00:07:05
eoiittv,75,student,"Yeah, it is.",00:07:13
eoiittv,76,tutor,"Right, but we ran out of time. Do you want to show it to me today?",00:07:14
eoiittv,77,student,"Yeah, sure. How much time do we have?",00:07:21
eoiittv,78,tutor,"Yeah, we have like around 34 minutes.",00:07:24
eoiittv,79,student,Okay.,00:07:29
eoiittv,80,tutor,"Okay. If it is okay with you, yeah.",00:07:29
eoiittv,81,student,"Then for this, I'll do 33. Is it here?",00:07:33
eoiittv,82,student,It's down there. So it's how many 3s go into 33? And the answer would be... [unclear],00:07:41
eoiittv,83,tutor,"Yeah, that was pretty quick.",00:07:53
eoiittv,84,student,Yes.,00:07:56
eoiittv,85,background,"Also, can I ask you a Hack History question? History question. Okay, yeah, go ahead. Do you know the story of Dick Turban, the highwayman? [unclear] Sorry again, is it? Who is it? Dick Turban. Dick Turban. He was a highwayman. Oh, well, can you type it here just to— I don't actually know how to spell his name. Okay, next.",00:07:59
eoiittv,86,student,I know his— I think his horse used to be— people think his horse was called the Black Bess.,00:08:32
eoiittv,87,tutor,"Black Bess. Okay, let me type it. [unclear] Was he, you know, was he like a robber or something? Is it?",00:08:39
eoiittv,88,student,"Yeah, he was. He was very famous because a postman found out when he went to jail, he found out that it wasn't actually John Palmer. His name— he moved to Essex and his name was [unclear] to John Palmer. Then a postman found out because he taught him how to write. He found out that he was living a lie. It wasn't John Palmer's, it was Dick Turbin's.",00:08:57
eoiittv,89,tutor,"Oh, okay. That was a, like, you know, a turning point, was it?",00:09:37
eoiittv,90,student,Yeah.,00:09:42
eoiittv,91,tutor,"Oh, great. I don't think I have heard about him, but thank you for letting me know. Like, you know, is it— this is the name? Is it so? [unclear]",00:09:43
eoiittv,92,tutor,"Right, okay. I think I have not heard about him. But yeah, thank you.",00:09:57
eoiittv,93,student,I learned about him in Horrible Histories.,00:10:04
eoiittv,94,tutor,"Oh, in history, in Horrible History? You don't like history?",00:10:08
eoiittv,95,student,I do like history.,00:10:12
eoiittv,96,tutor,"Oh, okay, you do like history.",00:10:14
eoiittv,97,student,It is very fun.,00:10:15
eoiittv,98,tutor,So is that your favourite subject?,00:10:17
eoiittv,99,student,Yeah.,00:10:20
eoiittv,100,tutor,"Okay, what about maths? Do you like?",00:10:20
eoiittv,101,student,"Yeah, I do like maths.",00:10:22
eoiittv,102,tutor,"Great. Alright, yeah. So Dick Turpin. So what else do you know about him?",00:10:25
eoiittv,103,student,I know that [unclear] he was a butcher in Essex. [unclear],00:10:33
eoiittv,104,tutor,"Okay, so what's the next sheet we're gonna— what's the next one we're gonna do now?",00:10:51
eoiittv,105,student,"All right, okay, okay, yeah. So shall we move to the next one, or do you have anything else to say?",00:10:57
eoiittv,106,tutor,Let's move to the next one.,00:11:03
eoiittv,107,student,"All right, okay, yes. But yeah, thank you for letting me know about Dick Turpin. I think I'll learn about him next class and we'll discuss about it.",00:11:05
eoiittv,108,student,So I think it counts as a number.,00:11:13
eoiittv,109,tutor,Yeah.,00:11:17
eoiittv,110,student,"Okay, so do I just write— oh, is this fractions that we're doing now?",00:11:18
eoiittv,111,tutor,"We are locking in 2 decimals, yes. [unclear] 4 over 10. Is that right? Because that's how many ones are in shaded blue.",00:11:26
eoiittv,112,tutor,"Good, yeah, that's right, 4/10. Can you— okay, that is as a fraction. Yes, it's correct. The question asks you to write it as decimal as well. Would you be able to? [unclear]",00:11:59
eoiittv,113,student,What's the decimal point one again?,00:12:13
eoiittv,114,tutor,"Like this, you know, 0.1.",00:12:18
eoiittv,115,student,"Oh, that's what they are. So that's—",00:12:22
eoiittv,116,tutor,So would it be 6.4? [unclear] Can you tell me why you think it's 6.4?,00:12:29
eoiittv,117,student,"Because I'm not really sure about it, but if it's going like with— so like this, then I think that would be 6.4. [unclear]",00:12:40
eoiittv,118,tutor,Okay.,00:12:54
eoiittv,119,student,Or it would be 4.6.,00:12:56
eoiittv,120,tutor,"Okay. It's a good try, okay, but the answer is 4 tenths in decimal is 0.4.",00:12:58
eoiittv,121,student,"Oh, 0.4.",00:13:07
eoiittv,122,tutor,"Okay, so have you learned about decimals before?",00:13:09
eoiittv,123,student,"I think so, but I've forgotten.",00:13:13
eoiittv,124,tutor,Okay.,00:13:17
eoiittv,125,student,"So, 4. Okay, now I think I know how to do it.",00:13:19
eoiittv,126,tutor,And this is as a fraction.,00:13:26
eoiittv,127,student,"Oh, oh yeah, 3 ones. [unclear]",00:13:29
eoiittv,128,tutor,Is that correct?,00:13:40
eoiittv,129,student,"Yes, 3 tens.",00:13:48
eoiittv,130,tutor,Good.,00:13:49
eoiittv,131,student,"And then shall I do it in that sort of manner, like that?",00:13:50
eoiittv,132,tutor,In the decimal?,00:13:53
eoiittv,133,student,Yeah.,00:13:55
eoiittv,134,tutor,"Yes, please. [unclear]",00:13:56
eoiittv,135,tutor,"Yes, good. Good job. Great. Do you have any questions for me, Lachlan?",00:14:09
eoiittv,136,student,No.,00:14:21
eoiittv,137,tutor,So shall we learn more about decimals?,00:14:26
eoiittv,138,student,Yes.,00:14:30
eoiittv,139,tutor,"Okay, good. So we can show n using decimals. So can you give me an example? [unclear]",00:14:31
eoiittv,140,student,"Yeah, like you did here.",00:14:46
eoiittv,141,tutor,Yes.,00:14:51
eoiittv,142,student,"Oh, it'll go in here.",00:14:53
eoiittv,143,tutor,"Okay, so an example. So we do exactly what we did last time.",00:14:55
eoiittv,144,student,Yes. [unclear],00:15:03
eoiittv,145,tutor,"So 1/10 is shaded, so that would be in that sort of manner, like here. That would be 1/10.",00:15:05
eoiittv,146,tutor,"Actually, 0.1. [unclear]",00:15:22
eoiittv,147,student,"Yes, 0.1. Yeah, good. One tenth is 0.1. Good.",00:15:35
eoiittv,148,tutor,"Right, yeah, if you look like, if you take your example here, so we have a whole here which is divided into 10 equal parts. One part would be 1/10. So if we take a shaded part of it, that would be 1/10 of the whole. So if you place it in the place value chart, there is no ones, so zero. [unclear] And there's one tenth, So one tenth.",00:15:44
eoiittv,149,student,Yes.,00:16:11
eoiittv,150,tutor,"And there's no hundredths, so there is zero. Zero point one. We write this as zero point one. Good, yes. So if we take this as a fraction, it is one tenth. That is equal to zero point one, like you said. Okay, uh, do you have any questions for me, Lachlan?",00:16:11
eoiittv,151,student,No.,00:16:32
eoiittv,152,tutor,"So if we take this fraction, one tenth, it's It's also equal to when you divide 1 by 10. So when you divide 1 by 10, the answer you get is 0.1.",00:16:33
eoiittv,153,tutor,Okay.,00:16:44
eoiittv,154,background,"Right. So 1 divided by 10 would give you 0.1, which would be the decimal. Is the point clear? Yeah, sorry.",00:16:46
eoiittv,155,student,Can I quickly put a circle around my 0.1 here?,00:16:54
eoiittv,156,tutor,Yes.,00:16:58
eoiittv,157,student,It's like down there.,00:16:59
eoiittv,158,tutor,"Okay, like this you mean.",00:17:01
eoiittv,159,student,Don't know how to do it. I'm just gonna— I'm just gonna put it at that.,00:17:05
eoiittv,160,tutor,"Oh, okay, okay, that's fine. You want it to circle, is it?",00:17:14
eoiittv,161,student,"Yeah, I was trying to do circle, but— [unclear]",00:17:18
eoiittv,162,tutor,"Right, I've got it. You can use the draw tool, maybe you can draw a circle there.",00:17:23
eoiittv,163,student,Okay.,00:17:33
eoiittv,164,student,But can I quickly erase that [UNCLEAR]?,00:17:35
eoiittv,165,tutor,"Okay, so what do I do here on this one?",00:17:35
eoiittv,166,student,"You mean question C? Yes, question 3. [unclear]",00:17:57
eoiittv,167,tutor,Yes.,00:18:02
eoiittv,168,student,Right.,00:18:03
eoiittv,169,tutor,One tenth on this needs to be what? One tenth. Would one tenth be here? Would that be one tenth? [unclear],00:18:06
eoiittv,170,tutor,"Can you tell me why you think so? Because everything so far has been 0.1, 0.1, so I feel like that would be 0.1.",00:18:20
eoiittv,171,tutor,"Right, yes. Yeah, yeah, right, good. That is a good observation, yes. So what would one-tenth of a meter be worth? So how would you write the answer?",00:18:41
eoiittv,172,student,One— [unclear] 0.1.,00:18:52
eoiittv,173,tutor,"Yes, 0.1. [unclear]",00:18:55
eoiittv,174,tutor,"Okay, so centimeters or meters or— is that correct?",00:19:04
eoiittv,175,student,"Yes, your answer is correct. Can you tell me the reason why you put meters?",00:19:14
eoiittv,176,tutor,"Well, here you go.",00:19:22
eoiittv,177,tutor,"Ah, sorry. Let me type this way. Is it centimetres or metres? 0.1 metres or 0.1 centimetres?",00:19:25
eoiittv,178,student,Can I do a circle around it?,00:19:35
eoiittv,179,tutor,"Yes, please. Yeah.",00:19:38
eoiittv,180,student,"Ah yeah, need this. Good. [unclear] I do really like when that little pop-up comes every time. I know I do. I do like it.",00:19:43
eoiittv,181,tutor,That's fine. You mean you like it or you don't like it?,00:19:59
eoiittv,182,student,I do like it.,00:20:03
eoiittv,183,tutor,Do like it? Okay.,00:20:05
eoiittv,184,student,"Yeah, it makes me feel good. [unclear]",00:20:06
eoiittv,185,tutor,"Okay. Yes. So yeah, you're doing great. So do you have any questions for me, Lachlan?",00:20:09
eoiittv,186,student,Nah.,00:20:17
eoiittv,187,tutor,"No? So what did you like? You know, we have worked on decimals. So do you have anything that you didn't understand?",00:20:18
eoiittv,188,student,"Uh, yeah, it's, uh, it was just when this— when I was doing question C.",00:20:27
eoiittv,189,tutor,C? Okay.,00:20:36
eoiittv,190,student,"Yeah, because I thought it— because I thought it would be like there, sort of. Would it be there or there?",00:20:37
eoiittv,191,tutor,"Ah, yeah, all right. There. I'm gonna put some dots around it. Yeah.",00:20:51
eoiittv,192,tutor,"Yeah, all right. Okay, so your question is, if— is it— could it be here and here? Is that so?",00:21:01
eoiittv,193,student,Yeah.,00:21:07
eoiittv,194,tutor,"All right. Okay, so the question is, what would 1/10 of a meter be worth? So you have this ruler from 0 to 1 meter. So this is a 1-meter [UNCLEAR]. So if we take 1/10 of this, that means This may be somewhere anywhere. This interval is 1/10, like you have drawn here. 1/10, 1/10, 1/10. So each of this part is a tenth.",00:21:08
eoiittv,195,student,Okay.,00:21:30
eoiittv,196,tutor,"Okay, so how much would it be worth? So 1/10 of 1 meter is, like you said, it's 0.1 meters.",00:21:32
eoiittv,197,student,Okay.,00:21:39
eoiittv,198,tutor,Did you understand this? Okay.,00:21:40
eoiittv,199,background,[unclear],00:21:42
eoiittv,200,student,"Sorry, if I just rub these 0.1 out. I was trying to rub out the circle, but then— [unclear]",00:21:44
eoiittv,201,tutor,Okay. [unclear],00:21:53
eoiittv,202,student,"No, that's an I.",00:21:54
eoiittv,203,tutor,I.,00:21:57
eoiittv,204,student,"Yeah. Okay, 0.1.",00:21:57
eoiittv,205,tutor,"0.1. Okay, so any other questions? Anything you didn't understand?",00:22:00
eoiittv,206,student,No.,00:22:05
eoiittv,207,tutor,"Okay, so this part is clear?",00:22:06
eoiittv,208,student,Yeah.,00:22:08
eoiittv,209,tutor,"Okay, are we good to go?",00:22:09
eoiittv,210,tutor,"Yeah, okay, good. Right, so we have 'Follow Me' and the author. So 'Follow Me' is, let's look at how much of the shape is shaded and how much is not shaded and write as a fraction and as a decimal. Okay, so we have a shape here and it's divided into some parts and some of them are shaded. So they are saying the whole, this whole thing is a whole which is divided into 10 equal parts, right? 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. So it's 10 equal parts. Shaded blue, how many of them are shaded? So 1, 2, 3, 4, right? So that would be 4 out of 10 are shaded. So as a fraction, it's 4/10.",00:22:12
eoiittv,211,student,[unclear],00:23:03
eoiittv,212,tutor,"Good, yes, 0.4. Okay. So that is about the shaded blue. Next is not shaded blue. So the ones which are not shaded— 1, 2, 3— yes, 6. So that is 6/10 are not shaded. As a decimal, it is 0.6. 0.6. Yes, good. [unclear]",00:23:05
eoiittv,213,tutor,Right.,00:23:34
eoiittv,214,student,Can I now see?,00:23:35
eoiittv,215,tutor,"Yes. So these two added would give you the whole, which is 1. So that will be 0.4 plus 0.6, which will give you 1, which is the whole. Do you have any questions, Lachlan? Did you get it?",00:23:37
eoiittv,216,student,"Yeah, I did get it now.",00:23:57
eoiittv,217,tutor,"Yeah, right. Would you be able to do your turn now?",00:23:59
eoiittv,218,student,"Yeah, sure. [unclear]",00:24:03
eoiittv,219,tutor,So it's shaded in blue. [unclear],00:24:08
eoiittv,220,student,I use the column method where I put the numbers here and then I just [unclear] [unclear],00:24:34
eoiittv,221,tutor,"Yes. 0.3, 0.7. Yes. Can you tell me how you worked it out?",00:25:01
eoiittv,222,student,"Because it's just like what you did. Because if you count as how many are not shaded, then you know your multiples of 10, you'll know how many are shaded. [unclear]",00:25:11
eoiittv,223,tutor,"Right, yes.",00:25:32
eoiittv,224,student,"And then on this, it's just what you did for the 0.6 and 0.4.",00:25:34
eoiittv,225,tutor,"0.4, right. Yes, good, good. Once again, well done.",00:25:40
eoiittv,226,student,Yay!,00:25:50
eoiittv,227,tutor,Yay! [unclear],00:25:51
eoiittv,228,tutor,"Right. Up to this point, is everything clear, Lachlan?",00:25:58
eoiittv,229,student,Mm-hmm.,00:26:03
eoiittv,230,tutor,"Everything is going good? Good. Right. Then we move to the next one where we have you do questions. Question A, B, and C. Would you be able to try them all, Lachlan?",00:26:03
eoiittv,231,student,"Yeah, I think I can.",00:26:16
eoiittv,232,tutor,"Excellent. 0 times 0 is nothing, so you put 0. And then 9 times 1, you can't do that, so it'll be a 9. And then 1 times nothing, 0. [unclear]",00:26:19
eoiittv,233,tutor,"So I used the brain method again. I did the 1, 10, 100, 1,000. So I used that method in my brain again and I did it again, so it equals 1,900.",00:26:33
eoiittv,234,student,"Yeah, can I use a multiplication thing? [unclear]",00:26:55
eoiittv,235,student,There you go.,00:27:14
eoiittv,236,tutor,"Yeah, one second. [unclear]",00:27:19
eoiittv,237,student,Done.,00:27:21
eoiittv,238,tutor,"Done. All right. Yeah. Good job. Okay. Yes. 0.8, 0.7, and 5. Can you explain how you got the answer here?",00:27:21
eoiittv,239,student,Because...,00:27:36
eoiittv,240,student,I just counted out to get to 5. [unclear],00:27:40
eoiittv,241,tutor,"Right, yes. So there's 5 like you said. Okay, so there's 1 litre and half of it is filled, right?",00:27:49
eoiittv,242,student,"Wait, do I have to do 0.5?",00:28:00
eoiittv,243,tutor,"Yes, 0.5, yes. Can you tell me how you figured it out? [unclear]",00:28:03
eoiittv,244,tutor,Okay.,00:28:12
eoiittv,245,student,0.5 liters.,00:28:12
eoiittv,246,tutor,You're right. Can you tell me how you figured that it is 0.5?,00:28:18
eoiittv,247,student,"Because if you just look at it there, can I do the shape?",00:28:24
eoiittv,248,tutor,Yes.,00:28:32
eoiittv,249,student,The line.,00:28:33
eoiittv,250,student,"So, can you see my little hand, my thing here?",00:28:34
eoiittv,251,tutor,"Um, no, Lachlan. I think I can't. [unclear]",00:28:38
eoiittv,252,student,"Because there, that is 5, because you can count up, you can count up by— if I do the point, you can count up. [unclear]",00:28:46
eoiittv,253,tutor,"Right, yes. Good. Good explanation.",00:29:07
eoiittv,254,student,"I forgot to ask last week, but do you have any hobbies?",00:29:15
eoiittv,255,background,"Do I have any what, Lachlan? Sorry?",00:29:20
eoiittv,256,student,Hobbies.,00:29:23
eoiittv,257,background,"Hobbies, okay. Yes, I do. Do you? Yeah, I like running miles. I like running a mile.",00:29:24
eoiittv,258,tutor,"Oh my God, that's amazing. Yeah, it's a good thing. It keeps you healthy, right? [unclear]",00:29:35
eoiittv,259,student,In walking boots. Running a mile in walking boots.,00:29:41
eoiittv,260,tutor,"Oh, that is hard. Yeah, I wouldn't be able to do it. Good, that's a good thing.",00:29:46
eoiittv,261,tutor,So you're interested in sports?,00:29:54
eoiittv,262,student,"Yeah, I like— I do like sports.",00:29:56
eoiittv,263,tutor,"Sports, so is it running kind of sports?",00:29:59
eoiittv,264,student,"Yeah. [unclear] And I've done about 8,903 steps today.",00:30:02
eoiittv,265,tutor,"8,900, oh my. That is impressive, Lachlan. It's really, really good.",00:30:16
eoiittv,266,tutor,"Okay, welcome. I wouldn't be able to do that much. So like, yeah, you are so athletic, right?",00:30:22
eoiittv,267,student,Yeah.,00:30:31
eoiittv,268,tutor,"Okay, let's move on to the next one.",00:30:32
eoiittv,269,student,"All right, next one. Okay, yes. And yes, that is the last part of this lesson. How long is the ribbon? So the ribbon is the one in the pink. Okay, so that's one, two, and also the chain",00:30:34
eoiittv,270,tutor,Change the color.,00:30:54
eoiittv,271,student,"Okay, yeah, that's fine. [unclear]",00:30:56
eoiittv,272,tutor,"Okay, I got it. Is that correct?",00:31:05
eoiittv,273,student,0.9.,00:31:22
eoiittv,274,tutor,The answer is 0.8.,00:31:26
eoiittv,275,student,"Oh, 0.8. Can I quickly— [unclear]",00:31:29
eoiittv,276,tutor,Yes.,00:31:33
eoiittv,277,student,And I did change my colour again. Can I change it again?,00:31:36
eoiittv,278,tutor,Yes.,00:31:43
eoiittv,279,student,Can I draw a face on how I felt on this lesson? [unclear],00:31:44
eoiittv,280,tutor,I'm happy with this lesson.,00:32:12
eoiittv,281,tutor,"That's fine, it's cute. We really like the lesson.",00:32:15
eoiittv,282,student,"Yes, I do like these math lessons.",00:32:21
eoiittv,283,tutor,"Oh my God, okay. Good, I'm glad you liked it.",00:32:25
eoiittv,284,student,"I'm just gonna put my answer up here, right?",00:32:29
eoiittv,285,tutor,"Okay, yeah, fine. Yeah, 0.8. Yes, okay. [unclear]",00:32:35
eoiittv,286,tutor,Can you tell me why 0.8 is the correct answer?,00:32:41
eoiittv,287,student,"Because if you just count on— if you— can I tell you why I got 0.9, which is wrong? So I'm gonna put it down here. [unclear] 0.9. I got 0.9 because I thought you have to count it from here. To there, so that's 0.9, but then they had to come from there. [unclear]",00:32:44
eoiittv,288,tutor,"Yeah, okay.",00:33:18
eoiittv,289,student,This has been quite a fun lesson.,00:33:23
eoiittv,290,tutor,"I am enjoying it too. Right, yeah. Okay, so we have come to the end of this lesson, which is writing tenths and [unclear] Do you have anything else to say?",00:33:26
eoiittv,291,student,No.,00:33:39
eoiittv,292,tutor,Okay.,00:33:40
eoiittv,293,student,"Wait, was this the end of this sort of lesson? I didn't find this, but is this the last one? This is the last one. Is this the last question I'm doing of writing by tens?",00:33:41
eoiittv,294,background,"Yeah, this is the last part. We will be moving to the next one as we have a few minutes left.",00:33:59
eoiittv,295,tutor,Okay.,00:34:06
eoiittv,296,student,"Okay, so is it okay? [unclear]",00:34:08
eoiittv,297,tutor,Yeah.,00:34:10
eoiittv,298,student,Okay.,00:34:11
eoiittv,299,tutor,"Oh, let's see, guys.",00:34:13
eoiittv,300,student,"Oh yes, we're doing writing money. Yes, I love doing money.",00:34:18
eoiittv,301,tutor,"Wow, I'm enjoying it too. Right, yeah, so writing money using pounds and pence.",00:34:26
eoiittv,302,tutor,Can you try the question one?,00:34:33
eoiittv,303,student,Yeah.,00:34:35
eoiittv,304,tutor,"Okay, good.",00:34:36
eoiittv,305,student,Is this gonna be... is this gonna be £3.02 fee for me? [unclear],00:34:38
eoiittv,306,tutor,"£3.07 will be, is it?",00:34:47
eoiittv,307,student,Can I just write what I think it will be?,00:34:55
eoiittv,308,tutor,"Yeah, yeah. [unclear]",00:34:58
