session_id,utterance_id,role,content,timestamp
ernffnv,0,background,[unclear],00:00:00
ernffnv,1,tutor,Hello.,00:00:00
ernffnv,2,student,"Hello. Hi, Rowan.",00:00:11
ernffnv,3,student,Hi.,00:00:15
ernffnv,4,tutor,How are you doing today?,00:00:16
ernffnv,5,student,Good.,00:00:19
ernffnv,6,tutor,"Good. Okay, great. That's very nice to hear. All right, then shall we straight up get into our today's lesson?",00:00:20
ernffnv,7,student,Yeah.,00:00:28
ernffnv,8,tutor,"Okay, so this is actually not a new lesson. This is a lesson that you have started the last time that you were here. So let's start from where where you have stopped, and afterwards finish up this lesson and move on to a new lesson if time permits us. Okay?",00:00:30
ernffnv,9,student,Okay.,00:00:47
ernffnv,10,tutor,"Alright, so our lesson is using mental strategies to divide. So there are different kinds of strategies which we can use to divide any number mentally. We don't need a pen or paper to do the working. We should learn these strategies to divide mentally.",00:00:49
ernffnv,11,tutor,"Okay, right. So before we start our lesson from where you stopped, shall we try this learning goal question as a little warm-up question? Afterwards, let's begin the lesson. Can you give it a try?",00:01:08
ernffnv,12,student,Yeah.,00:01:27
ernffnv,13,tutor,"So shall we read the question, Rowan?",00:01:28
ernffnv,14,student,"Use a mental method to complete the calculation. Very good, very nice reading. So we have to use a mental method to complete this calculation. So what sort of a calculation is this?",00:01:31
ernffnv,15,student,[unclear],00:01:48
ernffnv,16,tutor,"It is a division, very good. So, yeah, shall we try it? Give it a try. You have to use a mental method and you count, okay?",00:01:49
ernffnv,17,student,Okay. [unclear],00:01:59
ernffnv,18,tutor,How exactly should we do this question?,00:02:19
ernffnv,19,student,Hi.,00:02:22
ernffnv,20,tutor,"14. All right. So can you explain to me how you got the 14, Rowan? [unclear]",00:02:25
ernffnv,21,tutor,I only did my 5 times tables till I got to 95 and whatever number I had would be the division.,00:02:31
ernffnv,22,background,I think I'm trying to get something pronounced with this.,00:02:42
ernffnv,23,tutor,"Yes, that's very nice strategy out there. Okay, let's see. So what is 5 times 10? 5 times 10, what is it?",00:02:45
ernffnv,24,student,50.,00:03:01
ernffnv,25,tutor,"50, very good. So that means we have all the way up to 50, we have 10 5s, right? So this 95, we can break it into a 50, and how much remaining would be there when we remove a 50 from 95? We're partitioning this.",00:03:02
ernffnv,26,student,45.,00:03:21
ernffnv,27,tutor,"Very good. Yes, it's a 45. So for 10— I mean, for 50, we have 10 5s. 45, how many 5s can we make from 45?",00:03:22
ernffnv,28,student,9.,00:03:34
ernffnv,29,tutor,"9. Very good. So that means for 50 we have 10 5s, and for 45 we have 9 5s. Altogether, how many 5s can we see in 95?",00:03:35
ernffnv,30,student,"Um, 19.",00:03:49
ernffnv,31,tutor,"19, very good. So 19 times 5 gives us 95. So this should be corrected to a 19. I hope I make sense, Rowan. Any questions or anything that you didn't understand?",00:03:51
ernffnv,32,student,No.,00:04:05
ernffnv,33,tutor,"No, okay. Then shall we correct this to 19?",00:04:05
