session_id,utterance_id,role,content,timestamp
espimkt,0,background,"Hello. Hello. Hi, Daniel.",00:00:00
espimkt,1,tutor,Yeah.,00:00:21
espimkt,2,tutor,"Okay, so how are you doing today?",00:00:22
espimkt,3,student,I'm fine.,00:00:26
espimkt,4,tutor,"Uh-huh, that's nice. Well, how has your day been so far?",00:00:28
espimkt,5,tutor,It was good.,00:00:33
espimkt,6,tutor,"It was good. Okay, that's great. So how was your weekend? The past weekend?",00:00:35
espimkt,7,student,"Uh, it was [UNCLEAR]. [unclear]",00:00:45
espimkt,8,tutor,"Okay, that's great. All right, so then do you know that this is going to be our final session for this term?",00:00:52
espimkt,9,student,Yeah.,00:01:03
espimkt,10,tutor,"Okay, all right. Yes, then if you're ready, can we start with our lesson?",00:01:05
espimkt,11,student,Yeah.,00:01:12
espimkt,12,tutor,Yeah.,00:01:15
espimkt,13,tutor,"Yes, I hope you can see the screen here, right?",00:01:18
espimkt,14,tutor,Yeah.,00:01:23
espimkt,15,tutor,Yeah. [unclear],00:01:24
espimkt,16,tutor,Writing percentages as fractions and decimals.,00:01:26
espimkt,17,tutor,Okay.,00:01:30
espimkt,18,tutor,"So yes, so then I hope you remember we already started with this lesson and we just have one more slide to complete this. So let's directly move ahead into it. Here we go. Can you start by reading it?",00:01:32
espimkt,19,tutor,Tara has 48 pages of her book. Her book has 400 pages. What proportion of her book is Tara given? Give it in percentage and decimal.,00:01:48
espimkt,20,student,So... [unclear],00:01:58
espimkt,21,background,Do you understand the question here? [unclear],00:02:01
espimkt,22,tutor,"Not really. Okay, so shall we try reading it once again?",00:02:09
espimkt,23,student,Tara has read 48 pages of her book. Her book has 400 pages. What proportion of her book has she read? Give your answers in percentage and guess the word. [unclear],00:02:21
espimkt,24,tutor,So what do you think? How did you get an idea of what the question was?,00:02:38
espimkt,25,student,We have to make the fraction into hundreds.,00:02:48
espimkt,26,tutor,Okay.,00:03:00
espimkt,27,student,So we have to divide it by—,00:03:01
espimkt,28,tutor,"Okay. [unclear] Okay, so they are asking us to give the answer as a percentage and as a decimal, right? So first of all, if I ask you to write the number of pages Sarah has read as a fraction, how would you do that?",00:03:08
espimkt,29,tutor,"4,800. [unclear]",00:03:33
espimkt,30,tutor,Can you please write it as [UNCLEAR]? So how can we write it as a fraction?,00:03:44
espimkt,31,student,As a fraction. [unclear],00:03:44
espimkt,32,tutor,"And as a decimal, it could be— [unclear] [unclear]",00:04:10
espimkt,33,tutor,Okay.,00:04:29
espimkt,34,student,"Well, I am very sure about this. Is this going to be 4,800?",00:04:32
espimkt,35,tutor,No.,00:04:37
espimkt,36,student,So if 6 divided by 4 equals 60.,00:04:43
espimkt,37,tutor,Because we made the denominator into hundredths but didn't make the numerator anything. [unclear],00:04:46
espimkt,38,tutor,"I'm sorry, I couldn't hear you clearly. Would you mind repeating that again?",00:04:57
espimkt,39,student,We made the fraction as [UNCLEAR]. [unclear],00:05:04
espimkt,40,tutor,Hello?,00:05:14
espimkt,41,student,"Hello, can you hear me?",00:05:36
espimkt,42,tutor,"Hello? Hello, Kieran? Are you there? Can you hear me? Hello? [unclear]",00:06:12
espimkt,43,tutor,"I cannot hear you, Kieran. Can you hear me? [unclear]",00:06:30
espimkt,44,tutor,"Well, I cannot hear you, so can you please try refreshing? [unclear]",00:07:02
espimkt,45,student,Hello?,00:07:16
espimkt,46,tutor,"Yes, Kieran, yet I cannot hear you.",00:07:19
espimkt,47,tutor,Can you please get the adults in your room so that they might be able to help you with it? [unclear],00:07:21
espimkt,48,tutor,Hello? Did you get the [unclear] here?,00:07:56
espimkt,49,tutor,"Hello? Yet I cannot hear you, Kieran.",00:09:00
espimkt,50,tutor,Hello? Did you get the [unclear] here? Yet I cannot hear you.,00:09:56
espimkt,51,tutor,"Hello? Hello, Kieran? Hello? All right, okay. So is this your [unclear] over here?",00:12:59
espimkt,52,tutor,"Okay, good. So you can hear me, right? But it is just me who cannot hear you or like from your side. So I think, yeah, what we can do is maybe I can try speaking since you can hear me and you can, like Kieran can reply me using the chat. Is that fine? Will that do? [unclear]",00:13:27
espimkt,53,tutor,"Okay, cool. All right, so yes, but you did try changing the headset and logging off and nothing helped, right? Yeah?",00:13:57
espimkt,54,tutor,"Okay, all right then. So let's go ahead with the chat. Okay, so then Kieran can use the chat and I'll continue teaching as how I was doing. Okay, Kieran, so yes, this is going to be a little hard since you will not be— I will not be able to hear you, but no worries. Let's try to get the maximum out of this session, okay?",00:14:14
espimkt,55,tutor,"So yes, I can see that you have come up with the fraction here, but what if I ask you to check it again? Can you like write the number of pages [unclear] has read as a fraction? Like try to read the sentences they have given to us here once again carefully and then go through it and then yes.",00:14:40
espimkt,56,tutor,"Okay, that's great. Very well done. Can you tell me how— yeah, so I think it might be hard for you to explain using the chat, right? So let me go ahead and write the fraction. Okay, yes, just like this. So very well done over there in figuring out the fraction. So how can you write this as a percentage and a decimal now? How would you do it? [unclear] [unclear]",00:15:56
espimkt,57,tutor,"Yes, 48/400. How can we write this as a percentage and as a decimal? So what is the first step you have to do if you have to convert this into a percentage or a decimal? [unclear]",00:16:36
espimkt,58,tutor,"Yeah. 0.048. Are you very sure about it? Like, we can easily go ahead and",00:17:30
espimkt,59,tutor,"Like move the digits of this, the digit 48 to the right side. Basically, that's what we do when we have to divide a number by 100, right? But here our denominator is 400, isn't it? But if it was 4,800, yes, I might agree with you. We can simply go ahead and like, you know, go ahead as how you've done, as how you did. We can just go ahead and move the digits of 48 into 2 places towards the right side, and we might get the answer. But here we can see our denominator is 400, right? In that case, what are we supposed to do? What do you think? Do you have any idea? [unclear]",00:17:41
espimkt,60,tutor,"Yes, do you have any idea, Kieran? If so, you can let me know. [unclear] [unclear]",00:18:51
espimkt,61,tutor,"Okay, so what if I help you with this by giving a small tip, like, um, what if you try expressing this fraction with a denominator of 100?",00:19:19
espimkt,62,tutor,"If you're supposed to do it that way, how would you do that? [unclear]",00:19:31
espimkt,63,tutor,Yes.,00:19:39
espimkt,64,tutor,Okay.,00:19:59
espimkt,65,tutor,"Divided by 5. I'm sorry, are you very sure about it?",00:20:02
espimkt,66,tutor,"I told you, right? Like, first of all, okay, so this is a fraction you've got here, 44 hundredths. But if you have to write it as a percentage and as a decimal, we know that if we have to write something as a percentage, it should be written as a fraction out of 100, isn't it?",00:20:06
