session_id,utterance_id,role,content,timestamp
eudebes,0,tutor,Hello.,00:00:00
eudebes,1,background,"Hello. Hi Gideon, can you hear me?",00:00:00
eudebes,2,tutor,"Yeah, hi, you are? You are?",00:00:02
eudebes,3,background,Good. How are you doing today?,00:00:05
eudebes,4,tutor,"I'm doing alright, sir.",00:00:08
eudebes,5,background,"Alright, that's great to hear. So how was school? Did you do— I mean, what were the lessons you had today?",00:00:09
eudebes,6,tutor,[unclear] English and science and business and geography.,00:00:15
eudebes,7,tutor,"Okay, that's a lot. So what did you do in maths today?",00:00:24
eudebes,8,student,"We were doing, I think it was the story of X and Y, basically. So we were trying to work out what Y or X would equal. [unclear]",00:00:28
eudebes,9,tutor,"Alright, so that seems very interesting. So how did you find the lesson? Was it quite interesting or did you find it challenging?",00:00:44
eudebes,10,student,I found it interesting. I think I did well in it.,00:00:52
eudebes,11,tutor,"That's fantastic. That's some great news. So in future we might also get lessons related to algebraic expressions, so we'll definitely come across them. Alright, so let's get started with our lesson for today, which is estimating calculations. So we already did this I mean, did part of this lesson. So could you tell me what you can remember about what we did?",00:00:57
eudebes,12,student,"That... [unclear] I think it's... to time... I know it's the starting off, Tutor, is it the times the top first and the [UNCLEAR]? I think.",00:01:20
eudebes,13,tutor,"Yes, that's something we did as well. Great recollection.",00:01:20
eudebes,14,student,"And then that would be to get the answer and you would have to guess between, well, figure out which one of the three below us.",00:01:50
eudebes,15,tutor,Yeah.,00:02:02
eudebes,16,tutor,"All right, so that's some great recollection that you did on how we solved this. So whenever we are estimating a calculation, to which number do we round all the numbers?",00:02:06
eudebes,17,student,To the— is it the first— [unclear] I forgot what it's called. The first—,00:02:19
eudebes,18,tutor,"The first, let's see whether—",00:02:26
eudebes,19,student,"Is it the first whole number? Oh, significant, that's what it is, yeah.",00:02:28
eudebes,20,tutor,"Exactly. So the first significant figure, that is what we round it to.",00:02:32
eudebes,21,student,"Yes, that's made me remember a little more now.",00:02:38
eudebes,22,tutor,"All right, great, great, great. So thanks a lot for that amazing work in recalling everything. So let's get going with this calculation where you had stopped last time. So would you like to read this calculation and give it a try? I had to stop you in the middle.",00:02:43
eudebes,23,tutor,Let's say you can do it leisurely.,00:03:00
eudebes,24,student,"A unit of electricity costs 6.3p on average. 3 hours of phone to use is 62. [unclear] So, electricity, to pay her electric bill for the year, which is 52 weeks,",00:03:03
eudebes,25,tutor,"So she uses, so you'd have to, you don't estimate. Okay. Estimate them all. So I wouldn't use a calculator. Am I able? [unclear] Text, I think it's. Yeah. Okay. Now I can.",00:03:28
eudebes,26,student,Wrong.,00:03:50
eudebes,27,tutor,"So I would round them up. I would round them up first. So 60 to 63. 6. And then you would go on the bottom. I think 52, I would think. [unclear]",00:03:52
eudebes,28,tutor,"Okay. Oh, have I mad maths? Nah, I don't think I have. And then, so, 62 times 6. [unclear]",00:04:21
eudebes,29,tutor,[UNCLEAR],00:04:21
eudebes,30,student,"3 times 6 is 18, and then 6 times 6 is 36, times that by 10. 3, so 360, add 18, 378, and then divide that by 50, I think. 52.",00:04:39
eudebes,31,tutor,"Can I interrupt you for a second, please?",00:05:06
eudebes,32,student,Yeah.,00:05:07
eudebes,33,tutor,Do they kind of want us to work out this calculation? Do they want us to estimate? [unclear],00:05:09
eudebes,34,student,Estimate it.,00:05:16
eudebes,35,tutor,"Okay, yes. Okay, before we estimate, what do you think we should be doing in this calculation with all these values?",00:05:17
eudebes,36,student,[unclear],00:05:30
eudebes,37,tutor,Rounding them?,00:05:40
eudebes,38,tutor,"Okay, yes, we have to do something related to rounding. Yes, that's a very good start. But when it comes to the calculation, calculation, do you think we need— why do you think we need to multiply 6.3 by 6 and divide it by 52?",00:05:42
eudebes,39,student,"[unclear] So then we could figure out how much real fat-free uses over a year, each week.",00:05:56
eudebes,40,tutor,"Okay, so, all right, so you think we need to multiply— I mean, that's the procedure we need to do. Wait.",00:06:12
eudebes,41,tutor,All right.,00:06:25
eudebes,42,student,"[unclear] Oh, I just have to work out how much they pay in total.",00:06:29
eudebes,43,tutor,Exactly. No problem.,00:06:33
eudebes,44,student,"Okay, so I don't have to work out the lump sum.",00:06:34
eudebes,45,tutor,"Exactly. So we'll try to work out. So in this slide, they have kind of broken down the question into steps. So we'll try using this particular slide to get our question worked. Okay?",00:06:39
eudebes,46,tutor,Yeah.,00:06:53
eudebes,47,background,"All right, shall we get started? Can you read this part and get started with the first step itself?",00:06:54
eudebes,48,tutor,"When an estimation question is in a [unclear] context, all the research...revert values, round them to first significant number, well, first significant figure, and then perform the calculation. [unclear]",00:06:59
eudebes,49,tutor,Okay. Mm-hmm.,00:07:28
eudebes,50,student,Yeah.,00:07:30
eudebes,51,tutor,So what's the first step?,00:07:33
eudebes,52,student,So you would round all of them to the first significant number. Which would— so that would be 6. That one would be 63. And then that's just 52.,00:07:35
eudebes,53,tutor,Okay.,00:07:53
eudebes,54,student,"Oh, actually it would be 50.",00:07:53
eudebes,55,tutor,Okay. Why do you think it's not a 52 and why is it a 50?,00:07:56
eudebes,56,student,Because it's—,00:08:00
eudebes,57,student,"50, because you said round it to the first significant number.",00:08:09
eudebes,58,tutor,Exactly.,00:08:16
eudebes,59,student,So I want to round it.,00:08:16
eudebes,60,tutor,What's the first significant figure in this number?,00:08:22
eudebes,61,student,5.,00:08:25
eudebes,62,tutor,"5, very good. So you round it up or down and you get this answer.",00:08:26
eudebes,63,student,Yeah.,00:08:31
eudebes,64,tutor,So can you check whether you have done that right with this?,00:08:31
eudebes,65,tutor,This one.,00:08:33
eudebes,66,student,"Oh, oh, oh, okay. So it's 60.",00:08:35
eudebes,67,tutor,"60, fantastic.",00:08:40
