session_id,utterance_id,role,content,timestamp
eyrspyu,0,tutor,"Hi, good morning. How are you doing?",00:00:00
eyrspyu,1,student,Good.,00:00:02
eyrspyu,2,tutor,That's good to know. And what about your day? How is it going so far?,00:00:03
eyrspyu,3,student,Good.,00:00:09
eyrspyu,4,tutor,"Well, that's great to know as well. So have you tried anything new this week? [unclear]",00:00:10
eyrspyu,5,tutor,Hello?,00:00:28
eyrspyu,6,student,Yeah.,00:00:29
eyrspyu,7,tutor,Is your headset on?,00:00:30
eyrspyu,8,student,Yes.,00:00:34
eyrspyu,9,tutor,"Because I can hear a lot of background noise, so sometimes your voice is kind of mixing up with others. That's why. Can you please check if your headset is, you know, connected properly?",00:00:35
eyrspyu,10,background,"[unclear] Okay, that's good to know. So have you tried anything new this week? [unclear]",00:00:52
eyrspyu,11,tutor,"Okay, no worries. So shall we start our session then? Yeah. Hello. Okay, so today we are going to continue with the lesson Ordering Numbers Up to 1000. Okay. Yeah, if you try to remember in the last class— Yeah, okay, that's great. So can you please try the learning goal question for me? [unclear]",00:01:15
eyrspyu,12,tutor,What a number?,00:01:51
eyrspyu,13,student,[unclear] [unclear] [Speaker:Tutor]...correctly. [Speaker:Julian]...correctly. [Speaker:Tutor] Mm-hmm. [Speaker:Julian]...so that I get faster at this [UNCLEAR]. I can concentrate and then I do it better.,00:01:53
eyrspyu,14,tutor,So what do you think? How can we solve this question? [unclear],00:02:27
eyrspyu,15,student,It's where you put the [unclear] up to 1 to— it's where you put the largest one to biggest.,00:02:34
eyrspyu,16,tutor,"Very good, that's right. 124 is the correct answer.",00:02:46
eyrspyu,17,tutor,Can you tell me how we got 124 here?,00:02:50
eyrspyu,18,student,"100, 105, 112, 4. [unclear]",00:02:54
eyrspyu,19,tutor,"Okay, can you tell me what's the number is shown",00:03:15
eyrspyu,20,tutor,"With the— for the first picture, for this one. [unclear]",00:03:18
eyrspyu,21,tutor,"Okay, no worries. Sometimes it happens. I think it's because of internet connection. Yeah. Can you tell me what's the number shown with the first picture? This one?",00:03:57
eyrspyu,22,student,Yeah. Okay. [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear],00:04:07
eyrspyu,23,tutor,"Hmm, are you sure it will be 105?",00:04:40
eyrspyu,24,student,[unclear],00:04:42
eyrspyu,25,tutor,"Okay, how many hundreds we have here?",00:04:47
eyrspyu,26,student,One.,00:04:55
eyrspyu,27,tutor,"Very good. How many tens we have here? [Speaker:Julian]...ones. I mean, I have 3. [Speaker:Tutor] Yes. So do you still think that it will be 153?",00:04:58
eyrspyu,28,student,Um...,00:05:10
eyrspyu,29,tutor,"We have 100, 1 tens, and 3 ones. So the number must be 113, isn't it?",00:05:16
eyrspyu,30,background,"Oh, why did I do that?",00:05:27
eyrspyu,31,tutor,"Don't worry, sometimes it happens. Now similarly, try to find the number for the second picture.",00:05:30
eyrspyu,32,background,"Okay, that— [unclear] Is it— [unclear]",00:05:37
