session_id,utterance_id,role,content,timestamp
fcnuzwr,0,tutor,Hello. [unclear] Hello. Hello. Hello.,00:00:00
fcnuzwr,1,tutor,"Can you hear me? Hello? [unclear] No. Hello? Hello? Hello? I can't hear you. Hello? Can you hear me, Felix?",00:00:20
fcnuzwr,2,tutor,Yes.,00:00:45
fcnuzwr,3,student,"Hi, how are you?",00:00:47
fcnuzwr,4,tutor,Good. How about you?,00:00:49
fcnuzwr,5,student,"Good, thank you. So, what did you learn today at school?",00:00:52
fcnuzwr,6,tutor,"Uh, we didn't— we did PE. We did English just now. And we had a lunch break like one hour ago. And— break time, and we also had— apparently this is basically my math lesson, so yeah.",00:00:57
fcnuzwr,7,tutor,Sharing that with me. So shall we get started with the lesson for today?,00:01:25
fcnuzwr,8,student,Sure.,00:01:30
fcnuzwr,9,tutor,So today we'll be learning about dividing using short division. So do you usually use short division to divide numbers?,00:01:32
fcnuzwr,10,student,Yes.,00:01:41
fcnuzwr,11,tutor,"Okay, so what is another way that we call short division?",00:01:43
fcnuzwr,12,student,"Um, the bus stop method?",00:01:48
fcnuzwr,13,tutor,"Yes, there you are. So today we'll be mainly focusing on using the bus stop method to solve different kind of calculations. So can you start off by trying the learning [unclear] question?",00:01:52
fcnuzwr,14,student,Okay.,00:02:04
fcnuzwr,15,tutor,"And can you please talk through your steps, like how you're doing it?",00:02:06
fcnuzwr,16,student,"So 3— so 3 divide— 9 divided by 3 is 3. Then we have 3 divided by 3, which is 1. And we have 3 divided by 8. We can only do that 2 times with a remainder of— wait— 3, 6. [Speaker:Felix]...with a remainder of... sorry... 2. [Speaker:TUTOR] There you go. So fantastic job in showing the remainder by writing a little r over here. Good job, Felix, in solving it on your own. So because you're confident in this, we'll be directly moving on to the YouTube slide and practice a bit more questions relating to short division. Can you read out this to me?",00:02:10
fcnuzwr,17,tutor,Solve the following calculations using the formal method of short division.,00:03:05
fcnuzwr,18,student,87 divided by 4. I have to write it here?,00:03:14
fcnuzwr,19,tutor,"Yes, you can use this area to work it out.",00:03:18
fcnuzwr,20,student,87 divided—,00:03:23
fcnuzwr,21,tutor,Do we write it inside the bus stop or above the bus stop?,00:03:26
fcnuzwr,22,student,"I forgot, I forgot. Oh, we write it inside. [Speaker:Tutor]...87 and 4. [Speaker:Felix] So 4 divided by 8 is 2, and 4 divided by 7 is 1 with a remainder of... [unclear] 3, I think. [unclear]",00:03:30
fcnuzwr,23,student,"Okay, that— the 7 in 87 looks like— that I wrote it— it looks like a greater than.",00:04:11
fcnuzwr,24,tutor,"Yeah, so, and I appreciate you for talking through the steps as you solved the question. Well done. Can you write the final answer over here? Oh yeah, 21 remainder 3. [unclear]",00:04:22
fcnuzwr,25,tutor,Now shall we try out question B?,00:04:45
fcnuzwr,26,student,"Sure. Okay, so 3 divided by 6 is equal to 2. 3 divided by nothing is 0.",00:04:49
fcnuzwr,27,tutor,"Okay, I have a question for you. So 3 divided by 6. [unclear]",00:05:02
fcnuzwr,28,student,Something happened. Wait. Can you hear me?,00:05:10
fcnuzwr,29,tutor,Hello? Is everything all right?,00:05:19
fcnuzwr,30,student,Yes.,00:05:21
fcnuzwr,31,tutor,Okay. I heard you saying 3 divided by 6.,00:05:22
fcnuzwr,32,student,"Oh yeah, 6 divided by 3.",00:05:27
fcnuzwr,33,tutor,There you go.,00:05:30
fcnuzwr,34,student,"Because it would be undefined, I think.",00:05:31
fcnuzwr,35,tutor,And can you tell me what do we call the first number in a division calculation?,00:05:34
fcnuzwr,36,student,The first number?,00:05:40
fcnuzwr,37,tutor,"Yes, what do we call it?",00:05:43
fcnuzwr,38,student,"Oh, I don't know. [unclear] Divisor? No, no, that's not it.",00:05:46
fcnuzwr,39,tutor,Can you tell me which one is the divisor?,00:05:52
fcnuzwr,40,student,The 3.,00:05:56
fcnuzwr,41,tutor,There you go. Then what do we call the first number?,00:05:58
fcnuzwr,42,student,"This is the quotation, I think. The quotation. I don't know.",00:06:00
fcnuzwr,43,tutor,"Actually, it is called the quotient.",00:06:04
fcnuzwr,44,student,"Oh, something like that. Yeah. The quot— I for— why did I forget the first one? Um, so the quotient, the divisor, and I forgot the first one. Oh no.",00:06:06
fcnuzwr,45,tutor,That also starts with a D.,00:06:20
fcnuzwr,46,student,"Uh, divider.",00:06:23
fcnuzwr,47,tutor,So actually it is the dividend.,00:06:27
fcnuzwr,48,student,I remember that!,00:06:29
fcnuzwr,49,tutor,"So can you tell me what needs to be [UNCLEAR]? [Speaker:Felix] Uh, the dividend is the first— is the number we have to divide from the divisor.",00:06:32
fcnuzwr,50,tutor,There you go. And the divisor is the number that we are dividing by.,00:06:46
fcnuzwr,51,tutor,And what is a quotient?,00:06:52
fcnuzwr,52,student,A quotient is the answer of your— is the answer of the calculation.,00:06:55
fcnuzwr,53,background,"Yes, so mainly the answer of a division calculation. An amazing job in naming it and explaining it as well, Felix. Well done. So now you can continue with your question.",00:07:04
fcnuzwr,54,student,"So 3 divided— now 3 divided by 9 is 3. No, wait, 3 divided by— no, 9 divided by 3, please. So wait, can I double-check it again? So 2, 3 divided by 0 is 0. And 3 divided by— 9 divided by 3— [unclear] Sorry, 6 divided by 3 is 2. 0 divided by 3 is 0. And 9 divided by 3 is 3. Did I get it correct? I think I did.",00:07:17
fcnuzwr,55,tutor,"So well done in working it out on your own, and good job in placing a 0 in the tens column rather than leaving it empty. Fantastic job over there, Felix. So can you write down the answer in the given space? [unclear]",00:08:04
fcnuzwr,56,student,That's a wonky 3.,00:08:28
fcnuzwr,57,tutor,It's all right. So what about the text tool? Isn't that working?,00:08:29
fcnuzwr,58,student,"Oh yeah, I forgot about it. [unclear]",00:08:36
fcnuzwr,59,tutor,"So that's fine, like in B, that's all right. For the next one onwards, you can use the text tool because it's much more easier, isn't it?",00:08:41
fcnuzwr,60,student,"Yeah, so 4,000... 800— not 80— 100— no— [unclear]",00:08:50
fcnuzwr,61,student,"And 5. So now 4 divided by 4 is 1. So we have a 1,000 here.",00:09:16
fcnuzwr,62,student,Then we— 4 divided by 8 is 2. 8 divided by 4 is 2. 0 divided by 4 is 0. And 4 divided by 5 is 1 remainder 1. [unclear],00:09:35
fcnuzwr,63,tutor,So can you read out the final answer?,00:10:05
fcnuzwr,64,student,"1,201. [unclear]",00:10:08
fcnuzwr,65,tutor,"So once again, I appreciate you for working out all the questions independently. Here you go with a praise card for that animal. Well done.",00:10:17
fcnuzwr,66,tutor,"So before moving on to the next slide, can you tell me how can we double-check the answers in the division calculation?",00:10:27
fcnuzwr,67,student,We could do the inverse calculation.,00:10:37
fcnuzwr,68,tutor,So can you tell me what would be the inverse calculation of this one?,00:10:40
fcnuzwr,69,student,"Well, 4 times— times multiplied by— oh no, wait. [unclear]",00:10:46
fcnuzwr,70,tutor,"Okay. For multiply— can I actually immediately check that? Wait, somehow—",00:10:58
fcnuzwr,71,student,So actually you don't have to check that because we have already completed the question. So can you just tell me the inverse calculation? So we have the answer and the calculation. You can multiply.,00:11:09
fcnuzwr,72,tutor,And what numbers do we have to multiply together to double check?,00:11:24
fcnuzwr,73,student,"1,201 by 4.",00:11:30
fcnuzwr,74,tutor,"There you go. Amazing job in identifying the inverse calculation which we can use to double check our answer. And also, if you multiply these two numbers, can you tell me how much will you be getting? You don't have to work it out, so you can just tell me by focusing on the calculation.",00:11:43
fcnuzwr,75,student,"So, you want me to calculate 4 times 1,201 in my [UNCLEAR]? I can do it in my head.",00:12:08
fcnuzwr,76,tutor,"Okay, actually you don't have to work it out because we already have the answer. But this just one less, what is it? If your calculation is actually correct, what should be your answer to this one?",00:12:20
fcnuzwr,77,student,"4,805.",00:12:37
fcnuzwr,78,tutor,But we have a remainder of 1.,00:12:40
fcnuzwr,79,student,806. [unclear],00:12:43
fcnuzwr,80,tutor,So that means you'll have one less. [unclear],00:12:45
fcnuzwr,81,student,"Actually be 4,804.",00:12:48
fcnuzwr,82,tutor,"There you go. And you can add on the remainder, and if you are actually getting this number, then that means your answer is correct. So that's how we work with remainders. So if you have a certain remainder, you'll be getting that much less, and you can add on the remainder to check if that is the number from the calculation. Is that clear to you, Felix?",00:12:54
fcnuzwr,83,student,Yes.,00:13:18
fcnuzwr,84,tutor,"Okay, awesome. Let's move on to the final slide of this lesson. Can you try out this word problem?",00:13:19
fcnuzwr,85,student,There are 400 and— you want me to read it right now?,00:13:26
fcnuzwr,86,tutor,"Yes, please.",00:13:31
fcnuzwr,87,student,There are 400— there are 486 cupcakes. They are packed into boxes of 4. How many boxes are needed? [unclear],00:13:36
fcnuzwr,88,student,So you want me now to calculate?,00:13:48
fcnuzwr,89,tutor,So can you tell me what should we do step by step?,00:13:56
fcnuzwr,90,student,We should divide 486 cupcakes cakes into 4 boxes. [unclear],00:14:01
fcnuzwr,91,tutor,Hello?,00:14:24
fcnuzwr,92,student,"Yes, go on.",00:14:25
fcnuzwr,93,tutor,So do you want me to calculate it now?,00:14:27
fcnuzwr,94,student,"Yes, please.",00:14:31
fcnuzwr,95,tutor,So you can use this area to do that.,00:14:33
fcnuzwr,96,student,"Okay, divided by— is it 4? Yeah, 480. Now I should do the calculation. So 4 divided by— [unclear] 4 is 1. 8 divided by 4 is 2. And 6 divided by 4 is going to be 1 remainder 2. So, remainder 2.",00:14:38
fcnuzwr,97,student,I think you are.,00:15:26
fcnuzwr,98,tutor,So [unclear] can you tell me how many boxes do they actually need?,00:15:28
fcnuzwr,99,student,"They actually need— [unclear] I remember, I think that's how you did it. Wait, so— I'm not doing that. So if— do you want me to multiply and then I should subtract?",00:15:34
fcnuzwr,100,tutor,"See, bye. So you already have worked out the question using the bus stop method, and well done in doing it on your own. So my question was, how many boxes are actually needed? So what will be the final answer? [unclear] And 19 boxes are needed.",00:15:57
fcnuzwr,101,tutor,"So can you tell me why did you make it less? So according to your calculations— calculation, how many boxes did you get?",00:16:28
fcnuzwr,102,student,"I got 121, remainder 2. But you said last time that we should subtract",00:16:39
fcnuzwr,103,student,The two remainders— the remainder to your quotient answer.,00:16:49
fcnuzwr,104,tutor,"Okay, so I think you have confused it. So the thing is, so you will simply keep the remainder once we do the calculation when it's division. So the answer will be 1,201, isn't it?",00:16:57
fcnuzwr,105,student,Yeah.,00:17:14
fcnuzwr,106,tutor,But let's say you want to check if your answer is correct.,00:17:15
fcnuzwr,107,tutor,Yeah.,00:17:20
fcnuzwr,108,student,What you can do is you can use the inverse. So what is the inverse calculation?,00:17:21
fcnuzwr,109,tutor,"The inverse calculation is your dividend. Like, so basically for— no, wait, the inverse calculation is 1,000— for times 1,201 will be equal to 4,804. [unclear] Oh, now I sort of start to understand it.",00:17:28
fcnuzwr,110,tutor,"So the thing is, because we have a remainder— so if we didn't have a remainder, the inverse calculation will simply be 203 multiplied by 3, which gives you 609. So, and this we can see that the same 3 numbers have been written in the— written from the backwards. So is this part clear to you?",00:18:06
fcnuzwr,111,student,Yeah.,00:18:33
fcnuzwr,112,tutor,"And we simply get the dividend as the answer. But let's say you had a remainder. So if you had a remainder, then you won't be getting the dividend as the answer. You'll be getting a little bit less than that because there is a remainder. So the answer— the answer for this inverse calculation will not exactly be 4805 because we have one less.",00:18:34
fcnuzwr,113,student,So what you're basically saying to me is that [unclear],00:19:05
fcnuzwr,114,student,"So you basically just have to subtract 1 from the 4,804.",00:19:11
fcnuzwr,115,tutor,"So actually we don't have to subtract any numbers. What I wanted you to know is when you do the inverse calculation, so let's say you did 1,201. And you multiplied it by 4, the answer that you'll be getting will be 4,804, because 1 times 4 is 4, 2 times 4 is 8, 0 times 4 is 0, and 1 times 4 is 4.",00:19:22
fcnuzwr,116,tutor,Yeah.,00:19:51
fcnuzwr,117,student,"So you might think, why is this one less than the actual number? Is your answer incorrect? But that doesn't mean your answer is incorrect, though the two numbers are a little different. So over here, we are not getting the same number as the dividend. So the dividend has a 5 in the ones column.",00:19:51
fcnuzwr,118,student,Yeah.,00:20:13
fcnuzwr,119,tutor,"So this doesn't mean your answer is incorrect. It's because we had a remainder 1. So this difference is represented by the remainder. So if you add that 1, then it will give you the dividend.",00:20:14
fcnuzwr,120,student,Yeah. [unclear],00:20:30
fcnuzwr,121,tutor,Is that clear to you now? [unclear],00:20:32
