session_id,utterance_id,role,content,timestamp
fcvnnnb,0,tutor,[unclear],00:00:00
fcvnnnb,1,tutor,[unclear] [unclear],00:00:00
fcvnnnb,2,tutor,[UNCLEAR] [unclear],00:00:00
fcvnnnb,3,tutor,[unclear] [unclear],00:00:00
fcvnnnb,4,tutor,[UNCLEAR] [unclear],00:00:00
fcvnnnb,5,tutor,[unclear] [unclear],00:00:00
fcvnnnb,6,tutor,[UNCLEAR] [unclear],00:00:00
fcvnnnb,7,tutor,[unclear] [unclear],00:00:00
fcvnnnb,8,student,[UNCLEAR] [unclear],00:00:00
fcvnnnb,9,student,[unclear] [unclear],00:00:00
fcvnnnb,10,tutor,Hello?,00:03:03
fcvnnnb,11,student,"Hello, Lachlan.",00:03:06
fcvnnnb,12,tutor,Hello.,00:03:07
fcvnnnb,13,student,"So, how are you?",00:03:09
fcvnnnb,14,tutor,Good.,00:03:10
fcvnnnb,15,student,"Okay, how has your day been so far?",00:03:11
fcvnnnb,16,tutor,Good.,00:03:14
fcvnnnb,17,student,"Good, alright. So what are the things that you learned at school today?",00:03:15
fcvnnnb,18,tutor,We haven't learned anything today.,00:03:20
fcvnnnb,19,student,"Mm-hmm. All right, okay, so then shall we get started off with our today's lesson?",00:03:23
fcvnnnb,20,student,Mm-hmm.,00:03:28
fcvnnnb,21,tutor,"All right, here we go. So today you will be learning about looking at patterns using a multiplication scale. So can you remember that we were able to complete some part of this lesson in our last session, isn't it?",00:03:30
fcvnnnb,22,student,Mm-hmm.,00:03:44
fcvnnnb,23,tutor,"So, uh, what are the things that you can remember from what you learned regarding this lesson in your last session?",00:03:46
fcvnnnb,24,student,That all of the numbers in the blue line was square numbers.,00:03:56
fcvnnnb,25,tutor,"Yeah, so that is in the diagonal we were able to identify the numbers were square numbers, isn't it? Yes, so good job in putting that. So yeah, so what do we mean by a square? A number. What do we mean by a square number?",00:04:04
fcvnnnb,26,student,That it's got... [unclear],00:04:26
fcvnnnb,27,student,"That they are only in the, um, time— all different times tables.",00:04:43
fcvnnnb,28,tutor,"Yes, it will be in the times table. So how do we find whether a number is a square number or not? Can you remember that? So is it just a number multiplied another number, or is it the result of of multiplying a same number by itself?",00:04:52
fcvnnnb,29,student,[unclear],00:05:13
fcvnnnb,30,tutor,"Exactly. So when we multiply the same number by itself, the answer we get for that is what we call as the square number. So 9 is a square number, isn't it? Because it is the result of multiplying the same number by itself twice, isn't it? All right, so let's try to move on to this slide. So today we would need to start off from this 'You Do' slide over here. So first, can you read this question and then give it a try?",00:05:14
fcvnnnb,31,student,"Here we go. Solve the following. Use the multiplication square to help you if you wish. A book— wait, we've done this yesterday.",00:05:40
fcvnnnb,32,tutor,So were you able to do it at school?,00:05:58
fcvnnnb,33,student,Yeah.,00:05:59
fcvnnnb,34,tutor,"All right, okay, yeah. So then, yeah, so let's see over here this question. So can you give it a try? So you would be able to know on how you can do that, right? So how can we solve this? [unclear]",00:06:04
fcvnnnb,35,tutor,"Can you read the first question? Question 40, what does it say? [unclear]",00:06:34
fcvnnnb,36,student,9 multiplied by...,00:06:42
fcvnnnb,37,tutor,You can use multiplication skills to find the answer as well.,00:06:50
fcvnnnb,38,tutor,"Oh, Zach, on you go. [unclear]",00:06:55
fcvnnnb,39,student,"5, 6, 7, 8, 9, which is 36.",00:07:08
fcvnnnb,40,tutor,36.,00:07:28
fcvnnnb,41,student,"36. 6 times something equals 36 as well. 6 times 6. 36, so... [unclear]",00:07:28
fcvnnnb,42,student,6.,00:07:48
fcvnnnb,43,tutor,Mm-hmm. Yes. And what about this question? Question part B? [unclear],00:07:49
fcvnnnb,44,student,Circle the numbers in the 4 times— in the multiples of 5.,00:08:07
fcvnnnb,45,tutor,"So 4, we've got 4, 8, 12, 16, 20, 24, 24, [unclear]",00:08:13
fcvnnnb,46,student,And 40. [unclear],00:08:39
fcvnnnb,47,tutor,And then 40. 40. [unclear],00:08:51
fcvnnnb,48,tutor,Mm-hmm. All right. So now can you talk me through on how you found the answer for question part A?,00:09:13
fcvnnnb,49,student,"I found the answer because 5 times 6 equals 30. Yes, so one book costs £5, so they're asking how much would 6 books cost, isn't it? So you would need to multiply them together. Yes, you are right. Now, are we missing anything important in that answer, or is it the correct way to write down the answer? What do you think? So is it the correct way to write down the answer, or are we missing anything important? [unclear] [unclear]",00:09:21
fcvnnnb,50,tutor,"Okay, now what are we asked to find out in this question, [UNCLEAR]?",00:10:01
fcvnnnb,51,student,A book costs £5. How much do 6 books cost?,00:10:01
fcvnnnb,52,tutor,"Yes, so we are asked to find out—",00:10:13
fcvnnnb,53,background,"Oh, oh, oh, now I know what I'm missing.",00:10:15
fcvnnnb,54,tutor,"Okay, let's see. [unclear]",00:10:19
fcvnnnb,55,tutor,So what are we missing in that answer? [unclear],00:10:29
fcvnnnb,56,student,How do I do it?,00:10:33
fcvnnnb,57,tutor,"Yes, what do you do?",00:10:41
fcvnnnb,58,student,"I don't know. I don't know how to do the pound sign at the front. There you go, Lachlan. Well done. So what you need to do is you would need to go to the Symbol Store. Can you see the Symbol Store below?",00:10:42
fcvnnnb,59,student,Yes. [unclear],00:10:58
fcvnnnb,60,tutor,"So you would need to click on the Symbol Store. Once you click on the Symbol Store, you should be able to see the pound symbol. Can you see that?",00:10:58
fcvnnnb,61,student,[unclear],00:11:07
fcvnnnb,62,tutor,"Yes, well done, Lachlan. I love the way have you identified that. So we should always make sure to put the pings, isn't it? Because the question is, how much does it cost? So the pound symbol is also given in our question, right? So we should make sure to put that. So fantastic job in identifying it over there on your own. Well done. Yeah. And over here for question part B, so you told me that you were asked to find out the multiples of 4. Yes. So I can see that you have found out 24 and 40. Why is 40 not a multiple of 4? [unclear]",00:11:08
fcvnnnb,63,student,"Because if you look here, 0, 4, 8, 12, 16, 20, 24, 28, 30, 36, and 40. [unclear]",00:11:46
fcvnnnb,64,tutor,"Yes, so we do not have 14 in our 4 times table. Okay, now are those the only 2 numbers that are in multiples of 4?",00:12:01
fcvnnnb,65,tutor,What about 34? Is 34 a multiple of 4?,00:12:11
fcvnnnb,66,student,[unclear],00:12:16
fcvnnnb,67,tutor,No. What about 16? Isn't 16 a multiple of 4?,00:12:17
fcvnnnb,68,student,Let me just check.,00:12:23
fcvnnnb,69,student,[UNCLEAR],00:12:23
fcvnnnb,70,tutor,"There you go. So we got another 2 more, isn't it?",00:12:41
fcvnnnb,71,student,Mm-hmm.,00:12:44
fcvnnnb,72,tutor,"So 24, 40, 16, and 32 are the multiples of 4. There you go. Well done. So how do you think we could avoid those kind of little mistakes while we are working on question? Is there any way or actions that we can follow to avoid those little mistakes? [unclear]",00:12:46
fcvnnnb,73,tutor,"Okay, so by double-checking your answer, you can make sure whether you have done it right or not. Did that make sense? So if you have done any mistake or if you have missed anything in your answer, so while double-checking your answer, then you will be able to identify it. So that is the importance of double-checking. So always when you complete a question, make Make sure to double-check it quickly so that you make sure what you have done is right. Did that make sense? All right, yes. And then you have identified the answer, 4 multiplied by 9. Yes, there you go. So what times table did you look at in this multiplication? [unclear]",00:13:05
fcvnnnb,74,student,"Um, that 4 times 9 equals 36. Yeah, so we can look at our 4 times table, isn't it? 4 over here, 9 over there, like so. We get 36. Yes, 6 times 6 is equal to 36. So is 36 a square number?",00:13:47
fcvnnnb,75,student,"Uh, yes.",00:14:08
fcvnnnb,76,tutor,"Yes. How do we, uh, make sure that it is a square number? How do we know that it is a square number?",00:14:10
fcvnnnb,77,student,Because it is in this blue,00:14:16
fcvnnnb,78,student,[UNCLEAR],00:14:16
fcvnnnb,79,tutor,"Yes, so square numbers are the result of multiplying the same number by itself twice, isn't it? So the answer 36 has been got by multiplying 6 by itself 2 times, right? So that is how we know it is a square number. All right, so good job in using this multiplication square to reason out your answer over there. Well done. So then let's try to move on to the next slide, which is the go further slide. Can you read this question and then give it a try?",00:14:23
fcvnnnb,80,student,"Um... [unclear] Let me just get this. Using all of the slabs, find 3 different ways that he can arrange the slabs for 2 form a rectangular pattern.",00:14:54
fcvnnnb,81,tutor,"A rectangular [UNCLEAR], right?",00:15:23
fcvnnnb,82,student,Bedder. Bedder has 40 half-tile patio slabs.,00:15:23
fcvnnnb,83,tutor,"So he has 4 separate slabs. So using all of these slabs, you need to find 3 different ways that you can arrange these slabs to form a rectangular patio. So how do you think you can work it out? What are the ways in which we can arrange them so that it will still form a rectangular patio? [unclear] [unclear]",00:15:42
fcvnnnb,84,tutor,So how can you make a rectangle that uses exactly 40 patio slabs? So he has 40 of them. So how can we make a rectangle that uses exactly 40 patio slabs using those?,00:16:16
fcvnnnb,85,student,Like that big?,00:16:36
fcvnnnb,86,tutor,Mm-hmm.,00:16:39
fcvnnnb,87,student,This big?,00:16:40
fcvnnnb,88,tutor,"Yes, okay, yes, that is a rectangular shape. All right, so how many rows, and how many rows would— like, how many patio slabs would be in that row? Like, so it's like this, Lachlan. So let's say— yes.",00:16:43
fcvnnnb,89,tutor,Can you give it a try? Do you need more time?,00:17:04
fcvnnnb,90,student,[unclear],00:17:07
fcvnnnb,91,tutor,"Okay, let's see. Okay, yes, that is a rectangular picture set. All right.",00:17:07
fcvnnnb,92,background,That uses 14 squares.,00:17:15
fcvnnnb,93,tutor,"Yes, so how many would be on this side and how many would be in this row over here? So we should form that. We should say with the way in which we can arrange, like the rows or the columns like that. Did that make sense? Or you can tell the number of rows and how many would be in each row so that it could make a rectangular shape. Lachlan, slap. [unclear]",00:17:18
