session_id,utterance_id,role,content,timestamp
fibiqpu,0,background,[unclear],00:00:00
fibiqpu,1,tutor,"Hello, Lilly, can you hear me?",00:00:00
fibiqpu,2,student,Yeah.,00:00:02
fibiqpu,3,tutor,"Okay, so how was your day today?",00:00:03
fibiqpu,4,student,"It was good, thank you.",00:00:06
fibiqpu,5,tutor,"Okay, how was school today for you?",00:00:10
fibiqpu,6,student,It's good.,00:00:12
fibiqpu,7,tutor,It's good. So did you all do well today in school?,00:00:14
fibiqpu,8,student,Yes.,00:00:18
fibiqpu,9,tutor,Yes. What did you all do for math today in school?,00:00:19
fibiqpu,10,student,The same as last week.,00:00:22
fibiqpu,11,tutor,Can you recall me?,00:00:26
fibiqpu,12,student,We... so we were doing math.,00:00:28
fibiqpu,13,student,"Not like fractions this time, but when you have, so, one for every three circles, there are one rectangle.",00:00:35
fibiqpu,14,tutor,"Oh, you mean ratios?",00:00:57
fibiqpu,15,student,making ratios with cakes.,00:00:57
fibiqpu,16,student,So we don't forget how much ingredients we have.,00:01:03
fibiqpu,17,tutor,"Okay. So was it interesting for you, Lilly?",00:01:07
fibiqpu,18,student,Yeah.,00:01:11
fibiqpu,19,tutor,"Okay, great. All right. So then are we all good to go ahead with [unclear] today?",00:01:12
fibiqpu,20,background,"Yes, we are.",00:01:18
fibiqpu,21,tutor,"Yes. Okay. So today we are going to continue the lesson which we started already, which is subtracting money using the column method. Can you remember, Lilly?",00:01:19
fibiqpu,22,student,"Yes, I can.",00:01:30
fibiqpu,23,tutor,"Yes, okay. Let's move to the place where we have stopped. So what do you think? Do you want to give these two questions one more try just to recall what we did, or shall we move to the place where we stopped?",00:01:32
fibiqpu,24,student,[unclear] where we stopped.,00:01:44
fibiqpu,25,tutor,"Okay, okay. Right, so we are going ahead with you two's slide. You have to go ahead with the second question, this one. Okay?",00:01:47
fibiqpu,26,tutor,"So you can read it out loud, take an idea, and also you have enough space to show me the working out over here. Okay? Let me know once you're done. Okay, perfect. [unclear] [unclear] [unclear] [unclear]",00:01:55
fibiqpu,27,tutor,[UNCLEAR] [unclear],00:01:55
fibiqpu,28,tutor,[unclear],00:01:55
fibiqpu,29,student,On my screen it shows [UNCLEAR]. [unclear],00:03:18
fibiqpu,30,student,How many cards are here?,00:03:46
fibiqpu,31,tutor,It was 30. [unclear],00:04:06
fibiqpu,32,tutor,"Okay, Lilly. Okay, so I can see a good working out. So can you take me through this answer, Lilly? How did you get this answer?",00:04:22
fibiqpu,33,student,"So first off, I subtracted 3 and 7, but I couldn't I couldn't do that because if I did 3 and 7, I couldn't do that because 3 is smaller than 7. So I took 1 away from 5 so I could do 13 take away 7 to get 6. And then I did [unclear] take away 4, which is 0. And then I couldn't do 5 take away 9, so I did 15 take away 9 by getting 1 from the ones.",00:04:31
fibiqpu,34,tutor,"Okay, 1 from the tens. Yeah, okay.",00:05:12
fibiqpu,35,student,"Yeah, and now I have £6.",00:05:14
fibiqpu,36,tutor,"Yes, okay, that's a great explanation there, Lilly. Good job. So let's mark your correct answer, this one. And I see a good practice, you have maintained one column, one square for each place value column. That's a good practice. And yeah, good job with the answer....and this is smiley face for the first question of today's session. Good job. Alright Lilly, so have you got any questions to ask from me?",00:05:21
fibiqpu,37,student,No.,00:05:48
fibiqpu,38,tutor,"No. Okay, then we are moving to the last slide of this lesson which is Go Further. Here— okay Lilly, yes, you can give these 3 questions a try.",00:05:49
fibiqpu,39,tutor,"Okay. It's just 2 questions. Yeah, you guys do it first. You can see how we can help Tara.",00:06:06
fibiqpu,40,student,"So Tara... Tara had £11.35. That's a lot, Tara. What is the most amount of money she could have left after buying a treat. So what's the least expensive treat? And the least expensive treat is— let me just pick a different colour. Let's use purple for that one. Or actually, we'll use green. Green's a good colour for that.",00:06:14
fibiqpu,41,student,[UNCLEAR],00:06:14
fibiqpu,42,tutor,"This one is the least expensive one. Okay, so",00:06:50
fibiqpu,43,student,"For that, we would do 3.48— [unclear] Oh, nope, wrong way round. 1.3. 5 takeaway. [unclear]",00:06:57
fibiqpu,44,student,"So we're going to do 3.4. So we're going to do £11.35 takeaway, 3.8.",00:07:37
fibiqpu,45,tutor,Great.,00:07:44
fibiqpu,46,student,So we're going to do £11.35 subtract £3.48. [unclear],00:07:46
fibiqpu,47,student,"So for that, we would have to do something different. Let's take away from the 3. 2, 15, 14, 13, 12, 11, 10....9, 8, 7.",00:07:57
fibiqpu,48,tutor,"7. And then you take my 4. We can't do 3, and then we go... [unclear]",00:08:28
fibiqpu,49,student,"and then 12, 11, 10, 9, 8.",00:08:28
fibiqpu,50,tutor,5.,00:08:28
fibiqpu,51,student,"No, it's 4. And then we have to do taking away from the 1 again to get 0 again. 2 zeros in a row. And then take away from the 10. 10, 9, 8, 7, 1. Okay, I've done the first one.",00:08:28
fibiqpu,52,tutor,"Yes, that's a good working out. You can write it over here and you can go to the next one. [unclear]",00:09:12
fibiqpu,53,tutor,"Good job, great speed, Lilly.",00:09:17
fibiqpu,54,student,7.87.,00:09:19
fibiqpu,55,tutor,Yes.,00:09:21
fibiqpu,56,student,"Now all I have to do for this is, um, well, I can literally just erase my last one. Oh, I have to erase the whole equation because I don't really want the whole equation to still be there. But okay. So now we're gonna have one [unclear]",00:09:22
fibiqpu,57,student,"£1.35. Takeaway, so... [unclear] So we're gonna go with the more expensive one, which is £5.72, which is the cupcake.",00:09:54
fibiqpu,58,student,"So, 4, 3, single, 3. We can't do that, so 13, that's 13 now, so we need to put the 1 there. [unclear] [unclear]",00:10:13
fibiqpu,59,tutor,"12, 11, 10, 9, 8, 7, 6, 6, maybe point, and then we can make it 5.",00:10:39
fibiqpu,60,student,"So we can't do 0 take away 5, so?",00:10:58
fibiqpu,61,tutor,"Lilly, so have you written the other numbers over here? I just [unclear] 11.35.",00:11:08
fibiqpu,62,student,Yeah.,00:11:17
fibiqpu,63,tutor,I can't even stay in the typing thing.,00:11:18
fibiqpu,64,background,"So you didn't do it? Okay, you're working it out in your whiteboard and writing the answer over here?",00:11:22
fibiqpu,65,tutor,Yeah.,00:11:28
fibiqpu,66,student,"Okay. Oh yeah, I can see it. Good job. [unclear] Okay, so yeah. Okay, Lilly, good job. So first I should tell you have made a great speech.",00:11:29
fibiqpu,67,student,Yeah.,00:11:47
fibiqpu,68,tutor,"Okay, and super confident, so",00:11:50
fibiqpu,69,tutor,"Yeah, both of these working outs are perfect. So can you take me through the answers? How did you get these answers?",00:11:53
fibiqpu,70,student,"So first off, I did 5 take away 3 to get— no, 5 take away 2 to get 3. And then I couldn't do 3 take away 7, so I took 1 from the [unclear] to get 13— 1 from the 10s to get 13, I mean.",00:12:00
fibiqpu,71,student,"No, one from the hundreds to get 13. Yeah, one from the hundreds to get 13.",00:12:20
fibiqpu,72,tutor,"One from ones, yeah?",00:12:27
fibiqpu,73,student,"Yeah, from those ones. Those ones.",00:12:29
fibiqpu,74,tutor,"Yeah, okay.",00:12:31
fibiqpu,75,student,"And then I got 6, and then I couldn't do 0 take away 5, so I had to go to the 0 where the 0 is currently now, and I took 1 from it to get 10, and then I did that, and then I took away 5.",00:12:33
fibiqpu,76,tutor,Okay.,00:12:48
fibiqpu,77,student,[UNCLEAR],00:12:48
fibiqpu,78,tutor,"Okay. That's again a great explanation. So if I ask you, why did you select that you have to subtract the amount of the cupcake over here?",00:12:50
fibiqpu,79,student,Because it was the amount.,00:13:02
fibiqpu,80,tutor,[UNCLEAR].,00:13:02
fibiqpu,81,student,It was the amount.,00:13:02
fibiqpu,82,tutor,"Yes. Okay. That's a great explanation and superb understanding, Lilly. Let's mark your answers. All right. Okay. And the [unclear] and both of us are happy. Okay. All right, Lilly. So we are done with the lesson with this question. Okay. So yeah, thank you. So Lilly, what are your thoughts about this lesson? Can you give me a small summary?",00:13:07
fibiqpu,83,student,It's good.,00:13:34
fibiqpu,84,tutor,Yeah.,00:13:36
fibiqpu,85,student,And today we were learning money.,00:13:37
fibiqpu,86,tutor,"Money. Yes. Okay, so have you got your summary?",00:13:41
fibiqpu,87,student,And in the end we helped Tara.,00:13:46
fibiqpu,88,tutor,Yes. [unclear],00:13:49
fibiqpu,89,student,Yes.,00:13:51
fibiqpu,90,tutor,Okay.,00:13:52
fibiqpu,91,student,was a human.,00:13:52
fibiqpu,92,tutor,"Yes. So Lilly, yes, you gave me a summary. Okay, so can I know this one, Lilly? So how was my explanations for you?",00:13:52
fibiqpu,93,student,It was good.,00:14:07
fibiqpu,94,tutor,Was it understandable?,00:14:09
fibiqpu,95,student,It's understandable.,00:14:11
fibiqpu,96,tutor,"Okay, so if you have any problem or if you have any suggestion to give me, you can let me know. Okay?",00:14:13
fibiqpu,97,student,Okay.,00:14:22
fibiqpu,98,tutor,"All right, so then shall we move to the next lesson?",00:14:23
fibiqpu,99,student,All right. [unclear],00:14:27
fibiqpu,100,tutor,"We are done with the first one, so then we are moving to the next one. Okay, all right, so knowing common measure conversions. So can you give me a few seconds to check if we have done this earlier? What do you think?",00:14:30
fibiqpu,101,student,I don't think we have. [unclear],00:14:47
fibiqpu,102,tutor,"No, we have not done it earlier, Lilly. So yeah, you can go ahead with these two questions, the learning goal and the prior learning. First, let's go ahead with the learning goal. Once you're done, you can let me know. [unclear]",00:14:51
fibiqpu,103,tutor,"Alright, so this is how you do it. [unclear]",00:15:06
fibiqpu,104,tutor,"Okay, great. Yes, that's the correct answer. You can move to prior learning.",00:15:31
fibiqpu,105,background,"So, how much is 1 kilogram in grams?",00:15:40
fibiqpu,106,student,"1 kilogram is, I'm pretty sure, more than 900 grams altogether.",00:15:44
fibiqpu,107,tutor,"Yeah, yeah, yeah. It's more than 900 grams. That's a good working out. So, 1 kilogram Kilogram is equal to how many grams?",00:15:52
fibiqpu,108,student,I'm not sure.,00:16:00
