session_id,utterance_id,role,content,timestamp
fjjzxji,0,tutor,Hi.,00:00:00
fjjzxji,1,background,[unclear],00:00:00
fjjzxji,2,background,"Hi, Cormac. Can you hear me?",00:00:01
fjjzxji,3,student,Yes.,00:00:03
fjjzxji,4,background,Okay. How are you doing today?,00:00:04
fjjzxji,5,tutor,"Good. Okay, so anything special that you have planned for the upcoming weekend?",00:00:07
fjjzxji,6,student,Nah.,00:00:14
fjjzxji,7,tutor,"Nah, just the usual?",00:00:16
fjjzxji,8,student,Yes.,00:00:18
fjjzxji,9,tutor,"Okay, okay, cool. So we are going to start off with a new lesson, which is dividing using partitioning. So what do you know about dividing using partitioning methods? [unclear]",00:00:20
fjjzxji,10,tutor,I don't know.,00:00:40
fjjzxji,11,student,Me?,00:00:55
fjjzxji,12,tutor,"Okay, no worries. Any idea about the word partitioning? So what does it mean by partitioning? Any thought?",00:00:56
fjjzxji,13,student,[unclear] partition the number.,00:01:02
fjjzxji,14,tutor,"Yes, exactly. Partition means like we are splitting up a number into two different numbers. Like as an example, let me type it out. We can partition 15 into 10 5. So that is called partitioning. Like 10— two different types of numbers, we can divide or separate that number into two or more parts. That is called partitioning. Okay, so using this method, we are going to divide numbers. Have you done this lesson at school? [unclear]",00:01:07
fjjzxji,15,tutor,"You think so? Okay, great. So without any further ado, shall we get to the learning goal question and try out this one?",00:01:45
fjjzxji,16,tutor,Okay.,00:02:02
fjjzxji,17,student,So 17 would be 0.5. [unclear] [unclear],00:02:02
fjjzxji,18,student,[unclear] [unclear],00:02:22
fjjzxji,19,student,[unclear],00:02:43
fjjzxji,20,tutor,Okay. Let's write down the answer.,00:02:44
fjjzxji,21,student,I have [UNCLEAR].,00:02:52
fjjzxji,22,tutor,I can't see that.,00:02:52
fjjzxji,23,student,I'll show you again.,00:02:56
fjjzxji,24,tutor,Okay. 18. Are you sure about it?,00:02:59
fjjzxji,25,student,Yeah.,00:03:03
fjjzxji,26,tutor,"100%? You came very closer to the answer, Cormac. Would you be able to recheck it? You are like very, very closer to it. Let's refresh that one more time. [unclear]",00:03:04
