session_id,utterance_id,role,content,timestamp
fkpcwcb,0,background,[unclear],00:00:00
fkpcwcb,1,student,Hello?,00:00:00
fkpcwcb,2,tutor,Hello.,00:00:06
fkpcwcb,3,student,"Hi, Tobias. Can you hear me?",00:00:08
fkpcwcb,4,tutor,Yeah.,00:00:10
fkpcwcb,5,student,Okay. Welcome back. How are you today?,00:00:12
fkpcwcb,6,student,"I'm okay, how about you?",00:00:16
fkpcwcb,7,tutor,"I'm good too. So now, why is it okay? Was it not a really good day?",00:00:19
fkpcwcb,8,student,"I mean, it was a good day actually. It was pretty good day. We had a visit— we had a visitor, a doctor.",00:00:32
fkpcwcb,9,tutor,Okay. All right. So can you remember what we were doing last time? [unclear] Which topics we were covering during our last session?,00:00:44
fkpcwcb,10,student,"So we were doing decimal calculations. So that's just like doing things in decimals, like [unclear] decimals, dividing by decimals, maybe even times by decimals, also adding by decimals, subtracting by decimals, all of that.",00:00:59
fkpcwcb,11,tutor,"That is correct, Tobias. That is exactly right. So all calculations with decimals, right? Now we completed everything except for this last one, okay? Tutor is an adult student. [unclear]",00:01:19
fkpcwcb,12,tutor,"Try these two questions. Can you find the answers for them, Tobias?",00:01:34
fkpcwcb,13,student,Decimals. [unclear],00:01:39
fkpcwcb,14,tutor,That is correct.,00:01:49
fkpcwcb,15,tutor,That is exactly right. Now they're asking you to show the method. How can we show the method for this one?,00:02:01
fkpcwcb,16,student,"So you could just do 5— 54— wait, 54 take away 6.4. [unclear]",00:02:10
fkpcwcb,17,student,"So, wait, actually I'll change the— I'll change this to 0.0 so it's easier.",00:02:30
fkpcwcb,18,tutor,That's right.,00:02:44
fkpcwcb,19,student,"4 0, you can't do, so you change",00:02:46
fkpcwcb,20,student,"So you change the 54 into 53 and you add a 1 to the 0 to the 10th column. So that's just 4 take away 10, which is 6. And then 6 take away 3, you also can [UNCLEAR].",00:02:50
fkpcwcb,21,student,So it becomes 43.6.,00:03:16
fkpcwcb,22,tutor,"47.6, right?",00:03:25
fkpcwcb,23,student,"Yeah, no, no, 43.6. Then you take— then the 3 becomes 13, so that's—",00:03:28
fkpcwcb,24,tutor,"Oh, okay.",00:03:42
fkpcwcb,25,student,"take away 6, and that's 7.",00:03:42
