session_id,utterance_id,role,content,timestamp
fsnmrjo,0,background,[unclear],00:00:00
fsnmrjo,1,tutor,Hello.,00:00:00
fsnmrjo,2,student,Hello.,00:00:02
fsnmrjo,3,tutor,Hello.,00:00:05
fsnmrjo,4,student,Hi.,00:00:06
fsnmrjo,5,tutor,"Hi, [STUDENT_NAME]. How are you feeling today?",00:00:07
fsnmrjo,6,student,"Good, thank you.",00:00:11
fsnmrjo,7,tutor,"Okay, alright. So [STUDENT_NAME], if you would remember, we tried this lesson in the last week, multiplying and dividing whole numbers and decimals by 10 and by 100. So what do you remember about this topic, [STUDENT_NAME]?",00:00:13
fsnmrjo,8,student,"So I remember... I remember that if you try... [unclear] For example, for the learning goal, for like 170, if you times it by 10, it will become 170. I mean, yeah, 170.",00:00:28
fsnmrjo,9,tutor,"Okay, so what happens to all the digits on the place value chart, [STUDENT_NAME], when you multiply by 10? Which way does it move?",00:00:51
fsnmrjo,10,student,Left.,00:01:00
fsnmrjo,11,student,"Wait, if you divide?",00:01:01
fsnmrjo,12,tutor,"They move. No, when you multiply by 10, [STUDENT_NAME]?",00:01:04
fsnmrjo,13,student,"Uh, yeah, it goes to the left.",00:01:08
fsnmrjo,14,tutor,"Okay, how many times?",00:01:11
fsnmrjo,15,student,"Uh, if it's times by 10, 1, times by 2, or, uh, I mean times by 100, 2, times by 3, 3, I mean times 1,000, 3 times.",00:01:14
fsnmrjo,16,tutor,"Okay, alright, thank you for the explanation. There goes the speaker. So [STUDENT_NAME], we have to start with the [unclear] slide today. So [STUDENT_NAME], can you remember how we worked with the Catechism chart in the last week?",00:01:27
fsnmrjo,17,student,I think so.,00:01:43
fsnmrjo,18,tutor,"Okay, so what happens on the Catechism chart when we multiply a number by 10?",00:01:46
fsnmrjo,19,student,It goes up higher.,00:01:52
fsnmrjo,20,tutor,"Okay, so does it move to the top or bottom? And how many places?",00:01:55
fsnmrjo,21,student,"So if it's 100, 1, 2, so it would be 8, 1, 2, so it would be 5 for the 0.5. For the 0.9, it would be 90.",00:02:03
