session_id,utterance_id,role,content,timestamp
fspukju,0,tutor,Hello?,00:00:00
fspukju,1,background,[unclear],00:00:00
fspukju,2,student,"Hello. Hi, Kellan. Can you hear me?",00:00:00
fspukju,3,tutor,Yeah.,00:00:05
fspukju,4,student,Okay. How are you doing today?,00:00:06
fspukju,5,tutor,Good.,00:00:09
fspukju,6,student,Amazing. So anything special that you have planned for the upcoming weekend?,00:00:10
fspukju,7,student,"Well, we're going on a school trip tomorrow to Little Canada in [UNCLEAR], so that's what I'm doing all weekend.",00:00:17
fspukju,8,tutor,"Okay, that's great. That's amazing to hear. So with that amazing thoughts of having a wonderful weekend, we are going to start off our first lesson of the day, which is knowing the value of digit in numbers up to 1 million. So what do you know about",00:00:17
fspukju,9,student,The value of digits.,00:00:42
fspukju,10,background,"Is it like, say you had a number, it's like what each number's worth? Like if it's like [UNCLEAR]?",00:00:45
fspukju,11,tutor,"Very good. Exactly. Wonderful explanations about the word value and giving me a nice example. So without further delays, I'm going to take you to the learning goal question. Let's get the answer for that one.",00:00:45
fspukju,12,tutor,Okay. You can just write down the [unclear] numbers or digits as well.,00:01:08
fspukju,13,student,[unclear],00:01:39
fspukju,14,tutor,"80,000. Nice. If we are to write down the number in just digits, how would you write 80,000?",00:01:39
fspukju,15,student,[unclear],00:01:47
fspukju,16,tutor,Very good. Amazing. And let me give you a huge tick for writing it down in two different ways and getting the answer independently with a thumbs up. We are going to practice some questions. [unclear],00:01:53
fspukju,17,student,Can I have some help?,00:02:09
fspukju,18,tutor,"Yes, okay. So in the first question, it says, say and write the number shown in the numerals.",00:02:25
fspukju,19,tutor,"Okay, so look at the number and the number of dots that we have in each column. And looking at that, can you just write down the number over here?",00:02:32
fspukju,20,student,Okay. [unclear],00:02:43
fspukju,21,student,One.,00:03:00
fspukju,22,tutor,"Okay, are you sure the number of, like, the dots in the—",00:03:01
fspukju,23,student,Oh.,00:03:06
fspukju,24,tutor,"Hundred thousand, okay. [unclear] What about— okay. [unclear]",00:03:07
fspukju,25,tutor,"Very good. So when we are writing down these large numbers, there's one thing that we have to remember. What is that one thing?",00:03:26
fspukju,26,student,[unclear] Is it like a comma?,00:03:34
fspukju,27,tutor,"Very good, exactly. If you had to put that comma out, where would you put it out? Or do you put it here?",00:03:41
fspukju,28,tutor,"Exactly, in between 5 and 7, right?",00:03:53
fspukju,29,student,Yeah.,00:03:57
fspukju,30,tutor,Wonderful job. You understood the question nicely and got the answer as well. So now it's— we are left with the reading out part. How are you going to read out this question or the number? [unclear],00:03:58
fspukju,31,student,"Oh, um, is it 9,005,721?",00:04:15
fspukju,32,tutor,"721 is right. So if we take this part, 905, as a separate number, just like this, if the number was just like 905, what would that be? How would you read it out?",00:04:25
fspukju,33,student,905.,00:04:42
fspukju,34,tutor,"Exactly. So you are going to write— read 905. So since this comma separates the thousands column, thousands group, from the hundreds group, right? After the 905, you would tell thousands, which means 905 [unclear]",00:04:43
fspukju,35,tutor,Is that clear?,00:05:08
fspukju,36,student,Yeah.,00:05:14
fspukju,37,tutor,"Okay, amazing. So with that wonderful idea of reading out the numbers out loud and also writing them down, let me give you a great smiley face. Now, since you understood the first one, I'm going to take you to the second question, and let's figure out the answer for that one.",00:05:15
fspukju,38,tutor,Which one are we doing?,00:05:36
fspukju,39,student,The second one. The second whole question.,00:05:38
fspukju,40,tutor,Okay.,00:05:42
fspukju,41,student,Yes. [unclear] [unclear],00:05:42
fspukju,42,tutor,"600,000, yes. How do we write 600,000 in digits, Kellan?",00:06:11
fspukju,43,student,Um...,00:06:17
fspukju,44,tutor,You can use this place value chart as well.,00:06:22
fspukju,45,student,Okay. How would you write it?,00:06:25
fspukju,46,student,[unclear],00:06:30
fspukju,47,tutor,Excellent. Very good. Shall we copy and paste the same thing in the A there?,00:06:36
fspukju,48,student,Yeah.,00:06:44
fspukju,49,tutor,Okay. [unclear],00:06:45
fspukju,50,tutor,Sure. How many zeros?,00:06:58
fspukju,51,student,Oh. [unclear],00:07:00
fspukju,52,tutor,"Oh, just—",00:07:03
fspukju,53,background,And make sure to separate the thousands column with a comma.,00:07:06
fspukju,54,student,Oh. [unclear] [unclear],00:07:11
fspukju,55,tutor,"Very good. Yes, it is. [unclear]",00:07:21
fspukju,56,student,"Good. Oh, wait.",00:07:27
fspukju,57,tutor,Would it need a comma? Would it need a comma here?,00:07:34
fspukju,58,background,"Yes. Yes. Yes. Oh, digit 9.",00:07:37
fspukju,59,tutor,Okay.,00:07:45
fspukju,60,student,"Wait, digit— [unclear]",00:07:49
fspukju,61,tutor,"What does it mean by the digit 9 or digit 1, digit 5, or digit 6?",00:07:54
fspukju,62,student,"Oh, it's the—",00:08:00
fspukju,63,tutor,Exactly. Digit 1 means the number 1. What is the value of 1? Digit 5 means the value of 5. Digit 6 means the value of 6. The digit 9 means value of 9. Shall we figure out the answers back again?,00:08:04
fspukju,64,student,Okay.,00:08:22
fspukju,65,tutor,Okay.,00:08:24
fspukju,66,student,So does it mean like the actual digit?,00:08:27
fspukju,67,tutor,Yes.,00:08:30
fspukju,68,student,Okay. [unclear],00:08:30
fspukju,69,tutor,"So, the value of 1 in that number?",00:08:42
fspukju,70,student,"Um, 1. [unclear] 100.",00:08:46
fspukju,71,tutor,Is that in the hundreds column?,00:08:57
fspukju,72,student,No.,00:08:58
fspukju,73,student,Oh. [unclear] [unclear],00:09:01
fspukju,74,tutor,"Wonderfully done! Let me give you a huge tick for understanding the value of each number and also for not forgetting the comma in the 600,000s. Let me also give you a huge high five for the wonderful workings that you showed over here. Now let's take you to the next part of the lesson. Here we go. [unclear]",00:09:43
fspukju,75,student,Okay.,00:10:07
