session_id,utterance_id,role,content,timestamp
fxjalov,0,background,"Oh, multiplying two-digit numbers. [unclear]",00:00:00
fxjalov,1,tutor,What do you mean?,00:00:04
fxjalov,2,student,Hello?,00:00:05
fxjalov,3,tutor,So that's 24 times 7.,00:00:07
fxjalov,4,student,Hello?,00:00:10
fxjalov,5,background,Hello?,00:00:11
fxjalov,6,student,Hello?,00:00:12
fxjalov,7,tutor,"Hello, do you hear me, Callahan?",00:00:16
fxjalov,8,student,Yeah.,00:00:18
fxjalov,9,background,[unclear],00:00:18
fxjalov,10,student,Hello?,00:00:22
fxjalov,11,tutor,I actually cannot hear you. Can you hear me? Can you please confirm me this?,00:00:25
fxjalov,12,student,I can hear you.,00:00:30
fxjalov,13,tutor,Right. Can you circle your answer?,00:00:32
fxjalov,14,student,Yeah.,00:00:38
fxjalov,15,tutor,"Maybe over here. If you can hear me, can you circle that? Brilliant, brilliant. But I actually cannot hear you, Callahan. Can you please check the microphone of your headset? Don't know if it's muted accidentally. Is it all good? Can you type your answer on the screen? [unclear]",00:00:38
fxjalov,16,student,Yeah.,00:00:57
fxjalov,17,tutor,"Yes, is it all good?",00:01:04
fxjalov,18,student,Hello?,00:01:12
fxjalov,19,tutor,Did you check your microphone whether it's muted or not?,00:01:12
fxjalov,20,student,[unclear] Yeah.,00:01:12
fxjalov,21,tutor,"All right, you already checked it, isn't it? But I actually cannot hear you, Callahan. Right, okay, so shall we try this? Can you try to refresh your page? Do you know how to do that?",00:01:16
fxjalov,22,student,Pardon?,00:01:32
fxjalov,23,tutor,Yeah.,00:01:33
fxjalov,24,background,"Yes, can you type your answer on the screen? Because I apparently cannot hear you, Callahan.",00:01:34
fxjalov,25,student,Yeah.,00:01:38
fxjalov,26,background,Right. Do you know how to refresh your page?,00:01:41
fxjalov,27,student,Yeah. [unclear],00:01:45
fxjalov,28,background,"Yes, it's better if you can— you doesn't know how to write. Can you see?",00:01:52
fxjalov,29,tutor,"There is an icon on the top of your screen towards your left-hand side, top of your screen. There is an icon where you have a circle with an arrow. It's an arrow but a circular [UNCLEAR]. [unclear]",00:01:57
fxjalov,30,student,Hello.,00:02:45
fxjalov,31,tutor,Hello.,00:02:48
fxjalov,32,tutor,"Right, can you hear me now?",00:02:50
fxjalov,33,student,Yeah.,00:02:52
fxjalov,34,tutor,"Okay, you still hear me, right? So give me some time. Let's try to, uh... [unclear]",00:02:54
fxjalov,35,student,Yeah.,00:03:05
fxjalov,36,tutor,"Right, can you hear me now, Callahan?",00:03:07
fxjalov,37,student,Yeah.,00:03:09
fxjalov,38,tutor,"All right, I do hear you now as well. Okay, that was a little bit of a inconvenience at the very beginning, isn't it? Really sorry about that. All right, so let me warmly welcome you back to another session, Callahan. So you are back again to learn further on math. All right. [unclear] Hello, do you hear me, Callahan? Are you there?",00:03:11
fxjalov,39,student,Yeah.,00:03:40
fxjalov,40,tutor,"Alright, alright. So let me warmly welcome you to another session. Right, so I'm Lorcan here, so I will be your tutor for today's lesson as well as your [UNCLEAR].",00:03:41
fxjalov,41,student,Yeah.,00:03:52
fxjalov,42,tutor,"Right, so let's not take much of our time. I will ask you a simple question. Can you tell me, how was your day today?",00:03:53
fxjalov,43,student,Good.,00:04:02
fxjalov,44,tutor,"Alright, that's great to hear. Okay, then without taking any more time, let's start off with the lesson itself. All right, so this is the lesson that we have for today. This is the lesson which we started in our previous week. Can you remember we started this lesson?",00:04:04
fxjalov,45,student,Yeah.,00:04:20
