session_id,utterance_id,role,content,timestamp
getzjpc,0,tutor,Hello? [unclear],00:00:00
getzjpc,1,student,"Tobias, can you hear me?",00:00:00
getzjpc,2,tutor,Yeah.,00:00:01
getzjpc,3,student,"Alright, it's good to hear Tobias. How are you doing?",00:00:03
getzjpc,4,tutor,Good.,00:00:07
getzjpc,5,student,"Ah, that's amazing. So how is your neck pain?",00:00:09
getzjpc,6,tutor,"Well, it's alright now.",00:00:15
getzjpc,7,student,"Ah, that's good to hear Tobias. Alright, so you just see I never forgot that, okay?",00:00:17
getzjpc,8,tutor,"All right, so because you are one of my favorite students, okay? So I never forget— [unclear]",00:00:23
getzjpc,9,student,Am I number one?,00:00:31
getzjpc,10,tutor,"Yes, Tobias, I would say yes, right? Because you've been a very good student throughout the session and you're doing a very good job throughout the session and I really like the way how you work out in the question— I mean the questions, Tobias, because you know, You've been very focused, you've been very attentive, and you've been doing a very, very good working out throughout the session. Okay?",00:00:34
getzjpc,11,student,"Well, you might be my number one favorite tutor.",00:00:56
getzjpc,12,tutor,"Oh, thank you so much, Tobias. That's a good compliment I would take. Is it right?",00:01:00
getzjpc,13,student,Yeah.,00:01:05
getzjpc,14,tutor,"Okay, so it's been almost a week since we worked together last, isn't it?",00:01:06
getzjpc,15,student,Yeah.,00:01:11
getzjpc,16,tutor,"Okay, so how did the session— how did the week go on so far for you? [Speaker] Pretty good.",00:01:13
getzjpc,17,tutor,"Okay, what did you do during this week of time? [Speaker] Hmm, let me think. Yeah, well, all I did is stay home and play.",00:01:20
getzjpc,18,tutor,"Oh, you just stayed at home. [Speaker] Actually, I did play hockey today.",00:01:31
getzjpc,19,tutor,"Oh, you play hockey? [Speaker] Well, no, I didn't play. I did play it in school.",00:01:35
getzjpc,20,tutor,"Oh, right, you did play in school. Is that so?",00:01:41
getzjpc,21,student,Yeah.,00:01:45
getzjpc,22,tutor,"Alright, amazing. So Tobias, actually this month there's something special coming up for you. What is that?",00:01:45
getzjpc,23,student,What is it?,00:01:53
getzjpc,24,tutor,"That's your vacation, isn't it?",00:01:55
getzjpc,25,student,Oh yeah!,00:01:57
getzjpc,26,tutor,"Yes, so do you have any plans? Have you got any plans for your vacation?",00:01:58
getzjpc,27,student,"So... I don't think I have any, to be honest, I don't really... [unclear] I don't really care what happens at my thingy.",00:02:04
getzjpc,28,tutor,"Alright, so you just like in a cool mood? You like to chill?",00:02:14
getzjpc,29,student,Yeah.,00:02:18
getzjpc,30,tutor,"Oh, you just want to chill, is that so?",00:02:19
getzjpc,31,student,Yeah.,00:02:21
getzjpc,32,tutor,Good to hear.,00:02:22
getzjpc,33,student,Today I might be going to my friend's house.,00:02:24
getzjpc,34,tutor,"Oh, you might be going to your friend's house. Why is that so?",00:02:27
getzjpc,35,student,"Just to play, just to play and all that stuff.",00:02:32
getzjpc,36,tutor,"Oh, that's good. That's good to hear, Tobias. Amazing. Alright, so Tobias, shall we begin our today's session? Shall we begin our today's session, Tobias?",00:02:36
getzjpc,37,student,Yeah!,00:02:49
getzjpc,38,tutor,"Come on, before that, give me a big strong high five.",00:02:50
getzjpc,39,student,"Oh, okay. Big strong high five.",00:02:54
getzjpc,40,tutor,"High five. Alright, so you seem to be energetic and now this is the Tobias that I really like to work with. Because if you remember the other day, you were a bit dull because you had a kind of a leg pain, isn't it?",00:02:59
getzjpc,41,student,Yeah.,00:03:11
getzjpc,42,tutor,"I'm really, really— I'm so happy for you, Tobias, and it's good to see you back, right? So shall we begin now today's session?",00:03:11
getzjpc,43,student,"Yes, let's do this!",00:03:18
getzjpc,44,tutor,"Okay, that's, that's exactly what we need to do. All right, that's amazing. So, so, Tobias, just before we starting up, do you remember what we were working out on last?",00:03:20
getzjpc,45,student,"Yeah, we was adding an [Speaker:Tobias]...and subtracting using rounding and adjusting. [Speaker:Tutor] Okay, actually we did these questions the other day. Tobias, you need not to work this out, so let me help you to recall here, okay?",00:03:32
getzjpc,46,student,Yeah.,00:03:47
getzjpc,47,tutor,"So what we did here was we were— we was not doing the column addition or subtraction, Tobias. Instead of that method, we were using the rounding and adjusting method, okay? For an example, let me teach you this, okay? So instead of working out 297 here, we can easily work out 232 plus 300 in our head, isn't it? Which will be equal to 532, isn't it?",00:03:48
getzjpc,48,student,"Yeah, yeah, yeah.",00:04:20
getzjpc,49,tutor,"But you see this, instead of working 297, I have worked out 300, which is exactly 3",00:04:22
getzjpc,50,tutor,"Uh, you know, 3 minus [UNCLEAR]. [Speaker:Tobias] Yeah, so do we do— so we do 532 take away 3.",00:04:30
getzjpc,51,tutor,"Exactly, and then we can easily quickly do this in our head also, isn't it? So we can just take this away and the answer would be 529.",00:04:37
getzjpc,52,student,Yeah.,00:04:47
getzjpc,53,tutor,Did you understand that?,00:04:48
getzjpc,54,student,"Whoa, 529!",00:04:50
getzjpc,55,tutor,Yeah.,00:04:52
getzjpc,56,student,"Oh yeah, yeah, yeah.",00:04:53
getzjpc,57,tutor,"Yes, so this is what we call as the rounding and adjusting method, Tobias. So now do you remember what we did the other day? Yes.",00:04:55
getzjpc,58,tutor,"Okay, and then do you remember we need to work out the distance as well?",00:05:03
getzjpc,59,student,"Oh yeah, I remember this.",00:05:08
getzjpc,60,tutor,"Yes, and then we moved on to the follow me section.",00:05:11
getzjpc,61,student,"This is where I got kind of— no, actually no, I flied through this.",00:05:14
