session_id,utterance_id,role,content,timestamp
ggkqdjh,0,background,[unclear],00:00:00
ggkqdjh,1,student,Hello? [Speaker] Hello?,00:00:00
ggkqdjh,2,student,Hello? [Speaker] Hello? Can you hear me?,00:00:03
ggkqdjh,3,student,Yes.,00:00:08
ggkqdjh,4,tutor,Yes. Can I know how to spell your name?,00:00:08
ggkqdjh,5,student,A-Y-R-T-O-N.,00:00:14
ggkqdjh,6,tutor,"Sorry, I meant how to pronounce it. My bad.",00:00:18
ggkqdjh,7,student,[unclear],00:00:21
ggkqdjh,8,tutor,Is it Anton?,00:00:21
ggkqdjh,9,student,"Yeah, Anton.",00:00:25
ggkqdjh,10,tutor,"Yeah. All right. Yes, so welcome to ThirdSpace Learning, Anton. So how are you doing today?",00:00:27
ggkqdjh,11,student,"Yeah, good.",00:00:33
ggkqdjh,12,tutor,"Yes, that's great to hear. So let me take you through how Tutor Provider works before we get started with our lessons. [unclear] Yes, so we'll be coming across a couple of lessons every week. So just make sure to try your best when doing all of these lessons, Callum. So I'll always be here to help you out if you find anything to be difficult. So do ask me if you want help with anything. Alright, so can you see a couple of tools to the bottom of your page?",00:00:35
ggkqdjh,13,student,[unclear],00:01:20
ggkqdjh,14,tutor,Yeah.,00:01:20
ggkqdjh,15,tutor,"Can you use the text tool, Callum, and see if you can write your name here?",00:01:27
ggkqdjh,16,student,Pardon? [unclear],00:01:34
ggkqdjh,17,tutor,Can you try to use the text tool and see if you can write your name here?,00:01:35
ggkqdjh,18,student,Yeah.,00:01:39
ggkqdjh,19,tutor,"Yes, there you go. So make sure to use this text tool whenever we have to write anything, any answers on the screen, Callum.",00:01:52
ggkqdjh,20,student,[unclear],00:02:02
ggkqdjh,21,tutor,"Yes. Okay, so any of the answers can be written using that tool. And let's get to know about the other tools as we go forward with the sessions. All right, and a few more things, Callum, is that We only have around 45 minutes every session, so let's make sure to turn up on time every week so that we can make [UNCLEAR]. And like Rick said earlier, let's try our best to answer the questions, Callum, and try to get the most out of these sessions.",00:02:03
ggkqdjh,22,student,[unclear],00:02:03
ggkqdjh,23,tutor,"Yes. And just one last thing for you is that Once we end the session, you'll be given a few questions related to the lesson, Callum. So do take some time to answer them as well. Alright, so that's it from me, Callum. Do you have any questions for me?",00:02:44
ggkqdjh,24,student,[unclear],00:03:06
ggkqdjh,25,tutor,Alright.,00:03:07
ggkqdjh,26,student,if I get them right?,00:03:07
ggkqdjh,27,tutor,Pardon? [unclear],00:03:13
ggkqdjh,28,tutor,"Yes, so let's go ahead with the lessons, Callum, and see what we have as our very first one.",00:03:19
ggkqdjh,29,student,Yes.,00:03:28
ggkqdjh,30,tutor,"Alright, so our very first lesson is going to be grouping and counting in tense. So let me just tell you what this slide is about. So we just have to get started with this question, Callum. You can just ignore I'll hold this one for now, and [unclear] we can get to the answer for this one. Yes, so can you read out the question first?",00:03:31
ggkqdjh,31,student,"Write the number of apples. So do I— where the little dots are, should I write the number?",00:03:58
ggkqdjh,32,tutor,"Yes. You can use the text tool, Callum, and write the number over there.",00:04:07
ggkqdjh,33,tutor,"All right, yes. So was there any method when you got to this answer, Callum, that made it easy for you to get the number?",00:04:16
ggkqdjh,34,student,[unclear] 2 times and then just add the 5.,00:04:25
ggkqdjh,35,tutor,"Add the 5, very good. All right, so as you were able to get to this answer all on your own, we can skip the next question, Callum. So very well done there, and I like how you explained how you got to the answer as well. So good working out there.",00:04:31
ggkqdjh,36,student,[unclear],00:04:47
ggkqdjh,37,tutor,"OK, so let's get to a few practice questions then. OK, so here we have 3 questions, Callum. So shall we read out question A first?",00:04:48
ggkqdjh,38,student,There are 10 cookies in each jar. How many cookies are there altogether?,00:05:00
ggkqdjh,39,tutor,"All together, yes. So how do you think we can count and get to this answer?",00:05:07
ggkqdjh,40,student,So we could just do it in 5s or 10s.,00:05:15
ggkqdjh,41,tutor,OK.,00:05:18
ggkqdjh,42,student,"We know there's 5. 5 plus 5 equals 10. And then add 2 10s is 20. And that's how I counted. And then there's [UNCLEAR], so that would be the ultimate advantage.",00:05:19
ggkqdjh,43,tutor,"Yes, so would your final answer be 20, Callum?",00:05:45
ggkqdjh,44,student,Yes.,00:05:49
ggkqdjh,45,tutor,"Yes, okay. Yes, so a nice try there, Callum. So let's take a look at our question a bit more. So if you look at the question, how many cookies are they saying that is in each jar?",00:05:50
ggkqdjh,46,student,[unclear],00:06:06
ggkqdjh,47,tutor,"10. Okay, so here what they actually mean by this is that in one of these jars there are 10 cookies.",00:06:08
ggkqdjh,48,student,"Yeah, so it would be 100.",00:06:18
ggkqdjh,49,tutor,"It would be 100, yes. So shall we write that instead of 20, Callum?",00:06:21
ggkqdjh,50,student,Yeah.,00:06:29
ggkqdjh,51,tutor,"Mm-hmm. Yep, you can use the erase tool and then get rid of the 20 there.",00:06:29
ggkqdjh,52,tutor,Hello?,00:06:59
ggkqdjh,53,student,Hello?,00:06:59
ggkqdjh,54,tutor,"I understand. So let me erase this for you. Okay, so shall we write 100 here then?",00:07:00
ggkqdjh,55,student,Yes. [unclear],00:07:11
ggkqdjh,56,tutor,"Yes, there you go.",00:07:12
ggkqdjh,57,tutor,"Okay, so what made you change your mind there, Callum, from 20 to 100?",00:07:19
ggkqdjh,58,student,"Because I thought there was the— it was only jars, but I didn't know they had 10 in it. I thought there was just 10 jars in total.",00:07:26
ggkqdjh,59,background,[unclear],00:07:26
ggkqdjh,60,tutor,"Yes, that's all right. So good job in figuring out the mistake and getting fixed all on your own there, Callum. So here's 10. For the new learning there. Okay, so let's be very careful when reading these types of questions, Callum. And just to be more careful, we can even underline important words like it so that we won't miss out on it.",00:07:41
ggkqdjh,61,student,Okay.,00:08:08
ggkqdjh,62,tutor,All right. So shall we read out Question B then?,00:08:08
ggkqdjh,63,student,"Yeah. So, [unclear] and then— [unclear]",00:08:12
ggkqdjh,64,tutor,26.,00:08:32
ggkqdjh,65,student,26.,00:08:33
ggkqdjh,66,tutor,"26, yes. So let's write it here, Callum.",00:08:34
ggkqdjh,67,student,26.,00:08:34
ggkqdjh,68,tutor,"Yes, awesome. So I like how you counted from tens for the red beads and then the white beads. And then counted the rest. So that would be 26. Okay, so let's do the last one as well. So what are they asking us there?",00:08:39
