session_id,utterance_id,role,content,timestamp
ghbwjey,0,background,[unclear],00:00:00
ghbwjey,1,tutor,[unclear],00:00:00
ghbwjey,2,student,[unclear] [unclear],00:00:00
ghbwjey,3,tutor,[unclear],00:00:00
ghbwjey,4,student,[unclear] [unclear],00:00:00
ghbwjey,5,tutor,Hello?,00:00:39
ghbwjey,6,student,Hello. I'm sorry that I'm late.,00:00:39
ghbwjey,7,tutor,"Oh, that's alright. Just give me a second. Okay, so, well, how do I pronounce your name? Is it",00:00:45
ghbwjey,8,tutor,It's [UNCLEAR]? Thaddeus.,00:00:54
ghbwjey,9,student,"Oh, I'm so sorry. Okay, I just mispronounced it. I'm sorry about that. Okay, well, my name is Gideon, and I'll be your tutor for this term. Okay?",00:00:57
ghbwjey,10,tutor,Okay.,00:01:09
ghbwjey,11,student,"Okay, and welcome to Tutor Provider. So how are you?",00:01:10
ghbwjey,12,tutor,I'm good.,00:01:15
ghbwjey,13,student,Good. All right. So it seems like you're already familiar with the tools and all that.,00:01:17
ghbwjey,14,tutor,Yeah?,00:01:22
ghbwjey,15,student,Yeah.,00:01:23
ghbwjey,16,tutor,"You've used the text tool to type in your name. Great. Okay, so I have a couple of things to take you through before we get started. So we are here to discuss about certain math topic where you need help with, and I'm here to support you with any questions. Alright?",00:01:23
ghbwjey,17,student,Okay.,00:01:43
ghbwjey,18,tutor,"Okay, great. So we'll have a quick look at the tools. So you already know how to use the text Tool. I see that. And also we have—",00:01:44
ghbwjey,19,tutor,Yeah.,00:01:55
ghbwjey,20,student,"Yes, we have Draw Tool where you get pencil and shapes where you can get lines, rectangles, circles, and all that. We also have Symbol, so where you can get these, uh, you know, division, multiplication, pounds, and all of these symbols. [unclear]",00:01:55
ghbwjey,21,tutor,Okay.,00:02:18
ghbwjey,22,student,"Okay. And the next one is point. Now let's say you're pointing at something, but I can't see exactly what you're talking about. So then you can use the pointer to show me.",00:02:20
ghbwjey,23,tutor,Okay.,00:02:32
ghbwjey,24,student,"So here we go. Can you click on the point and can you click on the screen so you get your own pointer? Yes. There we go. You can also change the colour of your tools. So we have 4 colours there. And that's pretty much it. So remember to turn up on time. So if you turn up on time, you know, it's a 45-minute session. So if you turn up on time, we can get the maximum out of it. Okay?",00:02:32
ghbwjey,25,student,Yeah.,00:03:04
ghbwjey,26,tutor,Yes.,00:03:05
ghbwjey,27,student,Sorry I couldn't turn up on time. We couldn't find a headset. So—,00:03:07
ghbwjey,28,student,That's all right. [Speaker] It took a while to find one.,00:03:13
ghbwjey,29,tutor,"That's all right. That's all right. You don't have to worry about that. I mean, like, you can try your best to turn up on time, but that's still all right, okay? It's not a mistake, so you don't have to worry about it, okay? [Speaker] Mm-hmm.",00:03:18
ghbwjey,30,background,"And next, try your best. Yes, we expect you to try your best throughout the session and do your quiz at the end of each session. Session. So let's say you complete a lesson and then we run out of time and end the session, and after that you will get a quiz from the lesson that you completed. So do take a minute to fill that and— I mean, do the question. And also after that you will get a feedback form saying reflect on your session. So it will be asking about your today's session, how it went, and all of that. So you can also take a minute to fill that as well. Okay?",00:03:31
ghbwjey,31,tutor,Okay.,00:04:17
ghbwjey,32,student,"Alright, that's pretty much about Tutor Provider. So let's see what do we have to learn today for you. Today we have ordering numbers up to 1 million. So at the very beginning you'll be getting 2 questions. We first work this one out. If you're confident with this question, question, then we'll leave this. But if you need help here, we'll work this one as well. Okay?",00:04:18
ghbwjey,33,student,Okay.,00:04:48
ghbwjey,34,tutor,"Alright, so let's get started here. [unclear]",00:04:49
ghbwjey,35,student,How do I move the shapes? I mean the numbers?,00:04:56
ghbwjey,36,tutor,"You have to type in the numbers, actually.",00:05:06
ghbwjey,37,student,Oh.,00:05:09
ghbwjey,38,tutor,Yeah. [unclear],00:05:10
ghbwjey,39,student,I finished. [unclear],00:05:34
ghbwjey,40,tutor,Awesome. So way to go. Okay. What does ascending order mean?,00:05:59
ghbwjey,41,student,It means it's going up in order.,00:06:06
ghbwjey,42,tutor,"Yes. Going up in order. And if it's going down in order, how do we call it?",00:06:11
ghbwjey,43,student,Descending order.,00:06:18
ghbwjey,44,tutor,"Descending order. Absolutely. Okay. So seems like you're very confident with that. So we'll directly move to our practice questions, which would be this. First, give it a try, and if you need any help, let me know.",00:06:21
ghbwjey,45,student,"Okay. Do I need to, um, uh, like, line it?",00:06:39
ghbwjey,46,tutor,"Like, for example, let's say you're marking A, you can draw a line like this and say that's where A goes.",00:06:55
ghbwjey,47,student,Okay. [unclear] [unclear],00:07:06
ghbwjey,48,student,[unclear],00:07:06
ghbwjey,49,tutor,"You don't have to get it all the way from there. You can just— [unclear] line only there and drop an A. Yes, like that.",00:07:59
ghbwjey,50,student,I finished A.,00:09:12
ghbwjey,51,tutor,You finished A. Okay. Cool. Now can you take me through why do you think that these numbers go around here?,00:09:17
ghbwjey,52,student,"So I think 95B, it goes at the top. [Speaker] The start, near the start, because it's the lowest number, and then I put D next to it because it's only a few thousand more. Then I put [unclear] over here. I put A over here because I'm— it's also near 500,000. It comes right after, and then C is near 1 million, so I put it close.",00:09:27
ghbwjey,53,tutor,"Now, [UNCLEAR].",00:10:23
ghbwjey,54,tutor,"Great, that's really good thinking then. Hey, yes, they all make sense. Okay, so now let's go to the next one. [unclear] [unclear]",00:10:25
ghbwjey,55,tutor,Do I have to text on this one?,00:10:57
ghbwjey,56,student,"Yes, you can do text and space to nicely align them.",00:11:17
ghbwjey,57,tutor,Okay. [unclear],00:11:23
ghbwjey,58,tutor,You have to make actually 6-digit numbers.,00:12:26
ghbwjey,59,student,"Oh, I thought it was 3-digit numbers.",00:12:31
ghbwjey,60,tutor,take 6-digit numbers and you have to make 3 of them.,00:12:31
ghbwjey,61,student,How do I get rid of it?,00:12:45
ghbwjey,62,tutor,"Yeah, you can use erase tool. Just around here. Yep. Okay.",00:12:48
ghbwjey,63,tutor,So Mrs. E is in the office now? [unclear] [unclear],00:13:33
ghbwjey,64,tutor,It reminded you. [unclear],00:13:53
ghbwjey,65,student,Do we have number 8?,00:15:16
ghbwjey,66,tutor,In the cart list.,00:15:37
ghbwjey,67,student,"Oh, I didn't realize.",00:15:41
ghbwjey,68,tutor,"Alright, so you can just get the number 8 out. [unclear] Is that okay? [unclear]",00:15:45
ghbwjey,69,tutor,"Yes, good job! They're also in the ascending order. Well done. Okay, now here comes the last question for this topic. Yeah, so let's see what they're asking. [unclear]",00:16:32
ghbwjey,70,student,What do I have to use for this one? Do I need to use the pencil or do I have to text?,00:17:04
ghbwjey,71,tutor,"You can use the text and you can type in the letter below the moons. Like, let's say this is B here, then you can put a B below that or above it.",00:17:19
ghbwjey,72,tutor,Okay. [unclear] [unclear],00:17:33
ghbwjey,73,student,I don't really understand it.,00:17:57
ghbwjey,74,tutor,"Okay, so maybe shall we read the question out loud?",00:18:01
ghbwjey,75,student,Okay. Should I read it?,00:18:05
ghbwjey,76,tutor,"Yes, please.",00:18:11
ghbwjey,77,student,"A planet has 4 moons that orbit it. Orbit it, and their distances are shown below. Match each moon to its distance from the planet by writing the correct letter under each moon.",00:18:13
ghbwjey,78,tutor,"Yes, under each moon. So here's a planet, and then we have 4 moons. So you're going to tell me their distance to the planet. Now let's take the purple one. What do you think about its distance from the planet? Should it be a shorter distance or a longer distance?",00:18:29
ghbwjey,79,student,A short distance.,00:18:49
ghbwjey,80,tutor,"Yes, the shortest of all 4. So what is the shortest distance?",00:18:51
ghbwjey,81,student,C.,00:18:56
ghbwjey,82,tutor,C. There you go. So you can put a C under the moon.,00:18:58
ghbwjey,83,background,I think I understand it now.,00:19:04
ghbwjey,84,tutor,"Okay, great. Good.",00:19:08
ghbwjey,85,tutor,"Okay, I am finished.",00:19:35
ghbwjey,86,student,Yes. [unclear],00:19:38
ghbwjey,87,tutor,"Okay, yes. Well done. Okay, so we are done with that. So we— now if you take all of these numbers, this almost looks very close, or almost looks the same. So how do you think we can easily compare the numbers in between?",00:19:41
ghbwjey,88,tutor,Any tips that you would say?,00:20:02
ghbwjey,89,student,Maybe... [unclear],00:20:09
ghbwjey,90,tutor,"What tip you could say? Now, you can also talk about how you compare. Now, all of these numbers are a little bit confusing because they almost look the same.",00:20:20
