session_id,utterance_id,role,content,timestamp
gjwadyj,0,tutor,Hello?,00:00:00
gjwadyj,1,background,[unclear],00:00:00
gjwadyj,2,student,"Hello, Kieran, can you hear me?",00:00:01
gjwadyj,3,tutor,Hello?,00:00:08
gjwadyj,4,student,"Yes, Kieran, can you hear me?",00:00:10
gjwadyj,5,tutor,Yeah.,00:00:12
gjwadyj,6,student,Okay.,00:00:13
gjwadyj,7,tutor,How are you doing?,00:00:19
gjwadyj,8,student,Good.,00:00:21
gjwadyj,9,tutor,"Okay, is my voice lagging for you or is it all good?",00:00:22
gjwadyj,10,student,It's good.,00:00:27
gjwadyj,11,tutor,"Can you hear me very well? [unclear] Can you please try refreshing your screen because your icon, student icon, is in orange color. Can you do that?",00:00:29
gjwadyj,12,student,Okay. [unclear],00:00:43
gjwadyj,13,tutor,"Okay, can you hear me now?",00:00:55
gjwadyj,14,student,Yeah.,00:00:57
gjwadyj,15,tutor,"Yes, now it's green color, so it would be perfect, I guess. Okay?",00:00:58
gjwadyj,16,student,Okay.,00:01:03
gjwadyj,17,tutor,"So Kieran, how are you doing?",00:01:07
gjwadyj,18,student,"Good, I—",00:01:10
gjwadyj,19,tutor,And how was your holidays?,00:01:11
gjwadyj,20,student,Good.,00:01:15
gjwadyj,21,tutor,Did you enjoy your holidays?,00:01:16
gjwadyj,22,student,Yeah. [unclear],00:01:18
gjwadyj,23,tutor,"All right, so are you ready for today's lesson?",00:01:19
gjwadyj,24,student,Yeah.,00:01:22
gjwadyj,25,tutor,"Okay, so today we are going to learn about multiplying two-digit numbers using long multiplication. Okay, so our last session before the holidays, we already tried few questions. Okay, so can— do you know what is a 2-digit number? [unclear] Yeah. Can you give me an example of a 2-digit number? 15. Yes, that is perfect. Okay, so now let's move on to today's part. Okay, okay, okay. And we are going to do this.",00:01:24
gjwadyj,26,tutor,Okay.,00:02:06
gjwadyj,27,student,[unclear],00:02:07
gjwadyj,28,tutor,All right. Okay. So can you read what is here?,00:02:10
gjwadyj,29,student,"Before multiplying using long multiplication, we can use the area model to help us understand the steps of long multiplication.",00:02:15
gjwadyj,30,tutor,Okay. So what is your multiplication calculation they have given you?,00:02:27
gjwadyj,31,student,24 times 13.,00:02:34
gjwadyj,32,tutor,"Okay, so can you guess the answer? No, right? This seems a bit difficult for you to do it, right?",00:02:37
gjwadyj,33,student,Yeah.,00:02:44
gjwadyj,34,tutor,"Yeah, so for this you can either use long multiplication, okay? You can use a long multiplication or you can use an area model to find the answer. Okay?",00:02:45
gjwadyj,35,student,Mm-hmm.,00:03:00
gjwadyj,36,tutor,"So this is what you call a long multiplication, writing like this and finding the answer. Okay?",00:03:01
gjwadyj,37,student,Okay.,00:03:08
gjwadyj,38,tutor,But here we are going to use the area model. Okay?,00:03:09
gjwadyj,39,student,Mm-hmm.,00:03:13
gjwadyj,40,tutor,"Now we have 24, right?",00:03:15
gjwadyj,41,student,Yeah.,00:03:18
gjwadyj,42,tutor,"So you are going to split this number, you are going to partition this number as 20 and 4. Okay.",00:03:20
gjwadyj,43,student,Yeah.,00:03:27
gjwadyj,44,tutor,"And 13, you're going to partition that number as 10 and 3.",00:03:28
gjwadyj,45,student,Okay. [unclear],00:03:35
gjwadyj,46,tutor,So what is 10 plus 3?,00:03:36
gjwadyj,47,student,10 plus 3 is 13.,00:03:40
gjwadyj,48,tutor,Yes. And 20 plus 4 is?,00:03:43
