session_id,utterance_id,role,content,timestamp
gkfcdls,0,background,[unclear],00:00:00
gkfcdls,1,tutor,"Hi, Declan.",00:00:00
gkfcdls,2,student,Hi.,00:00:06
gkfcdls,3,background,Hello.,00:00:08
gkfcdls,4,tutor,Can you hear me?,00:00:09
gkfcdls,5,student,Yeah.,00:00:10
gkfcdls,6,background,Yeah.,00:00:11
gkfcdls,7,tutor,"How are you, Declan?",00:00:13
gkfcdls,8,student,"I'm fine, thank you.",00:00:14
gkfcdls,9,tutor,So how was your day?,00:00:17
gkfcdls,10,student,Very good.,00:00:19
gkfcdls,11,tutor,"All right, solving single problems involving fractions. Okay, so do you know how to find a fraction of a number? [unclear]",00:00:21
gkfcdls,12,student,Yeah.,00:00:34
gkfcdls,13,tutor,What is the process? [unclear],00:00:38
gkfcdls,14,tutor,"Okay, for an example, how to find 1/3 of 12? What should we do? [unclear]",00:00:43
gkfcdls,15,student,We're going to say [UNCLEAR].,00:00:48
gkfcdls,16,tutor,I'm not too sure.,00:00:48
gkfcdls,17,background,Divide by the denominator and multiply by the numerator.,00:01:01
gkfcdls,18,student,Okay. [unclear],00:01:06
gkfcdls,19,tutor,"Hello, Declan.",00:01:33
gkfcdls,20,student,Hello.,00:01:36
gkfcdls,21,tutor,Can you hear me clearly?,00:01:38
gkfcdls,22,student,Yeah. [unclear],00:01:41
gkfcdls,23,tutor,"Okay, can you increase the volume of your headphones? [unclear]",00:01:41
gkfcdls,24,student,Okay.,00:01:56
gkfcdls,25,tutor,Could you repeat?,00:01:57
gkfcdls,26,student,"Okay. When solving fractions or sharing problems, we can use our division skills.",00:01:58
gkfcdls,27,tutor,Could you read this one?,00:02:07
gkfcdls,28,student,There are 15 grapes in a bowl. They are shared between 3 plates. Dividing [unclear] by 3 is the same as finding 1/3.,00:02:09
gkfcdls,29,background,"Okay, if you need to find 1/3 of 15, all what you need to do is you need to divide 15 by 3. Just think about it. So 15 grapes are between 3 plates. Pick up the Shape tool, okay? Click on circle and can you draw grapes in all 3 plates equally? We have 15 grapes altogether and you need to divide the 15 grapes for all 3 plates equally. Can you do that? [unclear]",00:02:23
gkfcdls,30,tutor,Yes. Go ahead. [unclear],00:02:58
gkfcdls,31,tutor,"Yeah, good job. [unclear]",00:03:05
gkfcdls,32,tutor,"Okay, what is 15 divided by 3?",00:03:12
gkfcdls,33,student,5.,00:03:29
gkfcdls,34,tutor,5. So you need to draw 5 grapes in each of the things. What you did was correct. You can draw tiny lines here. [unclear],00:03:31
gkfcdls,35,tutor,"What fraction of the grapes is on each plate? Yeah, what would be the fraction?",00:04:26
gkfcdls,36,student,5/3?,00:04:35
gkfcdls,37,tutor,What fraction?,00:04:38
gkfcdls,38,tutor,One-third.,00:04:47
gkfcdls,39,student,"Yeah, I said one-third.",00:04:47
gkfcdls,40,tutor,Why do you think it's one-third?,00:04:49
gkfcdls,41,background,I'm not too sure.,00:04:54
gkfcdls,42,tutor,"Okay, no problem. So did you say 5/15?",00:04:59
gkfcdls,43,background,"No, I said 5/3.",00:05:02
gkfcdls,44,tutor,"Okay, it's not 5/3, it's 5/15, right? Because we had 1/3, 5/15th of [unclear] and we have 5 in each. Can you type 5/15 here?",00:05:06
gkfcdls,45,student,6/35.,00:05:26
gkfcdls,46,tutor,"5/15, that's a fraction. Can you type? [unclear]",00:05:28
gkfcdls,47,student,"So, yeah, so, so the Z has got to go there, and it goes at a 30-degree angle, so 70, 70, 40. [unclear]",00:05:47
gkfcdls,48,tutor,"Good job. Now, do you understand why it is 560 degrees?",00:06:08
gkfcdls,49,student,Yes.,00:06:22
gkfcdls,50,tutor,Why?,00:06:24
gkfcdls,51,student,"Because we have divided by 50, so that's why.",00:06:26
gkfcdls,52,tutor,"Okay, so we know we have 15 grapes altogether and we have 5 in each of the plates. So the fraction is 5/15. Can you simplify this fraction? [unclear]",00:06:31
gkfcdls,53,student,"If you have 2 [unclear] and if you join them together, it would make a rectangle.",00:06:47
gkfcdls,54,tutor,What type of 5/15 is that?,00:06:56
gkfcdls,55,tutor,"No, no, see, I'm asking, can you simplify this fraction? Do you know how to simplify this fraction?",00:07:00
gkfcdls,56,student,No.,00:07:05
gkfcdls,57,tutor,"Okay, so you need to divide the top numerator and the denominator by the same number, okay? So what would be the number we can divide? What is the common factor for 5 and 15? [unclear] [unclear]",00:07:06
gkfcdls,58,tutor,"And we can divide by 5, right? You can divide both of the numbers by 5. Am I right?",00:07:30
gkfcdls,59,student,Yes.,00:07:45
gkfcdls,60,tutor,Because both of the numbers are there in 5 times table. So what is 5 divided by 5?,00:07:45
gkfcdls,61,background,5 divided by 5 is 1.,00:07:55
gkfcdls,62,tutor,"Okay, you can type 1 here. [unclear]",00:07:59
gkfcdls,63,tutor,And what is 15 divided by 5?,00:08:04
gkfcdls,64,student,It wouldn't make a 5.,00:08:16
gkfcdls,65,tutor,50 divided by 5 is 5.,00:08:19
gkfcdls,66,background,0 is equal to 5.,00:08:21
gkfcdls,67,tutor,3.,00:08:22
gkfcdls,68,background,5 times 3 is 12. [unclear],00:08:23
gkfcdls,69,tutor,"So dividing an amount by 3 is the same as finding 1/3. So if you need to find 1/3 of 50, all what you need to do is 50 divided by 3. Let's see, Declan.",00:08:35
gkfcdls,70,student,Yes.,00:08:51
gkfcdls,71,tutor,Did you understand?,00:08:52
gkfcdls,72,student,Yes.,00:08:54
gkfcdls,73,tutor,"Alright, we'll move on to the next one. So I'm going to do the following section. Listen and watch the [UNCLEAR]. Okay? Let's look at a problem where we use multiplication and division to solve it. Ben has a bag of 30 sweets. He gives 3/5 of them away. How many does he have left? Before starting the question, I would like to underline the keywords of the question. First of all, we need to work out the value of 1/5. So in the previous question, if we understood that finding 1/5 is the same as dividing by 5, so if you need to find 1/5— these are the fractions— is 3/5 here. First of all, we need to find 1/5. So we find 1/5 by dividing 30 by 5. So 30 divided by 5. [unclear]",00:08:56
gkfcdls,74,tutor,"Okay, so if 1/5 is equal to 6, Okay. Yeah. [unclear]",00:09:49
gkfcdls,75,tutor,Yeah. [unclear],00:10:00
gkfcdls,76,student,"If 350 is taken away, look at this diagram. If you see amount taken away, the pink shaded part is taken away. Can you see? And the blue part is left. Am I right?",00:10:02
gkfcdls,77,background,"Yes. So 5/3 is taken away and 2/5 is left, and they're asking how many tenths we have left. So the fraction is 2/5. [unclear]",00:10:21
gkfcdls,78,tutor,"We already found 1/5 is 6, so 2/5 is left. [unclear]",00:10:33
gkfcdls,79,tutor,All right.,00:10:41
gkfcdls,80,tutor,Yes.,00:10:50
gkfcdls,81,student,"Is it clear for you, or can I send it again?",00:10:52
gkfcdls,82,tutor,"No, it's fine.",00:10:55
gkfcdls,83,background,[unclear],00:10:58
gkfcdls,84,tutor,Yes. Solve the problem below. Sally has 50 pence. She spends 8 pence. She spends 3/10 of it. How much does she have left?,00:11:00
gkfcdls,85,tutor,"Okay, pick up the drawing tool and underline the keywords. [unclear]",00:11:19
gkfcdls,86,student,"These are parallel, so it's going to be 12, and the opposite side is equal. So we do 7, 5, 7, 8, and 11.",00:11:23
gkfcdls,87,tutor,Yeah.,00:11:51
gkfcdls,88,student,Could you read this? [unclear],00:11:52
gkfcdls,89,tutor,Work out the value of 1/10.,00:11:54
gkfcdls,90,background,Yeah.,00:11:57
