session_id,utterance_id,role,content,timestamp
gpydmsi,0,tutor,Hi.,00:00:00
gpydmsi,1,background,[unclear],00:00:00
gpydmsi,2,student,Hello.,00:00:01
gpydmsi,3,tutor,"Hello. Hi, Callum. How have you been? Hello, can you hear me?",00:00:04
gpydmsi,4,student,"Yeah, I've been good, thanks.",00:00:11
gpydmsi,5,tutor,"Okay, so today we have a new lesson, Calculating Areas. What is an area, Callum?",00:00:13
gpydmsi,6,student,"Basically, you do length times width. [unclear]",00:00:21
gpydmsi,7,tutor,"Yes. What are we going to find by multiplying length and width? I mean, what is area? Can you define?",00:00:26
gpydmsi,8,student,Is it like the number that has basically the top Not [unclear],00:00:33
gpydmsi,9,tutor,"really. Area is the amount of space inside, okay? So for an example, you find the area of this one, that means you're finding how much space is there within, okay? Yeah.",00:00:49
gpydmsi,10,student,"Okay,",00:01:04
gpydmsi,11,tutor,"in a two-dimensional object, okay? Yeah.",00:01:04
gpydmsi,12,student,Try,00:01:08
gpydmsi,13,tutor,"this question, Callum.",00:01:09
gpydmsi,14,student,"So we would do 8 times 3, which is 24.",00:01:11
gpydmsi,15,tutor,"Yeah. Okay, number is correct, but something very important is missing from the answer. Okay, so when you're calculating area, is it going to be just centimeters, Callum? [unclear] squared. Yes.",00:01:19
gpydmsi,16,tutor,How,00:01:41
gpydmsi,17,student,do you put squared? symbols. [unclear] So,00:01:41
gpydmsi,18,tutor,"when you're working with area, the standard unit of measure for area is, if it's in centimeters, it's centimeters squared. If it's in meters, it's meters squared. So do not forget that. That is correct. All right. So let's try out some similar questions. No, you don't need to find it.",00:01:48
gpydmsi,19,student,Okay.,00:02:07
gpydmsi,20,tutor,Alright. You can give this one a try. [unclear],00:02:08
gpydmsi,21,student,"Um, so we would do— [unclear]",00:02:16
gpydmsi,22,tutor,How can we work this one out?,00:02:41
gpydmsi,23,student,"So,",00:02:43
gpydmsi,24,student,There's 5 here. And then—,00:02:57
gpydmsi,25,tutor,Pardon?,00:03:04
gpydmsi,26,student,[unclear] Find out what this is.,00:03:08
gpydmsi,27,tutor,Mm-hmm. And?,00:03:13
gpydmsi,28,student,"And this. 1, 2, 3, 4.",00:03:15
gpydmsi,29,student,Would it be 5 times 3?,00:03:22
gpydmsi,30,tutor,"Well, it could have been 5 times 3 if it was not an irregular shape. Now can you see this is not a rectangle, this has a slight L shape, yeah? So then by multiplying the length and the width, you cannot find the area. Is there any other way? Now think about this. Is there any other way that you can work out? [unclear]",00:03:26
gpydmsi,31,tutor,"What is 1 times 1, Callum?",00:04:04
gpydmsi,32,student,1.,00:04:07
gpydmsi,33,tutor,"1. So if you know that one of these squares hold up 1 centimeter square as the area, how do you find the entire thing?",00:04:08
gpydmsi,34,tutor,Would you count me inside?,00:04:08
gpydmsi,35,student,Pardon?,00:04:08
gpydmsi,36,tutor,Would you count me inside?,00:04:22
gpydmsi,37,student,Yes. [unclear],00:04:29
gpydmsi,38,tutor,12.,00:04:34
gpydmsi,39,student,Yes.,00:04:38
gpydmsi,40,tutor,"You can use the text tool, Callum. This looks like a K. Is it going to be 12 centimeters? [unclear] Yes, so squared comes after the meters, okay?",00:04:47
gpydmsi,41,student,Yeah. [unclear],00:05:06
gpydmsi,42,student,"Well, should we just count the squares inside?",00:05:17
gpydmsi,43,tutor,"Yeah, so without counting now, that is what you did for Part A, but without having to count everything one by one, is there any other method that you can find for this part? [unclear]",00:05:23
gpydmsi,44,tutor,Think about the initial method that you suggested for this one.,00:05:44
gpydmsi,45,student,[unclear],00:05:54
gpydmsi,46,tutor,Pardon me?,00:05:55
gpydmsi,47,student,Yeah.,00:05:57
gpydmsi,48,tutor,[unclear],00:05:57
gpydmsi,49,tutor,Counting around as in finding the length and the width?,00:06:01
gpydmsi,50,student,Yeah.,00:06:06
gpydmsi,51,tutor,"But to count everything around, then that is something like finding the length around, right? So that is not what we are doing. We are finding area, not perimeter. So what is the standard way of finding it? [unclear]",00:06:06
gpydmsi,52,tutor,Yes. Can we apply that for this one? [unclear],00:06:27
gpydmsi,53,student,"Um, we could do—",00:06:32
gpydmsi,54,tutor,"Is there a method that we can find the length and the width of this one? Because it's a complete figure, it's not an irregular one. Is there a way that you could find the length and the width?",00:06:38
gpydmsi,55,background,"1, 2, 3, 4, 5, 6.",00:06:49
gpydmsi,56,student,"Then there's 6 on the top, so 6 would be there. And then 1, 2, 3, and then 3 would be there. And then we got 6 times 3 is 18.",00:06:53
gpydmsi,57,tutor,"Yes, that is correct. [unclear]",00:07:05
gpydmsi,58,tutor,What helped you into finding that the length is 6 and the width is 3?,00:07:13
gpydmsi,59,student,"Because at the top there's 6 squares, which means length is 6.",00:07:23
gpydmsi,60,tutor,How do we know that it is 6 with 6 squares?,00:07:32
gpydmsi,61,student,"Yeah, true or false, 30 times 4 equals 40. [unclear]",00:07:39
gpydmsi,62,tutor,"So, I think—",00:07:51
gpydmsi,63,student,How did you know that it's going to be [unclear] if it's 6th class?,00:07:53
gpydmsi,64,tutor,Because the length is the part of the shape which has the biggest—,00:07:59
gpydmsi,65,student,Pardon?,00:08:09
gpydmsi,66,student,The length is the biggest part.,00:08:14
gpydmsi,67,tutor,Okay.,00:08:17
gpydmsi,68,student,[unclear] And the length is 6.,00:08:17
gpydmsi,69,tutor,"Yeah, how do you find that the length is 6, Callum? Now, for you to think that one square, all these 6 squares should be equal to 6 centimeters, what helped you?",00:08:23
gpydmsi,70,tutor,"It is right here on the slide. So I am assuming that you did not use it. [unclear] Yes, 6 times 3. But for you to know that it is 6 square— 6 centimeters on the top and 3 centimeters on the side, you can't just assume it's 6 or 3 just because there are 6 number of squares. Okay, we know that it is 6 centimeters because they have given this hint here, because they have given that on the top it is equal to 1 centimeter. On the side, it is equal to 1 centimeter. So in this side, we have [unclear] like this, right? So then 1, 2, 3, 3 centimeters. But however, if this said 2 centimeters, then just because it has 6 squares, is it not going to be 6 centimeters? Yeah?",00:08:39
gpydmsi,71,student,Yeah.,00:09:30
gpydmsi,72,tutor,"Okay, always look into the hints and the things that they have given for you to find the answer.",00:09:32
gpydmsi,73,tutor,"Alright, we can move to Part C. [unclear]",00:09:40
gpydmsi,74,student,"Yeah, not really. That is— there is no— [unclear]",00:09:46
gpydmsi,75,tutor,"Oh, I mean— sorry.",00:09:50
gpydmsi,76,student,Yeah.,00:09:57
gpydmsi,77,tutor,"So when you are writing the centimeter square without writing the centimeter here and then looking for the square part,",00:10:00
gpydmsi,78,tutor,"Just write 28 and go to the symbols and [unclear] and then you can write centimeters. You can get it like this. Yeah, because this is not how you write. No, write centimeters also through the symbols. You know how they have given this part exactly like that?",00:10:07
gpydmsi,79,student,[unclear],00:10:35
gpydmsi,80,tutor,Can we move on to D?,00:10:35
gpydmsi,81,background,"No, I meant here. You wrote it here, right?",00:10:41
gpydmsi,82,tutor,Okay.,00:10:49
gpydmsi,83,background,Okay.,00:10:50
gpydmsi,84,tutor,"You can write 28 with the text tool and then write the exact like that. Exactly. Now that is correct. Okay, you can move to Part D. Now it's slightly different. How can you work out the missing side length, Callum?",00:10:53
gpydmsi,85,student,"Find out what 40 centimeters squared divided by 8 is, and then there's your answer.",00:11:11
gpydmsi,86,tutor,"Yes, exactly. Good explanation. Okay, so can you tell me what are some mistakes that students could do when working out area questions, Callum?",00:11:18
gpydmsi,87,student,"They might not know what area means, so they might just like [unclear] outside and like they might just do the wrong, the wrong like working out.",00:11:33
gpydmsi,88,tutor,"Okay, other than that?",00:11:51
gpydmsi,89,student,So the multiplication factor describes the array. I did...,00:11:57
gpydmsi,90,tutor,Anything else?,00:12:08
gpydmsi,91,student,counted the first one... [UNCLEAR],00:12:08
gpydmsi,92,tutor,"Don't know. Okay, so another thing where you could go wrong is a situation where you faced in this case. So it's very important to look at the key that they have given. So let's say they have given 2 centimeters. That way each square, each top part would be 2 centimeters. So that is how you need to get the calculation. Okay.",00:12:10
gpydmsi,93,student,Yeah.,00:12:34
gpydmsi,94,tutor,"And also another thing where you have irregular shapes like that, sometimes students could just straight away get the answer like how you do with regular shapes. They could just multiply 6 times 3 to get 18 here, which is incorrect. Right? So that is another mistake. Okay, so let's go to the next.",00:12:34
gpydmsi,95,tutor,"Slide. Meanwhile, if you have any doubts or anything that you want to ask me, you can. [unclear]",00:12:53
gpydmsi,96,tutor,"Are you working on it, Callum?",00:13:26
gpydmsi,97,student,Yeah.,00:13:32
gpydmsi,98,tutor,Okay.,00:13:36
gpydmsi,99,background,How do we find the [UNCLEAR]?,00:13:38
gpydmsi,100,tutor,"Now, why do you think that we have to multiply 8 by 12?",00:14:17
gpydmsi,101,student,Because... [unclear],00:14:24
gpydmsi,102,tutor,Can you work the area of this square?,00:14:33
gpydmsi,103,student,I simply have to type 10...,00:14:36
gpydmsi,104,tutor,"Yes. Okay, you can write it on the middle. [unclear] [unclear]",00:14:44
gpydmsi,105,tutor,"Callum, are you there?",00:15:07
gpydmsi,106,student,"would be to— since the area of— this together is 144, 144 centimeters squared. Do not forget the square. Okay, so how do we ask the next step? What are the steps that you need to take to solve the rest of the problem, Callum? We know that this is 144, and how do we find this part? [unclear] [unclear]",00:15:07
gpydmsi,107,tutor,What are the things that they have already given in the question? Any information that we have already?,00:16:01
gpydmsi,108,student,The area of the shape is 168 meters squared.,00:16:09
gpydmsi,109,tutor,"Okay. Yes. So the entire area is 168 centimeters squared. And we know one part of the area, one part of the shape. And with this shape and this shape together only,",00:16:12
gpydmsi,110,tutor,168 centimeters squared?,00:16:27
gpydmsi,111,student,Yeah.,00:16:29
gpydmsi,112,tutor,"So if you know the area of one part that make up 168, how do you find the rest of the part? Think of, think of the part-whole model, maybe. [unclear]",00:16:29
gpydmsi,113,tutor,"Oh, this is not meant to be that big. Oh, yes.",00:16:55
gpydmsi,114,student,So... [unclear],00:17:15
gpydmsi,115,tutor,"If you're struggling, you can let me know, Callum. [unclear]",00:17:17
gpydmsi,116,tutor,Do you want me to help?,00:17:25
gpydmsi,117,student,"Yes, please.",00:17:28
gpydmsi,118,tutor,"Okay, so what we know from here is that the area of this shape is 168 centimeters squared. That is very important. And then you found out the area of this part. Can you write it down in the middle, Callum?",00:17:29
gpydmsi,119,student,Yeah.,00:17:48
gpydmsi,120,tutor,"Okay. Okay, so we know that this part is 144 centimeters, and we do not know this part, and there is no way for us to find it because we do not know this x. Yeah, if we knew this x, then x times 8 would give the answer. Yeah.",00:17:49
gpydmsi,121,student,"Yeah. [unclear] So They are asking us to find the missing side length. This is what we need to find, x. What is x? So if you know the area of this one, now remember this question that you tried over here? Yeah?",00:18:09
gpydmsi,122,student,Yeah.,00:18:26
gpydmsi,123,tutor,"Think about it now. It's similar. So if you find the area of this part and you know [UNCLEAR], can you find x then? That way, is it possible for us to find x if you had the area for this part? [unclear]",00:18:27
gpydmsi,124,tutor,"In this previous question, you had the area and one side, and you had to find one side, which you did very easily, right? So similar case here, what— what— how do we find the area for this section? Is there a method that we can get the area for this part? Because we know this part and this part plus gives you 168 centimeters squared, and you already know that this part. You just have to find the other part. What is the calculation that you need to do to find the area of this part, Callum?",00:18:53
gpydmsi,125,student,"30, 48, 96, 120, 144, 168.",00:19:26
gpydmsi,126,tutor,Yes. [unclear],00:19:32
gpydmsi,127,student,[unclear],00:19:46
gpydmsi,128,tutor,"No, 144 is an area. 8 is just a sign. You cannot add these two together. This is the centimeter one, this is centimeter square one. You cannot add such ones together. They are not like them.",00:19:46
