session_id,utterance_id,role,content,timestamp
gqiwjon,0,background,[unclear],00:00:00
gqiwjon,1,tutor,"Hi, Calliope.",00:00:00
gqiwjon,2,student,Hello.,00:00:01
gqiwjon,3,background,Hello.,00:00:04
gqiwjon,4,tutor,How are you doing?,00:00:07
gqiwjon,5,student,Good.,00:00:11
gqiwjon,6,tutor,"Okay, so this is your second week of Third Space. So how was previous week?",00:00:11
gqiwjon,7,student,Good.,00:00:17
gqiwjon,8,tutor,Good.,00:00:18
gqiwjon,9,tutor,Good. So let's start from where we stopped last week. So here we learned about pointing numbers and the [UNCLEAR]. So here we go. Look at the estimating the value,00:00:19
gqiwjon,10,tutor,"Sorry, let's look at the estimating the value of a number on an unmarked number line. So this is an unmarked number line, Calliope. Okay?",00:00:45
gqiwjon,11,student,[unclear],00:00:54
gqiwjon,12,tutor,"So we have A, B. So the number line goes from 0 to 100. Okay? So that means over here, the halfway of it is 50. You know that halfway of it, it is 50.",00:00:55
gqiwjon,13,tutor,"So A is somewhere closer to 50, B is somewhere closer to 100. Okay? So that means I can say that A would be— A is just over halfway, so a good estimate would be 55. And B is not too far away from 100, so a good estimate would be 90.",00:01:10
gqiwjon,14,tutor,"Okay. So how about your turn? You can try your turn, Calliope. [unclear]",00:01:38
gqiwjon,15,tutor,Calliope?,00:02:03
gqiwjon,16,student,Here. [unclear],00:02:05
gqiwjon,17,tutor,"Yeah. What is your heart fear, 40 and 60?",00:02:06
gqiwjon,18,tutor,Sorry? [unclear],00:02:28
gqiwjon,19,student,idea?,00:02:28
gqiwjon,20,tutor,Yeah.,00:02:32
gqiwjon,21,student,this morning.,00:02:32
gqiwjon,22,tutor,Hello?,00:02:38
gqiwjon,23,student,what type of...,00:02:38
gqiwjon,24,tutor,"Lottie, come and sit down.",00:02:41
gqiwjon,25,student,you're going to take anything?,00:02:41
gqiwjon,26,tutor,Hello?,00:02:46
gqiwjon,27,student,Hello. [unclear],00:02:47
gqiwjon,28,student,What's this number?,00:03:08
gqiwjon,29,tutor,5.,00:03:10
gqiwjon,30,student,This one?,00:03:13
gqiwjon,31,tutor,0.,00:03:15
gqiwjon,32,student,"50. Okay, why this says 50? [unclear]",00:03:16
gqiwjon,33,tutor,Is there any particular reason for you to say it's 50? [unclear],00:03:22
gqiwjon,34,tutor,"Yeah, is there a particular reason for you to say 50?",00:03:47
gqiwjon,35,student,Yeah.,00:03:54
gqiwjon,36,tutor,Why?,00:03:57
gqiwjon,37,student,I don't know.,00:04:03
gqiwjon,38,tutor,"Okay, so 40?",00:04:07
gqiwjon,39,student,"50, 60.",00:04:10
