session_id,utterance_id,role,content,timestamp
gqthamw,0,background,[unclear],00:00:00
gqthamw,1,tutor,"Hey, Callum.",00:00:00
gqthamw,2,student,Hey.,00:00:02
gqthamw,3,tutor,"Hello, how are you doing?",00:00:04
gqthamw,4,student,Good.,00:00:06
gqthamw,5,tutor,How was school today? [Speaker] Good.,00:00:09
gqthamw,6,tutor,Okay. [Speaker] Today is World Book Day.,00:00:13
gqthamw,7,tutor,Today is what? [Speaker] World Book Day.,00:00:17
gqthamw,8,tutor,"What, [UNCLEAR]? I can't hear you. [Speaker] Today is World Book Day.",00:00:22
gqthamw,9,tutor,"Oh, it's a birthday? [Speaker] No, World Book Day. Could you please type on the screen if you don't mind?",00:00:28
gqthamw,10,student,Okay.,00:00:38
gqthamw,11,tutor,"Can you all please speak to the mic? Your voice is lagging a little bit. Oh yes, yes, exactly, World Book Day. Did you read the book?",00:00:39
gqthamw,12,student,"Yeah, I did.",00:00:56
gqthamw,13,tutor,"Oh, what is it? Oh, mine is kind of weird.",00:00:58
gqthamw,14,tutor,What is it about?,00:01:03
gqthamw,15,student,"Um, why do we poop?",00:01:07
gqthamw,16,background,"Callum, could you please speak loud into your mic? Your voice is a bit laggy.",00:01:11
gqthamw,17,student,"Oh, okay. My book was called Why Do We Poop?",00:01:16
gqthamw,18,tutor,Hello?,00:01:28
gqthamw,19,student,"Uh, my book was called Why Do We [UNCLEAR].",00:01:28
gqthamw,20,tutor,"Oh, now I can hear you. Yes, perfect. Okay, so did you have a great day today then? Hello?",00:01:33
gqthamw,21,background,I did have a great day.,00:01:45
gqthamw,22,tutor,Hello? [unclear],00:01:48
gqthamw,23,tutor,Hello?,00:01:56
gqthamw,24,student,I did have a good day.,00:01:56
gqthamw,25,tutor,"Nice, nice. Let's speak like that, okay? Now I can hear you very clearly. Okay, all right. So shall we start today's lesson?",00:01:58
gqthamw,26,student,Yeah.,00:02:08
gqthamw,27,tutor,"Okay, okay. I can see that you have already started writing the answers, but before that What is the lesson today?",00:02:10
gqthamw,28,student,counting in multiples.,00:02:10
gqthamw,29,tutor,"Are you familiar with this lesson, Callum?",00:02:21
gqthamw,30,student,Yes.,00:02:27
gqthamw,31,tutor,"Okay, that's awesome.",00:02:28
gqthamw,32,background,[unclear],00:02:30
gqthamw,33,student,I'm not sure.,00:02:31
gqthamw,34,tutor,"Okay, that's also fine because as I always say, we are here to clear all our doubts because it's only you and me, right?",00:02:32
gqthamw,35,student,Yes.,00:02:42
gqthamw,36,tutor,Okay. So could you please tell me why did you put 45 here as the answer?,00:02:43
gqthamw,37,student,"Because in the 9 times table, 9, 18, 27, 36, and then if you add 9 to 36, that'll be 45.",00:02:55
gqthamw,38,tutor,"Very good, Callum. Good job. How about the second question? What does it say?",00:03:06
