session_id,utterance_id,role,content,timestamp
gvodems,0,background,[unclear],00:00:00
gvodems,1,tutor,"Hello, Lachlan.",00:00:00
gvodems,2,student,Hello.,00:00:01
gvodems,3,tutor,"Hi, Lachlan. How are you?",00:00:03
gvodems,4,student,Good. How are you?,00:00:05
gvodems,5,tutor,I'm doing really well. So thank you very much for,00:00:07
gvodems,6,tutor,"Thank you for asking. Welcome back to the session. Lachlan, can you hear me?",00:00:10
gvodems,7,student,Yes.,00:00:24
gvodems,8,tutor,"Great. Okay. Yes. So Lachlan, welcome back to the session. Today here we have a new topic, Comparing and Ordering Fractions. Let's try the learning goal question first. We will see how it goes. Shall we read it first?",00:00:25
gvodems,9,student,Comparing and ordering fractions.,00:00:43
gvodems,10,tutor,"Yeah, shall we please read the learning goal question? We have it here.",00:00:47
gvodems,11,student,Write the [unclear] in order from smallest to largest.,00:00:53
gvodems,12,tutor,"Alright, did you understand the question?",00:00:57
gvodems,13,student,Yeah.,00:01:00
gvodems,14,tutor,"Okay, I'm not going to interrupt you. Take enough time and give a try. [unclear]",00:01:02
gvodems,15,tutor,"Okay, Lachlan, if you like, you can use symbols to write fractions easily. So under fraction— under symbols, you can find these two boxes. To write the denominator and the numerator. It would be easier for you to type it. So if you like, you can give a try and see. You can start from writing the numerator. You can click on the top box and then type it without using the text tool, then come back to the denominator box and then write the denominator.",00:01:22
gvodems,16,student,"[unclear] You have to click on the top box. Okay, I will erase the board. Okay, you can click on the top box, then type the numerator without clicking on the text tool.",00:01:57
gvodems,17,tutor,[unclear],00:02:19
gvodems,18,tutor,Can't hear anything.,00:02:25
gvodems,19,background,"Can you hear Lachlan? Lachlan? Hello, Lachlan? [unclear] Hello? I can hear you, Lachlan. Can you hear me?",00:02:25
gvodems,20,tutor,I can hear you. Can you hear me?,00:02:51
gvodems,21,student,"Yes, hello.",00:02:54
gvodems,22,tutor,"Oh, great, yes. Okay, so yes, Lachlan. [unclear]",00:02:56
gvodems,23,background,"Give me a minute, I will restart.",00:02:59
