session_id,utterance_id,role,content,timestamp
hazzurk,0,tutor,Hello?,00:00:00
hazzurk,1,background,[unclear],00:00:00
hazzurk,2,student,"Hello, Linus. Can you hear me?",00:00:03
hazzurk,3,tutor,Hello?,00:00:08
hazzurk,4,student,"Hello, Linus? I can't hear you.",00:00:14
hazzurk,5,tutor,"Uh, could you please try to refresh and come back? [unclear]",00:00:21
hazzurk,6,tutor,Hello? Linus?,00:00:42
hazzurk,7,student,Hello?,00:00:49
hazzurk,8,tutor,"Hi Linus, how are you?",00:00:50
hazzurk,9,student,Good.,00:00:52
hazzurk,10,tutor,Uh-huh. How was your day at school today?,00:00:54
hazzurk,11,tutor,Good.,00:00:56
hazzurk,12,student,Mm-hmm.,00:00:59
hazzurk,13,tutor,Did anything interesting happen this week?,00:00:59
hazzurk,14,student,I went on a trip yesterday to a museum.,00:01:03
hazzurk,15,tutor,"Oh, to which museum did you go?",00:01:06
hazzurk,16,student,"I went in, I think it was Newcastle University, and I had a look. Kind of— [unclear]",00:01:09
hazzurk,17,tutor,"Oh, that's interesting. Linus, it shows us Your message is disconnected. Have you plugged your microphone properly?",00:01:13
hazzurk,18,student,Mm-hmm. Yeah.,00:01:31
hazzurk,19,tutor,"All right. Okay, but it shows me as not connected. Uh, in case if you are unable to hear me, just text then on the screen, okay?",00:01:32
hazzurk,20,student,Mm-hmm.,00:01:43
hazzurk,21,tutor,"All right, so shall we start the lesson?",00:01:44
hazzurk,22,student,"Mm-hmm. All right, so we were learning about multiplying and dividing whole numbers and decimals by 10 and 100. Yeah. So could you please recall what we were learning in that lesson?",00:01:47
hazzurk,23,student,And we were learning in this lesson about,00:02:12
hazzurk,24,student,How to multiply and divide whole numbers.,00:02:18
hazzurk,25,tutor,Mm-hmm.,00:02:22
hazzurk,26,student,Yeah. So how do we divide or multiply by 10? [unclear] I think I kind of forgot from last week.,00:02:23
hazzurk,27,tutor,"All right, no worries. So when you multiply, you move— when you use it, if you are using the Catechumenal Chart, you will move upwards for multiplication and downwards for division. Yeah.",00:02:39
hazzurk,28,student,Mm-hmm.,00:02:54
hazzurk,29,tutor,And then I think we need to start from this slide. Yeah.,00:02:57
hazzurk,30,student,Okay.,00:03:03
hazzurk,31,tutor,"Okay. So here we have follow me and your turn part. So usually the follow me part is for me. Yeah, for the Tutor. [unclear] So I will start first. After that you can give a try. Okay?",00:03:05
hazzurk,32,student,Okay.,00:03:26
hazzurk,33,background,"So it says let's multiply 0.44 by 10 and 100. Yeah. [unclear] So when you multiply by 10, what you have to do is you have to move the numbers to the left.",00:03:29
hazzurk,34,student,Okay.,00:03:54
hazzurk,35,tutor,"So since you are multiplying by 10, you have to move one",00:03:55
hazzurk,36,tutor,One place to the left. So this 0 will move from ones to the tens.,00:04:01
hazzurk,37,tutor,And then this 4 will move from— to the ones.,00:04:08
hazzurk,38,tutor,And this 4 will move to the tens.,00:04:13
hazzurk,39,tutor,So you will have the 0 here.,00:04:18
hazzurk,40,tutor,4 here and the other 4 here. Yeah.,00:04:21
hazzurk,41,student,Mm-hmm. So 0.44 times 10 is 4.4. Yeah. [unclear] Do you understand that?,00:04:23
hazzurk,42,student,Yeah.,00:04:38
hazzurk,43,tutor,"All right, and the next question is 0.44 times 100. So can you just guess what I can do to multiply the number by 100? [unclear]",00:04:40
hazzurk,44,student,"Maybe you could use a good techno chart to, like, divide the number, maybe, I think.",00:05:06
hazzurk,45,tutor,"Yes. So we can use the category chart and also use the place value chart. So when you multiply by 100, you have to move 2 places to the left. For 10, 1 place. For 100, 2 places. Okay?",00:05:16
hazzurk,46,student,Mm-hmm.,00:05:36
hazzurk,47,tutor,"So from here all the way here, and from tens Tenths to tenths, hundredths to ones. So I will type the 0 here and the 4 here and the other 4 here. Yeah, yeah. So 0.44 times 100 is 44. Okay. [unclear]",00:05:38
hazzurk,48,student,Okay.,00:06:09
hazzurk,49,tutor,"And the last one. To multiply by 100, move each digit blank places to the left. So since I am multiplying by 100, I have to move each digit 2 places to the left. Okay. [unclear] All right, so now it's your turn, Linus. So can you please read the question and give a try? Complete the calculation below using the place value chart to help.",00:06:10
hazzurk,50,student,Uh-huh. So 1.8 times 10. [unclear] I might use the place value chart to help us.,00:06:44
hazzurk,51,tutor,Uh-huh.,00:06:58
hazzurk,52,student,So that will be,00:07:00
hazzurk,53,student,"Yes, I think. I think that'll be zero, and I think that might be [UNCLEAR]. That might be zero.",00:07:05
