session_id,utterance_id,role,content,timestamp
hdchxrl,0,background,[unclear],00:00:00
hdchxrl,1,tutor,"Hi, Leander.",00:00:00
hdchxrl,2,student,Hello.,00:00:02
hdchxrl,3,tutor,"Hello? Can you hear me, Leander?",00:00:08
hdchxrl,4,student,[unclear],00:00:10
hdchxrl,5,tutor,"You can hear me, right?",00:00:12
hdchxrl,6,student,Huh?,00:00:15
hdchxrl,7,tutor,Can you hear me?,00:00:16
hdchxrl,8,student,"I can, but not really much.",00:00:19
hdchxrl,9,tutor,"Okay, then wait. I'll just refresh the page. Hold on for a second.",00:00:22
hdchxrl,10,student,What?,00:00:27
hdchxrl,11,tutor,"Okay, can you hear me now?",00:00:37
hdchxrl,12,student,Still [UNCLEAR].,00:00:40
hdchxrl,13,tutor,"Oh, could you refresh your page, Leander?",00:00:43
hdchxrl,14,student,Huh?,00:00:47
hdchxrl,15,tutor,Could you refresh your page?,00:00:48
hdchxrl,16,student,Huh?,00:00:50
hdchxrl,17,tutor,Could you refresh your page?,00:00:51
hdchxrl,18,student,What?,00:00:54
hdchxrl,19,tutor,"Oh, it's not clear at all, right?",00:00:58
hdchxrl,20,student,"Just to let you know, I have hearing problems, so I can't really hear stuff.",00:01:00
hdchxrl,21,tutor,"Oh, that's all right, fine. Okay, then I'll just type. [unclear] I will type. We'll type.",00:01:07
hdchxrl,22,background,Time.,00:01:21
hdchxrl,23,tutor,Yes.,00:01:24
hdchxrl,24,student,Okay.,00:01:24
hdchxrl,25,tutor,"Okay, right.",00:01:25
hdchxrl,26,student,Can you also hear me?,00:01:26
hdchxrl,27,tutor,I can hear you.,00:01:28
hdchxrl,28,student,How much?,00:01:31
hdchxrl,29,tutor,Very clear.,00:01:32
hdchxrl,30,student,[unclear],00:01:32
hdchxrl,31,tutor,"Okay, very clearly I can hear you. Very clearly I can hear you.",00:01:37
hdchxrl,32,student,Huh?,00:01:43
hdchxrl,33,tutor,"Okay, Leander.",00:01:45
hdchxrl,34,student,Hello.,00:01:49
hdchxrl,35,tutor,"Yes, the first one, learning goal, 8 kilometers is 8,000. Need not to do the prior learning, Leander.",00:01:50
hdchxrl,36,student,Pardon?,00:02:02
hdchxrl,37,tutor,You can do this question. You can do this question over here.,00:02:04
hdchxrl,38,background,"Hello, Batch. Each must belong to the [UNCLEAR]. Conversation.",00:02:10
hdchxrl,39,tutor,Conversation. Conversion. It's a conversion. [unclear] Okay. It's great.,00:02:10
hdchxrl,40,tutor,Question B.,00:02:44
hdchxrl,41,student,Huh?,00:02:46
hdchxrl,42,tutor,Question B. This question.,00:02:47
hdchxrl,43,student,Question B?,00:02:52
hdchxrl,44,tutor,"Yes, Leander.",00:02:54
hdchxrl,45,student,"Complete the following using [unclear] greater than, less than, or equal to. [unclear]",00:02:56
hdchxrl,46,tutor,"Great. It's a good working out. Question C. Question C, Leander. [unclear]",00:03:27
hdchxrl,47,student,Mm-hmm. [unclear],00:03:48
hdchxrl,48,tutor,"Okay, that's great. Question D. Question D, Leander.",00:04:09
hdchxrl,49,student,"Tommy cycled to his friend's house for dinner and said hello to [UNCLEAR]. He stopped for a [unclear] cycling [unclear] at 303,800 meters. How many meters would he have left the site?",00:04:22
hdchxrl,50,tutor,Mm-hmm.,00:04:43
hdchxrl,51,tutor,Okay. That's pretty awesome. The last question. [unclear] [unclear],00:04:57
hdchxrl,52,tutor,"How are we going to find the answer, Leander? [unclear]",00:05:33
hdchxrl,53,tutor,"This should total to 3 kilometers, Leander.",00:05:56
hdchxrl,54,student,Oh.,00:06:00
hdchxrl,55,tutor,"Okay, yes.",00:06:02
hdchxrl,56,tutor,Each diagonal line— diagonal line gives a total distance of 3 kilometers.,00:06:09
hdchxrl,57,student,It's correct.,00:06:30
hdchxrl,58,tutor,"Shall we add all these 3 together? Will it give us 3,000 meters?",00:06:32
hdchxrl,59,student,Yes.,00:06:39
hdchxrl,60,tutor,"Could you add all these together and see whether it's 3,000? [unclear] What did you notice?",00:06:40
hdchxrl,61,student,Oh.,00:06:53
hdchxrl,62,tutor,No one can hear you. [unclear],00:07:02
hdchxrl,63,student,"Mm-hmm. If I add these two numbers, so it's [UNCLEAR].",00:07:10
hdchxrl,64,tutor,What will you get?,00:07:29
hdchxrl,65,student,750 meters.,00:07:30
hdchxrl,66,tutor,"Exactly, yes, it's 750 meters.",00:07:33
hdchxrl,67,student,"Yeah, because when you—",00:07:37
hdchxrl,68,tutor,So 750 meters.,00:07:39
hdchxrl,69,student,Yeah.,00:07:42
